Lipid,Class,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m3_59_D,FAD261_m3_81_A,FAD265_m2_74_A,FAD309_55_A,FAD325_39_A,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(20:1),CAR,3327.3402366638184,3256.180221557617,4166.900352478027,3472.2002334594727,2478.1601905822754,3467.500244140625,3366.260227203369,4251.600330352783,2492.540184020996,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2960.9002075195312,2481.2601737976074,4220.94030380249,3354.5002517700195,2001.5001373291016,3533.440269470215,3680.740261077881,3639.460250854492,2906.4402351379395,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:2),CAR,4833.080337524414,5251.900352478027,8560.0806350708,5423.540374755859,3080.060214996338,6740.860412597656,6784.920478820801,8216.84061050415,4415.460342407227,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,3338.100238800049,3132.5802268981934,5219.000392913818,3900.5002975463867,2709.1401863098145,4866.240367889404,4215.140327453613,4970.000339508057,3671.500289916992,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:4),CAR,2202.8601570129395,2005.0601348876953,2594.800178527832,2063.7801475524902,1615.6801223754883,2286.22017288208,2420.7601737976074,2714.680187225342,1948.0401306152344,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,3186.6602172851562,3013.060199737549,4761.540370941162,3791.340259552002,2436.0601654052734,3698.0002479553223,4033.840305328369,4831.140350341797,3134.6801948547363,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(22:0),CAR,4130.300258636475,3083.040241241455,5922.580463409424,3316.820240020752,2181.7401580810547,3709.900276184082,4610.280277252197,6012.120449066162,2918.240219116211,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,3855.620273590088,4052.9402770996094,6631.820449829102,4554.400310516357,2950.480197906494,5330.600364685059,5514.040355682373,6091.820404052734,4026.280288696289,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(22:2),CAR,3841.9602661132812,3419.6002655029297,5991.520408630371,4569.820362091064,2996.5201988220215,4953.640365600586,5397.640365600586,6028.260410308838,3558.900230407715,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,7396.840518951416,6150.8403968811035,13037.780860900879,9233.020652770996,5679.040386199951,10666.92068862915,11903.380798339844,11808.520854949951,7421.480499267578,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
