lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0157,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0141,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
"PIo (36:5), PIp (36:4)",-0.024261281730429074,6.499951402034817,0.010084518413350452,0.9200095404339805,0.9972603099728947,PI,58226.04364013672,191984.75244140625,113967.90795898438,97713.34796142578,47293.06317138672,188314.85217285156,71793.26542663574,158487.8701171875,47694.4841003418,54214.48440551758,168079.93395996094,50899.80335998535,47445.18295288086,171286.232421875,83884.18649291992,90651.7061767578,106296.84796142578,190834.1531982422,22388.70135498047,45673.483627319336,189836.79364013672,54479.62326049805,16265.22120666504
"PIo (38:1), PIp (38:0)",0.06999069990315286,7.2751272453295295,0.08392348525376292,0.7720491959123159,0.9972603099728947,PI,73282.32542037964,368858.0803222656,203136.6506958008,187071.41271972656,87062.7455444336,293479.1221923828,193567.67443847656,237723.2987060547,91668.94686126708,104724.70697021484,286247.3602294922,132749.1499786377,85178.72731018066,255947.5174560547,129388.22943115234,129632.96911621094,188163.65228271484,386312.92333984375,61467.32434844971,56826.12378692627,287071.4996948242,96009.28633117676,19669.12120819092
"PIo (38:2), PIp (38:1)",0.07011313661374538,6.7900063139063995,0.0842159777021152,0.7716633183225964,0.9972603099728947,PI,64704.84373474121,269670.81915283203,141933.369140625,130893.8289794922,59365.00375366211,217877.63793945312,97164.06657409668,175567.3539428711,82228.66589355469,71732.80471801758,202660.9920654297,100500.96835327148,45721.72315597534,180273.57104492188,97993.78799438477,90030.46673583984,134378.20849609375,259870.09765625,43547.70278930664,55757.92403411865,201068.333984375,66196.86433410645,18742.00132751465
"PIo (38:3), PIp (38:2)",-0.008365882001124923,6.635195738664388,0.0011991085339104757,0.9723762572482468,0.9972603099728947,PI,65617.2850189209,226452.43682861328,125118.30859375,118461.04943847656,44111.00294494629,189869.03515625,86619.00555419922,155910.41021728516,62310.764640808105,64893.92478942871,186606.15490722656,90126.68663024902,52705.06376647949,180799.85430908203,89801.84729003906,93779.26629638672,106780.72778320312,223503.47747802737,38628.98268890381,47325.50395965576,188532.6118774414,59691.7848815918,16263.581161499023
"PIo (38:4), PIp (38:3)",-0.17977239563041314,6.972479523404891,0.5533574100413716,0.4569490940234253,0.9972603099728947,PI,95457.7271118164,241111.7169189453,168894.01147460938,163842.04864501953,74148.70500183105,190625.33380126953,123092.82984924316,157394.2507019043,73976.44459533691,53810.883850097656,203359.01345825195,88719.40579986572,78048.80591583252,273984.10052490234,130537.52783203124,179458.4320678711,117950.0083618164,238615.53509521484,61746.62535095215,78133.6861114502,189530.1522216797,55511.04471588135,16753.38136291504
"PIo (38:5), PIp (38:4)",-0.07463354203451218,6.9578750052715606,0.09542469911684748,0.7573908380351511,0.9972603099728947,PI,68118.08486175537,271222.2821044922,150164.6296081543,143426.17083740234,62383.264892578125,230318.41552734375,98391.3861541748,200788.45220947263,66132.96477508545,86873.08628845215,259089.21661376953,104832.44804382324,71658.16468811035,243840.05535888672,118533.86862182616,124712.48809814452,124220.32998657228,256148.37982177737,75736.38525390625,62560.08410644531,229905.77474975583,76157.46594238281,16392.181037902832
"PIo (38:6), PIp (38:5)",-0.03954237965234257,7.07441283115554,0.026788891009346116,0.8699884773599693,0.9972603099728947,PI,85315.94454193115,304310.8405761719,150322.85217285156,132460.48895263672,62603.60403442383,271797.56311035156,105586.60919189452,229562.4930419922,64646.28402709961,102193.36807250977,281875.32580566406,109992.96891784668,70644.02559661865,258488.1552734375,113584.1078491211,127070.8306274414,151692.45068359375,277827.8197631836,59361.14453125,67939.28450012207,274275.0795288086,79976.94505310059,25002.921630859375
"PIo (40:1), PIp (40:0)",0.11423110342257965,6.833704232926057,0.2235087899152859,0.6363793041084154,0.9972603099728947,PI,66117.92481994629,265457.0379638672,149653.36981201172,158215.73095703125,66134.70416259766,206877.57611083984,120434.80778503418,170768.5323486328,74008.34463500977,81692.4055480957,211829.23516845703,127471.78941345216,55066.44317626953,173372.55352783203,97006.885986328125,86234.6664428711,127533.34936523438,271072.7353515625,45853.88367462158,56043.623596191406,207152.3359375,73622.08437347412,16029.321128845217
"PIo (40:2), PIp (40:1)",0.02069382577627585,6.259706233263193,0.0073367812037758995,0.9317406652840788,0.9972603099728947,PI,43793.60331726074,176983.63305664062,93490.30700683594,82069.16632080078,35158.782958984375,157474.23181152344,78888.74597167969,115765.40869140624,49086.26364135742,51710.94344329834,149909.93041992188,79195.1255645752,36701.20217895508,141436.9315185547,67506.1643371582,74748.68551635742,84700.72622680664,173110.3126220703,23051.16174697876,31196.502674102783,143499.0313720703,40587.70320510864,13878.920936584473
"PIo (40:3), PIp (40:2)",0.026484197794519496,6.210069236868707,0.012016945233881415,0.9127092985287353,0.9972603099728947,PI,28540.32183074951,158483.8516845703,83715.44619750977,85773.42681884766,36207.442642211914,156611.01251220703,87933.14566421509,121620.16943359376,48903.483238220215,49990.00386810303,142922.68948364258,61778.14514541626,40513.22264099121,123328.98828125,63736.484466552734,64595.30453491211,81189.02600097656,155960.19177246094,26540.021812438965,43455.443267822266,144405.26989746094,52070.123680114746,12801.38091659546
