Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,6284818.08190918,,788.6,599.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,788.6 -> 599.6
,2333100.1041870117,,790.6,601.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,790.6 -> 601.6
,2311540.203491211,,790.7,573.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,790.7 -> 573.6
,2948242.47064209,,792.6,603.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,792.6 -> 603.6
,1695982.3002700806,,792.7,575.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,792.7 -> 575.6
,4900050.508056641,,794.6,605.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,794.6 -> 605.6
,2451524.5921783447,,794.7,577.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,794.7 -> 577.6
,2612636.163848877,,796.7,579.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,796.7 -> 579.6
,1422714.821029663,,812.7,595.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,812.7 -> 595.6
,1785939.225982666,,814.7,597.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,814.7 -> 597.6
,2819455.079772949,,816.7,599.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,816.7 -> 599.6
,1454134.043548584,,818.7,601.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,818.7 -> 601.6
,2498421.4781188965,,820.7,603.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,820.7 -> 603.6
,2874528.6217651367,,822.7,605.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,822.7 -> 605.6
TAG,2182616.793273926,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,868.7 -> 569.6
