,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
1599155,451.4,183.0,9.862033333333335,11507644.0,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,451.4 -> 183.0,,9.86,cereb,WT,FAD263,m4
843577,423.3,183.0,8.055016666666667,11159087.0,11162023_WT-m2-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.06,dienc,WT,,m2
4243777,423.3,183.0,8.029200000000001,10624566.0,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.03,cortex,5xFAD,FAD257,m2
2858793,423.3,183.0,8.042133333333334,10614408.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.04,cereb,5xFAD,FAD231,m1
4481436,423.3,183.0,8.029166666666667,10353395.0,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.03,dienc,5xFAD,FAD257,m2
953948,423.3,183.0,8.016266666666667,10250868.0,11162023_WT-m2-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.02,hippo,WT,,m2
4135903,423.3,183.0,8.0421,9520999.0,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.04,cortex,5xFAD,FAD231,m2
67964,423.3,183.0,8.093783333333334,5930904.0,11162023_Blank-AMP_2x_MRMs_O3off_01,423.3 -> 183.0,,8.09,,,,
1747585,495.4,183.0,7.547416666666667,1075220.0,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.55,cortex,WT,FAD263,m4
1733656,471.4,183.0,7.587433333333334,629015.0,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.59,cortex,WT,FAD263,m4
