,Biology,Cage,Correct_RT,Genotype,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
61,cereb,FAD263,6.12,WT,18:4,1447.0,5802.62060546875,m5,18:4-FAD263-m5-WT-cereb,5802.62060546875,443.3,183.0,6.12,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
62,hippo,FAD263,6.15,WT,18:4,1453.0,2015.860107421875,m5,18:4-FAD263-m5-WT-hippo,2015.860107421875,443.3,183.0,6.15,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
63,cortex,FAD231,9.45,5xFAD,20:2,1834.0,7372.74072265625,m1,20:2-FAD231-m1-5xFAD-cortex,7372.74072265625,475.4,183.0,9.45,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
64,hippo,FAD231,9.5,5xFAD,20:2,1846.0,2483.1201171875,m2,20:2-FAD231-m2-5xFAD-hippo,2483.1201171875,475.4,183.0,9.5,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
65,cereb,FAD263,9.59,WT,20:2,1815.0,2672.14013671875,m3,20:2-FAD263-m3-WT-cereb,873.1200561523438,475.4,183.0,9.59,11162023_WT-m3-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
66,cortex,FAD263,9.47,WT,20:2,1816.0,5223.84033203125,m3,20:2-FAD263-m3-WT-cortex,5223.84033203125,475.4,183.0,9.47,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
67,dienc,FAD263,9.59,WT,20:2,1817.0,3423.940185546875,m3,20:2-FAD263-m3-WT-dienc,3423.940185546875,475.4,183.0,9.59,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
68,cortex,FAD263,9.47,WT,20:2,1821.0,3195.66015625,m4,20:2-FAD263-m4-WT-cortex,3195.66015625,475.4,183.0,9.2,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,475.4 -> 183.0
69,cereb,FAD263,9.59,WT,20:2,1825.0,2193.500244140625,m5,20:2-FAD263-m5-WT-cereb,2193.500244140625,475.4,183.0,9.59,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,475.4 -> 183.0
70,cortex,FAD231,8.63,5xFAD,20:3,1792.0,2511.18017578125,m1,20:3-FAD231-m1-5xFAD-cortex,2511.18017578125,473.4,183.0,8.63,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,473.4 -> 183.0
71,cortex,FAD263,8.28,WT,20:3,1779.0,2374.460205078125,m4,20:3-FAD263-m4-WT-cortex,2374.460205078125,473.4,183.0,8.28,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,473.4 -> 183.0
72,cortex,FAD231,7.55,5xFAD,20:4,1750.0,5337.98046875,m1,20:4-FAD231-m1-5xFAD-cortex,5337.98046875,471.4,183.0,7.55,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
73,cereb,FAD257,7.55,5xFAD,20:4,1757.0,2102.2001953125,m2,20:4-FAD257-m2-5xFAD-cereb,2102.2001953125,471.4,183.0,7.55,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
74,cortex,FAD257,7.56,5xFAD,20:4,1759.0,2197.400146484375,m2,20:4-FAD257-m2-5xFAD-cortex,1944.2200927734375,471.4,183.0,7.56,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
75,cortex,FAD263,7.59,WT,20:4,1732.0,62787.86328125,m3,20:4-FAD263-m3-WT-cortex,62787.86328125,471.4,183.0,7.54,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
76,dienc,FAD263,7.57,WT,20:4,1733.0,17382.30078125,m3,20:4-FAD263-m3-WT-dienc,17382.30078125,471.4,183.0,7.57,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
