Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,FAC,TG,Group,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,3957.0,1329,15.66,3957.0,FAD184,FAD184_F4,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",195,15.66,0.019999999999999574,633.0,541.0,,36
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,3272.0,1833,15.56,3272.0,FAD185,FAD185_M4,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",176,15.56,0.11999999999999922,263.0,257.0,18.33,40
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,42833.0,1333,15.61,42833.0,FAD185,FAD185_M4,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",196,15.61,0.07000000000000028,5324.0,4710.0,18.33,40
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,820.7,603.5,15.6,3716.0,1837,15.6,3716.0,FAD189,FAD189_M3,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",177,15.6,0.08000000000000007,463.0,413.0,17.01,44
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,72652.0,1337,15.66,72652.0,FAD189,FAD189_M3,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",197,15.66,0.019999999999999574,8123.0,7027.0,17.01,44
"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.65,1241.0,1822,15.65,1241.0,DOD94,DOD94_F3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",178,15.65,0.02999999999999936,87.0,117.0,21.21,29
"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.7,23010.0,1322,15.7,23010.0,DOD94,DOD94_F3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",198,15.7,0.019999999999999574,2900.0,2482.0,21.21,29
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.56,648.0,1826,15.56,648.0,FAD184,FAD184_F3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",179,15.56,0.11999999999999922,92.0,77.0,16.91,33
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,9687.0,1326,15.66,9687.0,FAD184,FAD184_F3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",199,15.66,0.019999999999999574,1471.0,1302.0,16.91,33
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,8381.0,1330,15.66,8381.0,FAD184,FAD184_F4,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",200,15.66,0.019999999999999574,1238.0,954.0,,37
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,820.7,603.5,15.6,842.0,1834,15.6,842.0,FAD185,FAD185_M4,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",181,15.6,0.08000000000000007,61.0,27.0,48.96,41
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,12118.0,1334,15.66,12118.0,FAD185,FAD185_M4,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",201,15.66,0.019999999999999574,1448.0,1322.0,48.96,41
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,820.7,603.5,15.56,1762.0,1838,15.56,1762.0,FAD189,FAD189_M3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",182,15.56,0.11999999999999922,166.0,158.0,18.44,45
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,792.7,603.5,15.61,24021.0,1338,15.61,24021.0,FAD189,FAD189_M3,WT,dienc,FA18:1,"TG(54:3), TG(55:10)",202,15.61,0.07000000000000028,3254.0,2913.0,18.44,45
"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.74,709.0,1823,15.74,709.0,DOD94,DOD94_F3,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",183,15.74,0.0600000000000005,60.0,60.0,17.22,30
"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.79,8977.0,1323,15.79,8977.0,DOD94,DOD94_F3,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",203,15.79,0.10999999999999943,1382.0,1033.0,17.22,30
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.56,728.0,1827,15.56,728.0,FAD184,FAD184_F3,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",184,15.56,0.11999999999999922,73.0,53.0,24.6,34
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9171.0,1327,15.66,9171.0,FAD184,FAD184_F3,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",204,15.66,0.019999999999999574,1619.0,1304.0,24.6,34
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,792.7,603.5,15.61,4193.0,1331,15.61,4193.0,FAD184,FAD184_F4,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",205,15.61,0.07000000000000028,721.0,639.0,,38
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-7,820.7,603.5,15.56,480.0,1835,15.56,480.0,FAD185,FAD185_M4,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",186,15.56,0.11999999999999922,58.0,34.0,40.35,42
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9855.0,1335,15.66,9855.0,FAD185,FAD185_M4,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",206,15.66,0.019999999999999574,1479.0,1372.0,40.35,42
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,3514.0,1339,15.66,3514.0,FAD189,FAD189_M3,WT,hippo,FA18:1,"TG(54:3), TG(55:10)",207,15.66,0.019999999999999574,515.0,449.0,,46
"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,3356.0,1260,14.46,3356.0,DOD94,DOD94_F3,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",272,14.46,0.019999999999999574,396.0,344.0,,48
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,4175.0,1264,14.46,4175.0,FAD184,FAD184_F3,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",273,14.46,0.019999999999999574,384.0,416.0,,52
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,790.7,601.5,14.5,3439.0,1268,14.5,3439.0,FAD184,FAD184_F4,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",274,14.5,0.019999999999999574,446.0,372.0,,56
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,818.7,601.5,14.4,22476.0,1792,14.4,22476.0,FAD185,FAD185_M4,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",255,14.4,0.08000000000000007,1665.0,1643.0,6.72,60
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,102138.0,1272,14.46,102138.0,FAD185,FAD185_M4,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",275,14.46,0.019999999999999574,11225.0,11034.0,6.72,60
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,818.7,601.5,14.4,2300.0,1796,14.4,2300.0,FAD189,FAD189_M3,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",256,14.4,0.08000000000000007,174.0,164.0,10.09,64
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,17600.0,1276,14.46,17600.0,FAD189,FAD189_M3,WT,cereb,FA18:1,"TG(54:4), TG(55:11)",276,14.46,0.019999999999999574,1774.0,1655.0,10.09,64
"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,790.7,601.5,14.46,5919.0,1261,14.46,5919.0,DOD94,DOD94_F3,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",277,14.46,0.019999999999999574,603.0,587.0,,49
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,818.7,601.5,14.4,2441.0,1785,14.4,2441.0,FAD184,FAD184_F3,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",258,14.4,0.08000000000000007,227.0,200.0,16.37,53
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,790.7,601.5,14.46,34940.0,1265,14.46,34940.0,FAD184,FAD184_F3,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",278,14.46,0.019999999999999574,3364.0,3274.0,16.37,53
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,790.7,601.5,14.5,1457.0,1269,14.5,1457.0,FAD184,FAD184_F4,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",279,14.5,0.019999999999999574,170.0,171.0,,57
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,818.7,601.5,14.4,7481.0,1793,14.4,7481.0,FAD185,FAD185_M4,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",260,14.4,0.08000000000000007,577.0,496.0,12.3,61
"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,790.7,601.5,14.46,67236.0,1273,14.46,67236.0,FAD185,FAD185_M4,WT,cortex,FA18:1,"TG(54:4), TG(55:11)",280,14.46,0.019999999999999574,6368.0,6101.0,12.3,61
