Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
Cer(d18:2/18:1),Cer,12146.300811767578,10604.480773925781,14127.740982055664,12780.820945739746,12970.120922088623,12146.300811767578,10604.480773925781,14127.740982055664,12780.820945739746,12970.120922088623,13146.380958557129,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:2/20:0),Cer,14261.48104095459,13432.280944824219,14738.641052246094,14420.400985717773,14324.70100402832,14261.48104095459,13432.280944824219,14738.641052246094,14420.400985717773,14324.70100402832,13117.260932922363,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:2/20:1),Cer,14096.920989990234,13032.520935058594,15118.180953979492,14093.621055603027,13553.040939331055,14096.920989990234,13032.520935058594,15118.180953979492,14093.621055603027,13553.040939331055,13394.800971984863,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:2/22:0),Cer,14229.121101379395,16638.46100616455,17060.42111968994,16022.141220092773,17116.921173095703,14229.121101379395,16638.46100616455,17060.42111968994,16022.141220092773,17116.921173095703,15907.60107421875,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:0/16:0),Cer,29477.281829833984,31826.221954345703,28925.482147216797,31450.021942138672,32541.78221130371,29477.281829833984,31826.221954345703,28925.482147216797,31450.021942138672,32541.78221130371,26563.801727294922,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/12:0),Cer,19749.761505126953,19880.061569213867,21107.90155029297,21549.761474609375,21084.80142211914,19749.761505126953,19880.061569213867,21107.90155029297,21549.761474609375,21084.80142211914,20952.40155029297,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/14:0),Cer,19182.301193237305,18051.561233520508,20816.121322631836,16755.2412109375,20409.78131866455,19182.301193237305,18051.561233520508,20816.121322631836,16755.2412109375,20409.78131866455,20893.04148864746,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/16:0),Cer,17799.581329345703,18708.22158050537,19981.541175842285,16484.621269226074,19349.54133605957,17799.581329345703,18708.22158050537,19981.541175842285,16484.621269226074,19349.54133605957,15753.34090423584,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/18:0),Cer,23757.74183654785,20599.521461486816,26689.84214782715,17272.101318359375,22108.86154937744,23757.74183654785,20599.521461486816,26689.84214782715,17272.101318359375,22108.86154937744,20610.481567382812,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/20:0),Cer,16581.30125427246,18320.761405944824,17095.06105041504,14222.781028747559,15948.661239624023,16581.30125427246,18320.761405944824,17095.06105041504,14222.781028747559,15948.661239624023,14859.201187133789,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/22:0),Cer,14392.100997924805,15050.681030273438,13666.420791625977,13331.20101928711,14596.760955810547,14392.100997924805,15050.681030273438,13666.420791625977,13331.20101928711,14596.760955810547,14475.721012115479,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
