Lipid,Parent_Ion,Product_Ion,Transition
Cer(d18:0/h17:0),570.5,266.4,570.5 -> 266.4
"Cer(d15:2(4E,6E)/22:0)",578.6,220.4,578.6 -> 220.4
Cer(d18:1/19:0),580.6,264.4,580.6 -> 264.4
Cer(d18:0/19:0),582.6,266.4,582.6 -> 266.4
CerP(d18:1/14:0),590.5,264.4,590.5 -> 264.4
Cer(d18:2/20:1),590.6,262.4,590.6 -> 262.4
Cer(d18:2/20:0),592.6,262.4,592.6 -> 262.4
Cer(d18:1/20:0),594.6,264.4,594.6 -> 264.4
Cer(d18:0/20:0),596.6,266.4,596.6 -> 266.4
Cer(d18:2/21:0),606.6,262.4,606.6 -> 262.4
Cer(d16:1/23:0),608.6,236.4,608.6 -> 236.4
Cer(d18:0/21:0),610.6,266.4,610.6 -> 266.4
CerP(d18:1/16:0),618.5,264.4,618.5 -> 264.4
CerP(d18:0/16:0),620.5,266.4,620.5 -> 266.4
Cer(d18:2/22:0),620.6,262.4,620.6 -> 262.4
Cer(d18:1/22:0),622.6,264.4,622.6 -> 264.4
Cer(d18:0/22:0),624.6,266.4,624.6 -> 266.4
Cer(d18:2/23:0),634.6,262.4,634.6 -> 262.4
Cer(d18:1/23:0),636.6,264.4,636.6 -> 264.4
Cer(d18:0/23:0),638.6,266.4,638.6 -> 266.4
CerP(d18:1/18:0),646.5,264.4,646.5 -> 264.4
Cer(d18:1/24:1(15Z)),648.6,264.4,648.6 -> 264.4
Cer(d18:1/24:0),650.6,264.4,650.6 -> 264.4
Cer(d18:0/24:0),652.7,266.4,652.7 -> 266.4
Cer(d18:2/25:0),662.6,262.4,662.6 -> 262.4
Cer(d18:1/25:0),664.7,264.4,664.7 -> 264.4
Cer(d18:0/25:0),666.7,266.4,666.7 -> 266.4
Cer(d18:0/h24:0),668.7,266.4,668.7 -> 266.4
CerP(d18:1/20:0),674.5,264.4,674.5 -> 264.4
Cer(d18:1/26:1(17Z)),676.7,264.4,676.7 -> 264.4
Cer(d18:1/26:0),678.7,264.4,678.7 -> 264.4
Cer(d18:0/26:0),680.7,266.4,680.7 -> 266.4
Cer(d18:2/27:0),690.7,262.4,690.7 -> 262.4
Cer(d18:1/27:0),692.7,264.4,692.7 -> 264.4
Cer(d18:0/27:0),694.7,266.4,694.7 -> 266.4
Cer(d18:0/h26:0),696.7,266.4,696.7 -> 266.4
CerP(d18:1/22:0),702.6,264.4,702.6 -> 264.4
Cer(d18:2/28:0),704.7,262.4,704.7 -> 262.4
Cer(d18:1/28:0),706.7,264.4,706.7 -> 264.4
Cer(d20:0/26:0),708.7,294.4,708.7 -> 294.4
Cer(d18:2/29:0),718.7,262.4,718.7 -> 262.4
Cer(d18:1/29:0),720.7,264.4,720.7 -> 264.4
Cer(d18:0/29:0),722.7,266.4,722.7 -> 266.4
CerP(d18:1/24:1(15Z)),728.6,264.4,728.6 -> 264.4
CerP(d18:1/24:0),730.6,264.4,730.6 -> 264.4
Cer(d18:2/30:0),732.7,262.4,732.7 -> 262.4
Cer(d18:1/30:0),734.7,264.4,734.7 -> 264.4
Cer(d18:0/30:0),736.8,266.4,736.8 -> 266.4
Cer(d18:1/31:0),748.8,264.4,748.8 -> 264.4
Cer(d18:0/31:0),750.8,266.4,750.8 -> 266.4
CerP(d18:1/26:1(17Z)),756.6,264.4,756.6 -> 264.4
CerP(d18:1/26:0),758.6,264.4,758.6 -> 264.4
Cer(d18:2/32:0),760.8,262.4,760.8 -> 262.4
Cer(d18:1/32:0),762.8,264.4,762.8 -> 264.4
Cer(d18:0/32:0),764.8,266.4,764.8 -> 266.4
Cer(d18:1/33:0),776.8,264.4,776.8 -> 264.4
Cer(d18:1/34:0),790.8,264.4,790.8 -> 264.4
Cer(d18:1/35:0),804.8,264.4,804.8 -> 264.4
1-O-eicosanoyl-Cer(d18:1/16:0),832.8,264.4,832.8 -> 264.4
1-O-behenoyl-Cer(d18:1/16:0),860.8,264.4,860.8 -> 264.4
1-O-tricosanoyl-Cer(d18:1/16:0),874.9,264.4,874.9 -> 264.4
1-O-lignoceroyl-Cer(d18:1/16:0),888.9,264.4,888.9 -> 264.4
1-O-pentacosanoyl-Cer(d18:1/16:0),902.9,264.4,902.9 -> 264.4
1-O-cerotoyl-Cer(d18:1/16:0),916.9,264.4,916.9 -> 264.4
1-O-cerotoyl-Cer(d18:1/18:0),944.9,264.4,944.9 -> 264.4
omega-linoleoyloxy-Cer(d18:1/26:0),956.9,264.4,956.9 -> 264.4
omega-linoleoyloxy-Cer(d18:0/26:0),958.9,266.4,958.9 -> 266.4
omega-linoleoyloxy-Cer(d18:1/27:0),970.9,264.4,970.9 -> 264.4
1-O-carboceroyl-Cer(d18:1/18:0),973.0,264.4,973.0 -> 264.4
omega-linoleoyloxy-Cer(d18:1/28:0),984.9,264.4,984.9 -> 264.4
omega-linoleoyloxy-Cer(d18:0/28:0),986.9,266.4,986.9 -> 266.4
omega-linoleoyloxy-Cer(d18:1/29:0),998.9,264.4,998.9 -> 264.4
omega-linoleoyloxy-Cer(d19:0/28:0),1001.0,280.4,1001.0 -> 280.4
1-O-tricosanoyl-Cer(d18:1/18:0),1001.0,264.4,1001.0 -> 264.4
omega-linoleoyloxy-Cer(d18:2/30:0),1010.9,262.4,1010.9 -> 262.4
omega-linoleoyloxy-Cer(d18:1/30:0),1013.0,264.4,1013.0 -> 264.4
omega-linoleoyloxy-Cer(d18:0/30:0),1015.0,266.4,1015.0 -> 266.4
omega-linoleoyloxy-Cer(d18:2/31:0),1025.0,262.4,1025.0 -> 262.4
omega-linoleoyloxy-Cer(d18:1/31:0),1027.0,264.4,1027.0 -> 264.4
omega-linoleoyloxy-Cer(d18:0/31:0),1029.0,266.4,1029.0 -> 266.4
omega-linoleoyloxy-Cer(d18:2/32:0),1039.0,262.4,1039.0 -> 262.4
omega-linoleoyloxy-Cer(d18:1/32:0),1041.0,264.4,1041.0 -> 264.4
omega-linoleoyloxy-Cer(d18:0/32:0),1043.0,266.4,1043.0 -> 266.4
omega-linoleoyloxy-Cer(d18:1/33:0),1055.0,264.4,1055.0 -> 264.4
omega-linoleoyloxy-Cer(d18:0/33:0),1057.0,266.4,1057.0 -> 266.4
omega-linoleoyloxy-Cer(d18:2/34:0),1067.0,262.4,1067.0 -> 262.4
omega-linoleoyloxy-Cer(d18:1/34:0),1069.0,264.4,1069.0 -> 264.4
omega-linoleoyloxy-Cer(d18:0/34:0),1071.0,266.4,1071.0 -> 266.4
omega-linoleoyloxy-Cer(d19:1/34:0),1083.0,264.4,1083.0 -> 264.4
omega-linoleoyloxy-Cer(d19:0/34:0),1085.1,280.4,1085.1 -> 280.4
omega-linoleoyloxy-Cer(d20:1/34:0),1097.1,292.4,1097.1 -> 292.4
omega-linoleoyloxy-Cer(d21:0/33:0),1099.1,294.4,1099.1 -> 294.4
omega-linoleoyloxy-GlcCer(d18:1/30:0),1175.0,264.4,1175.0 -> 264.4
CAR,162.2,85.1,162.2 -> 85.1
CAR(2:0),204.1,85.1,204.1 -> 85.1
CAR(3:1),216.1,85.1,216.1 -> 85.1
CAR(3:0),218.1,85.1,218.1 -> 85.1
CAR(4:1),230.1,85.1,230.1 -> 85.1
CAR(4:0),232.2,85.1,232.2 -> 85.1
CAR(5:1),244.2,85.1,244.2 -> 85.1
CAR(5:0),246.2,85.1,246.2 -> 85.1
CAR(6:1),258.2,85.1,258.2 -> 85.1
CAR(6:0),260.2,85.1,260.2 -> 85.1
CAR(7:0),274.2,85.1,274.2 -> 85.1
CAR(8:1),286.2,85.1,286.2 -> 85.1
CAR(8:0),288.2,85.1,288.2 -> 85.1
CAR(9:0),302.2,85.1,302.2 -> 85.1
CAR(10:3),310.2,85.1,310.2 -> 85.1
CAR(10:2),312.2,85.1,312.2 -> 85.1
CAR(10:1),314.2,85.1,314.2 -> 85.1
CAR(10:0),316.2,85.1,316.2 -> 85.1
CAR(11:0),330.3,85.1,330.3 -> 85.1
CAR(12:0),344.3,85.1,344.3 -> 85.1
CAR(14:2),368.3,85.1,368.3 -> 85.1
CAR(14:1),370.3,85.1,370.3 -> 85.1
CAR(14:0),372.3,85.1,372.3 -> 85.1
CAR(16:2),396.3,85.1,396.3 -> 85.1
CAR(16:1),398.3,85.1,398.3 -> 85.1
CAR(16:0),400.3,85.1,400.3 -> 85.1
CAR(17:0),414.4,85.1,414.4 -> 85.1
CAR(18:4),420.3,85.1,420.3 -> 85.1
CAR(18:3),422.3,85.1,422.3 -> 85.1
CAR(18:2),424.3,85.1,424.3 -> 85.1
CAR(18:1),426.4,85.1,426.4 -> 85.1
CAR(18:0),428.4,85.1,428.4 -> 85.1
CAR(20:4),448.3,85.1,448.3 -> 85.1
CAR(20:2),452.4,85.1,452.4 -> 85.1
CAR(20:1),454.4,85.1,454.4 -> 85.1
CAR(20:0),456.4,85.1,456.4 -> 85.1
CAR(22:6),472.4,85.1,472.4 -> 85.1
CAR(22:5),474.4,85.1,474.4 -> 85.1
CAR(22:4),476.4,85.1,476.4 -> 85.1
CAR(22:2),480.4,85.1,480.4 -> 85.1
CAR(22:0),484.4,85.1,484.4 -> 85.1
CAR(26:0),540.5,85.1,540.5 -> 85.1
CAR_QUAL,162.2,60.1,162.2 -> 60.1
CAR(2:0)_QUAL,204.1,60.1,204.1 -> 60.1
CAR(3:1)_QUAL,216.1,60.1,216.1 -> 60.1
CAR(3:0)_QUAL,218.1,60.1,218.1 -> 60.1
CAR(4:1)_QUAL,230.1,60.1,230.1 -> 60.1
CAR(4:0)_QUAL,232.2,60.1,232.2 -> 60.1
CAR(5:1)_QUAL,244.2,60.1,244.2 -> 60.1
CAR(5:0)_QUAL,246.2,60.1,246.2 -> 60.1
CAR(6:1)_QUAL,258.2,60.1,258.2 -> 60.1
CAR(6:0)_QUAL,260.2,60.1,260.2 -> 60.1
CAR(7:0)_QUAL,274.2,60.1,274.2 -> 60.1
CAR(8:1)_QUAL,286.2,60.1,286.2 -> 60.1
CAR(8:0)_QUAL,288.2,60.1,288.2 -> 60.1
CAR(9:0)_QUAL,302.2,60.1,302.2 -> 60.1
CAR(10:3)_QUAL,310.2,60.1,310.2 -> 60.1
CAR(10:2)_QUAL,312.2,60.1,312.2 -> 60.1
CAR(10:1)_QUAL,314.2,60.1,314.2 -> 60.1
CAR(10:0)_QUAL,316.2,60.1,316.2 -> 60.1
CAR(11:0)_QUAL,330.3,60.1,330.3 -> 60.1
CAR(12:0)_QUAL,344.3,60.1,344.3 -> 60.1
CAR(14:2)_QUAL,368.3,60.1,368.3 -> 60.1
CAR(14:1)_QUAL,370.3,60.1,370.3 -> 60.1
CAR(14:0)_QUAL,372.3,60.1,372.3 -> 60.1
CAR(16:2)_QUAL,396.3,60.1,396.3 -> 60.1
CAR(16:1)_QUAL,398.3,60.1,398.3 -> 60.1
CAR(16:0)_QUAL,400.3,60.1,400.3 -> 60.1
CAR(17:0)_QUAL,414.4,60.1,414.4 -> 60.1
CAR(18:4)_QUAL,420.3,60.1,420.3 -> 60.1
CAR(18:3)_QUAL,422.3,60.1,422.3 -> 60.1
CAR(18:2)_QUAL,424.3,60.1,424.3 -> 60.1
CAR(18:1)_QUAL,426.4,60.1,426.4 -> 60.1
CAR(18:0)_QUAL,428.4,60.1,428.4 -> 60.1
CAR(20:4)_QUAL,448.3,60.1,448.3 -> 60.1
CAR(20:2)_QUAL,452.4,60.1,452.4 -> 60.1
CAR(20:1)_QUAL,454.4,60.1,454.4 -> 60.1
CAR(20:0)_QUAL,456.4,60.1,456.4 -> 60.1
CAR(22:6)_QUAL,472.4,60.1,472.4 -> 60.1
CAR(22:5)_QUAL,474.4,60.1,474.4 -> 60.1
CAR(22:4)_QUAL,476.4,60.1,476.4 -> 60.1
CAR(22:2)_QUAL,480.4,60.1,480.4 -> 60.1
CAR(22:0)_QUAL,484.4,60.1,484.4 -> 60.1
CAR(26:0)_QUAL,540.5,60.1,540.5 -> 60.1
[TG(37:0)]_FA14:0,670.6,425.4,670.6 -> 425.4
[TG(38:0)]_FA14:0,684.6,439.4,684.6 -> 439.4
[TG(38:1)]_FA14:0,682.6,437.4,682.6 -> 437.4
[TG(39:0)]_FA14:0,698.6,453.4,698.6 -> 453.4
[TG(39:1)]_FA14:0,696.6,451.4,696.6 -> 451.4
[TG(40:0)]_FA14:0,712.6,467.4,712.6 -> 467.4
[TG(40:1)]_FA14:0,710.6,465.4,710.6 -> 465.4
[TG(40:2)]_FA14:0,708.6,463.4,708.6 -> 463.4
[TG(41:0)]_FA14:0,726.7,481.5,726.7 -> 481.5
[TG(41:1)]_FA14:0,724.6,479.4,724.6 -> 479.4
[TG(41:2)]_FA14:0,722.6,477.4,722.6 -> 477.4
[TG(42:0)]_FA14:0,740.7,495.5,740.7 -> 495.5
[TG(42:1)]_FA14:0,738.7,493.5,738.7 -> 493.5
[TG(42:2)]_FA14:0,736.6,491.4,736.6 -> 491.4
[TG(42:3)]_FA14:0,734.6,489.4,734.6 -> 489.4
[TG(42:4)]_FA14:0,732.6,487.4,732.6 -> 487.4
[TG(43:0)]_FA14:0,754.7,509.5,754.7 -> 509.5
[TG(43:1)]_FA14:0,752.7,507.5,752.7 -> 507.5
[TG(43:2)]_FA14:0,750.7,505.5,750.7 -> 505.5
[TG(43:3)]_FA14:0,748.6,503.4,748.6 -> 503.4
[TG(43:4)]_FA14:0,746.6,501.4,746.6 -> 501.4
"[TG(44:0),TG(O-45:0)]_FA14:0",768.7,523.5,768.7 -> 523.5
[TG(44:1)]_FA14:0,766.7,521.5,766.7 -> 521.5
[TG(44:2)]_FA14:0,764.7,519.5,764.7 -> 519.5
[TG(44:3)]_FA14:0,762.7,517.5,762.7 -> 517.5
[TG(44:4)]_FA14:0,760.6,515.4,760.6 -> 515.4
[TG(44:5)]_FA14:0,758.6,513.4,758.6 -> 513.4
[TG(45:0)]_FA14:0,782.7,537.5,782.7 -> 537.5
[TG(45:1)]_FA14:0,780.7,535.5,780.7 -> 535.5
[TG(45:2)]_FA14:0,778.7,533.5,778.7 -> 533.5
[TG(45:3)]_FA14:0,776.7,531.5,776.7 -> 531.5
[TG(45:4)]_FA14:0,774.7,529.5,774.7 -> 529.5
[TG(45:5)]_FA14:0,772.6,527.4,772.6 -> 527.4
[TG(46:0)]_FA14:0,796.7,551.5,796.7 -> 551.5
[TG(46:1)]_FA14:0,794.7,549.5,794.7 -> 549.5
[TG(46:2)]_FA14:0,792.7,547.5,792.7 -> 547.5
[TG(46:3)]_FA14:0,790.7,545.5,790.7 -> 545.5
[TG(46:4)]_FA14:0,788.7,543.5,788.7 -> 543.5
[TG(46:5)]_FA14:0,786.7,541.5,786.7 -> 541.5
[TG(46:6)]_FA14:0,784.6,539.4,784.6 -> 539.4
[TG(47:2)]_FA14:0,806.7,561.5,806.7 -> 561.5
[TG(47:3)]_FA14:0,804.7,559.5,804.7 -> 559.5
[TG(47:4)]_FA14:0,802.7,557.5,802.7 -> 557.5
[TG(47:5)]_FA14:0,800.7,555.5,800.7 -> 555.5
[TG(47:6)]_FA14:0,798.7,553.5,798.7 -> 553.5
[TG(48:2)]_FA14:0,820.7,575.5,820.7 -> 575.5
[TG(48:3)]_FA14:0,818.7,573.5,818.7 -> 573.5
[TG(48:4)]_FA14:0,816.7,571.5,816.7 -> 571.5
[TG(48:5)]_FA14:0,814.7,569.5,814.7 -> 569.5
[TG(48:6)]_FA14:0,812.7,567.5,812.7 -> 567.5
"[TG(48:7),TG(47:0)]_FA14:0",810.8,565.6,810.8 -> 565.6
"[TG(48:8),TG(47:1)]_FA14:0",808.7,563.5,808.7 -> 563.5
[TG(49:3)]_FA14:0,832.7,587.5,832.7 -> 587.5
[TG(49:4)]_FA14:0,830.7,585.5,830.7 -> 585.5
[TG(49:5)]_FA14:0,828.7,583.5,828.7 -> 583.5
[TG(49:6)]_FA14:0,826.7,581.5,826.7 -> 581.5
"[TG(49:7),TG(48:0)]_FA14:0",824.8,579.6,824.8 -> 579.6
"[TG(49:8),TG(48:1)]_FA14:0",822.8,577.6,822.8 -> 577.6
[TG(50:3)]_FA14:0,846.8,601.6,846.8 -> 601.6
[TG(50:4)]_FA14:0,844.7,599.5,844.7 -> 599.5
[TG(50:6)]_FA14:0,840.7,595.5,840.7 -> 595.5
"[TG(50:7),TG(49:0)]_FA14:0",838.8,593.6,838.8 -> 593.6
"[TG(50:8),TG(49:1)]_FA14:0",836.8,591.6,836.8 -> 591.6
"[TG(50:9),TG(49:2)]_FA14:0",834.8,589.6,834.8 -> 589.6
[TG(51:4)]_FA14:0,858.8,613.6,858.8 -> 613.6
[TG(51:5)]_FA14:0,856.7,611.5,856.7 -> 611.5
[TG(51:6)]_FA14:0,854.7,609.5,854.7 -> 609.5
"[TG(51:7),TG(50:0)]_FA14:0",852.8,607.6,852.8 -> 607.6
"[TG(51:8),TG(50:1)]_FA14:0",850.8,605.6,850.8 -> 605.6
"[TG(51:9),TG(50:2)]_FA14:0",848.8,603.6,848.8 -> 603.6
"[TG(52:10),TG(51:3)]_FA14:0",860.8,615.6,860.8 -> 615.6
[TG(52:4)]_FA14:0,872.8,627.6,872.8 -> 627.6
[TG(52:6)]_FA14:0,868.7,623.5,868.7 -> 623.5
"[TG(52:7),TG(51:0)]_FA14:0",866.8,621.6,866.8 -> 621.6
"[TG(52:8),TG(51:1)]_FA14:0",864.8,619.6,864.8 -> 619.6
"[TG(52:9),TG(51:2)]_FA14:0",862.8,617.6,862.8 -> 617.6
[TG(53:6)]_FA14:0,882.8,637.6,882.8 -> 637.6
"[TG(53:7),TG(52:0)]_FA14:0",880.8,635.6,880.8 -> 635.6
"[TG(53:8),TG(52:1)]_FA14:0",878.8,633.6,878.8 -> 633.6
"[TG(53:9),TG(52:2)]_FA14:0",876.8,631.6,876.8 -> 631.6
"[TG(54:12),TG(53:5)]_FA14:0",884.8,639.6,884.8 -> 639.6
"[TG(54:7),TG(53:0)]_FA14:0",894.8,649.6,894.8 -> 649.6
"[TG(55:7),TG(54:0)]_FA14:0",908.9,663.7,908.9 -> 663.7
"[TG(56:10),TG(55:3)]_FA14:0",916.8,671.6,916.8 -> 671.6
"[TG(56:11),TG(55:4)]_FA14:0",914.8,669.6,914.8 -> 669.6
"[TG(56:12),TG(55:5)]_FA14:0",912.8,667.6,912.8 -> 667.6
"[TG(56:13),TG(55:6)]_FA14:0",910.8,665.6,910.8 -> 665.6
[TG(56:6)]_FA14:0,924.8,679.6,924.8 -> 679.6
"[TG(56:7),TG(55:0)]_FA14:0",922.9,677.7,922.9 -> 677.7
"[TG(56:8),TG(55:1)]_FA14:0",920.9,675.7,920.9 -> 675.7
"[TG(57:10),TG(56:3)]_FA14:0",930.8,685.6,930.8 -> 685.6
"[TG(57:11),TG(56:4)]_FA14:0",928.8,683.6,928.8 -> 683.6
"[TG(57:12),TG(56:5)]_FA14:0",926.8,681.6,926.8 -> 681.6
"[TG(57:8),TG(56:1)]_FA14:0",934.9,689.7,934.9 -> 689.7
"[TG(57:9),TG(56:2)]_FA14:0",932.9,687.7,932.9 -> 687.7
"[TG(58:10),TG(57:3)]_FA14:0",944.9,699.7,944.9 -> 699.7
"[TG(58:11),TG(57:4)]_FA14:0",942.8,697.6,942.8 -> 697.6
"[TG(58:12),TG(57:5)]_FA14:0",940.8,695.6,940.8 -> 695.6
"[TG(58:13),TG(57:6)]_FA14:0",938.8,693.6,938.8 -> 693.6
"[TG(58:14),TG(57:7),TG(56:0)]_FA14:0",936.9,691.7,936.9 -> 691.7
"[TG(58:8),TG(57:1)]_FA14:0",948.9,703.7,948.9 -> 703.7
"[TG(58:9),TG(57:2)]_FA14:0",946.9,701.7,946.9 -> 701.7
"[TG(59:10),TG(58:3)]_FA14:0",958.9,713.7,958.9 -> 713.7
"[TG(59:11),TG(58:4)]_FA14:0",956.9,711.7,956.9 -> 711.7
"[TG(59:12),TG(58:5)]_FA14:0",954.8,709.6,954.8 -> 709.6
"[TG(59:13),TG(58:6)]_FA14:0",952.8,707.6,952.8 -> 707.6
"[TG(59:9),TG(58:2)]_FA14:0",960.9,715.7,960.9 -> 715.7
"[TG(60:10),TG(59:3)]_FA14:0",972.9,727.7,972.9 -> 727.7
"[TG(60:11),TG(59:4)]_FA14:0",970.9,725.7,970.9 -> 725.7
"[TG(60:12),TG(59:5)]_FA14:0",968.9,723.7,968.9 -> 723.7
"[TG(60:13),TG(59:6)]_FA14:0",966.8,721.6,966.8 -> 721.6
"[TG(60:14),TG(59:7),TG(58:0)]_FA14:0",964.9,719.7,964.9 -> 719.7
"[TG(60:15),TG(59:8),TG(58:1)]_FA14:0",962.9,717.7,962.9 -> 717.7
"[TG(60:8),TG(59:1)]_FA14:0",976.9,731.7,976.9 -> 731.7
"[TG(60:9),TG(59:2)]_FA14:0",974.9,729.7,974.9 -> 729.7
"[TG(61:10),TG(60:3)]_FA14:0",986.9,741.7,986.9 -> 741.7
"[TG(61:11),TG(60:4)]_FA14:0",984.9,739.7,984.9 -> 739.7
"[TG(61:12),TG(60:5)]_FA14:0",982.9,737.7,982.9 -> 737.7
"[TG(61:13),TG(60:6)]_FA14:0",980.9,735.7,980.9 -> 735.7
"[TG(61:14),TG(60:7),TG(59:0)]_FA14:0",978.9,733.7,978.9 -> 733.7
"[TG(62:10),TG(61:3)]_FA14:0",1000.9,755.7,1000.9 -> 755.7
"[TG(62:11),TG(61:4)]_FA14:0",998.9,753.7,998.9 -> 753.7
"[TG(62:12),TG(61:5)]_FA14:0",996.9,751.7,996.9 -> 751.7
"[TG(62:13),TG(61:6)]_FA14:0",994.9,749.7,994.9 -> 749.7
"[TG(62:14),TG(61:7),TG(60:0)]_FA14:0",993.0,747.8,993.0 -> 747.8
"[TG(62:15),TG(61:8),TG(60:1)]_FA14:0",990.9,745.7,990.9 -> 745.7
"[TG(62:16),TG(61:9),TG(60:2)]_FA14:0",988.9,743.7,988.9 -> 743.7
"[TG(62:7),TG(61:0)]_FA14:0",1007.0,761.8,1007.0 -> 761.8
"[TG(62:8),TG(61:1)]_FA14:0",1005.0,759.8,1005.0 -> 759.8
"[TG(62:9),TG(61:2)]_FA14:0",1002.9,757.7,1002.9 -> 757.7
"[TG(63:11),TG(62:4)]_FA14:0",1012.9,767.7,1012.9 -> 767.7
"[TG(63:12),TG(62:5)]_FA14:0",1010.9,765.7,1010.9 -> 765.7
"[TG(63:13),TG(62:6)]_FA14:0",1008.9,763.7,1008.9 -> 763.7
"[TG(64:10),TG(63:3)]_FA14:0",1029.0,783.8,1029.0 -> 783.8
"[TG(64:11),TG(63:4)]_FA14:0",1026.9,781.7,1026.9 -> 781.7
"[TG(64:12),TG(63:5)]_FA14:0",1024.9,779.7,1024.9 -> 779.7
"[TG(64:13),TG(63:6)]_FA14:0",1022.9,777.7,1022.9 -> 777.7
"[TG(64:14),TG(63:7),TG(62:0)]_FA14:0",1021.0,775.8,1021.0 -> 775.8
"[TG(64:15),TG(63:8),TG(62:1)]_FA14:0",1019.0,773.8,1019.0 -> 773.8
"[TG(64:16),TG(63:9),TG(62:2)]_FA14:0",1017.0,771.8,1017.0 -> 771.8
"[TG(64:17),TG(63:10),TG(62:3)]_FA14:0",1014.9,769.7,1014.9 -> 769.7
[TG(64:6)]_FA14:0,1036.9,791.7,1036.9 -> 791.7
"[TG(64:7),TG(63:0)]_FA14:0",1035.0,789.8,1035.0 -> 789.8
"[TG(64:8),TG(63:1)]_FA14:0",1033.0,787.8,1033.0 -> 787.8
"[TG(64:9),TG(63:2)]_FA14:0",1031.0,785.8,1031.0 -> 785.8
[TG(65:0)]_FA14:0,1063.0,817.8,1063.0 -> 817.8
"[TG(65:12),TG(64:5)]_FA14:0",1038.9,793.7,1038.9 -> 793.7
[TG(66:0)]_FA14:0,1077.1,831.9,1077.1 -> 831.9
[TG(66:1)]_FA14:0,1075.0,829.8,1075.0 -> 829.8
"[TG(66:10),TG(65:3)]_FA14:0",1057.0,811.8,1057.0 -> 811.8
"[TG(66:11),TG(65:4)]_FA14:0",1055.0,809.8,1055.0 -> 809.8
"[TG(66:12),TG(65:5)]_FA14:0",1053.0,807.8,1053.0 -> 807.8
"[TG(66:13),TG(65:6)]_FA14:0",1050.9,805.7,1050.9 -> 805.7
"[TG(66:14),TG(65:7),TG(64:0)]_FA14:0",1049.0,803.8,1049.0 -> 803.8
"[TG(66:15),TG(65:8),TG(64:1)]_FA14:0",1047.0,801.8,1047.0 -> 801.8
"[TG(66:16),TG(65:9),TG(64:2)]_FA14:0",1045.0,799.8,1045.0 -> 799.8
"[TG(66:17),TG(65:10),TG(64:3)]_FA14:0",1043.0,797.8,1043.0 -> 797.8
"[TG(66:18),TG(65:11),TG(64:4)]_FA14:0",1041.0,795.8,1041.0 -> 795.8
[TG(66:2)]_FA14:0,1073.0,827.8,1073.0 -> 827.8
[TG(66:3)]_FA14:0,1071.0,825.8,1071.0 -> 825.8
[TG(66:4)]_FA14:0,1069.0,823.8,1069.0 -> 823.8
[TG(66:5)]_FA14:0,1067.0,821.8,1067.0 -> 821.8
[TG(66:6)]_FA14:0,1065.0,819.8,1065.0 -> 819.8
[TG(66:7)]_FA14:0,1062.9,817.7,1062.9 -> 817.7
"[TG(66:8),TG(65:1)]_FA14:0",1061.0,815.8,1061.0 -> 815.8
"[TG(66:9),TG(65:2)]_FA14:0",1059.0,813.8,1059.0 -> 813.8
[TG(50:5)]_FA14:0,842.7,597.5,842.7 -> 597.5
[TG(52:5)]_FA14:0,870.8,625.6,870.8 -> 625.6
"[TG(53:10),TG(52:3)]_FA14:0",874.8,629.6,874.8 -> 629.6
"[TG(54:10),TG(53:3)]_FA14:0",888.8,643.6,888.8 -> 643.6
"[TG(54:11),TG(53:4)]_FA14:0",886.8,641.6,886.8 -> 641.6
[TG(54:5)]_FA14:0,898.8,653.6,898.8 -> 653.6
[TG(54:6)]_FA14:0,896.8,651.6,896.8 -> 651.6
"[TG(54:8),TG(53:1)]_FA14:0",892.8,647.6,892.8 -> 647.6
"[TG(54:9),TG(53:2)]_FA14:0",890.8,645.6,890.8 -> 645.6
"[TG(55:10),TG(54:3)]_FA14:0",902.8,657.6,902.8 -> 657.6
"[TG(55:11),TG(54:4)]_FA14:0",900.8,655.6,900.8 -> 655.6
"[TG(55:8),TG(54:1)]_FA14:0",906.8,661.6,906.8 -> 661.6
"[TG(55:9),TG(54:2)]_FA14:0",904.8,659.6,904.8 -> 659.6
"[TG(56:9),TG(55:2)]_FA14:0",918.8,673.6,918.8 -> 673.6
"[TG(58:7),TG(57:0)]_FA14:0",950.9,705.7,950.9 -> 705.7
[TG(37:0)]_FA16:0,670.6,397.3,670.6 -> 397.3
[TG(38:0)]_FA16:0,684.6,411.3,684.6 -> 411.3
[TG(38:1)]_FA16:0,682.6,409.3,682.6 -> 409.3
[TG(39:0)]_FA16:0,698.6,425.3,698.6 -> 425.3
[TG(39:1)]_FA16:0,696.6,423.3,696.6 -> 423.3
[TG(40:0)]_FA16:0,712.6,439.3,712.6 -> 439.3
[TG(40:1)]_FA16:0,710.6,437.3,710.6 -> 437.3
[TG(40:2)]_FA16:0,708.6,435.3,708.6 -> 435.3
[TG(41:0)]_FA16:0,726.7,453.4,726.7 -> 453.4
[TG(41:1)]_FA16:0,724.6,451.3,724.6 -> 451.3
[TG(41:2)]_FA16:0,722.6,449.3,722.6 -> 449.3
[TG(42:0)]_FA16:0,740.7,467.4,740.7 -> 467.4
[TG(42:1)]_FA16:0,738.7,465.4,738.7 -> 465.4
[TG(42:2)]_FA16:0,736.6,463.3,736.6 -> 463.3
[TG(42:3)]_FA16:0,734.6,461.3,734.6 -> 461.3
[TG(42:4)]_FA16:0,732.6,459.3,732.6 -> 459.3
[TG(43:0)]_FA16:0,754.7,481.4,754.7 -> 481.4
[TG(43:1)]_FA16:0,752.7,479.4,752.7 -> 479.4
