Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1239495.3037109375,1246068.6086425781,1313484.6853027344,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,585695.0806884766,473914.73474121094,214888.3358154297,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,591302.220703125,470726.4147949219,206285.61291503906,774650.533203125,688702.3489990234,246157.97802734375,310572.0031738281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,399111.8679199219,371012.6671142578,143911.17016601562,414108.26794433594,387061.1658935547,159229.2709350586,336350.2844238281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,397876.28942871094,374258.9852294922,143833.49053955078,419701.06994628906,395618.7508544922,162763.43139648438,332064.9237060547,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,718330.4713134766,585737.4237060547,297018.6400756836,603714.2861328125,607590.48828125,299902.3406982422,532591.3153076172,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,331318.5635986328,305953.5029296875,136850.70935058594,346226.2841796875,322671.5235595703,153372.83123779297,281844.6805419922,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,353973.44651794434,347179.2874908447,132554.4094543457,355207.22428894043,350653.64825439453,149925.87145996094,433173.92571258545,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,744792.4973754883,726792.6704101562,239452.2180480957,768802.1929626465,717188.4313659668,274553.0383682251,911030.2897338867,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,328048.70728302,321248.46086883545,65602.16407394409,472356.95237731934,330720.66106414795,102224.66787719727,105651.5481300354,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,273860.9999847412,198562.29412078857,90103.56624221802,491573.2315979004,408879.0844268799,132412.4898223877,79871.64535522461,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
