Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
LPE(20:4),PE(38:5),LPE,PE,254531,LPCAT4,26,1.7223431203605366,0.10185148587664458,1.6359431507198954
LPG(20:4) ,PG(40:5),LPG,PG,54675,CRLS1,32,-1.1946367122824344,0.2419349293633855,1.1701641187234881
PC(44:5),LPC(20:5),PC,LPC,64600,PLA2G2F,23,1.1758803175688286,0.254104916454893,1.1404354846848554
PS(42:9),LPS(20:5) ,PS,LPS,5320,PLA2G2A,31,0.03907279710382,0.9691131120303909,0.03872064674437035
PC(44:5),LPC(18:4),PC,LPC,5320,PLA2G2A,23,1.2985163621195126,0.20769660712321092,1.2599244791021258
PC(36:0) ,LPC(10:0),PC,LPC,5321,PLA2G4A,23,0.6890985163253631,0.49803585237609604,0.6775834343955975
LPE(17:1),PE(32:1),LPE,PE,254531,LPCAT4,26,2.1449012670464014,0.0447817317614125,2.0066989137873583
LPE(22:0),PE(38:0)_2,LPE,PE,129642,MBOAT2,26,0.768101935122036,0.44869123108159337,0.7575987460677582
LPE(14:0),PE(36:1),LPE,PE,254531,LPCAT4,26,0.38500244464250205,0.7030853502327802,0.38115889197232417
PC(42:5),LPC(22:4),PC,LPC,26279,PLA2G2D,23,-0.350045472211702,0.7310118146920286,0.3437799036301621
PC(34:3),LPC(16:0),PC,LPC,30814,PLA2G2E,23,-0.11151507711699035,0.9119765750111246,0.11054574232070212
PC(38:0),LPC(22:1),PC,LPC,123745,PLA2G4E,23,-0.9316628688058947,0.3620074984224967,0.9115464965753547
LPC(20:4),PC(38:5),LPC,PC,254531,LPCAT4,22,0.40936040889243774,0.685449024065895,0.40503875482685037
PE(38:7),LPE(14:1),PE,LPE,8605,PLA2G4C,27,2.2376844226529227,0.03403849446619876,2.119615378957225
PC(34:0),LPC(12:0),PC,LPC,26279,PLA2G2D,23,0.5498973412210163,0.5880170772180822,0.5417117743554446
PS(36:6),LPS(18:4)_2,PS,LPS,5320,PLA2G2A,31,-0.7496197412202389,0.4601649105048553,0.7385753276862621
PC(40:0),LPC(24:1),PC,LPC,123745,PLA2G4E,23,0.2647432320758036,0.7935778288478753,0.2616674612151506
Cer1P(40:1),SM(40:1),Cer,SM,10087,CERT1,17,0.6279634112318331,0.5357764193114632,0.619212437606262
PI(30:0),LPI(16:1) ,PI,LPI,123745,PLA2G4E,29,0.6055700343798599,0.5502411598740715,0.5973987922902648
PS(34:4),LPS(20:4) ,PS,LPS,64600,PLA2G2F,31,-1.7370348263887385,0.09356500976872328,1.6768848063320747
PC(42:8),LPC(18:3),PC,LPC,5321,PLA2G4A,23,1.2582733463900477,0.22377542069188572,1.2165501461144632
PC(36:2),LPC(22:1),PC,LPC,255189,PLA2G4F,23,-0.44097805541767826,0.6637049449673404,0.43480366425851574
LPE(22:2),PE(42:2),LPE,PE,254531,LPCAT4,26,0.980410011934877,0.33514124664558687,0.9638098913993504
PC(40:2),PS(28:2),PC,PS,9791,PTDSS1,9,1.277358998021949,0.2139863756310849,1.2426783755080018
PC(32:3),PS(44:4),PC,PS,9791,PTDSS1,9,0.44992696789053915,0.656509785324603,0.4447370579606429
LPC(16:1),PC(38:1),LPC,PC,54947,LPCAT2,22,0.8825525378018071,0.38506225399627403,0.8686067631809468
PS(42:3),PE(22:0),PS,PE,23761,PISD,6,-0.48846664871358997,0.6302434987019847,0.4813841511647986
LPE(13:0),PE(30:1),LPE,PE,154141,MBOAT1,26,-0.33917092393143605,0.7375766816794894,0.33506416822643353
LPE(18:1),PE(36:0),LPE,PE,129642,MBOAT2,26,0.569679251777301,0.5735821896539063,0.5627836872929517
PC(32:3),LPC(20:2),PC,LPC,5321,PLA2G4A,23,0.6596985591671741,0.5162009619958766,0.649212610235716
PC(36:1),LPC(12:0),PC,LPC,30814,PLA2G2E,23,0.4194722718120186,0.6784291368356422,0.4146076639749724
LPS(20:1) ,PS(36:0),LPS,PS,154141,MBOAT1,30,0.1575922140778307,0.8763330328995049,0.15561939918696022
PC(30:1),LPC(18:2),PC,LPC,30814,PLA2G2E,23,0.22665993292269784,0.8223216880782953,0.2245598681404147
PS(40:1),LPS(16:1) ,PS,LPS,5320,PLA2G2A,31,0.4017670531338066,0.6915406661082084,0.3967651309794709
PC(44:4),LPC(22:0),PC,LPC,123745,PLA2G4E,23,-0.5228068114316649,0.6075017933583713,0.5136427381705493
LPC(18:2),PC(36:2),LPC,PC,79888,LPCAT1,22,0.3636958179661263,0.7188463260268501,0.36000107985346336
LPC(2:0),PC(30:0),LPC,PC,54947,LPCAT2,22,0.7217683876410133,0.47633119239219324,0.7122157386838198
LPC(22:5),PC(44:0),LPC,PC,10162,LPCAT3,22,0.8305664640534512,0.4132241000027428,0.8182330967941821
PE(16:1),PS(30:1),PE,PS,81490,PTDSS2,7,-0.9729977483704334,0.33994481303925506,0.9542743008843524
SM(34:0),Cer1P(20:1),SM,Cer,6609,SMPD1,18,0.20673249929310492,0.8377460575497812,0.20477738396362408
LPC(18:2),PC(40:8),LPC,PC,10162,LPCAT3,22,0.4664694661230826,0.6444416362934056,0.4614976091845481
LPC(22:0),PC(52:0),LPC,PC,10162,LPCAT3,22,1.0176116058053568,0.3175738538242058,0.9994559789238525
PE(20:1),PS(40:5),PE,PS,81490,PTDSS2,7,-1.6642725126046523,0.11952956009222417,1.5567512310392684
LPC(20:5),PC(44:6),LPC,PC,79888,LPCAT1,22,-0.4877576286248512,0.629473753556061,0.4824676786250355
LPC(20:2),PC(42:7),LPC,PC,10162,LPCAT3,22,-0.9778799825889855,0.3362246376580249,0.9616516093360045
PC(42:10),LPC(22:5),PC,LPC,255189,PLA2G4F,23,-0.48907764586924896,0.6320777766010974,0.4788044134970999
