Lipid,Class,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_cortex ,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex ,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(16:1)_QUAL,CAR,758423.3161010742,702866.0491104126,721346.4516448975,749253.8325424194,812565.5787582397,745121.470867157,735076.952545166,706428.0680923462,703302.6930923462,698302.7676239014,754551.427898407,681140.4275474548,740003.9345703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,243046.63777923584,234065.51695632935,242045.73767089844,241021.6171951294,235517.69748687744,235195.55652236938,232855.4962463379,233346.37580871582,251063.47832870483,250200.19537734985,248387.97706222534,231382.07596588135,256414.337890625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,701309.7100067139,672190.4879722595,716002.735786438,718702.731842041,733708.4512557983,735353.2536010742,684801.8274307251,666488.748249054,688396.1675071716,662673.0277786255,689735.8322143555,647718.7468833923,720453.970703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1353571.8726654053,1323412.7336769104,1272498.4499282837,1298430.0461006165,1295091.9070358276,1256010.5886001587,1300291.628364563,1303440.0905532837,1404791.521724701,1353126.6807861328,1350500.256099701,1342317.3182106018,1142501.9833984375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,539171.1168403625,524084.7597351074,537797.8213729858,544247.1184806824,535650.5117263794,544579.76039505,540114.2405166626,537445.2820396423,565967.7417640686,562570.2406730652,566670.0461387634,534958.2737159729,595367.421875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3212707.112350464,3152338.077976227,3266554.9107894897,3125446.2456321716,3156970.6100082397,3206437.527507782,3147100.541255951,3154476.9831314087,3499383.6750068665,3499921.774066925,3332275.1471939087,3232710.5621910095,3204698.263671875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,702674.0927810669,680055.5681686401,704641.5527000427,686212.0269203186,682358.8477783203,692955.5866088867,700399.5262145996,686706.8727798462,733856.613407135,747540.3379364014,733271.0139122009,697593.447933197,760985.4560546875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3163711.5511016846,3117355.4632873535,3209502.482975006,3032631.7442245483,3061767.8464126587,3135661.8673477173,3129870.37625885,3137405.0901641846,3355950.292663574,3367397.8403167725,3248227.794692993,3200600.482662201,3208659.5,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,684254.9703979492,652836.6096572876,680631.1444206238,667999.2667655945,659237.9448890686,674752.2475852966,681394.0701217651,664495.7871170044,728707.2491493225,712744.3495368958,684351.1671180725,681471.0283279419,735194.3125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3233295.9546928406,3154983.2973480225,3293080.086883545,3117305.6686019897,3153841.6593818665,3227121.770629883,3171208.575946808,3208946.618911743,3450073.6081314087,3490407.8237571716,3378507.9884414673,3287624.5207862854,3252238.28515625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,657429.1837158203,637167.9860610962,664824.4467277527,647105.3828582764,646209.2857894897,656226.0102424622,658525.7477798462,626037.9048919678,708036.3482475281,696330.5928192139,673538.2653198242,644688.2028961182,725255.8544921875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
