,Unnamed: 0,Unnamed: 0.1,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1.1,n-7,n-9,n-10,n-12,db_pos
488,626,103192,,[TG(52:5)]_FA16:1,586.0,788.7,599.5,10.77,11292023_FAD189_M2_5xFAD_cereb_O3on_01,788.7 -> 599.5,3413280,706.7,678.7,664.7,636.7,n-7
460,598,102629,,[TG(52:6)]_FA18:2,1368.0,786.7,597.5,10.77,11292023_FAD189_M2_5xFAD_cereb_O3on_01,786.7 -> 597.5,3412717,704.7,676.7,662.7,634.7,n-7
463,601,102629,,[TG(54:6)]_FA18:1,1368.0,786.7,597.5,10.77,11292023_FAD189_M2_5xFAD_cereb_O3on_01,786.7 -> 597.5,3412717,704.7,676.7,662.7,634.7,n-9
495,632,187644,,[TG(52:5)]_FA16:1,325.0,788.7,599.5,10.9,11292023_FAD189_M2_5xFAD_cortex_O3on_01,788.7 -> 599.5,3497732,706.7,678.7,664.7,636.7,n-7
502,638,272092,,[TG(52:5)]_FA16:1,379.0,788.7,599.5,10.86,11292023_FAD189_M2_5xFAD_dienc_O3on_01,788.7 -> 599.5,3582180,706.7,678.7,664.7,636.7,n-7
522,644,407217,,[TG(45:3)]_FA16:1,1175.0,624.5,505.4,11.14,12012023_DOD73_M2_5xFAD_liver_O3on_01,624.5 -> 505.4,3717305,542.5,514.5,500.5,472.5,n-12
527,661,411729,,[TG(45:3)]_FA16:1,1311.0,694.6,505.4,11.5,12012023_DOD73_M2_5xFAD_liver_O3on_01,694.6 -> 505.4,3721817,612.6,584.6,570.6,542.6,n-7
509,649,411166,,[TG(45:4)]_FA16:1,1287.0,692.6,503.4,11.5,12012023_DOD73_M2_5xFAD_liver_O3on_01,692.6 -> 503.4,3721254,610.6,582.6,568.6,540.6,n-7
570,666,777,,[TG(52:5)]_FA16:1,2991.0,718.6,599.5,11.23,12012023_DOD73_M2_5xFAD_liver_O3on_01,718.6 -> 599.5,3724626,636.6,608.6,594.6,566.6,n-12
582,713,27807,,[TG(52:5)]_FA16:1,5105.0,788.7,599.5,11.48,12012023_DOD73_M2_5xFAD_liver_O3on_01,788.7 -> 599.5,3751656,706.7,678.7,664.7,636.7,n-7
