TG 46:2_OZONE_DB_Position_N12	792.7->944.9
TG 46:2_OZONE_DB_Position_N13	792.7->958.9
TG 46:2_OZONE_DB_Position_N14	792.7->972.9
TG 46:2_OZONE_DB_Position_N15	792.7->986.9
TG 46:2_OZONE_DB_Position_N16	792.7->1001
TG 46:2_OZONE_DB_Position_N17	792.7->1015
TG 46:3	790.7->491.5
TG 46:3_OZONE_DB_Position_N1	790.7->788.7
TG 46:3_OZONE_DB_Position_N2	790.7->802.7
TG 46:3_OZONE_DB_Position_N3	790.7->816.7
TG 46:3_OZONE_DB_Position_N4	790.7->830.8
TG 46:3_OZONE_DB_Position_N5	790.7->844.8
TG 46:3_OZONE_DB_Position_N6	790.7->858.8
TG 46:3_OZONE_DB_Position_N7	790.7->872.8
TG 46:3_OZONE_DB_Position_N8	790.7->886.8
TG 46:3_OZONE_DB_Position_N9	790.7->900.8
TG 46:3_OZONE_DB_Position_N10	790.7->914.9
TG 46:3_OZONE_DB_Position_N11	790.7->928.9
TG 46:3_OZONE_DB_Position_N12	790.7->942.9
TG 46:3_OZONE_DB_Position_N13	790.7->956.9
TG 46:3_OZONE_DB_Position_N14	790.7->970.9
TG 46:3_OZONE_DB_Position_N15	790.7->984.9
TG 46:3_OZONE_DB_Position_N16	790.7->998.9
TG 46:3_OZONE_DB_Position_N17	790.7->1013
TG 46:4	788.7->489.5
TG 46:4_OZONE_DB_Position_N1	788.7->786.7
TG 46:4_OZONE_DB_Position_N2	788.7->800.7
TG 46:4_OZONE_DB_Position_N3	788.7->814.7
TG 46:4_OZONE_DB_Position_N4	788.7->828.7
TG 46:4_OZONE_DB_Position_N5	788.7->842.8
TG 46:4_OZONE_DB_Position_N6	788.7->856.8
TG 46:4_OZONE_DB_Position_N7	788.7->870.8
TG 46:4_OZONE_DB_Position_N8	788.7->884.8
TG 46:4_OZONE_DB_Position_N9	788.7->898.8
TG 46:4_OZONE_DB_Position_N10	788.7->912.8
TG 46:4_OZONE_DB_Position_N11	788.7->926.9
TG 46:4_OZONE_DB_Position_N12	788.7->940.9
TG 46:4_OZONE_DB_Position_N13	788.7->954.9
TG 46:4_OZONE_DB_Position_N14	788.7->968.9
TG 46:4_OZONE_DB_Position_N15	788.7->982.9
TG 46:4_OZONE_DB_Position_N16	788.7->996.9
TG 46:4_OZONE_DB_Position_N17	788.7->1010.9
TG 46:5	786.7->487.5
TG 46:5_OZONE_DB_Position_N1	786.7->784.7
TG 46:5_OZONE_DB_Position_N2	786.7->798.7
TG 46:5_OZONE_DB_Position_N3	786.7->812.7
TG 46:5_OZONE_DB_Position_N4	786.7->826.7
TG 46:5_OZONE_DB_Position_N5	786.7->840.7
TG 46:5_OZONE_DB_Position_N6	786.7->854.8
TG 46:5_OZONE_DB_Position_N7	786.7->868.8
TG 46:5_OZONE_DB_Position_N8	786.7->882.8
TG 46:5_OZONE_DB_Position_N9	786.7->896.8
TG 46:5_OZONE_DB_Position_N10	786.7->910.8
TG 46:5_OZONE_DB_Position_N11	786.7->924.8
TG 46:5_OZONE_DB_Position_N12	786.7->938.9
TG 46:5_OZONE_DB_Position_N13	786.7->952.9
TG 46:5_OZONE_DB_Position_N14	786.7->966.9
TG 46:5_OZONE_DB_Position_N15	786.7->980.9
TG 46:5_OZONE_DB_Position_N16	786.7->994.9
TG 46:5_OZONE_DB_Position_N17	786.7->1008.9
TG 46:6	784.7->485.5
TG 46:6_OZONE_DB_Position_N1	784.7->782.7
TG 46:6_OZONE_DB_Position_N2	784.7->796.7
TG 46:6_OZONE_DB_Position_N3	784.7->810.7
TG 46:6_OZONE_DB_Position_N4	784.7->824.7
TG 46:6_OZONE_DB_Position_N5	784.7->838.7
TG 46:6_OZONE_DB_Position_N6	784.7->852.8
TG 46:6_OZONE_DB_Position_N7	784.7->866.8
TG 46:6_OZONE_DB_Position_N8	784.7->880.8
TG 46:6_OZONE_DB_Position_N9	784.7->894.8
TG 46:6_OZONE_DB_Position_N10	784.7->908.8
TG 46:6_OZONE_DB_Position_N11	784.7->922.8
TG 46:6_OZONE_DB_Position_N12	784.7->936.9
TG 46:6_OZONE_DB_Position_N13	784.7->950.9
TG 46:6_OZONE_DB_Position_N14	784.7->964.9
TG 46:6_OZONE_DB_Position_N15	784.7->978.9
TG 46:6_OZONE_DB_Position_N16	784.7->992.9
TG 46:6_OZONE_DB_Position_N17	784.7->1006.9
TG 46:7	782.7->483.5
TG 46:7_OZONE_DB_Position_N1	782.7->780.7
TG 46:7_OZONE_DB_Position_N2	782.7->794.7
TG 46:7_OZONE_DB_Position_N3	782.7->808.7
TG 46:7_OZONE_DB_Position_N4	782.7->822.7
TG 46:7_OZONE_DB_Position_N5	782.7->836.7
TG 46:7_OZONE_DB_Position_N6	782.7->850.8
TG 46:7_OZONE_DB_Position_N7	782.7->864.8
TG 46:7_OZONE_DB_Position_N8	782.7->878.8
TG 46:7_OZONE_DB_Position_N9	782.7->892.8
TG 46:7_OZONE_DB_Position_N10	782.7->906.8
TG 46:7_OZONE_DB_Position_N11	782.7->920.8
TG 46:7_OZONE_DB_Position_N12	782.7->934.9
TG 46:7_OZONE_DB_Position_N13	782.7->948.9
TG 46:7_OZONE_DB_Position_N14	782.7->962.9
TG 46:7_OZONE_DB_Position_N15	782.7->976.9
TG 46:7_OZONE_DB_Position_N16	782.7->990.9
TG 46:7_OZONE_DB_Position_N17	782.7->1004.9
TG 46:8	780.7->481.5
TG 46:8_OZONE_DB_Position_N1	780.7->778.7
TG 46:8_OZONE_DB_Position_N2	780.7->792.7
TG 46:8_OZONE_DB_Position_N3	780.7->806.7
TG 46:8_OZONE_DB_Position_N4	780.7->820.7
TG 46:8_OZONE_DB_Position_N5	780.7->834.7
TG 46:8_OZONE_DB_Position_N6	780.7->848.8
TG 46:8_OZONE_DB_Position_N7	780.7->862.8
TG 46:8_OZONE_DB_Position_N8	780.7->876.8
TG 46:8_OZONE_DB_Position_N9	780.7->890.8
TG 46:8_OZONE_DB_Position_N10	780.7->904.8
TG 46:8_OZONE_DB_Position_N11	780.7->918.8
TG 46:8_OZONE_DB_Position_N12	780.7->932.9
TG 46:8_OZONE_DB_Position_N13	780.7->946.9
TG 46:8_OZONE_DB_Position_N14	780.7->960.9
TG 46:8_OZONE_DB_Position_N15	780.7->974.9
TG 46:8_OZONE_DB_Position_N16	780.7->988.9
TG 46:8_OZONE_DB_Position_N17	780.7->1002.9
TG 46:9	778.7->479.5
TG 46:9_OZONE_DB_Position_N1	778.7->776.7
TG 46:9_OZONE_DB_Position_N2	778.7->790.7
TG 46:9_OZONE_DB_Position_N3	778.7->804.7
TG 46:9_OZONE_DB_Position_N4	778.7->818.7
TG 46:9_OZONE_DB_Position_N5	778.7->832.7
TG 46:9_OZONE_DB_Position_N6	778.7->846.8
TG 46:9_OZONE_DB_Position_N7	778.7->860.8
TG 46:9_OZONE_DB_Position_N8	778.7->874.8
TG 46:9_OZONE_DB_Position_N9	778.7->888.8
TG 46:9_OZONE_DB_Position_N10	778.7->902.8
TG 46:9_OZONE_DB_Position_N11	778.7->916.8
TG 46:9_OZONE_DB_Position_N12	778.7->930.9
TG 46:9_OZONE_DB_Position_N13	778.7->944.9
TG 46:9_OZONE_DB_Position_N14	778.7->958.9
TG 46:9_OZONE_DB_Position_N15	778.7->972.9
TG 46:9_OZONE_DB_Position_N16	778.7->986.9
TG 46:9_OZONE_DB_Position_N17	778.7->1000.9
TG 46:10	776.7->477.5
TG 46:10_OZONE_DB_Position_N1	776.7->774.7
TG 46:10_OZONE_DB_Position_N2	776.7->788.7
TG 46:10_OZONE_DB_Position_N3	776.7->802.7
TG 46:10_OZONE_DB_Position_N4	776.7->816.7
TG 46:10_OZONE_DB_Position_N5	776.7->830.7
TG 46:10_OZONE_DB_Position_N6	776.7->844.8
TG 46:10_OZONE_DB_Position_N7	776.7->858.8
TG 46:10_OZONE_DB_Position_N8	776.7->872.8
TG 46:10_OZONE_DB_Position_N9	776.7->886.8
TG 46:10_OZONE_DB_Position_N10	776.7->900.8
TG 46:10_OZONE_DB_Position_N11	776.7->914.8
TG 46:10_OZONE_DB_Position_N12	776.7->928.9
TG 46:10_OZONE_DB_Position_N13	776.7->942.9
TG 46:10_OZONE_DB_Position_N14	776.7->956.9
TG 46:10_OZONE_DB_Position_N15	776.7->970.9
TG 46:10_OZONE_DB_Position_N16	776.7->984.9
TG 46:10_OZONE_DB_Position_N17	776.7->998.9
TG 47:1	808.7->509.5
TG 47:1_OZONE_DB_Position_N1	808.7->806.8
TG 47:1_OZONE_DB_Position_N2	808.7->820.8
TG 47:1_OZONE_DB_Position_N3	808.7->834.8
TG 47:1_OZONE_DB_Position_N4	808.7->848.8
TG 47:1_OZONE_DB_Position_N5	808.7->862.8
TG 47:1_OZONE_DB_Position_N6	808.7->876.8
TG 47:1_OZONE_DB_Position_N7	808.7->890.9
TG 47:1_OZONE_DB_Position_N8	808.7->904.9
TG 47:1_OZONE_DB_Position_N9	808.7->918.9
TG 47:1_OZONE_DB_Position_N10	808.7->932.9
TG 47:1_OZONE_DB_Position_N11	808.7->946.9
TG 47:1_OZONE_DB_Position_N12	808.7->960.9
TG 47:1_OZONE_DB_Position_N13	808.7->974.9
TG 47:1_OZONE_DB_Position_N14	808.7->989
TG 47:1_OZONE_DB_Position_N15	808.7->1003
TG 47:1_OZONE_DB_Position_N16	808.7->1017
TG 47:1_OZONE_DB_Position_N17	808.7->1031
TG 47:2	806.7->507.5
TG 47:2_OZONE_DB_Position_N1	806.7->804.7
TG 47:2_OZONE_DB_Position_N2	806.7->818.7
TG 47:2_OZONE_DB_Position_N3	806.7->832.8
TG 47:2_OZONE_DB_Position_N4	806.7->846.8
TG 47:2_OZONE_DB_Position_N5	806.7->860.8
TG 47:2_OZONE_DB_Position_N6	806.7->874.8
TG 47:2_OZONE_DB_Position_N7	806.7->888.8
TG 47:2_OZONE_DB_Position_N8	806.7->902.9
TG 47:2_OZONE_DB_Position_N9	806.7->916.9
TG 47:2_OZONE_DB_Position_N10	806.7->930.9
TG 47:2_OZONE_DB_Position_N11	806.7->944.9
TG 47:2_OZONE_DB_Position_N12	806.7->958.9
TG 47:2_OZONE_DB_Position_N13	806.7->972.9
TG 47:2_OZONE_DB_Position_N14	806.7->986.9
TG 47:2_OZONE_DB_Position_N15	806.7->1001
TG 47:2_OZONE_DB_Position_N16	806.7->1015
TG 47:2_OZONE_DB_Position_N17	806.7->1029
TG 47:3	804.7->505.5
TG 47:3_OZONE_DB_Position_N1	804.7->802.7
TG 47:3_OZONE_DB_Position_N2	804.7->816.7
TG 47:3_OZONE_DB_Position_N3	804.7->830.8
TG 47:3_OZONE_DB_Position_N4	804.7->844.8
TG 47:3_OZONE_DB_Position_N5	804.7->858.8
TG 47:3_OZONE_DB_Position_N6	804.7->872.8
TG 47:3_OZONE_DB_Position_N7	804.7->886.8
TG 47:3_OZONE_DB_Position_N8	804.7->900.8
TG 47:3_OZONE_DB_Position_N9	804.7->914.9
TG 47:3_OZONE_DB_Position_N10	804.7->928.9
TG 47:3_OZONE_DB_Position_N11	804.7->942.9
TG 47:3_OZONE_DB_Position_N12	804.7->956.9
TG 47:3_OZONE_DB_Position_N13	804.7->970.9
TG 47:3_OZONE_DB_Position_N14	804.7->984.9
TG 47:3_OZONE_DB_Position_N15	804.7->998.9
TG 47:3_OZONE_DB_Position_N16	804.7->1013
TG 47:3_OZONE_DB_Position_N17	804.7->1027
TG 47:4	802.7->503.5
TG 47:4_OZONE_DB_Position_N1	802.7->800.7
TG 47:4_OZONE_DB_Position_N2	802.7->814.7
TG 47:4_OZONE_DB_Position_N3	802.7->828.7
TG 47:4_OZONE_DB_Position_N4	802.7->842.8
TG 47:4_OZONE_DB_Position_N5	802.7->856.8
TG 47:4_OZONE_DB_Position_N6	802.7->870.8
TG 47:4_OZONE_DB_Position_N7	802.7->884.8
TG 47:4_OZONE_DB_Position_N8	802.7->898.8
TG 47:4_OZONE_DB_Position_N9	802.7->912.8
TG 47:4_OZONE_DB_Position_N10	802.7->926.9
TG 47:4_OZONE_DB_Position_N11	802.7->940.9
TG 47:4_OZONE_DB_Position_N12	802.7->954.9
TG 47:4_OZONE_DB_Position_N13	802.7->968.9
TG 47:4_OZONE_DB_Position_N14	802.7->982.9
TG 47:4_OZONE_DB_Position_N15	802.7->996.9
TG 47:4_OZONE_DB_Position_N16	802.7->1010.9
TG 47:4_OZONE_DB_Position_N17	802.7->1025
TG 47:5	800.7->501.5
TG 47:5_OZONE_DB_Position_N1	800.7->798.7
TG 47:5_OZONE_DB_Position_N2	800.7->812.7
TG 47:5_OZONE_DB_Position_N3	800.7->826.7
TG 47:5_OZONE_DB_Position_N4	800.7->840.7
TG 47:5_OZONE_DB_Position_N5	800.7->854.8
TG 47:5_OZONE_DB_Position_N6	800.7->868.8
TG 47:5_OZONE_DB_Position_N7	800.7->882.8
TG 47:5_OZONE_DB_Position_N8	800.7->896.8
TG 47:5_OZONE_DB_Position_N9	800.7->910.8
TG 47:5_OZONE_DB_Position_N10	800.7->924.8
TG 47:5_OZONE_DB_Position_N11	800.7->938.9
TG 47:5_OZONE_DB_Position_N12	800.7->952.9
TG 47:5_OZONE_DB_Position_N13	800.7->966.9
TG 47:5_OZONE_DB_Position_N14	800.7->980.9
TG 47:5_OZONE_DB_Position_N15	800.7->994.9
TG 47:5_OZONE_DB_Position_N16	800.7->1008.9
TG 47:5_OZONE_DB_Position_N17	800.7->1022.9
TG 47:6	798.7->499.5
TG 47:6_OZONE_DB_Position_N1	798.7->796.7
TG 47:6_OZONE_DB_Position_N2	798.7->810.7
TG 47:6_OZONE_DB_Position_N3	798.7->824.7
TG 47:6_OZONE_DB_Position_N4	798.7->838.7
TG 47:6_OZONE_DB_Position_N5	798.7->852.8
TG 47:6_OZONE_DB_Position_N6	798.7->866.8
TG 47:6_OZONE_DB_Position_N7	798.7->880.8
TG 47:6_OZONE_DB_Position_N8	798.7->894.8
TG 47:6_OZONE_DB_Position_N9	798.7->908.8
TG 47:6_OZONE_DB_Position_N10	798.7->922.8
TG 47:6_OZONE_DB_Position_N11	798.7->936.9
TG 47:6_OZONE_DB_Position_N12	798.7->950.9
TG 47:6_OZONE_DB_Position_N13	798.7->964.9
TG 47:6_OZONE_DB_Position_N14	798.7->978.9
TG 47:6_OZONE_DB_Position_N15	798.7->992.9
TG 47:6_OZONE_DB_Position_N16	798.7->1006.9
TG 47:6_OZONE_DB_Position_N17	798.7->1020.9
TG 47:7	796.7->497.5
TG 47:7_OZONE_DB_Position_N1	796.7->794.7
TG 47:7_OZONE_DB_Position_N2	796.7->808.7
TG 47:7_OZONE_DB_Position_N3	796.7->822.7
TG 47:7_OZONE_DB_Position_N4	796.7->836.7
TG 47:7_OZONE_DB_Position_N5	796.7->850.8
TG 47:7_OZONE_DB_Position_N6	796.7->864.8
TG 47:7_OZONE_DB_Position_N7	796.7->878.8
TG 47:7_OZONE_DB_Position_N8	796.7->892.8
TG 47:7_OZONE_DB_Position_N9	796.7->906.8
TG 47:7_OZONE_DB_Position_N10	796.7->920.8
TG 47:7_OZONE_DB_Position_N11	796.7->934.9
TG 47:7_OZONE_DB_Position_N12	796.7->948.9
TG 47:7_OZONE_DB_Position_N13	796.7->962.9
TG 47:7_OZONE_DB_Position_N14	796.7->976.9
TG 47:7_OZONE_DB_Position_N15	796.7->990.9
TG 47:7_OZONE_DB_Position_N16	796.7->1004.9
TG 47:7_OZONE_DB_Position_N17	796.7->1018.9
TG 47:8	794.7->495.5
TG 47:8_OZONE_DB_Position_N1	794.7->792.7
TG 47:8_OZONE_DB_Position_N2	794.7->806.7
TG 47:8_OZONE_DB_Position_N3	794.7->820.7
TG 47:8_OZONE_DB_Position_N4	794.7->834.7
TG 47:8_OZONE_DB_Position_N5	794.7->848.8
TG 47:8_OZONE_DB_Position_N6	794.7->862.8
TG 47:8_OZONE_DB_Position_N7	794.7->876.8
TG 47:8_OZONE_DB_Position_N8	794.7->890.8
TG 47:8_OZONE_DB_Position_N9	794.7->904.8
TG 47:8_OZONE_DB_Position_N10	794.7->918.8
TG 47:8_OZONE_DB_Position_N11	794.7->932.9
TG 47:8_OZONE_DB_Position_N12	794.7->946.9
TG 47:8_OZONE_DB_Position_N13	794.7->960.9
TG 47:8_OZONE_DB_Position_N14	794.7->974.9
TG 47:8_OZONE_DB_Position_N15	794.7->988.9
TG 47:8_OZONE_DB_Position_N16	794.7->1002.9
TG 47:8_OZONE_DB_Position_N17	794.7->1016.9
TG 47:9	792.7->493.5
TG 47:9_OZONE_DB_Position_N1	792.7->790.7
TG 47:9_OZONE_DB_Position_N2	792.7->804.7
TG 47:9_OZONE_DB_Position_N3	792.7->818.7
TG 47:9_OZONE_DB_Position_N4	792.7->832.7
TG 47:9_OZONE_DB_Position_N5	792.7->846.8
TG 47:9_OZONE_DB_Position_N6	792.7->860.8
TG 47:9_OZONE_DB_Position_N7	792.7->874.8
TG 47:9_OZONE_DB_Position_N8	792.7->888.8
TG 47:9_OZONE_DB_Position_N9	792.7->902.8
TG 47:9_OZONE_DB_Position_N10	792.7->916.8
TG 47:9_OZONE_DB_Position_N11	792.7->930.9
TG 47:9_OZONE_DB_Position_N12	792.7->944.9
TG 47:9_OZONE_DB_Position_N13	792.7->958.9
TG 47:9_OZONE_DB_Position_N14	792.7->972.9
TG 47:9_OZONE_DB_Position_N15	792.7->986.9
TG 47:9_OZONE_DB_Position_N16	792.7->1000.9
TG 47:9_OZONE_DB_Position_N17	792.7->1014.9
TG 47:10	790.7->491.5
TG 47:10_OZONE_DB_Position_N1	790.7->788.7
TG 47:10_OZONE_DB_Position_N2	790.7->802.7
TG 47:10_OZONE_DB_Position_N3	790.7->816.7
TG 47:10_OZONE_DB_Position_N4	790.7->830.7
TG 47:10_OZONE_DB_Position_N5	790.7->844.8
TG 47:10_OZONE_DB_Position_N6	790.7->858.8
TG 47:10_OZONE_DB_Position_N7	790.7->872.8
TG 47:10_OZONE_DB_Position_N8	790.7->886.8
TG 47:10_OZONE_DB_Position_N9	790.7->900.8
TG 47:10_OZONE_DB_Position_N10	790.7->914.8
TG 47:10_OZONE_DB_Position_N11	790.7->928.9
TG 47:10_OZONE_DB_Position_N12	790.7->942.9
TG 47:10_OZONE_DB_Position_N13	790.7->956.9
TG 47:10_OZONE_DB_Position_N14	790.7->970.9
TG 47:10_OZONE_DB_Position_N15	790.7->984.9
TG 47:10_OZONE_DB_Position_N16	790.7->998.9
TG 47:10_OZONE_DB_Position_N17	790.7->1012.9
TG 48:1	822.8->523.6
TG 48:1_OZONE_DB_Position_N1	822.8->820.8
TG 48:1_OZONE_DB_Position_N2	822.8->834.8
TG 48:1_OZONE_DB_Position_N3	822.8->848.8
TG 48:1_OZONE_DB_Position_N4	822.8->862.8
TG 48:1_OZONE_DB_Position_N5	822.8->876.8
TG 48:1_OZONE_DB_Position_N6	822.8->890.9
TG 48:1_OZONE_DB_Position_N7	822.8->904.9
TG 48:1_OZONE_DB_Position_N8	822.8->918.9
TG 48:1_OZONE_DB_Position_N9	822.8->932.9
TG 48:1_OZONE_DB_Position_N10	822.8->946.9
TG 48:1_OZONE_DB_Position_N11	822.8->960.9
TG 48:1_OZONE_DB_Position_N12	822.8->974.9
TG 48:1_OZONE_DB_Position_N13	822.8->989
TG 48:1_OZONE_DB_Position_N14	822.8->1003
TG 48:1_OZONE_DB_Position_N15	822.8->1017
TG 48:1_OZONE_DB_Position_N16	822.8->1031
TG 48:1_OZONE_DB_Position_N17	822.8->1045
TG 48:2	820.7->521.5
TG 48:2_OZONE_DB_Position_N1	820.7->818.8
TG 48:2_OZONE_DB_Position_N2	820.7->832.8
TG 48:2_OZONE_DB_Position_N3	820.7->846.8
TG 48:2_OZONE_DB_Position_N4	820.7->860.8
TG 48:2_OZONE_DB_Position_N5	820.7->874.8
TG 48:2_OZONE_DB_Position_N6	820.7->888.8
TG 48:2_OZONE_DB_Position_N7	820.7->902.9
TG 48:2_OZONE_DB_Position_N8	820.7->916.9
TG 48:2_OZONE_DB_Position_N9	820.7->930.9
TG 48:2_OZONE_DB_Position_N10	820.7->944.9
TG 48:2_OZONE_DB_Position_N11	820.7->958.9
TG 48:2_OZONE_DB_Position_N12	820.7->972.9
TG 48:2_OZONE_DB_Position_N13	820.7->986.9
TG 48:2_OZONE_DB_Position_N14	820.7->1001
TG 48:2_OZONE_DB_Position_N15	820.7->1015
TG 48:2_OZONE_DB_Position_N16	820.7->1029
TG 48:2_OZONE_DB_Position_N17	820.7->1043
TG 48:3	818.7->519.5
TG 48:3_OZONE_DB_Position_N1	818.7->816.7
TG 48:3_OZONE_DB_Position_N2	818.7->830.7
TG 48:3_OZONE_DB_Position_N3	818.7->844.8
TG 48:3_OZONE_DB_Position_N4	818.7->858.8
TG 48:3_OZONE_DB_Position_N5	818.7->872.8
TG 48:3_OZONE_DB_Position_N6	818.7->886.8
TG 48:3_OZONE_DB_Position_N7	818.7->900.8
TG 48:3_OZONE_DB_Position_N8	818.7->914.9
TG 48:3_OZONE_DB_Position_N9	818.7->928.9
TG 48:3_OZONE_DB_Position_N10	818.7->942.9
TG 48:3_OZONE_DB_Position_N11	818.7->956.9
TG 48:3_OZONE_DB_Position_N12	818.7->970.9
TG 48:3_OZONE_DB_Position_N13	818.7->984.9
TG 48:3_OZONE_DB_Position_N14	818.7->998.9
TG 48:3_OZONE_DB_Position_N15	818.7->1013
TG 48:3_OZONE_DB_Position_N16	818.7->1027
TG 48:3_OZONE_DB_Position_N17	818.7->1041
TG 48:4	816.7->517.5
TG 48:4_OZONE_DB_Position_N1	816.7->814.7
TG 48:4_OZONE_DB_Position_N2	816.7->828.7
TG 48:4_OZONE_DB_Position_N3	816.7->842.8
TG 48:4_OZONE_DB_Position_N4	816.7->856.8
TG 48:4_OZONE_DB_Position_N5	816.7->870.8
TG 48:4_OZONE_DB_Position_N6	816.7->884.8
TG 48:4_OZONE_DB_Position_N7	816.7->898.8
TG 48:4_OZONE_DB_Position_N8	816.7->912.8
TG 48:4_OZONE_DB_Position_N9	816.7->926.9
TG 48:4_OZONE_DB_Position_N10	816.7->940.9
TG 48:4_OZONE_DB_Position_N11	816.7->954.9
TG 48:4_OZONE_DB_Position_N12	816.7->968.9
TG 48:4_OZONE_DB_Position_N13	816.7->982.9
TG 48:4_OZONE_DB_Position_N14	816.7->996.9
TG 48:4_OZONE_DB_Position_N15	816.7->1010.9
TG 48:4_OZONE_DB_Position_N16	816.7->1025
TG 48:4_OZONE_DB_Position_N17	816.7->1039
TG 48:5	814.7->515.5
TG 48:5_OZONE_DB_Position_N1	814.7->812.7
TG 48:5_OZONE_DB_Position_N2	814.7->826.7
TG 48:5_OZONE_DB_Position_N3	814.7->840.7
TG 48:5_OZONE_DB_Position_N4	814.7->854.8
TG 48:5_OZONE_DB_Position_N5	814.7->868.8
TG 48:5_OZONE_DB_Position_N6	814.7->882.8
TG 48:5_OZONE_DB_Position_N7	814.7->896.8
TG 48:5_OZONE_DB_Position_N8	814.7->910.8
TG 48:5_OZONE_DB_Position_N9	814.7->924.8
TG 48:5_OZONE_DB_Position_N10	814.7->938.9
TG 48:5_OZONE_DB_Position_N11	814.7->952.9
TG 48:5_OZONE_DB_Position_N12	814.7->966.9
TG 48:5_OZONE_DB_Position_N13	814.7->980.9
TG 48:5_OZONE_DB_Position_N14	814.7->994.9
TG 48:5_OZONE_DB_Position_N15	814.7->1008.9
TG 48:5_OZONE_DB_Position_N16	814.7->1022.9
TG 48:5_OZONE_DB_Position_N17	814.7->1037
TG 48:6	812.7->513.5
TG 48:6_OZONE_DB_Position_N1	812.7->810.7
TG 48:6_OZONE_DB_Position_N2	812.7->824.7
TG 48:6_OZONE_DB_Position_N3	812.7->838.7
TG 48:6_OZONE_DB_Position_N4	812.7->852.8
TG 48:6_OZONE_DB_Position_N5	812.7->866.8
TG 48:6_OZONE_DB_Position_N6	812.7->880.8
TG 48:6_OZONE_DB_Position_N7	812.7->894.8
TG 48:6_OZONE_DB_Position_N8	812.7->908.8
TG 48:6_OZONE_DB_Position_N9	812.7->922.8
TG 48:6_OZONE_DB_Position_N10	812.7->936.9
TG 48:6_OZONE_DB_Position_N11	812.7->950.9
TG 48:6_OZONE_DB_Position_N12	812.7->964.9
TG 48:6_OZONE_DB_Position_N13	812.7->978.9
TG 48:6_OZONE_DB_Position_N14	812.7->992.9
TG 48:6_OZONE_DB_Position_N15	812.7->1006.9
TG 48:6_OZONE_DB_Position_N16	812.7->1020.9
TG 48:6_OZONE_DB_Position_N17	812.7->1035
TG 48:7	810.7->511.5
TG 48:7_OZONE_DB_Position_N1	810.7->808.7
TG 48:7_OZONE_DB_Position_N2	810.7->822.7
TG 48:7_OZONE_DB_Position_N3	810.7->836.7
TG 48:7_OZONE_DB_Position_N4	810.7->850.8
TG 48:7_OZONE_DB_Position_N5	810.7->864.8
TG 48:7_OZONE_DB_Position_N6	810.7->878.8
TG 48:7_OZONE_DB_Position_N7	810.7->892.8
TG 48:7_OZONE_DB_Position_N8	810.7->906.8
TG 48:7_OZONE_DB_Position_N9	810.7->920.8
TG 48:7_OZONE_DB_Position_N10	810.7->934.9
TG 48:7_OZONE_DB_Position_N11	810.7->948.9
TG 48:7_OZONE_DB_Position_N12	810.7->962.9
TG 48:7_OZONE_DB_Position_N13	810.7->976.9
TG 48:7_OZONE_DB_Position_N14	810.7->990.9
TG 48:7_OZONE_DB_Position_N15	810.7->1004.9
TG 48:7_OZONE_DB_Position_N16	810.7->1018.9
TG 48:7_OZONE_DB_Position_N17	810.7->1033
TG 48:8	808.7->509.5
TG 48:8_OZONE_DB_Position_N1	808.7->806.7
TG 48:8_OZONE_DB_Position_N2	808.7->820.7
TG 48:8_OZONE_DB_Position_N3	808.7->834.7
TG 48:8_OZONE_DB_Position_N4	808.7->848.8
TG 48:8_OZONE_DB_Position_N5	808.7->862.8
TG 48:8_OZONE_DB_Position_N6	808.7->876.8
TG 48:8_OZONE_DB_Position_N7	808.7->890.8
TG 48:8_OZONE_DB_Position_N8	808.7->904.8
TG 48:8_OZONE_DB_Position_N9	808.7->918.8
TG 48:8_OZONE_DB_Position_N10	808.7->932.9
TG 48:8_OZONE_DB_Position_N11	808.7->946.9
TG 48:8_OZONE_DB_Position_N12	808.7->960.9
TG 48:8_OZONE_DB_Position_N13	808.7->974.9
TG 48:8_OZONE_DB_Position_N14	808.7->988.9
TG 48:8_OZONE_DB_Position_N15	808.7->1002.9
TG 48:8_OZONE_DB_Position_N16	808.7->1016.9
TG 48:8_OZONE_DB_Position_N17	808.7->1031
TG 48:9	806.7->507.5
TG 48:9_OZONE_DB_Position_N1	806.7->804.7
TG 48:9_OZONE_DB_Position_N2	806.7->818.7
TG 48:9_OZONE_DB_Position_N3	806.7->832.7
TG 48:9_OZONE_DB_Position_N4	806.7->846.8
TG 48:9_OZONE_DB_Position_N5	806.7->860.8
TG 48:9_OZONE_DB_Position_N6	806.7->874.8
TG 48:9_OZONE_DB_Position_N7	806.7->888.8
TG 48:9_OZONE_DB_Position_N8	806.7->902.8
TG 48:9_OZONE_DB_Position_N9	806.7->916.8
TG 48:9_OZONE_DB_Position_N10	806.7->930.9
TG 48:9_OZONE_DB_Position_N11	806.7->944.9
TG 48:9_OZONE_DB_Position_N12	806.7->958.9
TG 48:9_OZONE_DB_Position_N13	806.7->972.9
TG 48:9_OZONE_DB_Position_N14	806.7->986.9
TG 48:9_OZONE_DB_Position_N15	806.7->1000.9
TG 48:9_OZONE_DB_Position_N16	806.7->1014.9
TG 48:9_OZONE_DB_Position_N17	806.7->1029
TG 48:10	804.7->505.5
TG 48:10_OZONE_DB_Position_N1	804.7->802.7
TG 48:10_OZONE_DB_Position_N2	804.7->816.7
TG 48:10_OZONE_DB_Position_N3	804.7->830.7
