Lipid Name	Transition
SM (d18:0/12:0)	649.5 -> 184.1
SM (d18:1/12:0)	647.5 -> 184.1
PC (52:0)	1014.9 -> 184.1
PE (52:4)	964.773 -> 823.773
PE (46:1)	886.7261 -> 745.7261
PE (44:0)	860.7104 -> 719.7104
PE (44:1)	858.6948 -> 717.6948
PE (44:2)	856.6791 -> 715.6791
PE (44:3)	854.6635 -> 713.6635
PE (44:4)	852.6478 -> 711.6478
PE (44:5)	850.6322 -> 709.6322
PE (44:6)	848.6165 -> 707.6165
PE (44:7)	846.6009 -> 705.6009
PE (44:8)	844.5852 -> 703.5852
PE (44:10)	840.5539 -> 699.5539
PE (44:12)	836.5226 -> 695.5226
PE (42:0)	832.6791 -> 691.6791
PE (42:1)	830.6635 -> 689.6635
PE (42:2)	828.6478 -> 687.6478
PE (42:3)	826.6322 -> 685.6322
PE (42:4)	824.6165 -> 683.6165
PE (42:5)	822.6009 -> 681.6009
PE (42:6)	820.5852 -> 679.5852
PEo (42:0)	818.6998 -> 677.6998
PE (42:7)	818.5696 -> 677.5696
PEp (42:0)	816.6842 -> 675.6842
PE (42:8)	816.5539 -> 675.5539
PEo (42:2)	814.6685 -> 673.6685
PE (42:9)	814.5383 -> 673.5383
PEp (42:2)	812.6529 -> 671.6529
PE (42:10)	812.5226 -> 671.5226
PEo (42:4)	810.6372 -> 669.6372
PE (42:11)	810.507 -> 669.507
PEp (42:4)	808.6216 -> 667.6216
PEo (42:6)	806.6059 -> 665.6059
PE (40:0)	804.6478 -> 663.6478
PEp (42:6)	804.5903 -> 663.5903
PE (40:1)	802.6322 -> 661.6322
PE (40:2)	800.6165 -> 659.6165
PE (40:3)	798.6009 -> 657.6009
PE (40:4)	796.5852 -> 655.5852
PE (40:5)	794.5696 -> 653.5696
PE (40:6)	792.5539 -> 651.5539
PEo (40:0)	790.6685 -> 649.6685
PE (40:7)	790.5383 -> 649.5383
PEo (40:1)	788.6529 -> 647.6529
PE (40:8)	788.5226 -> 647.5226
PEo (40:2)	786.6372 -> 645.6372
PE (40:9)	786.507 -> 645.507
PEo (40:3)	784.6216 -> 643.6216
PE (40:10)	784.4913 -> 643.4913
PEo (40:4)	782.6059 -> 641.6059
PEo (40:5)	780.5903 -> 639.5903
PEo (40:6)	778.5746 -> 637.5746
PE (38:0)	776.6165 -> 635.6165
PE (38:1)	774.6009 -> 633.6009
PEp (40:7)	774.5433 -> 633.5433
PE (38:2)	772.5852 -> 631.5852
PE (38:3)	770.5696 -> 629.5696
PE (38:4)	768.5539 -> 627.5539
PE (38:5)	766.5383 -> 625.5383
PE (38:6)	764.5226 -> 623.5226
PEo (38:0)	762.6372 -> 621.6372
PE (38:7)	762.507 -> 621.507
PEo (38:1)	760.6216 -> 619.6216
PE (38:8)	760.4913 -> 619.4913
PEo (38:2)	758.6059 -> 617.6059
PE (38:9)	758.4757 -> 617.4757
PEo (38:3)	756.5903 -> 615.5903
PEo (38:4)	754.5746 -> 613.5746
PEo (38:5)	752.559 -> 611.559
PEo (38:6)	750.5433 -> 609.5433
PE (36:0)	748.5852 -> 607.5852
PEp (36:6)	748.5277 -> 607.5277
PE (36:1)	746.5696 -> 605.5696
PE (36:2)	744.5539 -> 603.5539
PE (36:3)	742.5383 -> 601.5383
PE (36:4)	740.5226 -> 599.5226
PE (36:5)	738.507 -> 597.507
PE (36:6)	736.4913 -> 595.4913
PEo (36:0)	734.6059 -> 593.6059
PE (36:7)	734.4757 -> 593.4757
PEo (36:1)	732.5903 -> 591.5903
PE (36:8)	732.46 -> 591.46
PEo (36:2)	730.5746 -> 589.5746
PEo (36:3)	728.559 -> 587.559
PEo (36:4)	726.5433 -> 585.5433
PEo (36:5)	724.5277 -> 583.5277
PEp (36:5)	722.512 -> 581.512
PE (34:0)	720.5539 -> 579.5539
PE (34:1)	718.5383 -> 577.5383
PE (34:2)	716.5226 -> 575.5226
PE (34:3)	714.507 -> 573.507
PE (34:4)	712.4913 -> 571.4913
PE (34:5)	710.4757 -> 569.4757
PE (34:6)	708.46 -> 567.46
PEo (34:0)	706.5746 -> 565.5746
PEo (34:1)	704.559 -> 563.559
PEo (34:2)	702.5433 -> 561.5433
PEo (34:3)	700.5277 -> 559.5277
PEo (34:4)	698.512 -> 557.512
PEp (34:4)	696.4964 -> 555.4964
PE (32:0)	692.5226 -> 551.5226
PE (32:1)	690.507 -> 549.507
PE (32:2)	688.4913 -> 547.4913
PE (32:3)	686.4757 -> 545.4757
PE (32:4)	684.46 -> 543.46
PE (32:5)	682.4444 -> 541.4444
PEo (32:5)	678.5433 -> 537.5433
PEo (32:1)	676.5277 -> 535.5277
PEp (32:1)	674.512 -> 533.512
PE (30:0)	664.4913 -> 523.4913
PE (30:1)	662.4757 -> 521.4757
PE (30:2)	660.46 -> 519.46
PE (30:3)	658.4444 -> 517.4444
PE (30:4)	656.4287 -> 515.4287
PEo (30:0)	650.512 -> 509.512
PEp (30:0)	648.4964 -> 507.4964
PEp (30:1)	646.4807 -> 505.4807
PE (28:0)	636.46 -> 495.46
PE (28:1)	634.4444 -> 493.4444
PE (28:2)	632.4287 -> 491.4287
PEo (28:0)	622.4807 -> 481.4807
PEp (28:0)	620.4651 -> 479.4651
PE (26:0)	608.4287 -> 467.4287
PE (26:1)	606.4131 -> 465.4131
PE (24:0)	580.3974 -> 439.3974
PE (22:0)	538.3868 -> 397.3868
PE (22:1)	536.3712 -> 395.3712
PE (22:2)	534.3555 -> 393.3555
PE (22:4)	530.3242 -> 389.3242
PE (22:6)	526.2929 -> 385.2929
PE (21:0)	524.3348 -> 383.3348
PE (20:0)	510.3555 -> 369.3555
PE (20:1)	508.3399 -> 367.3399
PE (20:2)	506.3242 -> 365.3242
PE (20:3)	504.3086 -> 363.3086
PE (20:4)	502.2929 -> 361.2929
PE (20:5)	500.2773 -> 359.2773
PEo (20:0)	496.3763 -> 355.3763
PEp (20:0)	494.3606 -> 353.3606
PE (18:0)	482.3242 -> 341.3242
PE (18:1)	480.3086 -> 339.3086
PE (18:2)	478.2929 -> 337.2929
PE (18:3)	476.2773 -> 335.2773
PE (18:4)	474.2616 -> 333.2616
PEo (18:0)	468.345 -> 327.345
PEo (18:1)	466.3293 -> 325.3293
PE (16:0)	454.2929 -> 313.2929
PE (16:1)	452.2773 -> 311.2773
PEp (16:0)	438.298 -> 297.298
PE (14:0)	426.2616 -> 285.2616
PE (14:1)	424.246 -> 283.246
PE (12:0)	398.2303 -> 257.2303
PG (44:1)	906.6893 -> 717.6893
PG (44:2)	904.6737 -> 715.6737
PG (44:3)	902.658 -> 713.658
PG (44:4)	900.6424 -> 711.6424
PG (44:5)	898.6267 -> 709.6267
PG (44:6)	896.6111 -> 707.6111
PG (44:7)	894.5954 -> 705.5954
PG (44:8)	892.5798 -> 703.5798
PG (44:10)	888.5485 -> 699.5485
PG (44:12)	884.5172 -> 695.5172
PG (42:0)	880.6737 -> 691.6737
PG (42:1)	878.658 -> 689.658
PG (42:2)	876.6424 -> 687.6424
PG (42:3)	874.6267 -> 685.6267
PG (42:4)	872.6111 -> 683.6111
PG (42:5)	870.5954 -> 681.5954
PG (42:6)	868.5798 -> 679.5798
PGo (42:0)	866.6944 -> 677.6944
PG (42:7)	866.5641 -> 677.5641
PGo (42:1)	864.6788 -> 675.6788
PG (42:8)	864.5485 -> 675.5485
PGo (42:2)	862.6631 -> 673.6631
PG (42:9)	862.5328 -> 673.5328
PGp (42:2)	860.6475 -> 671.6475
PG (42:10)	860.5172 -> 671.5172
PGo (42:4)	858.6318 -> 669.6318
PG (42:11)	858.5015 -> 669.5015
PGp (42:4)	856.6162 -> 667.6162
PGo (42:6)	854.6005 -> 665.6005
PG (40:0)	852.6424 -> 663.6424
PGp (42:6)	852.5849 -> 663.5849
PG (40:1)	850.6267 -> 661.6267
PG (40:2)	848.6111 -> 659.6111
PG (40:3)	846.5954 -> 657.5954
PG (40:4)	844.5798 -> 655.5798
PG (40:5)	842.5641 -> 653.5641
PG (40:6)	840.5485 -> 651.5485
PGo (40:0)	838.6631 -> 649.6631
PG (40:7)	838.5328 -> 649.5328
PGo (40:1)	836.6475 -> 647.6475
PG (40:8)	836.5172 -> 647.5172
PGo (40:2)	834.6318 -> 645.6318
PG (40:9)	834.5015 -> 645.5015
PGo (40:9)	832.6162 -> 643.6162
PG (40:10)	832.4859 -> 643.4859
PGo (40:4)	830.6005 -> 641.6005
PGo (40:5)	828.5849 -> 639.5849
PGo (40:6)	826.5692 -> 637.5692
PG (38:0)	824.6111 -> 635.6111
PGp (40:6)	824.5536 -> 635.5536
PG (38:1)	822.5954 -> 633.5954
PG (38:2)	820.5798 -> 631.5798
PG (38:3)	818.5641 -> 629.5641
PG (38:4)	816.5485 -> 627.5485
PG (38:5)	814.5328 -> 625.5328
PG (38:6)	812.5172 -> 623.5172
PGo (38:0)	810.6318 -> 621.6318
PG (38:7)	810.5015 -> 621.5015
PGo (38:1)	808.6162 -> 619.6162
PG (38:8)	808.4859 -> 619.4859
PGo (38:2)	806.6005 -> 617.6005
PG (38:9)	806.4702 -> 617.4702
PGo (38:3)	804.5849 -> 615.5849
PGo (38:4)	802.5692 -> 613.5692
PGo (38:5)	800.5536 -> 611.5536
PGo (38:6)	798.5379 -> 609.5379
PG (36:0)	796.5798 -> 607.5798
PGp (38:6)	796.5223 -> 607.5223
PG (36:1)	794.5641 -> 605.5641
PG (36:2)	792.5485 -> 603.5485
PG (36:3)	790.5328 -> 601.5328
PG (36:4)	788.5172 -> 599.5172
PG (36:5)	786.5015 -> 597.5015
PG (36:6)	784.4859 -> 595.4859
PGo (36:0)	782.6005 -> 593.6005
PG (36:7)	782.4702 -> 593.4702
PGo (36:1)	780.5849 -> 591.5849
PG (36:8)	780.4546 -> 591.4546
PGo (36:2)	778.5692 -> 589.5692
PGo (36:3)	776.5536 -> 587.5536
PGo (36:4)	774.5379 -> 585.5379
PGo (36:5)	772.5223 -> 583.5223
PGp (36:5)	770.5066 -> 581.5066
PG (34:0)	768.5485 -> 579.5485
PG (34:1)	766.5328 -> 577.5328
PG (34:2)	764.5172 -> 575.5172
PG (34:3)	762.5015 -> 573.5015
PG (34:4)	760.4859 -> 571.4859
PG (34:5)	758.4702 -> 569.4702
PG (34:6)	756.4546 -> 567.4546
PGo (34:0)	754.5692 -> 565.5692
PGo (34:1)	752.5536 -> 563.5536
PGo (34:2)	750.5379 -> 561.5379
PGo (34:3)	748.5223 -> 559.5223
PGo (34:4)	746.5066 -> 557.5066
PGp (34:4)	744.491 -> 555.491
PG (32:0)	740.5172 -> 551.5172
PG (32:1)	738.5015 -> 549.5015
PG (32:2)	736.4859 -> 547.4859
PG (32:3)	734.4702 -> 545.4702
PG (32:4)	732.4546 -> 543.4546
PG (32:5)	730.4389 -> 541.4389
PGo (32:0)	726.5379 -> 537.5379
PGo (32:1)	724.5223 -> 535.5223
PG (30:0)	712.4859 -> 523.4859
PG (30:1)	710.4702 -> 521.4702
PG (30:2)	708.4546 -> 519.4546
PG (30:3)	706.4389 -> 517.4389
PG (30:4)	704.4233 -> 515.4233
PGo (30:0)	698.5066 -> 509.5066
PGo (30:1)	696.491 -> 507.491
PGp (30:1)	694.4753 -> 505.4753
PG (28:0)	684.4546 -> 495.4546
PG (28:1)	682.4389 -> 493.4389
PG (28:2)	680.4233 -> 491.4233
PGo (28:0)	670.4753 -> 481.4753
PGp (28:0)	668.4597 -> 479.4597
PG (26:0)	656.4233 -> 467.4233
PG (24:1)	654.4076 -> 465.4076
PG (24:0)	628.392 -> 439.392
PG (22:0)	586.3814 -> 397.3814
PG (22:1)	584.3658 -> 395.3658
PG (22:2)	582.3501 -> 393.3501
PG (22:4)	578.3188 -> 389.3188
PG (22:6)	574.2875 -> 385.2875
PG (20:0)	572.3294 -> 383.3294
LPG (20:0)	558.3501 -> 369.3501
PG (20:1)	556.3345 -> 367.3345
PG (20:2)	554.3188 -> 365.3188
PG (20:3)	552.3032 -> 363.3032
PG (20:4)	550.2875 -> 361.2875
PG (20:5)	548.2719 -> 359.2719
PGo (20:0)	544.3709 -> 355.3709
PGp (20:0)	542.3552 -> 353.3552
PG (18:0)	530.3188 -> 341.3188
PG (18:1)	528.3032 -> 339.3032
PG (18:2)	526.2875 -> 337.2875
PG (18:3)	524.2719 -> 335.2719
PG (18:4)	522.2562 -> 333.2562
PGo (18:0)	516.3396 -> 327.3396
PG (16:0)	516.2668 -> 327.2668
PGp (18:0)	514.3239 -> 325.3239
LPG (16:0)	502.2875 -> 313.2875
PG (16:1)	500.2719 -> 311.2719
PGo (16:0)	488.3083 -> 299.3083
PGp (16:0)	486.2926 -> 297.2926
PG (14:0)	474.2562 -> 285.2562
PG (14:1)	472.2406 -> 283.2406
PG (12:0)	460.2042 -> 271.2042
LPG (12:0)	446.2249 -> 257.2249
PG (44:0)	908.705 -> 719.705
PI (44:1)	994.7054 -> 717.7054
PI (44:2)	992.6897 -> 715.6897
PI (44:3)	990.6741 -> 713.6741
PI (44:4)	988.6584 -> 711.6584
PI (44:5)	986.6428 -> 709.6428
PI (44:6)	984.6271 -> 707.6271
PI (44:7)	982.6115 -> 705.6115
PI (44:8)	980.5958 -> 703.5958
PI (44:10)	976.5645 -> 699.5645
PI (44:12)	972.5332 -> 695.5332
PI (42:0)	968.6897 -> 691.6897
PI (42:1)	966.6741 -> 689.6741
PI (42:3)	962.6428 -> 685.6428
PI (42:4)	960.6271 -> 683.6271
PI (42:5)	958.6115 -> 681.6115
PI (42:6)	956.5958 -> 679.5958
PIo (42:0)	954.7105 -> 677.7105
PI (42:7)	954.5802 -> 677.5802
PIo (42:1)	952.6948 -> 675.6948
PI (42:8)	952.5645 -> 675.5645
PIo (42:2)	950.6792 -> 673.6792
PI (42:9)	950.5489 -> 673.5489
PIp (42:2)	948.6635 -> 671.6635
PI (42:10)	948.5332 -> 671.5332
PIo (42:4)	946.6479 -> 669.6479
PI (42:11)	946.5176 -> 669.5176
PIp (42:4)	944.6322 -> 667.6322
PIo (42:6)	942.6166 -> 665.6166
PI (40:0)	940.6584 -> 663.6584
PIp (42:6)	940.6009 -> 663.6009
PI (40:1)	938.6428 -> 661.6428
PI (40:2)	936.6271 -> 659.6271
PI (40:3)	934.6115 -> 657.6115
PI (40:4)	932.5958 -> 655.5958
PI (40:5)	930.5802 -> 653.5802
PI (40:6)	928.5645 -> 651.5645
PIo (40:7)	926.6792 -> 649.6792
PI (40:7)	926.5489 -> 649.5489
PIo (40:1), PIp (40:0)	924.6635 -> 647.6635
PI (40:8)	924.5332 -> 647.5332
PIo (40:2), PIp (40:1)	922.6479 -> 645.6479
PI (40:9)	922.5176 -> 645.5176
PIo (40:3), PIp (40:2)	920.6322 -> 643.6322
PI (40:10)	920.5019 -> 643.5019
PIo (40:4), PIp (40:3)	918.6166 -> 641.6166
PIo (40:5), PIp (40:4)	916.6009 -> 639.6009
PIo (40:6), PIp (40:5)	914.5853 -> 637.5853
PI (38:0)	912.6271 -> 635.6271
PIp (40:6)	912.5696 -> 635.5696
PI (38:1)	910.6115 -> 633.6115
PI (38:2)	908.5958 -> 631.5958
PI (38:3)	906.5802 -> 629.5802
PI (38:4)	904.5645 -> 627.5645
PI (38:5)	902.5489 -> 625.5489
PI (38:6)	900.5332 -> 623.5332
PI (38:7)	898.5176 -> 621.5176
PIo (38:1), PIp (38:0)	896.6322 -> 619.6322
PI (38:8)	896.5019 -> 619.5019
PIo (38:2), PIp (38:1)	894.6166 -> 617.6166
PI (38:9)	894.4863 -> 617.4863
PIo (38:3), PIp (38:2)	892.6009 -> 615.6009
PIo (38:4), PIp (38:3)	890.5853 -> 613.5853
PIo (38:5), PIp (38:4)	888.5696 -> 611.5696
PIo (38:6), PIp (38:5)	886.554 -> 609.554
PI (36:0)	884.5958 -> 607.5958
PIp (38:6)	884.5383 -> 607.5383
PI (36:1)	882.5802 -> 605.5802
PI (36:2)	880.5645 -> 603.5645
PI (36:3)	878.5489 -> 601.5489
PI (36:4)	876.5332 -> 599.5332
PI (36:5)	874.5176 -> 597.5176
PI (36:6)	872.5019 -> 595.5019
PIo (36:0)	870.6166 -> 593.6166
PI (36:7)	870.4863 -> 593.4863
PIo (36:1), PIp (36:0)	868.6009 -> 591.6009
PI (36:8)	868.4706 -> 591.4706
PIo (36:2), PIp (36:1)	866.5853 -> 589.5853
PIo (36:3), PIp (36:2)	864.5696 -> 587.5696
PIo (36:4), PIp (36:3)	862.554 -> 585.554
PIo (36:5), PIp (36:4)	860.5383 -> 583.5383
PIp (36:5)	858.5227 -> 581.5227
PI (34:0)	856.5645 -> 579.5645
PI (34:1)	854.5489 -> 577.5489
PI (34:2)	852.5332 -> 575.5332
PI (34:3)	850.5176 -> 573.5176
PI (34:4)	848.5019 -> 571.5019
PI (34:5)	846.4863 -> 569.4863
PI (34:6)	844.4706 -> 567.4706
PIo (34:0)	842.5853 -> 565.5853
PIo (34:1), PIp (34:0)	840.5696 -> 563.5696
PIp (34:1)	838.554 -> 561.554
PIo (34:3), PIp (34:2)	836.5383 -> 559.5383
PIo (34:4), PIp (34:3)	834.5227 -> 557.5227
PIp (34:4)	832.507 -> 555.507
PI (32:0)	828.5332 -> 551.5332
PI (32:1)	826.5176 -> 549.5176
PI (32:2)	824.5019 -> 547.5019
PI (32:3)	822.4863 -> 545.4863
PI (32:4)	820.4706 -> 543.4706
PI (32:5)	818.455 -> 541.455
PIo (32:0)	814.554 -> 537.554
PIo (32:1), PIp (32:0)	812.5383 -> 535.5383
PIp (32:1)	810.5227 -> 533.5227
PI (30:0)	800.5019 -> 523.5019
PI (30:1)	798.4863 -> 521.4863
PI (30:2)	796.4706 -> 519.4706
PI (30:3)	794.455 -> 517.455
PI (30:4)	792.4393 -> 515.4393
PIo (30:0)	786.5227 -> 509.5227
PIo (30:1)	784.507 -> 507.507
PIp (30:1)	782.4914 -> 505.4914
PI (28:0)	772.4706 -> 495.4706
PI (28:1)	770.455 -> 493.455
PI (28:2)	768.4393 -> 491.4393
PIo (28:0)	758.4914 -> 481.4914
PIp (28:0)	756.4757 -> 479.4757
PI (26:0)	744.4393 -> 467.4393
PI (26:1)	742.4237 -> 465.4237
PI (24:0)	716.408 -> 439.408
PI (22:0)	674.3975 -> 397.3975
PI (22:1)	672.3818 -> 395.3818
PI (22:2)	670.3662 -> 393.3662
PI (22:4)	666.3349 -> 389.3349
PI (22:6)	662.3036 -> 385.3036
PI (20:0)	646.3662 -> 369.3662
PI (20:1)	644.3505 -> 367.3505
PI (20:2)	642.3349 -> 365.3349
PI (20:3)	640.3192 -> 363.3192
PI (20:4)	638.3036 -> 361.3036
PI (20:5)	636.2879 -> 359.2879
PIo (20:5)	632.3869 -> 355.3869
PIp (20:0)	630.3713 -> 353.3713
PI (18:0)	618.3349 -> 341.3349
PI (18:1)	616.3192 -> 339.3192
PI (18:2)	614.3036 -> 337.3036
PI (18:3)	612.2879 -> 335.2879
PI (18:4)	610.2723 -> 333.2723
PIo (18:0)	604.3556 -> 327.3556
PIp (18:0)	602.34 -> 325.34
PI (16:0)	590.3036 -> 313.3036
PI (16:1)	588.2879 -> 311.2879
PIo (16:0)	576.3243 -> 299.3243
PIp (16:0)	574.3087 -> 297.3087
PI (14:0)	562.2723 -> 285.2723
PI (14:1)	560.2566 -> 283.2566
PI (12:0)	534.241 -> 257.241
PI (44:0)	996.721 -> 719.721
PS (12:0)	442.2202 -> 257.2202
PS (12:0)	456.1994 -> 271.1994
PS (14:1)	468.2358 -> 283.2358
PS (14:0)	470.2515 -> 285.2515
PSp (16:0)	482.2879 -> 297.2879
PSo (16:0)	484.3035 -> 299.3035
PS (16:1)	496.2671 -> 311.2671
PS (16:0)	498.2828 -> 313.2828
PSp (18:0)	510.3192 -> 325.3192
PSo (18:0)	512.3348 -> 327.3348
PS (18:4)	518.2515 -> 333.2515
PS (18:3)	520.2671 -> 335.2671
PS (18:2)	522.2828 -> 337.2828
PS (18:1)	524.2984 -> 339.2984
PS (18:0)	526.3141 -> 341.3141
PSp (20:0)	538.3505 -> 353.3505
PSo (20:0)	540.3661 -> 355.3661
PS (20:5)	544.2671 -> 359.2671
PS (20:4)	546.2828 -> 361.2828
PS (20:3)	548.2984 -> 363.2984
PS (20:2)	550.3141 -> 365.3141
PS (20:1)	552.3297 -> 367.3297
PS (20:0)	554.3454 -> 369.3454
PS (22:7)	568.3246 -> 383.3246
PS (22:6)	570.2828 -> 385.2828
PS (22:4)	574.3141 -> 389.3141
PS (22:2)	578.3454 -> 393.3454
PS (22:1)	580.361 -> 395.361
PS (22:0)	582.3767 -> 397.3767
PS (24:0)	624.3872 -> 439.3872
PS (26:1)	650.4029 -> 465.4029
PS (26:0)	652.4185 -> 467.4185
PSp (28:0)	664.4549 -> 479.4549
PSo (28:0)	666.4706 -> 481.4706
PS (28:2)	676.4185 -> 491.4185
PS (28:1)	678.4342 -> 493.4342
PS (28:0)	680.4498 -> 495.4498
PSp (30:1)	690.4706 -> 505.4706
PSo (30:1)	692.4862 -> 507.4862
PSo (30:0)	694.5019 -> 509.5019
PS (30:4)	700.4185 -> 515.4185
PS (30:3)	702.4342 -> 517.4342
PS (30:2)	704.4498 -> 519.4498
PS (30:1)	706.4655 -> 521.4655
PS (30:0)	708.4811 -> 523.4811
PSp (32:1)	718.5019 -> 533.5019
PSo (32:1)	720.5175 -> 535.5175
PSo (32:0)	722.5332 -> 537.5332
PS (32:5)	726.4342 -> 541.4342
PS (32:4)	728.4498 -> 543.4498
PS (32:3)	730.4655 -> 545.4655
PS (32:2)	732.4811 -> 547.4811
PS (32:1)	734.4968 -> 549.4968
PS (32:0)	736.5124 -> 551.5124
PSp (34:4)	740.4862 -> 555.4862
PSo (34:4)	742.5019 -> 557.5019
PSo (34:2)	744.5175 -> 559.5175
PSo (34:2)	746.5332 -> 561.5332
PSo (34:1)	748.5488 -> 563.5488
PSo (34:0)	750.5645 -> 565.5645
PS (34:6)	752.4498 -> 567.4498
PS (34:5)	754.4655 -> 569.4655
PS (34:4)	756.4811 -> 571.4811
PS (34:3)	758.4968 -> 573.4968
PS (34:2)	760.5124 -> 575.5124
PS (34:1)	762.5281 -> 577.5281
PS (34:0)	764.5437 -> 579.5437
PSp (36:5)	766.5019 -> 581.5019
PSo (36:5)	768.5175 -> 583.5175
PSo (36:4)	770.5332 -> 585.5332
PSo (36:3)	772.5488 -> 587.5488
PSo (36:2)	774.5645 -> 589.5645
PS (36:8)	776.5801 -> 591.5801
PS (36:7)	778.4655 -> 593.4655
PS (36:6)	780.4811 -> 595.4811
PS (36:5)	782.4968 -> 597.4968
PS (36:4)	784.5124 -> 599.5124
PS (36:3)	786.5281 -> 601.5281
PS (36:2)	788.5437 -> 603.5437
PS (36:1)	790.5594 -> 605.5594
PSp (38:6)	792.5175 -> 607.5175
PS (36:0)	792.575 -> 607.575
PSo (38:6)	794.5332 -> 609.5332
PSo (38:5)	796.5488 -> 611.5488
PSo (38:4)	798.5645 -> 613.5645
PSo (38:3)	800.5801 -> 615.5801
PS (38:9)	802.4655 -> 617.4655
PSo (38:2)	802.5958 -> 617.5958
PS (38:8)	804.4811 -> 619.4811
PSo (38:3)	804.6114 -> 619.6114
PS (38:7)	806.4968 -> 621.4968
PSo (38:0)	806.6271 -> 621.6271
PS (38:6)	808.5124 -> 623.5124
PS (38:5)	810.5281 -> 625.5281
PS (38:4)	812.5437 -> 627.5437
PS (38:3)	814.5594 -> 629.5594
PS (38:2)	816.575 -> 631.575
PS (38:1)	818.5907 -> 633.5907
PSp (40:6)	820.5488 -> 635.5488
PS (38:0)	820.6063 -> 635.6063
PSo (40:6)	822.5645 -> 637.5645
PSo (40:5)	824.5801 -> 639.5801
PSo (40:4)	826.5958 -> 641.5958
PSo (40:3)	828.4811 -> 643.4811
PSp (40:2)	828.6114 -> 643.6114
PS (40:9)	830.4968 -> 645.4968
PSo (40:2)	830.6271 -> 645.6271
PS (40:8)	832.5124 -> 647.5124
PSo (40:1)	832.6427 -> 647.6427
PS (40:7)	834.5281 -> 649.5281
PSo (40:0)	834.6584 -> 649.6584
PSo (40:6)	836.5437 -> 651.5437
PS (40:5)	838.5594 -> 653.5594
PS (40:4)	840.575 -> 655.575
PS (40:3)	842.5907 -> 657.5907
PS (40:2)	844.6063 -> 659.6063
PS (40:1)	846.622 -> 661.622
PSp (42:6)	848.5801 -> 663.5801
PS (40:0)	848.6376 -> 663.6376
PSo (42:6)	850.5958 -> 665.5958
PSp (42:4)	852.6114 -> 667.6114
PS (42:11)	854.4968 -> 669.4968
PSo (42:4)	854.6271 -> 669.6271
PS (42:10)	856.5124 -> 671.5124
PSp (42:2)	856.6427 -> 671.6427
PS (42:9)	858.5281 -> 673.5281
PSo (42:2)	858.6584 -> 673.6584
PS (42:8)	860.5437 -> 675.5437
PSo (42:1)	860.674 -> 675.674
PS (42:7)	862.5594 -> 677.5594
PS (42:6)	864.575 -> 679.575
PS (42:5)	866.5907 -> 681.5907
PS (42:4)	868.6063 -> 683.6063
PS (42:3)	870.622 -> 685.622
PS (42:2)	872.6376 -> 687.6376
PS (42:1)	874.6533 -> 689.6533
PS (42:0)	876.6689 -> 691.6689
PS (44:10)	884.5437 -> 699.5437
PS (44:8)	888.575 -> 703.575
PS (44:7)	890.5907 -> 705.5907
PS (44:6)	892.6063 -> 707.6063
PS (44:5)	894.622 -> 709.622
PS (44:4)	896.6376 -> 711.6376
PS (44:3)	898.6533 -> 713.6533
PS (44:2)	900.6689 -> 715.6689
PS (44:1)	902.6846 -> 717.6846
PS (44:0)	904.7002 -> 719.7002
TAG(48:3)_FA 18:0	818.8 -> 517.8
TAG(48:3)_FA 18:1	818.8 -> 519.8
TAG(48:3)_FA 16:0	818.8 -> 545.8
TAG(48:3)_FA 16:1	818.8 -> 547.8
TAG(48:2)_F A18:0	820.8 -> 519.8
TAG(48:2)_FA 18:1	820.8 -> 521.8
TAG(48:2)_FA 16:0	820.8 -> 547.8
TAG(48:2)_FA 16:1	820.8 -> 549.8
TAG(48:1)_FA18:0	822.8 -> 521.8
TAG(48:1)_FA 18:1	822.8 -> 523.8
TAG(48:1)_FA 16:0	822.8 -> 549.8
TAG(48:1)_FA 16:1	822.8 -> 551.8
TAG(48:0)_FA 18:0	824.8 -> 523.8
TAG(48:0)_FA 18:1	824.8 -> 525.8
TAG(48:0)_FA 16:0	824.8 -> 551.8
TAG(48:0)_FA 16:1	824.8 -> 553.8
TAG(50:4)_FA 18:0	846.8 -> 545.8
TAG(50:4)_FA 18:1	846.8 -> 547.8
TAG(50:4)_FA 16:0	846.8 -> 573.8
TAG(50:4)_FA 16:1	846.8 -> 575.8
TAG(50:3)_FA 18:0	848.8 -> 547.8
TAG(50:3)_FA 18:1	848.8 -> 549.8
TAG(50:3)_FA 16:0	848.8 -> 575.8
TAG(50:3)_FA 16:1	848.8 -> 577.8
TAG(50:2)_FA 18:0	850.8 -> 549.8
TAG(50:2)_FA 18:1	850.8 -> 551.8
TAG(50:2)_FA 16:0	850.8 -> 577.8
TAG(50:2)_FA 16:1	850.8 -> 579.8
TAG(50:1)_FA 18:0	852.8 -> 551.8
TAG(50:1)_FA 18:1	852.8 -> 553.8
TAG(50:0)_FA 16:0	852.8 -> 579.8
TAG(50:0)_FA 16:1	852.8 -> 581.8
TAG(52:6)_FA 18:0	868.7 -> 567.7
TAG(52:6)_FA 18:1	868.7 -> 569.7
TAG(52:6)_FA 16:0	868.7 -> 595.7
TAG(52:6)_FA 16:1	868.7 -> 597.7
TAG(52:5)_FA 18:0	870.8 -> 569.8
TAG(52:5)_FA 18:1	870.8 -> 571.8
TAG(52:5)_FA 16:0	870.8 -> 597.8
TAG(52:5)_FA 16:1	870.8 -> 599.8
TAG(52:4)_FA 18:0	872.8 -> 571.8
TAG(52:4)_FA 18:1	872.8 -> 573.8
