lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
DG(44:5)_C18:2,-0.2646110566018587,4.279046001593411,0.5856286038506369,0.44411450644185996,0.8502041449154037,DAG,50658.0235710144,50272.183307647705,55232.42404556274,48746.22353744507,52435.46399688721,54463.78396606445,53581.02397155762,48677.5435295105,51684.523540496826,48607.64336013794,54792.383975982666,62333.48449707031
DG(44:6)_C18:2,-0.2761555257860675,4.033045896479465,0.6379008576085425,0.4244719507357867,0.8502041449154037,DAG,42752.86318588257,39167.18267440796,48260.00355911255,38906.662590026855,43137.98315048218,42813.92325210571,39784.94289779663,43860.50309371948,43737.563205718994,42866.90312194824,40499.32304763794,59540.28436660767
DG(44:7)|DG(43:0)_C18:1,-0.31271615381988915,5.072801448752509,0.818330533074004,0.36566873127228156,0.8502041449154037,DAG,90199.16660308838,87836.78581619263,90617.88681030272,89376.36658859253,93745.56673431396,89516.16667556763,90439.82676315308,92004.78604507446,92850.04634857178,92237.88673019408,95065.366771698,96493.9673614502
DG(44:7)|DG(43:0)_C18:2,-0.28665363626904533,4.139594739294084,0.6874038956298136,0.4070488182015201,0.8502041449154037,DAG,45650.06332778931,46837.583236694336,48490.82341384888,45541.143127441406,49239.22361755371,46916.20338058472,52969.483543396,46349.36331939697,47015.90319442749,45226.00326538086,44159.78305435181,54348.66394805908
DG(44:8)|DG(43:1)_C18:2,-0.31021691197640505,5.264626720479683,0.8052919387719157,0.36951586164536754,0.8502041449154037,DAG,106703.70791244508,100564.26710891724,103757.82678604126,101731.9871826172,98909.84742736816,101845.38655471802,105711.80739593506,105140.02725601196,101746.9678955078,106129.0271987915,107181.98756027222,112430.02737045288
DG(44:9)|DG(43:2)_C18:0,-0.3332307475043163,3.8948021398143506,0.929298081599427,0.33504538457509975,0.8502041449154037,DAG,35020.40236663818,31815.96225738525,38757.04273223877,38856.74275970459,33885.402324676514,69669.52513504028,36959.5827293396,33481.7624206543,35986.62261581421,48608.68327713013,58072.88445663452,39812.06283950806
DG(44:9)|DG(43:2)_C18:2,-0.29971682452323734,6.008844024677132,0.7516492036729687,0.3859545849511226,0.8502041449154037,DAG,175811.51294326782,174724.151096344,169845.53142547607,173274.2928237915,176438.51329803467,170960.13167190552,176486.81312561035,187301.3339958191,170954.33222579956,174749.51175689697,172777.01211547852,179690.4322013855
DG(dO-38:9)|DG(35:2)_C18:1,-0.30331934637717234,4.317319422925926,0.7697888346954187,0.3802823859258733,0.8502041449154037,DAG,52652.36381149292,53823.80406188965,53560.10391998291,52751.88409805298,52560.88376998901,55093.7043800354,54088.203941345215,55918.72401046753,52685.68382263184,56393.74385070801,52559.04369735718,57985.12417602539
FA(25:4),-0.31600759926817923,5.811968406017387,0.8356972990950453,0.36063025208044125,0.8502041449154037,FA,196421.555267334,145155.94689941406,214731.51586914065,168501.43212890625,131149.1298828125,137552.82989501953,169168.4141845703,194440.8917236328,225520.31561279297,134893.84887695312,115232.28692626952,60962.44451904297
FA(27:0) | FA(28:7),-0.28403848585566727,5.68828956143708,0.6749654078630556,0.411325777672213,0.8502041449154037,FA,174175.3934173584,147552.4727783203,174143.542470932,129658.72715759276,194286.40234375,118603.75907707214,157311.8916015625,174021.90374565125,195609.01448440552,164423.08004570007,80167.43533325195,40718.6729888916
FA(28:1),0.2719792264220399,9.575164122039304,0.6118026992189698,0.43410986831032555,0.8502041449154037,FA,3398369.988647461,1770113.8652000427,4573963.864746094,2136229.933227539,2330019.833251953,3321509.593383789,2999207.3494873047,2678379.178833008,825884.8607749939,1652851.6484222412,1472555.4193115234,140184.7899169922
FA(42:6),-0.3378870784093552,4.826966007388984,0.9555618343579226,0.3283076092573137,0.8502041449154037,FA,59583.14310836792,90318.20851898192,63016.0051574707,63384.78500366211,94079.20635604858,167786.09258651733,71461.66374588013,96677.08847427368,77187.52570724487,130850.56859588625,76464.80421066284,10848.6806640625
LPC(14:0)|PC(O-14:0)|LPC(O-15:0),-0.2932648920772303,6.112609078321606,0.7195948068515463,0.39627685200916707,0.8502041449154037,PC,170789.61254882812,176404.29223632812,195687.693359375,200116.05493164065,176156.392578125,171978.87182617188,169613.87353515625,181678.6936035156,194466.0134277344,166861.5712890625,204156.03442382807,234598.55541992188
LPC(14:1)|LPC(P-15:0),-0.2885043205787333,6.069672960712448,0.6963901410406379,0.4039993241309976,0.8502041449154037,PC,166185.41162109375,168982.67138671875,188111.2326660156,202764.27490234372,175182.01245117188,162099.43139648438,170183.03076171875,172186.43237304688,188962.193359375,164459.95153808594,192751.5732421875,226678.43603515625
LPC(O-10:1),-0.2906576375556404,3.959778716308608,0.706760153107439,0.4005214652123826,0.8502041449154037,PC,38989.44241333008,40534.602966308594,44180.763244628906,49364.34362792969,48288.42401123047,38806.14245605469,41720.30307006836,40315.66284179688,42289.6633605957,45394.58346557617,47566.922790527344,40007.742736816406
LPE(17:1)|LPE(O-18:1)|LPE(P-18:0),-0.3183427425936733,6.5321252386785265,0.8481242936289846,0.35708350808306505,0.8502041449154037,PE,196606.3130493164,226897.93438720703,397326.74755859375,405444.4925537109,315426.28076171875,225947.4144287109,239846.07598876956,226083.6141357422,393630.45178222656,274908.044128418,312594.24841308594,71574.94512939453
LPE(17:2),-0.2990989417218551,4.754519169680234,0.7485126730193771,0.3869475362125421,0.8502041449154037,PE,55144.32409667969,67830.92468261719,95870.42626953124,84099.50592041016,71461.82489013672,77758.94537353516,74725.86627197266,66912.84484863281,77524.68542480469,65281.585205078125,88314.68615722656,76645.78509521484
LPE(20:5),-0.283660122303683,5.076628213823297,0.6731376677398657,0.41195980749712,0.8502041449154037,PE,177517.19206619263,54129.843116760254,93954.16564559937,71474.52534103394,6834.5004959106445,5978.800304412842,128358.8297805786,13225.020961761476,17578.421298980713,22006.74171066284,253888.56244659424,176354.4186477661
LPG(20:3),-0.2669937278161046,5.078723316667089,0.5962706259015249,0.4400044994310422,0.8502041449154037,PG,60900.92425537109,86294.16564941406,105420.5473022461,131571.50909423828,92249.72625732422,97939.10693359376,90802.58709716795,77601.2055053711,94644.9659423828,81030.16564941406,117797.00769042967,98606.96630859376
LPG(20:4),-0.2641509323303291,4.736694971911625,0.5836140536707717,0.4448992037473735,0.8502041449154037,PG,53665.36395263672,63832.56488037109,105352.4066772461,86099.5463256836,76038.14532470703,82569.16571044922,80322.885498046875,63453.34442138672,78974.7060546875,63128.38470458984,85483.14599609375,66128.62487792969
LPI(18:0),0.27056532059268096,6.5010314310999355,0.6054695038785665,0.43649873927460514,0.8502041449154037,PI,205725.93359375,190785.6154785156,312121.8806152344,249143.6774902344,265050.9187011719,442210.013671875,170775.17236328125,161787.5311279297,192290.43237304688,161979.69091796875,225948.6579589844,400843.1767578125
LPI(18:1),0.2947055966344223,5.593898482925509,0.7177662688745843,0.3968775922959523,0.8502041449154037,PI,93092.34631347656,107505.74868774414,288484.8204345703,188252.0941162109,216458.1148071289,231961.4965209961,114525.32763671876,82445.28552246094,115801.86889648438,113590.1283569336,165251.99200439453,64739.804290771484
LPI(19:0)|LPI(O-20:0),-0.30765954334868895,5.137381984893857,0.7903911211564036,0.3739818852588782,0.8502041449154037,PI,2273.6401557922363,2975.020221710205,2143.460159301758,2711.380187988281,5096.360256195068,2354.28016281128,1967.220127105713,2324.660167694092,2009.320140838623,6219.140586853027,2275.800151824951,649549.9510498047
LPS(20:2),-0.2926467155543871,6.107220869954682,0.7165638362812388,0.3972733513843149,0.8502041449154037,PS,209510.294921875,285799.4055786133,215211.91438674927,38307.12292480469,225711.43655395508,258191.33837890625,66393.50361251831,351460.019985199,43737.64315032959,214065.6746826172,442152.05335617065,41663.323123931885
