lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
[TG(54:6)]_FA18:1,-0.720408146365863,6.211032392755279,3.766297254955134,0.05229527784233896,0.3477041801031582,TAG,110073.66821289062,133241.3302001953,398768.3504638672,106943.4486694336,118951.80871582033,43440.762939453125
[TG(58:8)|TG(57:1)]_FA22:5,0.6974903204420498,7.072268536704864,3.768670824036235,0.0522211148044465,0.3477041801031582,TAG,467508.1688232422,339900.8842773437,293226.9401245117,259154.2781677246,226508.2974243164,52418.30358886719
[TG(66:13)|TG(65:6)]_FA22:6,0.6986022079179385,5.004583524135188,3.780238626564824,0.05186126402657571,0.3477041801031582,TAG,101157.78746414185,78767.86524963379,49679.523361206055,71035.90476989746,51461.463764190674,29312.141998291016
PE(38:5),-0.7203285424059118,8.293066980160727,3.7657200931134867,0.0523133283170532,0.3477041801031582,PE,478604.31677246094,592815.25927734375,1180703.40234375,903442.6435546876,635912.1628417969,90965.40686035156
PG(16:0)|LPG(17:0)|LPG(O-18:0),0.6982890537712619,6.43501258809613,3.7772787536741816,0.051953089165175236,0.3477041801031582,PG,286805.0002441406,228809.17553710935,228141.4754638672,96246.5067062378,177645.45287322998,39920.40306472778
PG(40:5),-0.7212292407376072,10.01600548136203,3.7749492556249606,0.052025478931246434,0.3477041801031582,PG,1513619.3635253906,1749458.330078125,3337577.124023437,2701244.240234375,2279082.022460937,911319.083984375
[TG(52:5)]_FA20:4,-0.7171235163992808,8.786596026760868,3.7331491001241375,0.05334273546447527,0.3530885821906,TAG,665693.10107421875,818850.18017578125,2268271.404785156,586891.34375,957348.5505371094,187618.8330078125
DG(37:4)_C18:2,-0.717366729145092,3.2516226304232974,3.733099536316786,0.05334431817268058,0.3530885821906,DAG,10758.560703277588,17935.60134124756,18098.761379241943,31137.04202270508,22557.76170730591,12137.02091217041
PS(O-37:0),0.6893707239862155,7.531603601921401,3.6808979238558086,0.055039201817488434,0.363554397129154,PS,559480.34033203125,442576.60791015625,390189.9287109375,391711.0495605469,180121.5535774231,210536.19506835935
PE(39:4)|PE(O-40:4)|PE(P-40:3),-0.7104587263035743,6.643395873596393,3.6656228866559104,0.05554587741264243,0.3661446805942636,PE,131087.12951660156,183693.2130126953,306204.7443847656,271274.9582519531,213948.33532714844,95923.88708496094
