Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Genotype,Dilution Factor,Sex2,Sex,Brain Region,method_type,Blank Subtraction
PE (18:1),480.3,339.3,27638.361724853516,480.3 -> 339.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEp (20:0),494.4,353.4,29729.82196044922,494.4 -> 353.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1260.9000549316406
PEo (20:0),496.4,355.4,32193.102325439453,496.4 -> 355.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1920.1601257324219
PE (20:5),500.3,359.3,184050.43310546875,500.3 -> 359.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,8749.640625
PE (20:4),502.3,361.3,38530.56286621094,502.3 -> 361.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1694.3204650878906
PE (20:3),504.3,363.3,46887.54376220703,504.3 -> 363.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (20:2),506.3,365.3,25220.48179626465,506.3 -> 365.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (20:1),508.3,367.3,33775.54232788086,508.3 -> 367.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (20:0),510.4,369.4,27954.422119140625,510.4 -> 369.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (22:6),526.3,385.3,54636.263671875,526.3 -> 385.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (22:4),530.3,389.3,35654.14242553711,530.3 -> 389.3,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2317.500030517578
PE (22:2),534.4,393.4,30791.48223876953,534.4 -> 393.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1526.080078125
PE (22:1),536.4,395.4,26131.341873168945,536.4 -> 395.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2414.0401763916016
PE (22:0),538.4,397.4,28125.702087402344,538.4 -> 397.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,617.6999969482422
PE (24:0),580.4,439.4,54140.243896484375,580.4 -> 439.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (26:1),606.4,465.4,41529.66259765625,606.4 -> 465.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (26:0),608.4,467.4,50892.44354248047,608.4 -> 467.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1610.4000854492188
PEp (28:0),620.5,479.5,26990.76206970215,620.5 -> 479.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,326.82029724121094
PEo (28:0),622.5,481.5,30266.542083740234,622.5 -> 481.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1820.4001159667969
PE (28:2),632.4,491.4,64246.444274902344,632.4 -> 491.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,5243.460021972656
PE (28:0),636.5,495.5,42017.082946777344,636.5 -> 495.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,892.199951171875
PEp (30:1),646.5,505.5,29205.38217163086,646.5 -> 505.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEp (30:0),648.5,507.5,27368.202087402344,648.5 -> 507.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (30:0),650.5,509.5,44597.783294677734,650.5 -> 509.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,12474.541198730469
PE (30:4),656.4,515.4,28791.52197265625,656.4 -> 515.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (30:3),658.4,517.4,35053.522705078125,658.4 -> 517.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2390.5804748535156
PE (30:2),660.5,519.5,30152.982299804688,660.5 -> 519.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,493.9602966308594
PE (30:1),662.5,521.5,29401.562072753906,662.5 -> 521.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (30:0),664.5,523.5,53188.54333496094,664.5 -> 523.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1103.7596435546875
PEp (32:1),674.5,533.5,30787.442016601562,674.5 -> 533.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1477.6800689697266
PEo (32:1),676.5,535.5,49693.003479003906,676.5 -> 535.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,4354.980407714844
PEo (32:5),678.5,537.5,40483.862884521484,678.5 -> 537.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (32:5),682.4,541.4,35433.842346191406,682.4 -> 541.4,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (32:4),684.5,543.5,31050.162231445312,684.5 -> 543.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (32:3),686.5,545.5,49690.14367675781,686.5 -> 545.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2148.940460205078
PE (32:2),688.5,547.5,38111.38232421875,688.5 -> 547.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (32:1),690.5,549.5,38870.46270751953,690.5 -> 549.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1618.059814453125
PEp (34:4),696.5,555.5,33940.30224609375,696.5 -> 555.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,892.3197937011719
PEo (34:4),698.5,557.5,32995.60241699219,698.5 -> 557.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,739.0601806640625
PEo (34:3),700.5,559.5,33650.28225708008,700.5 -> 559.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (34:2),702.5,561.5,43032.12301635742,702.5 -> 561.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1146.8399353027344
PEo (34:1),704.6,563.6,76009.62503051758,704.6 -> 563.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (34:0),706.6,565.6,51983.6838684082,706.6 -> 565.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2650.6204528808594
PE (34:6),708.5,567.5,43168.50308227539,708.5 -> 567.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1087.480224609375
PE (34:5),710.5,569.5,37305.32241821289,710.5 -> 569.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (34:4),712.5,571.5,33911.882385253906,712.5 -> 571.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (34:3),714.5,573.5,42165.62271118164,714.5 -> 573.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,3527.7598876953125
PE (34:0),720.6,579.6,60307.96417236328,720.6 -> 579.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,4821.4605712890625
PEp (36:5),722.5,581.5,43191.76290893555,722.5 -> 581.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1750.4798583984375
PEo (36:5),724.5,583.5,42532.18295288086,724.5 -> 583.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (36:4),726.5,585.5,33586.06234741211,726.5 -> 585.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,173.40008544921875
PEo (36:3),728.6,587.6,37260.04263305664,728.6 -> 587.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2894.0204467773438
PEo (36:2),730.6,589.6,43220.1828918457,730.6 -> 589.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2172.640350341797
PEo (36:1),732.6,591.6,45410.04315185547,732.6 -> 591.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (36:0),734.6,593.6,47215.04333496094,734.6 -> 593.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,6193.8404541015625
PE (36:6),736.5,595.5,45834.52325439453,736.5 -> 595.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,775.2999267578125
PE (36:5),738.5,597.5,58069.483642578125,738.5 -> 597.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,5532.559875488281
PE (36:2),744.6,603.6,84913.00659179688,744.6 -> 603.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,28396.282470703125
PE (36:1),746.6,605.6,63506.92462158203,746.6 -> 605.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,6711.38037109375
PE (36:0),748.6,607.6,53378.90399169922,748.6 -> 607.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,5179.7607421875
PEo (38:6),750.5,609.5,39644.94287109375,750.5 -> 609.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (38:5),752.6,611.6,50226.783599853516,752.6 -> 611.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,610.0201721191406
PEo (38:4),754.6,613.6,44871.06298828125,754.6 -> 613.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (38:3),756.6,615.6,39845.1628112793,756.6 -> 615.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1341.3401489257812
PEo (38:2),758.6,617.6,53126.46374511719,758.6 -> 617.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (38:1),760.6,619.6,59682.96435546875,760.6 -> 619.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,736.5003662109375
PEo (38:0),762.6,621.6,47138.90344238281,762.6 -> 621.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,4194.660583496094
PE (38:6),764.5,623.5,189754.31085205078,764.5 -> 623.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,141689.8070678711
PE (38:5),766.5,625.5,132500.02856445312,766.5 -> 625.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,86486.08502197266
PE (38:4),768.6,627.6,206024.89721679688,768.6 -> 627.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,158822.61404418945
PE (38:3),770.6,629.6,61951.583984375,770.6 -> 629.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,20468.220947265625
PE (38:2),772.6,631.6,51920.443420410156,772.6 -> 631.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,5191.66015625
PE (38:1),774.6,633.6,59312.244201660156,774.6 -> 633.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2407.5203247070312
PEo (40:6),778.6,637.6,58735.76431274414,778.6 -> 637.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (40:5),780.6,639.6,51614.803955078125,780.6 -> 639.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (40:4),782.6,641.6,44712.243103027344,782.6 -> 641.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,958.0401000976562
PEo (40:3),784.6,643.6,47293.5634765625,784.6 -> 643.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1396.0001220703125
PEo (40:2),786.6,645.6,54818.703857421875,786.6 -> 645.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,590.599853515625
PEo (40:0),790.7,649.7,83122.48608398438,790.7 -> 649.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,35903.202697753906
PE (40:5),794.6,653.6,53588.324157714844,794.6 -> 653.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,9217.681091308594
PE (40:4),796.6,655.6,58793.744201660156,796.6 -> 655.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,8660.360900878906
PE (40:3),798.6,657.6,50346.16339111328,798.6 -> 657.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,3644.5601196289062
PE (40:2),800.6,659.6,42911.70333862305,800.6 -> 659.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (42:6),806.6,665.6,45344.002990722656,806.6 -> 665.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,3901.9602966308594
PEp (42:4),808.6,667.6,37882.8229675293,808.6 -> 667.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (42:4),810.6,669.6,38841.582458496094,810.6 -> 669.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PEo (42:2),814.7,673.7,41401.92288208008,814.7 -> 673.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,489.4999084472656
PEp (42:0),816.7,675.7,41274.64288330078,816.7 -> 675.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1551.4999694824219
PEo (42:0),818.7,677.7,37566.382720947266,818.7 -> 677.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:6),820.6,679.6,36305.96267700195,820.6 -> 679.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:5),822.6,681.6,35092.14254760742,822.6 -> 681.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,1184.7400207519531
PE (42:4),824.6,683.6,36558.62255859375,824.6 -> 683.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:3),826.6,685.6,43291.802978515625,826.6 -> 685.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:2),828.6,687.6,42234.342864990234,828.6 -> 687.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:1),830.7,689.7,36455.922424316406,830.7 -> 689.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (42:0),832.7,691.7,37468.96240234375,832.7 -> 691.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,918.5998229980469
PE (44:12),836.5,695.5,34393.602630615234,836.5 -> 695.5,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,2203.380401611328
PE (44:10),840.6,699.6,59967.84423828125,840.6 -> 699.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:6),848.6,707.6,30575.482147216797,848.6 -> 707.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:5),850.6,709.6,32588.982330322266,850.6 -> 709.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:4),852.6,711.6,47931.363342285156,852.6 -> 711.6,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,3650.0000915527344
PE (44:3),854.7,713.7,46906.28308105469,854.7 -> 713.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:2),856.7,715.7,59422.60418701172,856.7 -> 715.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:1),858.7,717.7,47234.963638305664,858.7 -> 717.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,0.0
PE (44:0),860.7,719.7,27546.981903076172,860.7 -> 719.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,880.6802711486816
PE (46:1),886.7,745.7,39474.622886657715,886.7 -> 745.7,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,6533.3806076049805
PE (52:4),964.8,823.8,22572.12142944336,964.8 -> 823.8,PE,PE_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PE,3062.47998046875
Lyso_PI(12:0) | PI (12:0),534.2,257.2,16909.221221923828,534.2 -> 257.2,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2624.0602111816406
Lyso_PI(12:0) | PI (12:0),534.2,257.2,15999.101165771484,534.2 -> 257.2,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1620.1001281738281
Lyso_PI(13:0),548.2,271.2,19936.341278076172,548.2 -> 271.2,PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
Lyso_PI(13:0),548.2,271.2,18867.681243896484,548.2 -> 271.2,PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,338.2198181152344
Lyso_PI(14:1),560.2,283.2,53789.68359375,560.2 -> 283.2,PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5016.6209716796875
Lyso_PI(14:1),560.2,283.2,51154.44372558594,560.2 -> 283.2,PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
Lyso_PI(14:0) | PI (14:0),562.3,285.3,18794.021453857422,562.3 -> 285.3,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1600.9201965332031
Lyso_PI(14:0) | PI (14:0),562.3,285.3,17274.821258544922,562.3 -> 285.3,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
Lyso_PI(15:1) | PIp (16:0),574.3,297.3,21889.72149658203,574.3 -> 297.3,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
Lyso_PI(15:1) | PIp (16:0),574.3,297.3,19853.9814453125,574.3 -> 297.3,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
Lyso_PI(15:0) | PIo (16:0),576.3,299.3,109794.26806640625,576.3 -> 299.3,PI | PI,PI_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2084.1796875
