Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Genotype,Sex,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
[TG(47:3)]_FA16:1,804.7,533.4,32890.14245605469,804.7 -> 533.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,9357.360778808594,TG,TG,3,(47:3),16:1
[TG(47:2)]_FA16:1,806.7,535.4,65316.64453125,806.7 -> 535.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,25018.86151123047,TG,TG,2,(47:2),16:1
[TG(48:8)|TG(47:1)]_FA16:1,808.7,537.4,120854.24768066406,808.7 -> 537.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,32446.921020507812,TG,TG,8,(48:8),16:1
[TG(48:7)|TG(47:0)]_FA16:1,810.8,539.5,28738.262268066406,810.8 -> 539.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,4004.3003540039062,TG,TG,7,(48:7),16:1
[TG(48:6)]_FA16:1,812.7,541.4,19720.66143798828,812.7 -> 541.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,49.71986389160156,TG,TG,6,(48:6),16:1
[TG(48:5)]_FA16:1,814.7,543.4,19067.26123046875,814.7 -> 543.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,918.9201507568359,TG,TG,5,(48:5),16:1
[TG(48:4)]_FA16:1,816.7,545.4,44610.06286621094,816.7 -> 545.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,25608.221420288086,TG,TG,4,(48:4),16:1
[TG(48:3)]_FA16:1,818.7,547.4,419108.73095703125,818.7 -> 547.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,340958.48583984375,TG,TG,3,(48:3),16:1
[TG(48:2)]_FA16:1,820.7,549.4,841784.8094482422,820.7 -> 549.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,742476.58203125,TG,TG,2,(48:2),16:1
[TG(49:8)|TG(48:1)]_FA16:1,822.8,551.5,573689.5078125,822.8 -> 551.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,370071.07275390625,TG,TG,8,(49:8),16:1
[TG(49:7)|TG(48:0)]_FA16:1,824.8,553.5,58792.624450683594,824.8 -> 553.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,29260.062286376953,TG,TG,7,(49:7),16:1
[TG(49:6)]_FA16:1,826.7,555.4,22443.901596069336,826.7 -> 555.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2326.8002014160156,TG,TG,6,(49:6),16:1
[TG(49:5)]_FA16:1,828.7,557.4,21158.80143737793,828.7 -> 557.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2668.900131225586,TG,TG,5,(49:5),16:1
[TG(49:4)]_FA16:1,830.7,559.4,28816.802352905273,830.7 -> 559.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,10103.700958251953,TG,TG,4,(49:4),16:1
[TG(49:3)]_FA16:1,832.7,561.4,84650.72689819336,832.7 -> 561.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,57077.32482910156,TG,TG,3,(49:3),16:1
[TG(50:9)|TG(49:2)]_FA16:1,834.8,563.5,171111.51611328125,834.8 -> 563.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,112540.15209960938,TG,TG,9,(50:9),16:1
[TG(50:8)|TG(49:1)]_FA16:1,836.8,565.5,91084.52673339844,836.8 -> 565.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,27227.121948242188,TG,TG,8,(50:8),16:1
[TG(50:7)|TG(49:0)]_FA16:1,838.8,567.5,37630.90310668945,838.8 -> 567.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,6271.580902099609,TG,TG,7,(50:7),16:1
[TG(50:6)]_FA16:1,840.7,569.4,28525.221801757812,840.7 -> 569.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,6567.500305175781,TG,TG,6,(50:6),16:1
[TG(50:5)]_FA16:1,842.7,571.4,134984.97061157227,842.7 -> 571.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,108354.48873901367,TG,TG,5,(50:5),16:1
[TG(50:4)]_FA16:1,844.7,573.4,2252238.97756958,844.7 -> 573.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2226356.435913086,TG,TG,4,(50:4),16:1
[TG(50:3)]_FA16:1,846.8,575.5,8241551.700683594,846.8 -> 575.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,8158057.175292969,TG,TG,3,(50:3),16:1
[TG(51:9)|TG(50:2)]_FA16:1,848.8,577.5,7491413.213623047,848.8 -> 577.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,7025685.758056641,TG,TG,9,(51:9),16:1
[TG(51:8)|TG(50:1)]_FA16:1,850.8,579.5,831019.201171875,850.8 -> 579.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,582634.3837890625,TG,TG,8,(51:8),16:1
[TG(51:7)|TG(50:0)]_FA16:1,852.8,581.5,67114.3257446289,852.8 -> 581.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,9702.461547851562,TG,TG,7,(51:7),16:1
[TG(51:6)]_FA16:1,854.7,583.4,25529.821685791016,854.7 -> 583.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1150.3998413085938,TG,TG,6,(51:6),16:1
[TG(51:5)]_FA16:1,856.7,585.4,33337.302185058594,856.7 -> 585.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,13767.280822753906,TG,TG,5,(51:5),16:1
[TG(51:4)]_FA16:1,858.8,587.5,166012.95166015625,858.8 -> 587.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,144633.69003295898,TG,TG,4,(51:4),16:1
[TG(52:10)|TG(51:3)]_FA16:1,860.8,589.5,153896.51110839844,860.8 -> 589.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,125633.56893920898,TG,TG,10,(52:10),16:1
[TG(52:9)|TG(51:2)]_FA16:1,862.8,591.5,94200.9873046875,862.8 -> 591.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,51593.72381591797,TG,TG,9,(52:9),16:1
[TG(52:8)|TG(51:1)]_FA16:1,864.8,593.5,68145.62475585938,864.8 -> 593.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,27176.26171875,TG,TG,8,(52:8),16:1
[TG(52:7)|TG(51:0)]_FA16:1,866.8,595.5,63465.264556884766,866.8 -> 595.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,37116.2626953125,TG,TG,7,(52:7),16:1
[TG(52:6)]_FA16:1,868.7,597.4,289130.4977416992,868.7 -> 597.4,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,267412.77618408203,TG,TG,6,(52:6),16:1
[TG(52:5)]_FA16:1,870.8,599.5,2404812.2690429688,870.8 -> 599.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2374106.38671875,TG,TG,5,(52:5),16:1
[TG(52:4)]_FA16:1,872.8,601.5,8317901.558959961,872.8 -> 601.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,8263308.494995117,TG,TG,4,(52:4),16:1
[TG(53:10)|TG(52:3)]_FA16:1,874.8,603.5,7915494.090576172,874.8 -> 603.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,7791073.402099609,TG,TG,10,(53:10),16:1
[TG(53:9)|TG(52:2)]_FA16:1,876.8,605.5,962943.0559082031,876.8 -> 605.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,874513.0100097656,TG,TG,9,(53:9),16:1
[TG(53:8)|TG(52:1)]_FA16:1,878.8,607.5,134020.22973632812,878.8 -> 607.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,49912.10412597656,TG,TG,8,(53:8),16:1
[TG(53:7)|TG(52:0)]_FA16:1,880.8,609.5,35303.00228881836,880.8 -> 609.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,3260.379913330078,TG,TG,7,(53:7),16:1
[TG(53:6)]_FA16:1,882.8,611.5,24892.382080078125,882.8 -> 611.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,4379.580413818359,TG,TG,6,(53:6),16:1
[TG(54:12)|TG(53:5)]_FA16:1,884.8,613.5,34298.60202026367,884.8 -> 613.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,13210.000427246094,TG,TG,12,(54:12),16:1
[TG(54:11)|TG(53:4)]_FA16:1,886.8,615.5,70751.26678466797,886.8 -> 615.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,49511.80535888672,TG,TG,11,(54:11),16:1
[TG(54:10)|TG(53:3)]_FA16:1,888.8,617.5,106694.52770996094,888.8 -> 617.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,79344.76568603516,TG,TG,10,(54:10),16:1
[TG(54:9)|TG(53:2)]_FA16:1,890.8,619.5,72194.32501220703,890.8 -> 619.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,39839.68280029297,TG,TG,9,(54:9),16:1
[TG(54:8)|TG(53:1)]_FA16:1,892.8,621.5,74775.22476196289,892.8 -> 621.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,44706.122619628906,TG,TG,8,(54:8),16:1
[TG(54:7)|TG(53:0)]_FA16:1,894.8,623.5,213270.11627197266,894.8 -> 623.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,186435.89431762695,TG,TG,7,(54:7),16:1
[TG(54:6)]_FA16:1,896.8,625.5,380327.8100280762,896.8 -> 625.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,355147.1882019043,TG,TG,6,(54:6),16:1
[TG(54:5)]_FA16:1,898.8,627.5,428065.39123535156,898.8 -> 627.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,405736.74966430664,TG,TG,5,(54:5),16:1
[TG(55:11)|TG(54:4)]_FA16:1,900.8,629.5,527913.3403930664,900.8 -> 629.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,504496.2986755371,TG,TG,11,(55:11),16:1
[TG(55:10)|TG(54:3)]_FA16:1,902.8,631.5,446065.4297180176,902.8 -> 631.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,419604.4477844238,TG,TG,10,(55:10),16:1
[TG(55:9)|TG(54:2)]_FA16:1,904.8,633.5,113390.48904418945,904.8 -> 633.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,84870.96719360352,TG,TG,9,(55:9),16:1
[TG(55:8)|TG(54:1)]_FA16:1,906.8,635.5,48181.723571777344,906.8 -> 635.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,14196.761169433594,TG,TG,8,(55:8),16:1
[TG(55:7)|TG(54:0)]_FA16:1,908.9,637.6,34578.182556152344,908.9 -> 637.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,6380.840515136719,TG,TG,7,(55:7),16:1
[TG(56:13)|TG(55:6)]_FA16:1,910.8,639.5,37546.70251464844,910.8 -> 639.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1966.9400634765625,TG,TG,13,(56:13),16:1
[TG(56:12)|TG(55:5)]_FA16:1,912.8,641.5,29294.082122802734,912.8 -> 641.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,9071.040618896484,TG,TG,12,(56:12),16:1
[TG(56:11)|TG(55:4)]_FA16:1,914.8,643.5,37208.322692871094,914.8 -> 643.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,15638.421188354492,TG,TG,11,(56:11),16:1
[TG(56:10)|TG(55:3)]_FA16:1,916.8,645.5,39262.56262207031,916.8 -> 645.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,15862.560943603516,TG,TG,10,(56:10),16:1
[TG(56:9)|TG(55:2)]_FA16:1,918.8,647.5,103319.40646362305,918.8 -> 647.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,75374.60430908203,TG,TG,9,(56:9),16:1
[TG(56:8)|TG(55:1)]_FA16:1,920.9,649.6,172933.9356994629,920.9 -> 649.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,142906.25350952148,TG,TG,8,(56:8),16:1
[TG(56:7)|TG(55:0)]_FA16:1,922.9,651.6,219122.67358398438,922.9 -> 651.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,122815.34741210938,TG,TG,7,(56:7),16:1
[TG(56:6)]_FA16:1,924.8,653.5,121033.28994750977,924.8 -> 653.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,66870.36724853516,TG,TG,6,(56:6),16:1
[TG(57:12)|TG(56:5)]_FA16:1,926.8,655.5,52925.40333557129,926.8 -> 655.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,26558.281784057617,TG,TG,12,(57:12),16:1
[TG(57:11)|TG(56:4)]_FA16:1,928.8,657.5,62983.744049072266,928.8 -> 657.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,45393.48272705078,TG,TG,11,(57:11),16:1
[TG(57:10)|TG(56:3)]_FA16:1,930.8,659.5,57177.00401306152,930.8 -> 659.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,36361.92248535156,TG,TG,10,(57:10),16:1
[TG(57:9)|TG(56:2)]_FA16:1,932.9,661.6,38986.462158203125,932.9 -> 661.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,14996.880340576172,TG,TG,9,(57:9),16:1
[TG(57:8)|TG(56:1)]_FA16:1,934.9,663.6,38888.982971191406,934.9 -> 663.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1448.680419921875,TG,TG,8,(57:8),16:1
[TG(58:14)|TG(57:7)|TG(56:0)]_FA16:1,936.9,665.6,28554.461639404297,936.9 -> 665.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,6137.080047607422,TG,TG,14,(58:14),16:1
[TG(58:13)|TG(57:6)]_FA16:1,938.8,667.5,26022.961738586426,938.8 -> 667.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,5734.8403244018555,TG,TG,13,(58:13),16:1
[TG(58:12)|TG(57:5)]_FA16:1,940.8,669.5,20595.601440429688,940.8 -> 669.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2537.0001373291016,TG,TG,12,(58:12),16:1
[TG(58:11)|TG(57:4)]_FA16:1,942.8,671.5,32278.402404785156,942.8 -> 671.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,13788.901123046875,TG,TG,11,(58:11),16:1
[TG(58:10)|TG(57:3)]_FA16:1,944.9,673.6,31017.26222229004,944.9 -> 673.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,11423.840744018555,TG,TG,10,(58:10),16:1
[TG(58:9)|TG(57:2)]_FA16:1,946.9,675.6,57496.3444519043,946.9 -> 675.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,28722.122589111328,TG,TG,9,(58:9),16:1
[TG(58:8)|TG(57:1)]_FA16:1,948.9,677.6,67373.12524414062,948.9 -> 677.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,39726.64324951172,TG,TG,8,(58:8),16:1
[TG(58:7)|TG(57:0)]_FA16:1,950.9,679.6,48704.80252075195,950.9 -> 679.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,28168.661071777344,TG,TG,7,(58:7),16:1
[TG(59:13)|TG(58:6)]_FA16:1,952.8,681.5,28653.621963500977,952.8 -> 681.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,10886.40054321289,TG,TG,13,(59:13),16:1
[TG(59:12)|TG(58:5)]_FA16:1,954.8,683.5,22287.681640625,954.8 -> 683.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,6939.6005859375,TG,TG,12,(59:12),16:1
[TG(59:11)|TG(58:4)]_FA16:1,956.9,685.6,26609.601928710938,956.9 -> 685.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2215.8203125,TG,TG,11,(59:11),16:1
[TG(59:10)|TG(58:3)]_FA16:1,958.9,687.6,23020.601638793945,958.9 -> 687.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,5206.76042175293,TG,TG,10,(59:10),16:1
[TG(59:9)|TG(58:2)]_FA16:1,960.9,689.6,23176.621520996094,960.9 -> 689.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,3821.7601013183594,TG,TG,9,(59:9),16:1
[TG(60:15)|TG(59:8)|TG(58:1)]_FA16:1,962.9,691.6,23647.701599121094,962.9 -> 691.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,519.47998046875,TG,TG,15,(60:15),16:1
[TG(60:14)|TG(59:7)|TG(58:0)]_FA16:1,964.9,693.6,23019.181610107422,964.9 -> 693.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1995.6600341796875,TG,TG,14,(60:14),16:1
[TG(60:13)|TG(59:6)]_FA16:1,966.8,695.5,20314.48139190674,966.8 -> 695.5,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,4554.8403244018555,TG,TG,13,(60:13),16:1
[TG(60:12)|TG(59:5)]_FA16:1,968.9,697.6,28798.062133789062,968.9 -> 697.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,5374.980438232422,TG,TG,12,(60:12),16:1
[TG(60:11)|TG(59:4)]_FA16:1,970.9,699.6,20431.161422729492,970.9 -> 699.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,3475.7203216552734,TG,TG,11,(60:11),16:1
[TG(60:10)|TG(59:3)]_FA16:1,972.9,701.6,16268.721130371094,972.9 -> 701.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,746.9400787353516,TG,TG,10,(60:10),16:1
[TG(60:9)|TG(59:2)]_FA16:1,974.9,703.6,18443.94139099121,974.9 -> 703.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,542.4399871826172,TG,TG,9,(60:9),16:1
[TG(60:8)|TG(59:1)]_FA16:1,976.9,705.6,19416.941314697266,976.9 -> 705.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,431.17987060546875,TG,TG,8,(60:8),16:1
[TG(61:14)|TG(60:7)|TG(59:0)]_FA16:1,978.9,707.6,16888.841064453125,978.9 -> 707.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2101.07999420166,TG,TG,14,(61:14),16:1
[TG(61:13)|TG(60:6)]_FA16:1,980.9,709.6,13611.860969543457,980.9 -> 709.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,0.0,TG,TG,13,(61:13),16:1
[TG(61:12)|TG(60:5)]_FA16:1,982.9,711.6,15498.501113891602,982.9 -> 711.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1211.3402938842773,TG,TG,12,(61:12),16:1
[TG(61:11)|TG(60:4)]_FA16:1,984.9,713.6,14464.921035766602,984.9 -> 713.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,0.0,TG,TG,11,(61:11),16:1
[TG(61:10)|TG(60:3)]_FA16:1,986.9,715.6,13817.740997314453,986.9 -> 715.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,142.9400634765625,TG,TG,10,(61:10),16:1
[TG(62:16)|TG(61:9)|TG(60:2)]_FA16:1,988.9,717.6,16104.961196899414,988.9 -> 717.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,842.9000854492188,TG,TG,16,(62:16),16:1
[TG(62:15)|TG(61:8)|TG(60:1)]_FA16:1,990.9,719.6,15089.921035766602,990.9 -> 719.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,1139.2999725341797,TG,TG,15,(62:15),16:1
[TG(62:14)|TG(61:7)|TG(60:0)]_FA16:1,993.0,721.7,13621.140953063965,993.0 -> 721.7,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,0.0,TG,TG,14,(62:14),16:1
[TG(62:13)|TG(61:6)]_FA16:1,994.9,723.6,16339.401138305664,994.9 -> 723.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,2561.7401275634766,TG,TG,13,(62:13),16:1
[TG(62:12)|TG(61:5)]_FA16:1,996.9,725.6,23935.14161682129,996.9 -> 725.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,0.0,TG,TG,12,(62:12),16:1
[TG(62:11)|TG(61:4)]_FA16:1,998.9,727.6,17738.181198120117,998.9 -> 727.6,TAG,TAG161_FAD131-5xFAD-M1liver_033123_r009,FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,TAG161,0.0,TG,TG,11,(62:11),16:1
