lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
PI (38:3),0.3876547450777285,8.146875186110934,0.6805932706374733,0.40938250836869516,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,71037.14511108398,613214.9002075195,93223.74716186523,130455.16806030272,111191.0869140625,121547.9091796875,133061.08911132812,263321.8995361328,134234.70867919922,127406.55078125,29888.84211730957
PI (38:4),0.4668429636970198,11.055846289743622,0.9857414402940776,0.3207854358314896,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,358304.6840209961,5697146.599731445,487689.34841918945,799294.29541015625,727740.4931640625,740163.1522827148,874214.037109375,2263271.1743164062,953171.1728515624,940725.1865234376,33924.32278442383
PI (38:5),0.6698728817575335,8.878477438175134,2.0203404919957393,0.15520433597731007,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,134137.92880249023,1174254.846496582,153558.68927001953,189538.533203125,193860.15155029297,179355.21249389648,208781.435546875,380437.1266479492,195691.23559570312,197859.41497802737,31828.921997070312
PI (38:6),0.5869851860386341,8.03706992327406,1.554461306122903,0.21247803788098024,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,82134.625732421875,504326.20782470703,107226.1079711914,132818.2098083496,151443.10989379883,125900.75030517578,132386.26947021484,175962.05249023438,124525.7487487793,99560.9071044922,46680.34298706055
PI (38:7),-0.10617639303058038,8.18397777385652,0.051198563782236306,0.820990655003566,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,82226.90475463867,89665.24618530273,123533.06784057616,404383.88671875,179946.09423828125,227171.0609741211,137250.6922607422,141290.1492614746,336788.8462219238,104680.42791748048,39463.90299987793
PI (38:8),0.0668310523062997,6.822607905427871,0.02028630732684178,0.8867403606345662,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,52729.10357666016,68502.32382202148,75661.60534667969,74905.10502624512,63792.26467895508,66207.96520996094,85931.36520385742,56606.9841003418,63356.0041809082,63270.304779052734,38304.08239746094
PI (38:9),0.1436501851730142,6.575302262032668,0.09369437108659895,0.7595320385899993,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,42604.3830871582,60017.44332885742,62989.104553222656,61526.14414215088,58080.864334106445,56915.4443359375,63615.06439208984,54955.383697509766,49956.40347290039,44430.08255004883,40901.10299682617
PI (40:0),0.2816812863278255,8.6730957076573,0.3598560354002984,0.5485862006175795,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,236385.4772033691,194318.01251220703,278214.580657959,270972.2455749512,227833.97509765625,278325.8396911621,196856.3951721191,191403.03326416016,211960.09451293945,171659.79229736328,248674.4577331543
PI (40:1),0.1375591165194094,6.334048438406339,0.08591914550538604,0.7694306763339724,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,31192.742111206055,43750.46270751953,63646.16467285156,54725.96382141113,49536.26301574707,49422.02333068848,56289.84358215332,44288.50277709961,42580.02267456055,37555.62243652344,32715.142013549805
PI (40:10),-0.33154341084266925,7.1277131044613435,0.49821549277021404,0.48028527031214857,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,63463.883613586426,57663.303802490234,62296.54461669922,102498.52571105956,81649.70567703247,121661.1304321289,78485.745849609375,89704.60670471191,98659.6248626709,91258.565185546875,32061.10244750977
PI (40:2),-0.11578650759334536,6.665730061666952,0.060880781841703424,0.8051092059961893,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,40781.842529296875,49762.643142700195,51730.06386566162,60124.32367706299,63483.04507446289,73420.9058380127,58042.52429199219,56830.36353302002,56634.764793396,54503.563720703125,63856.04414367676
PI (40:3),0.04938554581011663,6.200154851746782,0.011077717139642118,0.9161768538351929,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,35606.10235595703,49467.34393310547,45227.56301879883,41139.20281982422,38802.56265258789,46339.94314575195,49137.30270385742,44908.402435302734,34929.32260131836,38168.68273925781,33939.501892089844
PI (40:4),0.2439158483691973,6.493552777009177,0.2699244701780117,0.6033824428241121,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,38413.38279724121,100631.88793945312,47278.20314025879,45723.42347717285,47752.68273925781,49736.9832611084,49897.2834777832,60045.30435180664,45845.123458862305,38984.20307922363,40005.80235290527
PI (40:5),0.44651056911943116,7.140009720986983,0.9020413233579343,0.342234946438612,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,51201.963928222656,188056.6916809082,62421.82443237305,77656.70529174805,75430.8843383789,69362.24449920654,68318.8843383789,84293.725830078125,64601.94515991211,54502.863677978516,85973.32585144043
PI (40:7),0.2959875024217481,7.092059169756746,0.39726112414018666,0.5285071269393415,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,58048.764251708984,157154.71102905273,83130.00622558594,82239.68566894531,67863.92532348633,74704.5852355957,84432.0866394043,78716.105224609375,72549.32498168945,66503.92498779297,36003.922592163086
PI (40:8),0.3043570451060224,6.963118549685168,0.4200005167203926,0.5169367864311993,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,103117.44793701172,76876.22497558594,89296.08660888672,59110.68377685547,56739.083892822266,64918.52423095703,69131.7653503418,70456.94552612305,58800.964599609375,73916.58428955078,41180.28256225586
PI (40:9),0.07748639995580549,6.162017407406527,0.02726903315533491,0.8688390003040068,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,35590.70245361328,46810.38342285156,41437.58334350586,44457.90333557129,39865.38270568848,49616.863677978516,43441.42325592041,40139.42251586914,35050.20266723633,38227.52258300781,31218.941864013672
PI (42:0),-0.07956631365770617,6.6449027682815105,0.028752873606892493,0.8653508945643787,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,45021.42318725586,41553.88245391846,58078.304260253906,43936.143005371094,52442.943923950195,59231.12435913086,57611.54426574707,52233.50400543213,38772.42231750488,61017.48442077637,97259.66902160645
PI (42:1),0.19054831320156357,5.774871056098723,0.16479889611059656,0.6847761771324604,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,25810.62190246582,31539.46200561523,41372.56286621094,35357.0625,31060.501754760742,32161.682159423828,35525.52209472656,29054.762214660645,27341.221870422363,27642.941955566406,24027.881881713867
PI (42:10),0.10195241656906016,5.936966744976302,0.04720290491612644,0.8280039393365048,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,27936.522064208984,47162.883056640625,35341.64193725586,32444.42218399048,34087.362186431885,38887.40287780762,39061.862701416016,35033.64236450195,27947.121952056885,31422.182373046875,31729.622604370117
PI (42:11),0.025920669003839786,7.361904537579203,0.003051946364394098,0.9559437378521265,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,73269.06666564941,83742.20545959473,80286.40408325195,91419.80700683594,95826.7081298828,114288.80925750732,91583.60701751708,78970.94470977783,79490.30630493164,72832.08546447754,145164.92910766602
PI (42:3),0.32717077042622617,6.698426979668793,0.4851776268501453,0.486086377367073,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,88446.66730499268,56574.74318695068,62539.223876953125,38993.82270050049,48931.58309173584,62767.1456451416,49256.743408203125,49429.12368774414,33719.041931152344,61476.023834228516,71772.20361328125
PI (42:4),-0.03759562892837045,5.5058370489549775,0.00641964019223451,0.9361397028589209,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,21935.98147583008,26832.501708984375,25510.141983032227,23085.42162322998,26955.22206878662,29335.0020904541,27712.462127685547,28955.30226135254,22299.90160369873,25737.88175201416,23323.401580810547
PI (42:5),-0.02399913560585666,5.939492744240557,0.0026160785224647043,0.9592078943187382,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,30620.4022064209,35453.38229370117,38003.64198303223,30403.021926879883,36818.28274536133,46575.46311187744,38298.24282836914,34829.92283630371,28194.182067871097,35552.942611694336,26459.201835632324
PI (42:6),0.056383380997025605,5.778233245882208,0.014438890386259118,0.9043548714877091,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,27257.582122802734,33187.042388916016,33620.08279418945,29361.021743774418,33351.08297729492,34487.46209716797,37416.02241516113,30461.58201599121,26478.522018432617,29888.14208984375,25515.321868896484
