lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
TAG(56:8)_FA 20:0,-1.135241608952133,6.274133976315631,4.771958625598474,0.028926898648345953,0.9997100298088456,TAG,25008.02195739746,25871.401916503903,35851.56251525879,34145.10221862793,30617.82208251953,26597.74201202393,173175.7313232422,37737.922424316406,23624.361877441406,21755.14144897461
TAG(56:8)_FA 20:4,0.3126649035183923,8.02421398014097,0.35715082373098994,0.5500928688125585,0.9997100298088456,TAG,62984.82473754883,213304.19653320312,216657.15606689453,248947.61529541016,146417.9291381836,81157.88632202148,209956.21307373047,179515.49221801758,90647.80819702148,64226.30374145508
TAG(58:0)_FA 16:0,0.036535805097043676,6.187806511088005,0.004920300680851142,0.9440783654863144,0.9997100298088456,TAG,31945.982299804688,31117.9423828125,48316.723236083984,44207.26361083984,37378.64269256592,40376.26301574707,42417.06294250488,38439.30296325683,31142.261993408203,64420.96368408203
TAG(58:0)_FA 16:1,-0.20634399348723004,6.685408201072407,0.15779986781967636,0.6911902556907505,0.9997100298088456,TAG,51779.303619384766,50020.40284729004,70020.16561889648,72350.38484191895,49866.7234954834,67200.20513916016,91294.7860107422,62058.704010009766,52752.66323852539,19020.741256713867
TAG(58:0)_FA 18:0,0.1228980210118712,7.507075570868424,0.055537600575689794,0.8136932757748991,0.9997100298088456,TAG,92658.76637268066,70841.8240814209,121864.50820922852,132074.16802978516,100263.0253753662,84380.36560058594,101504.48705291748,112081.50674438477,88767.86622619629,122829.93090820312
TAG(58:0)_FA 18:1,-0.08278429925953827,5.568204269550862,0.02533489168598635,0.8735354271123452,0.9997100298088456,TAG,22075.441635131836,22118.921752929688,26251.70196533203,28663.88201904297,34295.961601257324,35450.68272399902,26219.141540527344,28129.522003173828,24328.06162261963,22646.84157562256
TAG(58:0)_FA 18:2,-0.019734482820376154,5.204350354180151,0.0014375124360412883,0.9697558191672783,0.9997100298088456,TAG,20355.861434936523,19780.58123779297,20278.061401367188,19770.621559143063,24399.341796875,24780.141960144043,21425.461669921875,21335.06150817871,18652.04133605957,18108.541038513184
TAG(58:0)_FA 20:0,0.02917106890556448,5.618765916139005,0.003137135169241745,0.9553337336551586,0.9997100298088456,TAG,23447.521484375,26651.681762695312,29524.942337036133,34189.82238006592,31630.021865844727,27608.681915283203,28178.96217346191,32198.88209533691,26893.20164489746,20233.001373291016
TAG(58:0)_FA 20:4,-0.28934027235928256,5.788416008178827,0.3106652004451007,0.5772722783897684,0.9997100298088456,TAG,23850.1416015625,19462.10138702393,24881.12168121338,43376.26235580444,40270.80279159546,48166.763244628906,25764.18197631836,51175.22462463379,25984.841735839844,16751.601188659668
TAG(58:1)_FA 16:0,-0.14638289118746456,5.485204449858114,0.07932049709393141,0.778220372308892,0.9997100298088456,TAG,19801.48129272461,20133.30160522461,30619.242156982426,33621.222396850586,20493.661590576172,25055.161712646484,33924.282653808594,28797.6619720459,23265.741729736328,19112.701416015625
TAG(58:1)_FA 16:1,0.03855102667645881,6.216488783058737,0.005477763917340894,0.9410009025555219,0.9997100298088456,TAG,34342.56278991699,31380.142211914062,47208.70309448242,42604.083267211914,42127.18325805664,40188.1828918457,44645.50273132324,40561.36279296875,30851.022338867188,64025.38471984863
