lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PI (30:2),-0.4310614524811568,7.2920241891632385,0.5422677078622655,0.4614944313610103,0.9999800194571477,PI,33795.04215621948,103113.70559692384,18109.34111404419,89069.30572509766,88051.28704833984,110772.82598876952,107256.36755371094,51165.10366821289,94457.12591552734
PI (30:3),-0.27453071140550206,6.258598579019888,0.21840665464071662,0.6402566585523995,0.9999800194571477,PI,16550.58108139038,53093.123458862305,8793.580699920654,37984.1032409668,44721.52299499512,45960.62341308594,48453.923583984375,23053.881553649902,59143.68330383301
PI (30:4),-0.3311272372325965,6.316890112421768,0.31858271711780617,0.5724606274531499,0.9999800194571477,PI,15272.44095993042,65756.00364685059,8609.820575714111,39635.86250305176,53858.863441467285,55165.184326171875,60222.94341278076,22757.68175506592,35465.4022064209
PI (32:0),0.11411897356366794,10.03668666263634,0.03694737354362587,0.847572233268819,0.9999800194571477,PI,326744.00269699097,602517.3037109375,157245.43054580688,912976.4560546876,786551.013671875,596369.04248046875,553289.1982421875,398972.90478515625,359021.90576171875
PI (32:1),0.11738803329539076,9.401087525227076,0.03908646469244559,0.8432774651747732,0.9999800194571477,PI,194188.59268188477,391675.86962890625,101311.0269432068,599458.26904296875,513403.6140136719,414617.5278320313,345249.7236328125,237424.89819335935,225152.615234375
PI (32:2),-0.09857952310455909,9.217276975342896,0.027912526338013777,0.8673146376944595,0.9999800194571477,PI,239840.0572013855,322104.06103515625,128202.96905899048,369130.34765625,350336.501953125,344147.90576171875,310035.42138671875,282381.5576171875,258897.87841796875
PI (32:3),-0.40904289040534775,6.297838306529102,0.4878161275855746,0.48490310053192354,0.9999800194571477,PI,16739.961040496826,59310.90397644043,7923.800498962402,41808.383712768555,49720.0827331543,58655.604919433594,58692.643981933594,21953.201332092285,37263.662841796875
PI (32:4),-0.2946554423339413,6.747530362061962,0.2518487688830646,0.6157763004414383,0.9999800194571477,PI,16217.461219787598,95415.6453552246,8332.06052017212,69388.14594268799,73966.88554382324,74111.2649307251,88159.1469116211,28281.401885986328,33829.00190734863
PI (32:5),-0.2491222708060452,6.702653976911994,0.17963521830461104,0.6716869157232921,0.9999800194571477,PI,17746.221351623535,85341.78605651855,11081.400741577148,67624.4651184082,70847.40501403809,72127.74496459961,79076.00454711914,27827.202140808105,37329.70248413086
PI (34:0),0.005125094049599987,9.7260154562829,7.50076715121395e-5,0.9930898500104196,0.9999800194571477,PI,327620.26052856445,464166.708984375,165920.79173660278,527888.05517578125,515251.89599609375,458570.2338867187,426379.1284179687,344812.6053466797,475098.173828125
