lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
18:1 Campesteryl ester,-0.13451581649265015,8.51757391711827,0.044963363543502055,0.832071409664541,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,224761.61779785156,221406.51528930664,57654.62384033203,251414.53872680664,228142.67880249023,71419.0849647522,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.679594652085241,9.10146996052122,1.1376198363686862,0.28615583039725007,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,280304.0225830078,318279.0209350586,71046.00440979004,503344.5899963379,456015.0985107422,103999.52606201172,224405.7758178711
18:3 Campesteryl ester,-0.1388586007610524,8.392657881033795,0.04791226613451727,0.826736743528765,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,204601.67504882812,201746.27587890625,59464.94415283203,230115.6553955078,210156.63537597656,71416.26483917236,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.6111430540960836,9.155600322013276,0.9215892854044805,0.33705802356116404,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,303762.46228027344,323355.76055908203,75469.04551696777,507221.6766357422,458659.0358581543,101501.9271697998,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.08286207283138443,9.283286302766932,0.017065721749531804,0.896063392302651,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,394841.6081542969,361790.4643554687,141033.05004882812,410047.4875488281,395767.26806640625,149879.97039794922,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.10547452999342205,9.273672783490676,0.027648477089769585,0.8679379328459883,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,389983.6870117187,350235.70349121094,141314.990234375,410446.4294433594,389397.66931152344,154023.69094848633,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.09814230959655665,11.424981159822147,0.023938942205859348,0.8770403709064599,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,1239495.3037109375,1246068.608642578,1313484.6853027344,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656
20:0 Campesteryl ester,-0.43986487010182296,9.880683932441473,0.4791130647427053,0.48882433672179465,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,585695.0806884766,473914.73474121094,214888.3358154297,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906
20:1 Campesteryl ester,-0.4148961702397846,9.857712392176026,0.4264443266074527,0.5137388406866388,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,591302.220703125,470726.4147949219,206285.61291503903,774650.533203125,688702.3489990234,246157.97802734375,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.06670992933544703,9.30328584065827,0.01106152705688146,0.9162379043075509,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,399111.8679199219,371012.6671142578,143911.17016601562,414108.26794433594,387061.1658935547,159229.2709350586,336350.2844238281
