Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1881,,24197.50177001953,,804.6,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,804.6 -> 629.5
1882,,33346.14238739014,,804.7,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,804.7 -> 615.5
1883,,24669.401790618896,,804.7,657.6,11282023_FAD185_M4_WT_cereb_O3on_01,804.7 -> 657.6
1884,,24376.08180618286,,806.6,631.5,11282023_FAD185_M4_WT_cereb_O3on_01,806.6 -> 631.5
1885,,42605.9031791687,,806.7,617.5,11282023_FAD185_M4_WT_cereb_O3on_01,806.7 -> 617.5
1886,,24270.661743164062,,808.7,633.6,11282023_FAD185_M4_WT_cereb_O3on_01,808.7 -> 633.6
1887,,25109.021854400635,,812.8,623.6,11282023_FAD185_M4_WT_cereb_O3on_01,812.8 -> 623.6
1888,,24421.401790618896,,812.8,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,812.8 -> 651.6
1889,,25424.141845703125,,814.7,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,814.7 -> 597.5
1890,,26516.16192245484,,814.7,625.5,11282023_FAD185_M4_WT_cereb_O3on_01,814.7 -> 625.5
1891,,43425.10306549072,,816.7,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,816.7 -> 599.5
1892,,27719.12197113037,,816.7,627.5,11282023_FAD185_M4_WT_cereb_O3on_01,816.7 -> 627.5
1893,,93287.60625839232,,818.7,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,818.7 -> 601.5
1894,,46061.642906188965,,818.7,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,818.7 -> 629.5
1895,,42281.12276077271,,818.7,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,818.7 -> 629.5
1896,,94873.2470588684,,820.7,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,820.7 -> 603.5
1897,,60413.06423187256,,820.7,631.5,11282023_FAD185_M4_WT_cereb_O3on_01,820.7 -> 631.5
1898,,38814.12265014648,,822.7,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,822.7 -> 605.5
1899,,42976.3630065918,,822.8,633.6,11282023_FAD185_M4_WT_cereb_O3on_01,822.8 -> 633.6
1900,,25922.48182296753,,824.7,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,824.7 -> 607.5
1901,,24304.821773529053,,826.7,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,826.7 -> 651.6
1902,,24634.68175888061,,826.8,637.6,11282023_FAD185_M4_WT_cereb_O3on_01,826.8 -> 637.6
1903,,24300.18175125122,,828.6,653.5,11282023_FAD185_M4_WT_cereb_O3on_01,828.6 -> 653.5
1904,,24282.42174911499,,830.6,655.5,11282023_FAD185_M4_WT_cereb_O3on_01,830.6 -> 655.5
1905,,24722.581813812256,,832.7,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,832.7 -> 615.5
1906,,24275.481727600098,,832.7,657.6,11282023_FAD185_M4_WT_cereb_O3on_01,832.7 -> 657.6
1907,,27131.16200256348,,834.7,617.5,11282023_FAD185_M4_WT_cereb_O3on_01,834.7 -> 617.5
1908,,24794.361824035645,,840.8,623.6,11282023_FAD185_M4_WT_cereb_O3on_01,840.8 -> 623.6
1909,,25222.181838989258,,840.8,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,840.8 -> 651.6
1910,,25225.361793518063,,840.8,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,840.8 -> 651.6
1911,,24171.901725769043,,842.7,625.5,11282023_FAD185_M4_WT_cereb_O3on_01,842.7 -> 625.5
1912,,24742.161781311035,,842.7,653.5,11282023_FAD185_M4_WT_cereb_O3on_01,842.7 -> 653.5
1913,,24407.12177658081,,844.7,627.5,11282023_FAD185_M4_WT_cereb_O3on_01,844.7 -> 627.5
1914,,24519.141746521,,844.7,655.5,11282023_FAD185_M4_WT_cereb_O3on_01,844.7 -> 655.5
1915,,26231.20193099976,,846.7,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,846.7 -> 629.5
1916,TAG,161867.89205551147,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,846.8 -> 547.5
1917,,26750.86199569702,,846.8,657.6,11282023_FAD185_M4_WT_cereb_O3on_01,846.8 -> 657.6
1918,,26283.241901397705,,848.7,631.5,11282023_FAD185_M4_WT_cereb_O3on_01,848.7 -> 631.5
1919,,25629.241813659668,,850.8,633.6,11282023_FAD185_M4_WT_cereb_O3on_01,850.8 -> 633.6
1920,TAG,36249.06255340576,[TG(51:6)]_FA16:1,854.7,583.4,11282023_FAD185_M4_WT_cereb_O3on_01,854.7 -> 583.4
1921,TAG,25842.361865997314,"[TG(52:7),TG(51:0)]_FA18:1",866.8,567.5,11282023_FAD185_M4_WT_cereb_O3on_01,866.8 -> 567.5
1922,TAG,32315.662231445312,[TG(52:6)]_FA18:2,868.8,571.5,11282023_FAD185_M4_WT_cereb_O3on_01,868.8 -> 571.5
1923,,24504.54178237915,,868.8,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,868.8 -> 651.6
1924,,24197.521728515625,,870.7,653.5,11282023_FAD185_M4_WT_cereb_O3on_01,870.7 -> 653.5
1925,TAG,101583.1482810974,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,870.8 -> 599.5
1926,,24412.661769866943,,872.7,655.5,11282023_FAD185_M4_WT_cereb_O3on_01,872.7 -> 655.5
1927,,24539.26182937622,,874.8,657.6,11282023_FAD185_M4_WT_cereb_O3on_01,874.8 -> 657.6
1928,TAG,25591.741813659668,[TG(53:6)]_FA18:1,882.8,583.5,11282023_FAD185_M4_WT_cereb_O3on_01,882.8 -> 583.5
1929,TAG,44363.04336929321,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,896.8 -> 597.5
1930,TAG,284101.89949035645,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,898.8 -> 599.5
1931,TAG,913033.3024482728,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,900.8 -> 601.5
1932,TAG,29523.082138061523,"[TG(55:11),TG(54:4)]_FA16:1",900.8,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,900.8 -> 629.5
1933,TAG,1686297.312034607,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,902.8 -> 603.5
1934,TAG,499711.9753227234,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,904.8 -> 605.5
1935,TAG,64982.46517944336,"[TG(55:8),TG(54:1)]_FA18:1",906.8,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,906.8 -> 607.5
1936,TAG,24202.00177383423,"[TG(55:7),TG(54:0)]_FA16:1",908.9,637.6,11282023_FAD185_M4_WT_cereb_O3on_01,908.9 -> 637.6
1937,TAG,39321.86273574829,"[TG(56:11),TG(55:4)]_FA18:1",914.8,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,914.8 -> 615.5
