lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
PC(32:4),0.5622351290256454,11.61602828671442,1.5494699125008022,0.21321371320150143,0.6843509202238023,PC,17783971.743408203,15744551.383789062,27251698.79736328,8513474.178466797,10532205.697998049,6669672.173339844,253017.7388916016
PC(34:3)|PC(P-35:2),0.5615388438776984,13.89603378311431,1.5457357868034234,0.21376605991359848,0.6843509202238023,PC,85753059.421875,76526419.26977539,123063854.52734376,52809975.60546875,48825583.68359375,35682550.46582031,366911.0434570313
PG(40:1)|PG(P-41:0),0.5631175772946702,6.692751167981627,1.5541761113017856,0.2125199911344139,0.6843509202238023,PG,485890.0151367188,405121.0280761719,848659.64501953125,358281.98681640625,229963.13720703125,307224.3806152344,103051.10681152344
PG(41:6)|PG(O-42:6),0.5615429781764941,6.306424942192663,1.5457111959876784,0.213769702983518,0.6843509202238023,PG,379566.1669921875,344149.16357421875,494243.47509765625,302949.32067871094,164082.63122558594,226938.3756103516,119861.927734375
DG(33:0)_C16:0,-0.5371089123531245,8.335601301096045,1.5387275052744371,0.21480731286129534,0.6860529262912699,DAG,1905790.76953125,84654.68626403809,1486504.9787597656,1381449.7125854492,1234588.4592285156,1367544.7510986328,517723.9404296875
PE(44:12),0.5596792365585057,5.771149870032552,1.5357151750406497,0.21525672129467935,0.6868021337116665,PE,280916.5997314453,260310.08166503903,372195.4241333008,156491.5311279297,125379.8487548828,148244.75,72037.38507080078
[TG(51:7)|TG(50:0)]_FA18:3,-0.5362704023774485,4.422331884558159,1.5337116827361115,0.2155562409836318,0.6870720861661723,TAG,88655.60546875,66300.1848449707,82289.84533691406,86781.34552001953,90373.36651611328,84527.38562011719,30108.90219116211
DG(36:7)|DG(35:0)_C16:1,0.55850898562929,10.525028419347112,1.5295074321111315,0.21618638544936233,0.6883942970932384,DAG,2928.8402137756348,7936.96053314209,294905.582447052,2562404.407539368,511315.8357887268,187126.4339790344,15056646.359405518
DG(40:4)_C18:0,-0.534632026740735,3.146166026981179,1.5239551679878782,0.217021938233817,0.6903673000333462,DAG,24272.901683807373,24048.661743164062,23432.70176315308,47937.90328216553,32732.58226776123,32126.54209518433,21377.061401367188
PI(40:8)|PI(39:1)|PI(O-40:1)|PI(P-40:0),0.5566026213069655,5.568130063992693,1.5193056563489336,0.21772459838121172,0.6919140566846261,PI,258794.75634765625,204434.43432617188,241163.0781860352,248713.9771728516,111777.36822509766,132087.32879638672,51189.12341308594
DG(29:2)_C18:0,-0.532181417894158,5.1112745043368415,1.5100959682768007,0.21912444304976428,0.6949809964584289,DAG,82992.50630187988,77833.2654762268,75387.0651435852,217255.65588378903,119898.9077758789,125968.63037109376,92908.74621582033
DG(38:3)_C16:1,-0.5323923148671557,5.472808354663195,1.5113487370290386,0.21893339637385198,0.6949809964584289,DAG,235653.0367164612,38206.062915802,183713.27267456052,248171.87829589844,188381.69387817383,188451.37524414065,45506.98309326172
[TG(62:8)|TG(61:1)]_FA14:0,-0.5313370773686563,4.197706003357419,1.5051734371299972,0.2198770568189212,0.6952986653314451,TAG,44293.08349609375,41955.10255432129,158082.11328125,48303.58377075195,96171.18826293944,58433.68338012695,16025.281311035156
DG(40:1)_C16:1,-0.5314755901173586,5.501933754968033,1.5060578547459045,0.21974160959135017,0.6952986653314451,DAG,177243.9913406372,109652.32767486572,130493.30923080444,189626.77319335935,148363.25024414062,181455.27319335935,115384.4677734375
LPS(20:3),-0.5317302873020548,4.2658657071270305,1.5074138987569299,0.21953412694527838,0.6952986653314451,PS,65863.744972229,46589.54319000244,72473.84481811523,66814.284423828125,57852.18411254883,79852.80569076538,52617.96396255493
[TG(62:11)|TG(61:4)]_FA18:1,0.5531341341296676,4.3566883679354245,1.5008116844433061,0.2205465132450438,0.6967264850241156,TAG,113824.12852478027,98116.76654052734,87451.14636230469,94796.96670532228,45701.36309814453,55675.363830566406,30470.622024536133
FA(12:5),0.552175498409201,4.091560888467058,1.4956429181538624,0.22134298912242298,0.6985523556015659,FA,133547.4696044922,55722.14318847656,29630.36215209961,32710.54211425781,33105.142333984375,30107.042205810547,65303.58435058594
[TG(64:8)|TG(63:1)]_FA16:1,-0.5291519418988775,3.993343582561613,1.4926021173241675,0.22181316517673272,0.6986568365221818,TAG,55524.50415039063,50658.483459472656,90215.70611572266,54558.34375,78221.08584594727,55139.62347412109,15781.98114013672
PC(36:5),0.5516352678311667,13.951955482528767,1.4930725255122317,0.22174035146090085,0.6986568365221818,PC,88469714.81640625,78848974.3581543,129746629.73632812,53698971.9765625,50442679.60644531,37923211.62890625,462512.9323730469
CerP(d18:1/22:0),-0.5287689915073784,2.5451100289973305,1.4898907306018145,0.22223341438060054,0.6992915608019488,Cer,16041.801147460938,18580.64111328125,15814.541091918943,16267.781112670898,18224.141220092773,17871.881202697754,21980.98166656494
[TG(60:8)|TG(59:1)]_FA22:6,0.5498747230893932,7.040297232488527,1.4837763115956477,0.22318461674196163,0.7009083693471714,TAG,745726.2917480469,851425.3905639648,767452.6357421875,461389.2318115234,403138.99432373047,313761.99981689453,41428.04278564453
[TG(62:13)|TG(61:6)]_FA20:4,0.5497431564093171,4.631677720240409,1.482969149782548,0.2233105484931693,0.7009083693471714,TAG,139532.52993774414,114095.88833618164,96869.32614135742,140931.9512939453,59394.88427734375,66751.9049987793,29583.88220214844
SM(d18:0/13:0),-0.5273821949963655,4.768227453420593,1.4823644326628767,0.2234049510055576,0.7009083693471714,SM,40139.102783203125,38990.56262588501,37321.74258422852,37265.32264709473,42404.40316772461,40401.782958984375,205473.8741455078
[TG(61:12)|TG(60:5)]_FA18:0,0.5490577866975078,4.271414915381372,1.4793260828600978,0.22387999265919575,0.7017101338543615,TAG,109198.5876159668,93426.78692626952,85646.38571166992,87058.62634277344,42210.92303466797,54854.583557128906,26705.802032470703
[TG(48:3)]_FA14:0,0.5479384314357083,4.976042159176999,1.473529255559697,0.22478968117565934,0.7037980445026759,TAG,104832.5869140625,188938.7958984375,224923.4552001953,115360.5284423828,64444.644287109375,102327.86798095705,29783.30210876465
[TG(60:9)|TG(59:2)]_FA18:2,0.54730508985548465,5.695741849317929,1.4702544187093736,0.22530555645412628,0.7037980445026759,TAG,311004.86602783203,305423.67852783203,193506.935546875,256562.1177368164,96160.5672607422,185322.73364257807,40419.38311767578
[TG(66:7)]_FA22:6,-0.5253750434216294,5.021678441871153,1.4711446540422912,0.22516517989849297,0.7037980445026759,TAG,112284.48852920532,86698.80731201172,183816.5122184753,138546.47133636475,142808.47080612183,136720.99124908447,27021.281940460205
DG(33:3)_C16:0,-0.5249152514200399,4.1007469655808535,1.4684295203622924,0.22559364354865494,0.7037980445026759,DAG,63769.68444824219,39016.06274795532,69183.284912109375,71829.82516479492,61992.364349365234,69325.60461425781,34988.962310791016
DG(40:9)|DG(39:2)_C16:1,-0.5245907217095734,5.46322162670094,1.4667005285768937,0.22586699832960444,0.7037980445026759,DAG,179048.15285873413,98322.007080078125,141573.48960876465,179684.61364746094,133949.76971435547,191570.7940673828,108644.20764160156
FA(28:1),0.5468539718359132,9.144871863767436,1.4679501353530213,0.22566939484043239,0.7037980445026759,FA,4573963.864746094,2136229.933227539,2330019.833251953,3321509.593383789,1652851.6484222412,1472555.4193115234,140184.7899169922
[TG(50:7)|TG(49:0)]_FA18:2,-0.5241428454315216,4.3838267017968,1.464086828146037,0.2262809814565042,0.7044014583412307,TAG,86609.127197265625,74069.58560180664,79018.52606201172,71899.105712890625,80209.46524047852,88048.40606689453,32208.06225585937
Cer(d18:1/27:0),-0.5238670382832605,2.7740474343648684,1.462086247889232,0.2265984684223644,0.704703602671497,Cer,19440.76139831543,22392.72177124023,20160.58131408692,17598.201248168945,22436.561569213867,20335.70156860352,24916.221603393555
CAR(26:0)_QUAL,-0.523035025320976,7.291465430117739,1.4579333516057886,0.22725923255432368,0.7053861810448279,CAR,447942.7503013611,474675.8128623962,461608.37198257446,458435.15200424194,517589.1764678955,470963.09616470337,559594.85887146
PC(36:4)|PC(O-37:4),0.5449432993780999,14.007670022806401,1.457974631865964,0.2272526530997118,0.7053861810448279,PC,91625574.599609375,81910177.22680664,134353487.85546875,56250241.11035156,52353362.35644531,39862145.2578125,476578.4150390625
[TG(53:8)|TG(52:1)]_FA22:5,-0.5225109788279055,5.336927412435396,1.4549220930546198,0.2277398002099552,0.7054651401778356,TAG,131214.1485900879,131596.12908935547,206463.0128173828,181290.23202514648,194016.03356933597,152010.01168823242,31597.502166748047
[TG(57:11)|TG(56:4)]_FA16:1,0.5438666292569311,4.870720828404107,1.4522495852266957,0.22816733029211198,0.7054651401778356,TAG,130464.72900390624,162117.69232177734,159499.3321533203,128596.54919433594,69077.84533691406,81641.7466430664,32855.92227172852
[TG(57:9)|TG(56:2)]_FA18:2,0.5440345321980188,6.323396457670506,1.4531992284997273,0.22801530219340843,0.7054651401778356,TAG,455785.0518798828,521931.85900878906,299252.76123046875,371220.7629394531,136165.32983398438,303403.7440185547,59823.243896484375
[TG(66:6)]_FA18:0,-0.5223452710434864,3.190988787195581,1.4537058541496035,0.2279342464847573,0.7054651401778356,TAG,34716.58238220215,29702.842163085938,33240.68260192871,35284.542419433594,39596.58302307129,31040.20240783692,16314.761070251465
[TG(53:9)|TG(52:2)]_FA22:6,-0.5214907405359599,5.462608798567834,1.4491654425964953,0.228661911509887,0.7063112377749843,TAG,141680.42907714844,142467.17120361328,240061.65768432617,187204.77416992188,211953.1743774414,166145.89324951172,33593.002517700195
[TG(51:5)]_FA22:5,0.5425624011512692,6.14881148162307,1.4455365395297122,0.2292455050217397,0.7065411368495726,TAG,286817.49896240234,278108.95751953125,466660.4107055664,412869.4132080078,160753.73028564453,215044.3953857422,64097.56451416016
CerP(d18:0/16:0),-0.5207268683043259,4.312754745354845,1.4445817946655097,0.22939934314978305,0.7065411368495726,Cer,33789.62230300903,36030.86246871948,32342.12205505371,32827.642223358154,37940.142543792725,34369.78239822388,135065.88647460938
SM(d18:1/17:0),-0.5211934775925082,4.699805942715909,1.4471493050016306,0.2289859219810769,0.7065411368495726,SM,28222.78189086914,31804.70233154297,27249.481872558597,26789.081802368164,31628.722255706787,29631.922119140625,217041.5557861328
[TG(48:2)]_FA18:0,0.5411467069549903,5.1939004603261445,1.438149263824016,0.2304390647021775,0.7081492154420822,TAG,125675.26641845705,266960.3178100586,197934.7120361328,144457.67053222656,73547.40509033203,121778.38848876952,33988.16226196289
[TG(50:6)]_FA18:3,0.5410043663407995,6.103461093295974,1.4374544722304563,0.23055170671411604,0.7081492154420822,TAG,315461.3086547852,425760.572052002,445223.1098022461,248395.07916259769,153261.01181030273,223787.19439697263,40467.72314453125
