lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(50:9)|TG(49:2)]_FA18:0,-0.3293153759787203,5.134766691182419,0.5329320997170726,0.46537674579777827,0.9999514498362397,TAG,67954.26495361328,82701.10565185547,61456.40460205078,58994.92413330078,144569.43090820312,27028.62188720703
[TG(50:9)|TG(49:2)]_FA18:1,-0.49292317777940403,6.912729830038061,1.1822655464984564,0.2768952575099301,0.9999514498362397,TAG,228038.5379638672,265974.63806152344,141256.951171875,118404.80780029295,741089.4713134766,65240.84423828125
[TG(50:9)|TG(49:2)]_FA18:2,0.20971437028458723,8.856868740054425,0.2218504790798761,0.6376335490638054,0.9999514498362397,TAG,1512929.9682617188,1090661.215576172,609009.28466796875,516946.0158691406,2127152.638671875,161758.3310546875
[TG(50:9)|TG(49:2)]_FA18:3,-0.18790157899091478,5.833676855626638,0.1748797988766455,0.6758108963785842,0.9999514498362397,TAG,134125.0684814453,119904.28887939452,98333.34716796876,80862.74572753906,231512.03814697263,49898.023986816406
[TG(50:9)|TG(49:2)]_FA20:4,0.11760285535403672,5.4089662202203845,0.06950347190695538,0.7920611004802847,0.9999514498362397,TAG,110201.74768066406,109940.10772705078,97139.40719604492,96338.10748291016,83519.28607177734,31408.442321777344
[TG(50:9)|TG(49:2)]_FA22:5,0.3816279306934986,6.98113534445848,0.7390594298612995,0.3899623429338395,0.9999514498362397,TAG,421469.133972168,348495.97955322266,287661.3471374512,228443.6947631836,305246.6875610352,32661.72248840332
[TG(51:4)]_FA14:0,0.110649614522186,9.1431588597258,0.06151453411439434,0.8041179751495152,0.9999514498362397,TAG,1811112.022125244,1326297.2395019531,1111713.9201049805,1702715.2366027832,1159383.3270874023,82697.70608520508
[TG(51:4)]_FA16:0,0.08270284465553449,7.5637581442374024,0.03432394682022277,0.8530194390758177,0.9999514498362397,TAG,607588.6513977051,432736.7469482422,388736.9474182129,544454.4805908203,416172.2335205078,23257.22166442871
[TG(51:4)]_FA16:1,0.05245111027489215,5.638412587058069,0.013786994068141212,0.9065287960177802,0.9999514498362397,TAG,112060.54766845705,146280.77130126953,92023.18692016602,92298.56692504884,159911.5512084961,30130.842315673828
[TG(51:4)]_FA18:0,0.016803211794569804,4.911683768577322,0.0014126280693744775,0.9700186118162809,0.9999514498362397,TAG,75329.505615234375,73013.485595703125,63879.34524536133,69634.52526855469,67415.0246887207,23936.30178833008
