Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
Cer(d14:1(4E)/22:1(13Z)(2OH)),762646.4962997437,894908.9389953613,716635.99401474,891287.3468704224,811455.2856025696,865813.1958465576,821842.8543510437,856637.6698722839
Cer(d14:1(4E)/24:0(2OH)),107138.5082397461,116443.54864120483,114452.98726654051,124675.0270690918,137870.27012252808,130907.25006866457,122294.96878051758,125356.0083732605
Cer(d14:1(4E)/26:0(2OH)),337074.9861679077,494957.96284484863,541537.7220153809,487797.88973999023,484957.5127487183,505025.8565216065,492932.9487953186,440516.6707344055
"Cer(d14:2(4E,6E)/16:0)",32723.822052001957,36785.10237121582,37103.102725982666,45466.52307510376,48582.26343536377,40769.52279281616,41007.66272735596,37300.06266784668
"Cer(d14:2(4E,6E)/18:0(2OH))",36188.86263656616,40864.14295196533,46453.62310028076,50762.64370346069,49683.92366409302,45247.52335357666,50021.8431930542,45329.50323867798
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",37667.68252182007,42898.52331542969,48286.56330871582,47256.28318405152,51127.20343399048,45080.623222351074,49815.48331069946,44422.783126831055
"Cer(d14:2(4E,6E)/18:1(9Z))",35987.76224517822,37646.56273269653,43521.20297241211,43951.52314758301,44414.00364303589,39618.36284637451,46642.46323013306,39698.04281997681
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",56314.06340789795,54472.5640296936,63260.96466064453,59668.42415237427,48027.5429763794,59789.84421157837,71142.02465057373,50820.34362030029
"Cer(d14:2(4E,6E)/20:1(11Z))",39163.82279586792,40145.12295150757,45121.92335891724,41094.322872161865,40329.18296813965,40963.18310165405,46591.06354904175,41008.20303344727
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",653463.3156433105,732600.3270492554,580270.4158744812,711939.3246192932,671508.6106071472,721940.2105064392,670892.6943588257,746761.8124961853
