Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
PG (36:1),429031.01171875,309153.0009765625,186507.41333007807,432836.1142578125,308539.82080078125,191490.91357421875
PG (36:2),312738.2443847656,219512.89697265625,141173.46923828125,282126.40283203125,230261.67651367188,119517.82763671876
PG (36:3),67619.90502929688,70320.92504882812,57461.044189453125,60058.06451416016,61693.52490234375,60826.74398803711
PG (36:4),74410.66467285156,80452.54571533203,71613.40441894531,66605.70458984375,71065.82586669922,73727.0849609375
PG (36:5),50790.56378173828,57807.28387451172,54978.50360107422,52785.60409545898,53252.52368164063,59748.62362670898
PG (36:6),50681.82357788086,64160.32427978516,58855.88381958008,54585.30364990234,52177.62341308594,70817.20590209961
PG (36:7),79149.00595092773,69147.34451293945,72932.4455871582,64965.86462402344,69992.90530395508,67029.74417114258
PG (36:8),386411.1553955078,297908.6530761719,344737.4437866211,274496.64221191406,330747.1040649414,158835.33087158203
PG (38:0) | PGp (40:6),190174.7135620117,169809.42895507812,170645.83209228516,178780.8350830078,187513.8119812012,105925.58773803712
PG (38:1),121216.64819335938,109294.20849609376,98048.48657226562,119056.64770507812,114817.3272705078,89344.10607910156
PG (38:2),145187.01055908203,147819.08984375,139263.43008422852,152019.31030273438,182344.57415771484,109882.30865478516
PG (38:3),80991.42547607422,79192.40533447266,72152.52508544922,81596.04498291016,83887.6265258789,71429.86563110352
PG (38:4),136480.009765625,119284.06762695312,99562.02746582033,136852.609375,112404.96801757812,91493.54626464844
PG (38:5),73184.16552734375,75128.88568115234,69885.64471435547,66843.80450439453,69600.34539794922,72984.76446533203
PG (38:6),72126.76470947266,79418.06610107422,78120.3251953125,75297.84487915039,74013.30462646484,78882.544921875
PG (38:7),235200.4008178711,222099.0767211914,259120.6607666016,192790.80987548828,224844.33532714844,146758.23376464844
PG (38:8),68125.20458984375,72014.1049194336,70646.2240600586,68165.92510986328,75422.54528808594,70759.24487304688
PG (38:9),91124.20709228516,100291.76586914062,98773.00704956056,88645.16540527344,99468.36779785156,89047.78598022461
PG (40:0) | PGp (42:6),386680.98541259766,375699.0263671875,301134.34674072266,245571.67846679688,284757.35888671875,370156.6664428711
PG (40:0) | PGp (42:6)_2,328446.0856323242,351540.8924560547,273542.41900634766,235521.25915527344,249574.17474365237,352662.24353027344
PG (40:1),60631.38446044922,59966.364318847656,56693.104064941406,56785.84405517578,60133.38409423828,64269.96405029297
PG (40:10),347433.8899536133,317825.1064453125,599872.6474609375,148833.0092163086,349165.94775390625,257394.07998657227
PG (40:2),152889.55078125,185994.95513916016,283149.9178466797,98239.52685546876,170979.5723876953,340107.0608520508
PG (40:3),67243.22509765625,69096.68505859375,63756.14483642578,73830.7456665039,69079.66436767578,68091.9446105957
PG (40:4),131304.76879882812,111929.42785644533,89779.00659179688,136078.26928710938,103473.0281982422,88710.42663574219
PG (40:5),214803.2353515625,155818.65063476562,134482.56872558594,214730.83447265625,145948.81103515625,130077.3895263672
PG (40:6),1454527.33203125,905678.443359375,705732.9873046875,1507705.8779296875,885874.5595703125,632660.005859375
PG (40:7),95819.58770751952,97777.5267944336,87491.78662109375,104822.06811523438,104698.54748535156,85600.54602050781
PG (40:8),70589.02517700195,76690.04595947266,71536.7844543457,74617.3256225586,88821.12512207031,75270.48425292969
PG (40:9),73295.86639404297,78606.86535644531,84672.28698730469,66907.54553222656,77307.64636230469,69086.00448608398
PG (42:0),191951.00843811035,118242.12942504884,170693.11334228516,60730.363830566406,141756.80856323242,217045.31257629397
PG (42:1),50540.44409179688,54373.26290893555,56178.68392944336,52285.224029541016,45261.36364746094,59353.02442932129
PG (42:10),60959.76477050781,63663.584869384766,55439.14297485352,56988.46380615234,56950.96380615234,61894.284576416016
PG (42:11),211025.7693786621,205345.1366882324,192983.8348693848,159590.43127441406,173374.3127746582,257570.59176635745
PG (42:2),61565.16424560547,62189.46389770508,65301.14498901367,46682.3434753418,53564.103515625,62149.844787597656
PG (42:3),244389.21502685547,191108.21502685547,255126.0132446289,85029.10598754883,169165.3916015625,264390.27673339844
PG (42:4),46201.92303466797,49291.34387207031,60225.58432006836,42988.94256591797,43789.84332275391,54926.94329833984
PG (42:5),44851.36322021485,52950.54333496094,49600.5637512207,44707.50329589844,50938.74362182617,47873.883728027344
PG (42:6),111978.44787597656,96676.70874023438,86121.02471923828,101639.36755371094,103990.80810546876,68201.84521484375
PG (42:7),55914.76446533203,52699.023986816406,54640.36395263672,51237.02395629883,52168.9838256836,60893.08416748047
PG (42:8),63201.343505859375,67711.52502441406,68634.38497924805,62403.044921875,62190.14422607422,77945.88589477539
PG (42:9),98093.30688476562,111742.00793457033,117689.04864501952,101952.6469116211,97977.24578857422,123386.61059570312
PG (44:0),32861.7825012207,32521.52227783203,33691.542541503906,34965.44259643555,33262.96224975586,35666.96252441406
PG (44:1),29842.182052612305,34037.30229187012,32411.2022895813,31198.04219055176,33282.902084350586,33987.62259674072
PG (44:10),75505.92578125,67778.64581298828,57772.48425292969,78740.9857788086,65068.80432128906,65297.76440429688
PG (44:12),80839.92565917969,61501.40411376953,50526.483642578125,77035.52551269531,62287.16400146485,53533.22338867188
PG (44:2),37004.942321777344,39444.44257354736,38754.9227104187,37355.40297698975,33939.68244934082,42575.04299926758
PG (44:3),32100.20236968994,35796.282653808594,35820.062576293945,36100.4821395874,29534.821868896484,36767.96298217773
PG (44:4),36113.30276489258,35939.44256591797,36859.12268066406,31918.32235717773,35511.52276611328,35768.102447509766
PG (44:5),34946.762603759766,35725.982360839844,36506.70275878906,32406.202529907227,34901.16226196289,36045.62239074707
PG (44:6),35425.34240722656,38206.00277709961,35387.64245605469,35133.322357177734,36211.68254089356,42121.50277709961
PG (44:7),39800.88275146485,41860.48272705078,37747.86277770996,36157.48257446289,34939.702545166016,37912.96269226074
PG (44:8),38250.26290893555,40996.06311035156,42299.7428894043,36939.80267333984,36329.3825378418,43682.42297363281
PGo (20:0),107032.38772583008,112998.56848144533,2096.8401527404785,95003.36639404295,104923.28881835938,3931.280323028565
PGo (28:0),45792.54333496094,47109.96301269531,43562.302978515625,40495.5032043457,43321.10287475586,47538.78332519531
PGo (30:0),124834.84765625,118421.48690795898,129981.07046508788,98987.4676513672,111013.54626464844,81314.30645751953
PGo (30:1),54072.783752441406,63302.0439453125,66229.48439025879,51926.68359375,59348.16375732422,66532.88589477539
PGo (32:0),49651.88299560547,53017.70394897461,47567.54370117188,46557.283203125,48915.94323730469,54591.664642333984
PGo (32:1),38855.72317504883,40278.74264526367,40180.48254394531,36497.32269287109,37011.022369384766,42592.64289855957
PGo (34:0),111612.10733032228,129640.26983642578,129005.35140991212,133062.38961791992,121249.7887878418,97997.7671508789
PGo (34:2),58538.74411010742,60914.184509277344,58075.86437988281,51145.7839050293,51063.40393066406,60707.74407958984
PGo (34:3),51776.42431640625,55654.40444946289,46732.243255615234,50068.70336914063,50303.22366333008,54144.42349243164
PGo (34:4),49149.02374267578,51076.18356323242,50440.663665771484,46450.84396362305,48449.08349609375,50942.82339477539
PGo (36:0),62443.60369873047,64263.56329345703,59897.08505249024,58077.323822021484,64343.26449584961,59334.32354736328
PGo (36:1),285783.7366333008,224637.09796142575,266618.97576904297,208030.5352172852,246040.82153320312,135002.35064697266
PGo (36:2),53417.90362548828,62212.984130859375,58624.18405151367,55131.56329345703,57494.00372314453,58052.84399414063
PGo (36:4),52028.80285644531,60861.964111328125,55364.96389770508,48457.92364501953,47689.80313110352,56044.36352539063
PGo (36:5),49421.10395812988,54335.72375488281,51333.34359741211,44552.302978515625,47136.86340332031,55139.16397094727
PGo (38:0),143249.34857177734,152169.31298828125,173180.0138244629,132979.26892089844,147475.99182128906,116730.86724853516
PGo (38:1),66932.4848022461,65572.30456542969,65872.94485473633,70386.44537353516,76129.94500732422,69604.48468017578
PGo (38:2),77546.48443603516,84578.00561523438,82885.78546142578,78902.7846069336,82291.90655517578,74408.54528808594
PGo (38:3),102217.14749145508,94767.34692382812,87379.40594482422,84786.5853881836,103856.68701171876,68430.84481811523
PGo (38:4),66897.48486328125,80640.86560058594,71416.92556762695,70333.10461425781,74597.46496582031,74299.46478271484
PGo (38:6),54999.484130859375,63028.8639831543,60036.14419555664,52333.483459472656,57005.62457275391,60651.12423706055
PGo (40:0),100427.04815673828,93013.34545898438,84274.74530029297,105722.20715332033,95471.30651855467,83753.54583740234
PGo (40:1),76822.50582885742,73884.94479370117,70736.5443725586,77105.1254272461,90438.94757080078,70072.9055480957
PGo (40:2),61305.5849609375,67165.044921875,65676.56460571289,66872.92471313477,66537.72482299805,64940.70413208008
PGo (40:4),53854.50396728516,53457.72344970703,49574.54382324219,48547.442810058594,47624.90316772461,55652.70379638672
PGo (40:5),49527.46350097656,55823.5442199707,56264.34368896485,50647.163482666016,50807.943359375,60157.10443115234
PGo (40:6),106125.02682495116,115162.54913330078,119155.5092163086,90970.80603027344,103260.30822753906,126965.17022705078
PGo (40:9),247498.19506835935,232130.27764892575,444719.8696899414,115702.68768310548,249815.9822998047,196742.75912475583
PGo (42:0),50446.10366821289,51210.94323730469,48612.52342224121,45254.70333862305,46148.44317626953,54689.8434753418
PGo (42:1),52096.18359375,56030.16375732422,53552.804290771484,52350.0634765625,52250.76345825195,66231.34411621094
PGo (42:2),81075.36456298828,93059.50799560548,90816.74588012695,85602.42660522461,78245.78515625,98828.24572753906
PGo (42:4),137700.07131958008,125004.08850097656,133589.42797851562,102255.64846801758,111570.43115234376,163631.09649658203
PGo (42:6),78712.88482666016,85612.80584716797,85340.52587890625,65990.94467163086,80188.5260925293,86463.16606140137
PGp (16:0),95155.78619384766,101443.34777832033,91221.5474243164,86800.22703552246,82279.68450927734,99489.88684082033
PGp (20:0),50748.52404785156,55009.34324645996,1516.7800979614258,44169.06301879883,49566.26345825195,1512.1401100158691
PGp (28:0),53166.40361022949,53483.80380249024,56327.744384765625,41236.70323181152,45886.78308105469,52987.52404785156
PGp (30:1),78523.48532104492,74333.00527954102,84479.60583496094,59803.6438293457,68356.7453918457,61197.98422241211
PGp (34:4),50230.42370605469,49507.12350463867,49620.62377929688,45302.60330200195,46496.32345581055,50651.92395019531
PGp (36:5),99507.02731323242,99188.92712402344,86896.5054321289,90596.96746826172,86327.5267944336,91346.60638427734
PGp (38:6),171103.37353515625,179790.9522705078,133670.15032958984,147621.91052246094,149696.55139160156,147638.07006835938
PGp (42:2),54688.58361816406,50129.403381347656,51375.883697509766,52953.28405761719,50553.884185791016,52360.42398071289
PGp (42:4),40814.92303466797,41654.24267578125,43746.80310058594,39785.44259643555,40915.52307128906,46222.04309082031
PI (14:1),87930.18745422363,591114.2644042969,403640.1101951599,566263.6274414062,568156.7719726562,541832.4869384766
PI (20:1),51636.04315185547,212258.8922119141,126028.8702392578,157365.06860351562,170992.2921142578,162668.75073242188
PI (24:0),24467.201652526852,86344.14608764648,54428.62454223633,83316.58605957031,93222.62606811523,91541.90481567384
PI (26:0),28669.461959838867,81403.72564697266,66312.02551269531,68760.38562011719,80054.80554199219,97936.3662109375
PI (26:1),83967.46563720703,170603.53125,152212.65161132812,175663.29125976562,166399.751953125,172586.43334960938
PI (28:0),35015.34257507324,132350.24908447266,120998.14569091795,93188.18670654295,132882.4111328125,142335.17135620117
PI (28:1),24566.401596069336,77621.08575439453,59733.48333740234,56902.40417480469,81674.5862121582,79698.16528320312
PI (28:2),13028.300888061523,47503.14274597168,33366.50263214111,42411.60317993164,44544.46307373047,46909.32334899902
PI (30:0),153856.65075683594,453233.1123046875,483270.1123046875,338879.2607421875,460144.513671875,436150.5903320313
PI (30:1),62417.544036865234,225333.3770751953,223326.7996826172,147573.2709350586,233879.83850097656,214378.35424804688
PI (30:2),26180.82194519043,107158.80743408205,88728.66516113281,91243.84704589844,107919.76770019533,100075.86590576172
PI (30:3),15421.001209259031,49826.68344116211,37546.80274963379,48981.8035736084,47740.98294067383,47237.08316040039
PI (30:4),16516.641235351562,65357.46495056152,37512.02251434326,53718.924072265625,52017.38387298584,58441.36415100098
PI (32:0),226664.05493164065,733344.2294921875,776586.3583984375,544128.6948242188,718730.6303710938,684884.3095703125
PI (32:1),158019.0926513672,518059.5971679688,551380.0859375,358302.3249511719,531106.8959960938,466929.41552734375
PI (32:2),168559.77099609375,385358.2055664063,369250.265625,317306.123046875,369589.6064453125,336442.7666015625
PI (32:3),19844.92123413086,62074.70454406738,41283.76281738281,56304.383697509766,60333.6842956543,55138.90367126465
PI (32:4),25519.94155883789,83605.10633850098,58125.183586120605,71281.46572875977,73701.24594116211,80365.96714782715
PI (32:5),26611.42183303833,76573.52513122559,54305.78366088867,66796.20455932617,74073.40518188477,69025.5258178711
PI (34:0),232600.81591796875,498886.8403320313,498755.498046875,419001.99072265625,487042.5947265625,490563.6958007813
PI (34:1),137670.65002441406,504785.4711914063,499667.3879394531,394524.6276855469,552469.7026367188,500362.74853515625
PI (34:2),114742.7876586914,379800.2087402344,325588.2214355469,258359.8984375,371013.0993652344,319469.38232421875
PI (34:3),34141.82288360596,102268.74661254884,64454.92425537109,64540.84487915039,89269.1460571289,76133.38534545898
PI (34:4),16654.061199188232,52410.48387145996,42308.583236694336,50764.82356262207,49083.20343017578,50378.26371765137
PI (34:5),31439.92170715332,107101.6082458496,66850.80519104004,84979.24523925781,90614.62478637695,85606.82583618164
PI (34:6),18714.88136291504,64948.94467163086,51973.54399108887,53006.384353637695,57035.24496459961,59575.82458496094
PI (36:0),107766.46856689452,217847.33715820312,194182.8740234375,189223.052734375,214415.91455078125,210801.03540039065
PI (36:1),55202.26419067383,143476.388671875,98630.2667541504,123843.02740478516,172986.8731689453,152604.65057373047
PI (36:2),74638.88568115234,247442.3795166016,141449.169921875,201824.5760498047,286442.0803222656,261545.3162841797
PI (36:3),41156.443351745605,202457.45281982425,96264.20678710938,96688.50714111328,176302.03131103516,137257.19046020508
PI (36:4),49908.4637298584,395044.025390625,208838.13186645508,169668.712890625,328438.86279296875,156828.09075927734
PI (36:5),16733.221225738525,70304.56506347656,38657.74298095703,57463.94519042969,63750.844299316406,56451.18359375
PI (36:6),22048.6414642334,65759.9838256836,43805.8829498291,62304.02423095703,59921.58428955078,67478.72467041016
PI (36:7),28712.38201904297,88219.08685302734,62992.68392944336,73574.14456176758,79333.6460571289,87152.42645263672
PI (36:8),41357.282791137695,117885.36883544922,97295.78729248048,93347.94720458984,118898.4893798828,113069.44863891602
PI (38:0) | PIp (40:6),28102.72184753418,62716.284088134766,50495.86276245117,63128.58474731445,63181.28512573242,55427.54382324219
PI (38:0) | PIp (40:6)_2,31030.381942749023,66164.56442260742,46128.84358215332,57104.423828125,59609.86474609375,55243.6237487793
PI (38:1),17341.581089019775,57676.76406860352,40257.12301635742,49401.9635925293,55624.02359008789,53526.56369018555
PI (38:2),22272.68154144287,68446.14489746094,42224.622955322266,63591.30352783203,68126.08534240723,60695.98410797119
PI (38:3),35302.64250946045,176123.87170410156,112467.3087310791,100099.98727416992,174208.31201171875,90154.30599975586
PI (38:4),145686.7495727539,1457961.3286132812,877265.9484710693,600095.0607910156,1419173.439453125,466919.0941162109
PI (38:5),59704.60357666016,358466.3269042969,193154.3924560547,134232.85034179688,298323.02111816406,131125.10864257812
PI (38:6),42183.76315307617,131915.46899414062,80040.12524414062,86559.54675292969,128362.70904541016,99290.42614746094
PI (38:7),35107.50262069702,141311.92840576172,93209.78649902344,125290.06860351562,156127.7317199707,99885.54620361328
PI (38:8),28192.961990356445,69466.90509033203,47236.30364990234,60470.62435913086,64158.74456787109,68912.60464477539
PI (38:9),27357.341987609863,60089.66397094727,42822.58346557617,54494.08364868164,57870.48388671875,53748.92353820801
PI (40:0),129526.97062683104,234002.0965881348,127687.32843017578,160303.71112060547,198166.2741394043,196063.93464660645
PI (40:1),22981.662071228027,54353.603271484375,37035.943016052246,43091.48300170898,49677.64376831055,44952.94305419922
PI (40:10),52954.96369934082,101256.16595458984,61198.58460998535,107894.32801818848,146951.37197875977,66395.92601013184
PI (40:2),27549.96199798584,64669.52416992188,40559.40326309204,67095.02550506592,67718.18428039551,67674.8861541748
PI (40:3),20366.941482543945,45589.18276977539,33122.60251617432,45289.083251953125,44946.62307739258,37289.32304382324
PI (40:4),26251.68170928955,49793.68347930908,31935.482414245605,48393.2236328125,53748.423736572266,45763.32305908203
PI (40:5),29581.10182189941,71178.06491088867,44385.10305786133,61930.54440307617,67179.22486877441,62180.86479187012
PI (40:6),87737.78637695312,132795.1298828125,83133.74520874023,108578.80767822266,153336.9307861328,88955.80624389648
PI (40:7),31155.921813964844,80106.32571411133,57271.22450256348,61969.06427001953,77174.12557983398,63605.34391784668
PI (40:8),49289.664138793945,67220.62490844727,62285.20376586914,63611.2649230957,71988.68502807617,63058.0641784668
PI (40:9),17913.96111679077,50833.723541259766,30015.36199951172,46641.54342651367,48244.60386657715,45278.76362609863
PI (42:0),33623.562534332275,56106.70397949219,41834.98313522339,52182.34414672852,65609.20486450195,65875.96427154541
PI (42:1),17095.241249084473,33121.442626953125,25710.80213546753,30999.662109375,34299.46243286133,33825.96206665039
PI (42:10),17799.101188659668,41704.38307189941,25198.98171615601,34346.42247009277,36314.54251098633,38428.76274108887
PI (42:11),50260.88283538818,91147.44702148438,54807.3645401001,70958.42510223389,81690.06600952148,95044.12786102296
PI (42:3),29287.261825561523,64803.62341308594,36961.8030090332,62921.14503479004,86863.60493469238,67857.52474975586
PI (42:4),15510.541244506836,30805.26206970215,21618.481590271,30964.92236328125,30986.58209228516,30108.1417388916
PI (42:5),22736.98176574707,44853.94305419922,21930.78168106079,39183.00302124024,44126.682960510254,45769.4829864502
PI (42:6),18729.50122833252,37119.50224304199,23599.70151901245,32476.82211303711,33583.58236694336,35306.882232666016
PI (42:7),22219.561805725098,47967.10333251953,35015.38245391846,44199.422912597656,46508.26370239258,44666.62313842773
PI (42:8),25991.44184112549,64762.144134521484,40897.82302856445,61268.904296875,62287.00369262695,69872.06620788574
PI (42:9),14966.601036071776,33767.042221069336,21186.921684265137,34871.50225830078,33390.52229309082,32688.902053833008
PI (44:0),8761.900539398193,27396.601524353027,17078.801307678223,25435.621757507324,23730.401412963867,23628.64192199707
PI (44:1),8594.260581970215,26089.80181121826,17043.801094055176,23439.481536865234,25412.321800231934,22410.6015625
PI (44:10),14838.88109588623,33607.94234466553,23444.681686401367,33656.082401275635,28627.84196472168,31731.801849365234
PI (44:12),15762.521102905272,30819.602310180664,19210.141498565677,27659.001754760742,27986.782165527344,28188.641677856445
PI (44:2),14225.680961608889,29048.982093811035,19281.18166732788,25092.64189147949,28608.502113342285,25039.441318511963
PI (44:3),10647.100883483889,27453.122108459476,16085.140937805176,24759.70195770264,24910.981590271,24196.181785583496
PI (44:4),10223.600784301758,24855.421844482426,17457.021255493164,23086.501953125,22486.641662597656,23977.761894226074
PI (44:5),12032.980735778809,32700.642364501957,21863.501636505127,31964.242599487305,32289.762489318848,32091.041584014893
PI (44:6),12843.060806274414,32069.042137146,18472.62120437622,25382.361785888672,27581.80191040039,28730.341510772705
PI (44:7),14643.94108581543,30736.58187866211,22385.241695404053,30242.58203125,32700.542602539062,25556.261741638184
PI (44:8),14454.361122131348,30393.36245727539,21514.00165176392,30801.00218200684,31591.782302856445,30429.882446289062
PIo (18:0),79314.18662261963,485351.3542480469,281529.0758972168,402071.3126220703,416615.0579833984,377687.7634277344
PIo (20:5),44738.12270736694,356510.6868286133,229484.29583740237,303710.03802490234,252580.2131958008,323840.06185913086
PIo (28:0),24810.58164215088,98067.38592529295,81527.52633666992,81739.58465576172,94614.44702148438,105678.02783203124
PIo (30:0),45991.98321533203,182487.91247558597,168185.53106689453,124951.00982666016,175246.23406982422,154381.05017089844
PIo (30:1),33145.8024520874,131547.4503173828,110111.287109375,94397.42764282228,135020.80722045898,111266.30798339844
PIo (32:0),86580.68585205078,312403.4190673828,302180.6170654297,189480.95544433597,296412.22216796875,270678.5966796875
"PIo (32:1), PIp (32:0)",49879.9635925293,182850.0760498047,180042.8521118164,119312.96844482422,195309.67474365237,168239.75158691406
PIo (34:0),62143.52424621582,221349.71813964844,231221.43823242188,153560.31317138672,230290.61303710935,192146.33056640625
"PIo (34:1), PIp (34:0)",76891.48416137695,288568.4802246094,270966.6605834961,207466.11517333984,328016.2775878906,233334.49853515625
"PIo (34:3), PIp (34:2)",27927.721771240234,58866.08407592773,37652.48301696777,48081.16368103027,51870.26400756836,53122.06398773193
"PIo (34:4), PIp (34:3)",14798.941093444824,50123.96369934082,31135.24269104004,47488.38343811035,46219.90264892578,48208.42398071289
PIo (36:0),34972.26298522949,81272.74478149414,53682.083740234375,64275.2643737793,76579.02624511719,74646.92456054688
"PIo (36:1), PIp (36:0)",38751.88243103027,119552.56707763672,82638.66598510742,84803.54528808594,113481.82830810548,104796.54727172852
"PIo (36:2), PIp (36:1)",26119.82182312012,78308.60635375977,63312.98394775391,59780.30416870117,75377.42568969727,69903.24432373047
"PIo (36:3), PIp (36:2)",22173.38156890869,65075.0442199707,45324.76257324219,55157.18418884277,61643.64373016357,60411.2434387207
"PIo (36:4), PIp (36:3)",18970.001426696777,56798.54364013672,42170.1230545044,42447.50245666504,46768.742767333984,51038.5234375
"PIo (36:5), PIp (36:4)",18253.201293945312,51874.78369140625,40671.40264892578,43407.10304260254,48918.98315429688,45622.88305664063
"PIo (38:1), PIp (38:0)",29197.34188842773,64367.244384765625,39029.7832107544,51285.46325683594,57376.62420654297,55563.84368896485
"PIo (38:2), PIp (38:1)",20842.201469421387,52731.8639831543,36297.72232055664,47669.323638916016,54021.86352539063,53442.14389038086
"PIo (38:3), PIp (38:2)",23199.981803894043,48894.92353820801,32970.42230987549,47151.02250671387,48403.5231628418,43390.30358886719
"PIo (38:4), PIp (38:3)",19667.32129669189,69224.86538696289,36393.942543029785,54855.32339477539,66285.76480102539,55021.18388366699
"PIo (38:5), PIp (38:4)",17489.62107849121,47888.94340515137,27885.96160888672,41787.42250061035,41073.822982788086,43083.82308959961
"PIo (38:6), PIp (38:5)",24419.38161087036,57696.66397094727,41782.18321228027,54177.28393554688,56938.08465576172,55495.14447021485
"PIo (40:1), PIp (40:0)",48552.86354827881,67876.34579467773,57575.16384124756,57398.92391967773,72729.36474609375,58736.964263916016
"PIo (40:2), PIp (40:1)",18754.581260681152,39861.54328918457,26130.80157089233,44036.34362792969,43997.46296691895,39090.22221374512
"PIo (40:3), PIp (40:2)",35089.841941833496,71705.32579040527,45088.882553100586,72871.74438476562,89213.96524047852,51084.64399719238
"PIo (40:4), PIp (40:3)",25174.601554870605,50310.72332763672,36913.3429107666,43915.64318847656,46342.78338623047,41775.56332397461
"PIo (40:5), PIp (40:4)",61502.90441894531,113501.328125,92286.04681396484,112011.42797851562,116254.40795898438,107075.68725585938
"PIo (40:6), PIp (40:5)",31182.22225189209,73041.56443786621,47141.96422958374,66020.14602661133,73995.58532714844,87334.76641845703
PIo (40:7),29647.582077026367,77352.20501708984,51051.98323059082,57279.92391967773,73455.38586425781,55412.72393798828
PIo (42:0),21668.48159790039,45639.04330444336,36181.22230529785,42751.30325317383,42308.00289916992,41812.34298706055
PIo (42:1),21481.44150543213,48719.003341674805,34727.462463378906,45053.18348693848,47678.0231628418,57063.82345581055
PIo (42:2),14839.72110748291,34114.862564086914,22775.781635284424,33218.982345581055,31742.402313232426,28918.102157592773
PIo (42:4),36845.6626739502,65615.10551452637,42874.723709106445,49717.44415283203,52106.044677734375,73540.74458312988
PIo (42:6),31737.442665100098,73880.90425109863,44688.66250610352,65663.88610839844,79509.36614990234,67391.14424133301
PIp (20:0),54666.38333129883,332461.3572998047,114025.92784118652,249311.0557861328,237365.3767089844,138472.6499633789
PIp (28:0),13339.64093017578,46576.02349090576,35691.26298522949,41891.40367126465,46570.96298217773,47599.48358154297
PIp (30:1),50819.08264923096,140084.3878173828,133127.60748291016,101198.04663085938,115585.65007019044,149497.6717529297
PIp (32:1),26481.64158630371,89416.32601928711,73064.08633422852,65394.284240722656,80660.58682250977,95519.9486694336
PIp (34:1),28253.122116088867,89357.56625366211,78061.28704833984,74590.70642089844,93782.90618896484,92153.50689697266
PIp (34:4),12841.300964355469,48392.86318969727,33063.50224304199,44065.60313415527,45397.04316711426,43816.542572021484
PIp (36:5),102869.56677246094,188627.69213867188,166686.81176757812,178010.33325195312,182232.59375,179774.13232421875
PIp (38:6),114526.72778320312,222362.21533203125,200056.3928222656,194010.41552734372,214749.69409179688,218708.89404296875
PIp (42:2),12912.960807800291,36500.08229064941,25201.56136322021,34964.02241516113,34947.88227844238,32015.342308044437
PIp (42:4),14938.30101776123,36901.52293395996,20915.721504211426,34730.762451171875,31043.76235961914,34694.12254333496
PIp (42:6),132173.88903808594,268610.31677246094,134833.48755645752,172253.1332397461,213405.0177001953,227116.0205078125
PS (22:7),31017.662231445312,28594.54201889038,75884.98596191406,19342.021125793457,74395.58514404297,91213.32629394533
PS (24:0),28246.92185974121,38838.403175354,101403.02737426758,15751.441062927246,108546.1254272461,84525.98593139648
PS (26:0),37191.48278808594,26486.96222686768,63937.90487670898,23751.68169784546,64972.60437011719,76197.96545410156
PS (26:1),99263.48693847656,43230.30316162109,123377.94848632812,38477.32231140137,116071.0087890625,123751.76904296876
PS (28:0),54947.40398788452,550477.2261352539,712738.479675293,142928.08922576904,1040412.7126464844,809670.2913208008
PS (28:1),47762.94343185425,27232.28172302246,64382.104064941406,21454.10149383545,65659.32513427734,71295.42553710938
PS (28:2),19340.28129196167,14911.520931243896,46687.60311889648,15388.861274719238,46283.50338745117,50436.74366760254
PS (30:0),53828.66361236572,29616.682022094727,76207.18505859375,29483.96184539795,83625.84606933594,91357.70623779295
PS (30:1),26218.54200363159,19261.66156768799,48666.50296020508,20195.12119293213,49531.92330932617,58353.16409301758
PS (30:2),27909.921852111816,24241.081817626957,57705.38317871094,22397.16177368164,63690.74496459961,65871.72476196289
PS (30:3),30807.542594909668,24230.72176361084,73847.64532470703,19374.14111328125,67260.86376953125,81655.6852722168
PS (30:4),26559.98180770874,18464.921585083008,49316.68336486816,19080.361087799072,49331.563873291016,53940.74394226074
PS (32:0),42790.563049316406,29146.001918792725,89615.1669921875,24863.981727600098,85960.12591552734,115805.66864013672
PS (32:1),29151.28229522705,15174.561126708984,71986.04565429688,20271.54127883911,63802.38488769531,62440.544372558594
PS (32:2),42816.62282180786,137008.33222961426,414176.0900878906,147797.2707977295,377802.90545654297,162781.83325195312
PS (32:3),26860.801837921143,21787.661544799805,59723.264709472656,19783.52103805542,63769.643798828125,59576.02471923828
PS (32:4),32740.00189971924,21568.20168685913,65654.98489379883,23025.60149383545,58325.70376586914,64365.46499633789
PS (32:5),37565.022899627686,23301.04162597656,54567.80407714844,25751.381797790527,50682.403869628906,56235.723724365234
PS (34:0),38444.66296005249,29043.04231262207,63773.04486083984,21462.681644439697,60499.06396484375,80345.78594970703
PS (34:1),50307.90349197388,28238.70178222656,86913.22546386719,27085.56198120117,83038.62609863281,89083.1664428711
PS (34:2),29475.18188858032,21672.601501464844,58243.68460083008,21032.88134765625,60637.88430786133,64032.50344848633
PS (34:3),31984.922370910645,21972.441333770752,57423.64367675781,21693.161743164062,58344.4446105957,58151.02380371094
PS (34:4),31691.50220870972,23358.061923980717,57946.30401611328,16493.081260681152,55294.544036865234,56244.724029541016
PS (34:5),34500.72255706787,43335.403160095215,85559.7651977539,33598.80298614502,99309.74792480467,90112.48635864258
PS (34:5)_2,33704.30220413208,33024.26192855835,79380.86596679688,28666.901885986328,100383.74682617188,90989.72772216795
PS (34:6),31264.38235092163,22341.181480407715,67618.08407592773,23568.78176498413,61783.18438720703,69653.22543334961
