Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex
Lyso_PE(22:2),47164.04260253906,46691.20379638672,44336.6630859375,33446.66258239746,23660.78175354004,53241.88319396973,47137.2834777832,28129.241928100582,23799.18173217773
Lyso_PE(22:4),48286.223693847656,51242.663330078125,64830.804107666016,28847.641830444336,26748.642082214355,61551.60513305664,48646.70365905762,36923.64253234863,27571.1420211792
Lyso_PE(22:5),76678.00546264648,102956.5069885254,165144.38926696777,41833.2829284668,39782.46273803711,127142.36938476562,125781.90936279295,75621.48532104492,45936.48281860352
Lyso_PE(22:6),54272.12365722656,62714.52420043945,79405.80432128906,29199.04200744629,25887.921997070312,66757.36499023438,61184.38455200195,34541.30253601074,20840.18142700196
Lyso_PE(24:0),61467.58392333984,55758.0442199707,54227.50402832031,31880.922393798828,30823.28192138672,61649.54501342773,48846.883728027344,35370.24295043945,29271.70196533203
Lyso_PE(24:1),78817.02758789062,65741.52450561523,67648.76443481445,51970.44297790527,41786.92260742188,76917.60604858398,64308.68548583984,48661.682388305664,41981.8229598999
Lyso_PE(24:6),55933.96307373047,54174.80383300781,54664.34355163574,48281.62347412109,35387.72232055664,56311.5846862793,42145.06314086914,54653.74327087402,35666.90277481079
Lyso_PG(12:0),88633.44665527344,91333.70635986328,94379.62756347656,66569.78405761719,85568.40612792969,94955.52685546876,71601.22485351562,76464.06622314453,90408.36694335938
Lyso_PG(13:0) | PG (12:0),191408.03393554688,173015.53125,162633.25048828125,127838.8096923828,97829.70739746094,177987.59252929688,147746.5498046875,120611.24853515624,112059.0078125
Lyso_PG(13:0) | PG (12:0)_2,200283.1540527344,171086.57202148438,172401.47143554688,123895.0078125,96657.30615234376,189262.6728515625,160789.39282226562,126125.38891601562,108325.68786621094
Lyso_PG(14:0),83810.86535644531,82770.1655883789,86055.20629882812,73720.32473754883,70940.22479248047,88293.9859008789,56379.16394042969,95458.9267578125,73707.22509765625
Lyso_PG(14:1) | PG (14:1),1001464.9516601562,973650.1733398438,1029810.3491210938,1638956.1640625,972025.8393554688,1028042.9047851562,638230.3408203125,1758449.70703125,1129728.8994140625
Lyso_PG(14:1) | PG (14:1)_2,1003712.3994140624,986889.6982421876,1015799.1655273438,1685621.35546875,973077.5546875,1016062.0776367188,645595.1977539062,1768414.1518554688,1131762.0078125
Lyso_PG(15:0) | PGo (16:0),81173.56512451172,81375.80686569214,71136.7241821289,68926.52471923828,75758.04574584961,111522.5873413086,65276.94515991211,79442.98614501953,88679.32727050781
Lyso_PG(15:0) | PGo (16:0)_2,79794.18621826172,74489.48546600342,72586.60479736328,65219.02471923828,76687.06607055664,109663.9866027832,65061.50534057617,80524.4658203125,94875.60662841795
Lyso_PG(15:1),104495.48736572266,98163.46893310548,116405.18719482422,79086.44580078125,76531.78625488281,119784.80792236328,89928.96685791016,100217.62829589844,79701.7651977539
Lyso_PG(16:0),1491.400104522705,1458.3001022338867,1478.9800987243652,171428.27297973633,144265.13159179688,1497.8000984191897,1554.1201057434082,196479.4531555176,152307.66967773438
Lyso_PG(16:1) | PG (16:1),1614.8601036071775,1543.5601196289062,1457.880100250244,54183.8239440918,56875.80374145508,1552.7801055908203,1530.340103149414,66349.36459350586,68397.72528076172
Lyso_PG(16:1) | PG (16:1)_2,1512.6601181030271,1467.7400970458984,1576.0401153564453,55060.944244384766,60572.36444091797,1586.9801177978516,1552.8201141357422,73526.4642944336,67515.16467285156
Lyso_PG(17:0) | PG (16:0) | PGo (18:0),1273750.8940429688,1236864.5703125,1347791.0725097656,1890456.380859375,1015220.5144042968,1245639.6420898438,732898.9790039062,1899850.7126464844,1153654.5563964844
Lyso_PG(17:0) | PG (16:0) | PGo (18:0)_2,1217808.0576171875,1187438.6079101562,1257901.6840820312,1947871.5419921875,1058646.8022460938,1185238.2587890625,687843.9790039062,2015514.9868164065,1188459.6889648438
Lyso_PG(17:0) | PG (16:0) | PGo (18:0)_3,1126447.8291015625,1081303.516357422,1121559.63671875,2059305.0490722656,1097944.6635742188,1127991.461669922,610883.6608886719,2093113.771728516,1235036.7775878906
Lyso_PG(17:1) | PGp (18:0),62785.564697265625,63434.14459228516,77488.3851928711,44122.382553100586,50778.3837890625,68958.62487792969,52079.3432006836,85653.30581665039,55350.0637512207
Lyso_PG(17:1) | PGp (18:0)_2,63624.24465942383,66983.54461669922,76294.5855102539,46387.54333496094,48502.86334228516,70027.00537109375,50363.14419555664,82595.72589111328,52921.884033203125
Lyso_PG(17:2),85549.90576171875,81072.22622680664,69841.88537597656,61331.344329833984,56367.98394775391,75401.7258605957,61143.88516235352,64285.86462402344,61849.72427368164
Lyso_PG(18:0) | PG (18:0),652207.8676147461,434343.7258300781,534681.6274414062,211451.1383056641,162887.29248046875,573868.9445800781,795429.5872802734,274496.2174682617,271304.258972168
Lyso_PG(18:0) | PG (18:0)_2,636056.0252685547,442428.6075439453,539312.3450317383,210011.31713867188,170690.38940429688,586587.3552856445,802778.4462280273,276988.7353515625,269036.4365234375
Lyso_PG(18:1) | PG (18:1),68445.10482788086,68149.84460449219,58264.5241394043,42397.12292480469,43105.663146972656,65431.04461669922,47951.34329223633,53102.92343139648,49520.583251953125
Lyso_PG(18:1) | PG (18:1)_2,68721.2240600586,69439.84497070312,59982.06433105469,44153.12322998047,47224.10339355469,71908.42529296875,51354.80346679688,61003.92401123047,50755.503662109375
Lyso_PG(18:2) | PG (18:2),63619.64385986328,55339.56362915039,51623.563537597656,30109.90217590332,40889.60299682617,68170.06494140625,41276.68336486816,39960.98303985596,40403.72259521485
Lyso_PG(18:2) | PG (18:2)_2,69550.84503173828,60767.884033203125,52010.00346374512,30889.62190246582,38448.022369384766,70039.32461547852,42973.20329284668,44374.643814086914,40432.62271118164
Lyso_PG(18:3) | PG (18:3),133609.9481201172,128052.1278076172,117964.0693359375,81030.24542236328,77895.00448608398,128186.41116333008,110676.2456665039,90666.50567626952,82178.46502685547
Lyso_PG(18:3) | PG (18:3)_2,133041.33123779297,120309.20782470705,118924.87033081056,78761.90515136719,80666.20474243164,138765.0897216797,110777.3890991211,83791.60534667969,86326.18725585938
Lyso_PG(18:4),72284.22543334961,65931.36386108398,80600.10614013672,42022.7428894043,51469.00341796875,85860.60638427734,62755.58465576172,61536.04479980469,67430.7649230957
Lyso_PG(19:0),108059.70697021484,110797.60711669922,122283.82989501952,5680.980415344238,1743.9601135253906,113600.58792114258,105137.92782592772,7542.400505065918,1656.7801208496094
Lyso_PG(19:1),65129.24453735352,85627.30712890625,64191.144287109375,1501.4801063537598,2117.9601249694824,67350.90414428711,47771.063385009766,1539.260108947754,2067.8201484680176
Lyso_PG(20:0),83921.70629882812,76892.60479736328,79126.90521240234,49642.72366333008,58681.46393203735,78979.90545654297,65402.36462402344,63605.12469482422,52936.24394607544
Lyso_PG(20:1) | PG (20:1),186668.37353515625,205996.45629882807,175235.15234375,123581.16931152344,121059.36793136597,204851.4155273437,169580.41162109375,141077.81030273438,135680.8108139038
Lyso_PG(20:1) | PG (20:1)_2,181329.553100586,206085.6154785156,181783.69262695312,131498.34936523438,121767.40879440308,207557.5524902344,173594.27221679688,136963.44897460938,130584.62813949584
Lyso_PG(20:2) | PG (20:2),251033.76165771484,187083.8726196289,198479.8549194336,120691.60653686523,514399.9313392639,679506.0567626953,202158.79595947263,200675.33438110352,269932.67991256714
Lyso_PG(20:2) | PG (20:2)_2,235590.97631835932,184173.3126220703,196787.53359985352,119170.2678527832,501887.3933105469,659222.9008789062,207679.8167724609,204273.7769165039,261288.9019126892
Lyso_PG(20:3) | PG (20:3),61809.30368041992,62805.8239440918,61542.36395263672,32990.382247924805,31819.72254562378,71022.5256652832,54178.56423950195,43382.403747558594,32352.06227874756
Lyso_PG(20:3) | PG (20:3)_2,59898.04443359375,67224.90475463867,63052.36437988281,32102.28219604492,32068.96195602417,64133.085540771484,53458.60330200195,43510.6635131836,31257.76190567017
Lyso_PG(20:4) | PG (20:4),56572.74417114258,56602.04379272461,55253.26409912109,26133.881942749023,20793.60140609741,64777.54406738281,48290.02334594727,38263.022857666016,23117.98167037964
Lyso_PG(20:4) | PG (20:4)_2,55229.52404785156,58313.76467895508,52442.56378173828,27061.00187683105,21604.52149963379,62626.24395751953,45988.80380249024,37247.66262817383,22692.341346740723
Lyso_PG(20:5) | PG (20:5),107147.8487548828,104231.6671142578,102666.60693359376,43626.96313858032,21553.321533203125,116189.0887451172,86026.74609375,54350.90383529663,18926.5615234375
Lyso_PG(20:5) | PG (20:5)_2,107943.14697265624,108893.34924316406,103052.2666015625,47068.86347579956,22859.1216506958,115493.9481201172,89173.58654785156,54362.28416442871,24862.52173995972
Lyso_PG(21:0),67462.68438720703,80681.42651367188,86781.44641113281,53096.68344116211,59380.36343383789,76416.50512695312,59667.5842590332,71841.1849975586,64879.50451660156
Lyso_PG(22:0) | PG (22:0),174422.05139160156,186232.0714111328,200660.7120361328,93556.50659179688,139047.10864257812,299290.2998046875,124028.98944091795,128361.60961914062,127635.51110839844
Lyso_PG(22:0) | PG (22:0)_2,195903.2711791992,200491.2740478516,229813.31579589844,89512.14685058594,143580.90936279297,363965.40380859375,136011.8299560547,127314.50897216795,139483.65087890625
Lyso_PG(22:1) | PG (22:1),57510.583740234375,60761.76416015625,52796.903381347656,38111.46295166016,40726.02299499512,61704.28466796875,45944.74301147461,42728.823318481445,42366.663330078125
Lyso_PG(22:1) | PG (22:1)_2,52508.423583984375,58003.20373535156,52459.463134765625,39663.702865600586,40283.18322753906,58693.00408935547,45760.56314086914,47868.7033996582,42102.20310974121
Lyso_PG(22:2),68514.08544921875,74536.76571655273,86595.36538696289,49350.98414611816,56548.72462463379,74852.76498413086,66405.78477478027,57149.5438079834,52695.32504272461
Lyso_PG(22:4) | PG (22:4),89282.0864868164,82293.28723144531,90915.1664428711,57048.383880615234,59844.503662109375,119761.56866455078,112945.12878417967,73163.10412597656,70752.98461914062
Lyso_PG(22:4) | PG (22:4)_2,87385.28674316406,82263.34548950195,93212.36694335938,59984.424072265625,67518.84497070312,118605.84973144533,107015.927734375,67423.18389892578,65735.96490478516
Lyso_PG(22:6) | PG (22:6),85420.30590820312,93254.52612304688,88719.5669555664,55859.36459350586,95152.18572998048,89379.12701416016,67123.82434082031,76550.78552246094,62087.52426147461
Lyso_PG(22:6) | PG (22:6)_2,85895.42626953125,94988.38659667967,87159.36645507812,57397.68371582031,95742.32580566406,88294.32543945312,73007.82470703125,82898.18658447266,63821.98370361328
Lyso_PI(12:0) | PI (12:0),76939.12553405762,76564.96597290039,69342.94470214844,61663.42398071289,61283.28550720215,21872.961627960205,68302.94497680664,68516.46559143066,69559.30517578125
Lyso_PI(12:0) | PI (12:0)_2,73088.72598266602,70692.3056640625,65925.9454498291,61138.28436279297,61040.7841796875,23635.581630706787,70072.86456298828,66701.16535949707,72514.0647277832
Lyso_PI(12:0) | PI (12:0)_3,73707.20544433594,75370.08514404297,65899.04483032227,63404.96401977539,58621.60322570801,22919.881565094,67789.64440917969,66922.50625610352,70307.16459655762
Lyso_PI(13:0),98647.04693603516,91295.36724853516,90015.52612304688,75100.20513916016,88541.12646484375,41458.34313201904,92059.9467163086,78218.90631103516,100321.04638671876
Lyso_PI(14:0) | PI (14:0),87470.92645263672,86219.54473876953,76078.92526245117,68887.80520629883,69777.52505493164,21771.1815032959,78718.44567871094,78933.42465209961,79741.34530639648
Lyso_PI(14:0) | PI (14:0)_2,85652.42483520508,92826.0671081543,73988.2854309082,67893.1647644043,74024.78521728516,22566.501735687256,80119.52658081055,83722.06677246094,76274.1242980957
Lyso_PI(14:1),600025.3173828125,604615.9389648438,471085.9305419922,574559.7939453125,548475.0125732422,68777.36492538452,548923.8675537109,649246.4865722656,590693.4376220703
Lyso_PI(15:0) | PIo (16:0),469203.79387283325,387951.9675636292,494828.383392334,480695.3606262207,593799.6798706055,20767.781421661377,533027.7792816162,541179.3835144043,611136.9318237305
Lyso_PI(15:0) | PIo (16:0)_2,438018.318813324,32079.262489318848,458154.5355949402,498758.9188842773,558285.804107666,13958.00080871582,524690.0135879517,535870.8276977539,610761.8307800293
Lyso_PI(15:1) | PIp (16:0),82317.78646850586,78579.66567230225,75771.54620361328,58129.22286987305,62802.22502136231,20816.681552886963,75834.58619689941,67913.44496154785,63686.02502441406
Lyso_PI(15:1) | PIp (16:0)_2,86207.90716552734,78760.70631408691,78593.08541870117,61738.10415649414,61123.14366149902,25304.221797943115,74089.54528808594,70760.80419921875,65148.26458740234
Lyso_PI(16:0) | PI (16:0),1759.0200996398926,1562.160099029541,1738.140121459961,81080.62524414062,87324.20520019531,1480.5401039123535,1567.200107574463,95951.26806640624,80706.6654663086
Lyso_PI(16:0) | PI (16:0)_2,1511.9601135253906,1607.58012008667,1558.7001190185547,76981.98495483398,81338.96606445312,1461.160099029541,1469.0401000976562,93221.0658569336,85159.06494140625
Lyso_PI(16:1) | PI (16:1),1631.5801124572754,1532.440113067627,1613.0201263427734,133495.728515625,126213.0689086914,1461.1401023864746,1464.800106048584,146457.29071044922,137414.38842773438
Lyso_PI(16:1) | PI (16:1)_2,1521.7801094055176,1520.3400993347168,1580.6601219177246,127767.3504638672,121746.44830322266,1497.2001037597656,1606.0801162719729,138089.0884399414,136031.12857055664
Lyso_PI(17:0),497566.0837402344,568422.4061279297,455615.4296875,392759.3411254883,411871.9519042969,51427.56373214722,472161.42932128906,434415.69299316406,392161.3770751953
Lyso_PI(17:1) | PIp (18:0),67394.66438293457,87934.38578796387,66915.88409423828,48280.143615722656,50934.70422363281,16624.881225585938,58258.02395629883,70246.34425354004,56134.084533691406
Lyso_PI(17:1) | PIp (18:0)_2,69022.56457519531,89619.24571228027,64803.14532470703,46030.983627319336,45513.60333251953,18149.52128982544,58474.82446289063,67698.00398254395,49347.02340698242
Lyso_PI(17:1) | PIp (18:0)_3,67947.44439697266,91083.62768554688,61192.1643371582,47441.96319580078,51593.9441986084,15123.400959014893,55434.36415863037,74555.32643127441,53713.72384643555
Lyso_PI(17:2),103239.16619873048,99003.14834594728,89453.2467956543,89129.80767822266,81697.72631835938,25638.04204940796,79326.94509887695,94695.46728515624,84302.64584350586
Lyso_PI(18:0) | PI (18:0),101917.30682373048,109480.76763916016,95942.2066040039,65880.28506088257,1517.5201034545898,34684.862548828125,94868.02749633788,79584.92588806152,2110.4001502990723
Lyso_PI(18:0) | PI (18:0)_2,102312.24703979492,107730.2465209961,99381.64721679688,58343.02503204346,1508.320110321045,34451.3625793457,97017.7060546875,70214.54557037354,1624.0601119995115
Lyso_PI(18:1) | PI (18:1),109452.07019042967,107379.50701904295,93371.36730957033,61951.38436889648,2264.380172729492,24221.02160263061,92564.72671508788,72059.70501708984,1913.0401420593264
Lyso_PI(18:1) | PI (18:1)_2,105354.14776611328,105590.98712158205,91703.0262451172,65469.68510437012,2118.980121612549,23580.961639404297,96279.5689086914,68850.4849243164,2450.080177307129
Lyso_PI(18:2) | PI (18:2),328401.9050292969,247656.0782470703,303526.24307250977,301223.24269104004,151814.59050369263,19798.38143157959,207420.3297729492,324640.5463562012,175994.35049819946
Lyso_PI(18:2) | PI (18:2)_2,326417.9494934082,253555.7018432617,301701.44357299805,298075.6281738281,85186.56508255005,19118.32146835327,194930.4557189941,316352.9814453125,155581.1092414856
Lyso_PI(18:3) | PI (18:3),10354794.567565918,7085729.344970703,9609994.51916504,10714701.921875,6500267.43334198,128292.34872817992,5222462.502624512,10351165.05871582,6653299.061588287
Lyso_PI(18:3) | PI (18:3)_2,10262036.209655762,7198681.598144531,9584171.07055664,10543160.662719728,6396502.955978394,121761.20742034912,5383401.006652832,10257214.948120115,6281913.514659882
Lyso_PI(18:4) | PI (18:4),86044.3452758789,76614.42538452148,71942.90496826172,46503.28314208984,45056.682861328125,22495.561809539795,70460.44506835938,55737.4841003418,64996.944915771484
Lyso_PI(18:4) | PI (18:4)_2,88559.62622070312,77143.50494384766,70299.40512084961,46205.28378295898,47282.24377441406,21912.30149078369,67203.64419555664,57006.963928222656,58346.92401123047
Lyso_PI(19:0),461735.2925415039,415200.81396484375,508891.3748168945,65860.94410705566,271321.9202270508,87234.50659179688,482824.270690918,122232.46685028076,257660.8764038086
Lyso_PI(19:1),350639.90368652344,297073.3190917969,303842.62072753906,8962.640602111816,131386.72912597656,61288.58380126953,199263.63305664065,8759.680561065674,131175.3076171875
Lyso_PI(20:0) | PI (20:0),253053.80401611328,141072.65104675293,188774.0357971192,168783.97492980957,85530.56680297852,19930.66131591797,106673.32723999023,180514.827835083,62549.44488525391
Lyso_PI(20:0) | PI (20:0)_2,263066.99642944336,146506.9499053955,184841.5696105957,170623.4105834961,80644.18676757812,22328.92156982422,105164.82763671876,178818.23100280762,60833.4248046875
Lyso_PI(20:1),176146.74963378906,156870.68896484375,161336.5916748047,117200.20910644533,140069.48876953125,79317.16619873047,151939.70959472656,129286.1279296875,151903.49047851562
Lyso_PI(20:2) | PI (20:2),624519.9059448242,415594.3294372559,558446.7062072754,289222.30207824707,967741.2130737304,37201.602478027344,561861.8635864258,381435.29878234863,1170886.2150268557
Lyso_PI(20:2) | PI (20:2)_2,632751.5485229492,405783.5829467773,562216.9637756348,291387.0392303467,990985.2069702148,37587.6025390625,556768.84765625,383117.60021972656,1106764.4852600098
Lyso_PI(20:3) | PI (20:3),82353.7261352539,80191.44625854492,81469.96594238281,42316.12278747559,51043.54405212402,20523.92153930664,72605.68594360352,53147.68426513672,64936.6848449707
Lyso_PI(20:3) | PI (20:3)_2,82648.6069946289,79009.70642089844,80781.76602172852,44455.60302734375,53697.18376159668,21250.781448364258,69017.185546875,51563.663650512695,62434.70349121094
Lyso_PI(20:4) | PI (20:4),109345.7868347168,78491.30410766602,83974.8459777832,51200.02291870117,64871.58436584473,17632.92108154297,87106.1657409668,55227.74401855469,68848.70486450195
Lyso_PI(20:4) | PI (20:4)_2,99683.26568603516,80574.26483154297,81018.30532836914,49758.76428222656,69885.12426757812,22660.181610107426,89753.96673583984,51825.86293029785,79732.8257446289
Lyso_PI(20:5) | PI (20:5),87742.2868347168,85007.96630859375,80919.64575195312,42559.002670288086,57552.704010009766,30076.642120361328,79494.80603027344,49164.38345336914,70780.54507446289
Lyso_PI(20:5) | PI (20:5)_2,83053.38552856445,82914.58563232422,78297.12490844727,41649.302642822266,56075.12380981445,30622.52243041992,88005.42596435547,50102.02349853516,72338.08581542969
Lyso_PI(21:0),103664.86688232422,131981.98962402344,105857.2650756836,92895.8677368164,86174.8645324707,30948.36196899414,91590.28720092772,264638.57638549805,101205.84634399414
Lyso_PI(22:0) | PI (22:0),178951.93353271484,170888.25244140625,158728.85040283203,100345.48626708984,120222.6275024414,37486.88262939453,140767.548828125,125089.00979614258,115492.04849243164
Lyso_PI(22:0) | PI (22:0)_2,169891.4732055664,172821.91650390625,164004.85180664062,99717.88772583008,122041.69012451172,35168.702365875244,141808.4517211914,131778.3096923828,116161.00805664062
Lyso_PI(22:1) | PI (22:1),65848.00494384766,67557.1845703125,64898.84518432617,46073.46319580078,54619.04379272461,26316.72204589844,61129.96496582031,66833.24462890625,55431.84411621094
Lyso_PI(22:1) | PI (22:1)_2,59489.94451904297,66063.3044128418,57087.96380615234,42193.86318969727,51865.60433959961,25449.00187683105,56105.20346069336,60314.784744262695,53557.20397949219
Lyso_PI(22:2) | PI (22:2),63853.86378479004,59312.24496459961,50794.96334075928,43983.76333618164,41550.76284790039,17725.281211853027,59695.10395812988,53020.74375152588,54673.72396850586
Lyso_PI(22:2) | PI (22:2)_2,64205.7447052002,59025.86387634277,50291.14358520508,47725.0828704834,40043.00245666504,16514.36127471924,60088.64375305176,51048.16374206543,55382.54476928711
Lyso_PI(22:4) | PI (22:4),97513.80755615234,76704.10546875,80077.2857055664,71022.74530029297,74106.30514526367,24625.58140563965,83175.56524658203,63331.00454711914,74127.18493652344
Lyso_PI(22:4) | PI (22:4)_2,96919.48614501952,79103.84579467773,79048.26657104492,76856.26454162598,72703.64541625977,23038.22187805176,80308.14596557617,63792.02368164063,71487.34497070312
Lyso_PI(22:6) | PI (22:6),115070.26837158205,110633.36917114258,113814.06787109376,69498.18405151367,71705.32556152344,24869.0018157959,92250.28704833984,92995.88725280762,76259.06536865234
Lyso_PI(22:6) | PI (22:6)_2,116981.24786376952,111898.06866455078,111104.3485107422,72770.78509521484,72113.3256225586,22629.261688232426,94289.00485229492,95767.90649414062,77209.24542236328
Lyso_PS(12:0) | PS (12:0),36443.84262084961,82118.20629882812,40310.62251281738,61720.96380615234,62146.384338378906,40379.86267852783,17560.501140594482,70555.78540039062,64657.30401611328
Lyso_PS(12:0) | PS (12:0)_2,36320.58236312866,84129.70581054688,35063.502868652344,61292.6640625,64556.26495361328,37503.60297012329,20239.18162155152,76382.52453613281,61082.52456665039
Lyso_PS(13:0) | PS (12:0),61883.10429763794,142710.05029296875,61211.18438720703,109791.9072265625,98686.10693359376,65955.86489486694,28188.1817893982,111091.10729980467,91875.1866455078
Lyso_PS(13:0) | PS (12:0)_2,68848.54497528076,154302.91149902344,67027.92465209961,115428.44885253906,102833.94714355467,64318.90487289429,28940.301986694336,107747.88830566406,97402.46704101562
Lyso_PS(14:0),32018.26201248169,91568.44680786131,39154.82235717773,93530.70727539062,76825.26513671875,28089.121921539307,19024.381217956543,109584.58709716795,84214.98571777344
Lyso_PS(14:1) | PS (14:1),283266.5803833008,1270316.0678710938,767647.3536376953,2280680.5556640625,1318889.412109375,239045.85823440552,266529.4800186157,2416793.9765625,1442131.3994140625
Lyso_PS(14:1) | PS (14:1)_2,276489.43772888184,1292423.6420898438,722178.3780517578,2237171.5112304688,1318695.244140625,228577.01641845703,278942.3008422852,2363559.783203125,1425891.8232421875
Lyso_PS(15:0) | PSo (16:0),16784.421054840088,72695.06381225586,18401.601146698,64916.12451171875,79013.28704833984,10335.880744934082,21079.141624450684,85585.96618652344,89865.86529541016
Lyso_PS(15:0) | PSo (16:0)_2,8113.960552215576,59612.80430984497,4262.760349273682,62832.48391723633,80118.30688476562,7451.060451507568,7019.320518493652,85501.26641845703,87161.04721069336
Lyso_PS(15:1),34048.68240356445,149201.51068115234,70786.30365753174,96160.8656616211,94629.10485839844,46781.4033203125,22129.921558380127,130979.0698852539,102316.28698730467
Lyso_PS(16:0) | PS (16:0),1512.6400985717771,1509.300090789795,1514.5801162719729,112744.60830688477,104870.14755249023,1468.0801048278809,1464.320110321045,133364.57022094727,98567.60806274414
Lyso_PS(16:0) | PS (16:0)_2,1543.0200996398926,1497.660099029541,1599.9001159667969,107314.20889282228,101195.2885131836,1464.6000938415527,1476.9000968933103,141001.18823242188,104074.607421875
Lyso_PS(16:1) | PS (16:1),1516.9201049804688,1649.1001243591309,1458.700096130371,49777.06362915039,57765.44409179688,1605.1201171875,1463.8400955200195,69251.94485473633,59162.12438964844
Lyso_PS(16:1) | PS (16:1)_2,1497.0200996398926,1542.0200996398926,1459.6201133728027,53058.26403808594,52114.60397338867,1480.9200897216797,1464.60009765625,65641.16519165039,66995.9047241211
Lyso_PS(17:0) | PSo (18:0),303248.0227661133,1635870.8061523438,684966.6067810059,2503857.4291992188,1354585.6674804688,219361.6747894287,393649.284034729,2589490.008300781,1496242.6928710938
Lyso_PS(17:0) | PSo (18:0)_2,300694.2626876831,1584643.9077148438,291334.8418045044,2615912.0947265625,1454720.859375,208020.2352256775,393516.7474327088,2697833.5893554688,1578359.8095703125
Lyso_PS(17:0) | PSo (18:0)_3,420992.9640274048,1419915.15625,254483.46104812625,2734475.970214844,1523858.4282226562,190187.8539199829,149694.4507637024,2825750.7607421875,1659603.2670898438
Lyso_PS(17:1) | PSp (18:0),23476.70171356201,75699.76541137695,28910.741954803467,44491.8032989502,51994.28366088867,18442.22137069702,17037.38104248047,89973.02630615234,56818.244384765625
Lyso_PS(17:1) | PSp (18:0)_2,16771.481185913086,70367.78533935547,28134.40200805664,49332.863037109375,47728.20388793945,19047.68130874633,9049.580646514893,88361.52572631836,57330.34414672852
Lyso_PS(17:2),25041.341930389404,67869.58404541016,19044.801414489742,48657.34365844727,51086.64337158203,24899.18170166016,17015.300937652588,57510.04473876953,50176.52365112305
Lyso_PS(18:0) | PS (18:0),37860.48282623291,107806.68701171876,27691.281845092773,39491.96290588379,50487.64338684082,34645.342334747314,30125.28234863281,84801.46618270874,59853.704528808594
Lyso_PS(18:0) | PS (18:0)_2,35783.68253326416,111756.2896118164,26970.841899871823,26258.762371063232,29858.842071533203,35935.66244125366,17383.781337738037,18671.841175079346,41798.14281463623
Lyso_PS(18:1) | PS (18:1),29817.722122192383,75330.96594238281,22238.361457824707,45868.66326904297,50087.062927246094,31371.542274475098,19576.62127304077,58371.484466552734,46029.16339111328
Lyso_PS(18:1) | PS (18:1)_2,31087.26217269897,78858.90588378906,22758.621696472168,40530.683208465576,44722.00347900391,30154.882194519043,10031.400760650637,53223.34387588501,47070.60305786133
Lyso_PS(18:2) | PS (18:2),22686.40163040161,59594.0842590332,17434.921356201172,34257.52247619629,39908.942779541016,20752.38147354126,15020.741409301758,43043.58302307129,41076.00286865234
Lyso_PS(18:2) | PS (18:2)_2,22291.64144134521,59054.38441467285,17852.161128997803,33951.64204406738,37185.16290283203,22810.42158126831,9706.16067123413,41809.24337768555,38161.6628112793
Lyso_PS(18:3) | PS (18:3),29198.84202575684,152399.67059326172,29055.76191329956,87696.62545776367,83811.62512207031,28044.04195022583,18427.06148147583,103780.26858520508,92691.22534179688
Lyso_PS(18:3) | PS (18:3)_2,30352.962070465088,157493.93426513672,56331.60399246216,91325.00769042967,89589.30603027344,24963.621936798096,48645.52332687378,100572.3074645996,92746.68734741212
Lyso_PS(18:4),21072.86151123047,62489.86373901367,16865.34126663208,40722.00289916992,41640.28274536133,20641.26153945923,17068.201263427734,57889.10363769531,52804.8837890625
Lyso_PS(18:4)_2,19645.72137451172,67739.56509399414,27763.561939239506,37285.122131347656,39430.362564086914,19101.38132095337,9277.200714111328,54973.72351074219,52969.06381225586
Lyso_PS(19:0),28032.84189224243,134452.87106323242,27868.902015686035,36608.58220291138,38871.3028755188,32889.46223449707,19128.801414489742,52864.1237449646,43118.84292984009
Lyso_PS(19:1),30037.262058258057,113206.9475402832,17270.441249847412,15321.58122253418,17824.18128967285,26409.661903381348,18211.82118606568,22353.461757659912,16191.92098236084
Lyso_PS(20:0) | PS (20:0),48629.54327392578,84055.44598388672,28743.16173171997,53524.544036865234,71678.86529541016,39243.92268371582,21530.86117172241,66530.96484375,62854.98486328125
Lyso_PS(20:0) | PS (20:0)_2,47188.32299804688,86469.986328125,22194.68155670166,55587.94384765625,72104.44598388672,36076.08280181885,13989.620933532717,67135.76397705078,61273.12377929688
Lyso_PS(20:1) | PS (20:1),107458.78857421876,231559.29663085932,60993.28426742554,121597.38940429688,152286.83032226562,104617.2681274414,35128.26257324219,138532.6297607422,161057.83251953125
Lyso_PS(20:1) | PS (20:1)_2,110160.90698242188,227554.6774902344,56214.20388793945,122180.76977539062,133575.73022460938,104730.72741317748,46251.62301635742,133789.8682861328,151243.49084472656
Lyso_PS(20:2) | PS (20:2),42399.16296386719,180643.97396850583,38200.62283706665,115447.36895751952,654891.6980895996,35755.76300048828,50276.98205566406,222367.57165527344,341049.82904052734
Lyso_PS(20:2) | PS (20:2)_2,46689.10316467285,179667.1521911621,37053.30271530152,112781.94929504396,648257.723526001,33538.96241760254,50328.404483795166,221433.0333251953,343622.186126709
