Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
"Cer(d16:2(4E,6E)/24:0(2OH))",142184.78930664062,141723.1703491211,142645.58950805664,133046.96920776367,152708.03100585938,144627.31127929688,142850.1102294922
Cer(d18:0/14:0),69678.10508728027,68727.40532684326,72194.92471313477,66011.90441894531,76590.40516662598,72753.74540710449,65718.24452972412
Cer(d18:0/16:0(2OH)),153011.21069335938,127287.80834960938,152874.5906982422,161880.13189697266,154726.37161254883,149797.71005249023,161353.7706604004
Cer(d18:0/16:0),113375.0082397461,110499.50741577148,114675.30766296388,107880.2878112793,118692.06811523438,109609.50817871094,112117.84796142578
Cer(d18:0/18:0(2OH)),121464.8078918457,104212.64819335938,161638.29013061523,118237.508102417,130583.3279876709,122910.10862731934,131247.60917663574
Cer(d18:0/18:0),157739.89166259766,132191.7696533203,181541.2541656494,136283.30877685547,149210.90942382812,140803.89176940918,147970.37173461914
Cer(d18:0/20:0(2OH)),202125.3351135254,162531.37170410156,218093.05740356445,190188.01220703125,200653.45449829104,188047.39164733887,189347.37405395508
Cer(d18:0/20:0),132555.86972045898,108238.1477355957,140808.33010864258,118345.74819946288,134113.38821411133,120012.84866333008,125828.38876342772
Cer(d18:0/22:0(2OH)),2399728.389160156,2281492.40814209,2147129.334777832,2171286.031738281,2519364.7571411133,2208841.9205932617,2138940.8828125
Cer(d18:0/22:0),181953.27249145508,149522.72943115234,202511.11181640625,178534.01141357422,182697.05377197263,165527.31121826172,178499.39318847656
Cer(d18:0/24:0),2515717.0775146484,2448334.5513916016,2276263.2356567383,2299914.916625977,2625003.172973633,2309902.7052612305,2261162.507446289
Cer(d18:0/26:0),1020465.2311401368,1062271.7876586914,1127448.4967041016,1189078.7384643557,722315.9315795898,1052177.0668945312,937566.7385253906
