Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
PG (34:3),66449.2251586914,72496.46502685547,56262.884216308594,59414.42401123047,62442.70458984375,55006.48416137695
PG (34:4),65065.224609375,66065.48483276367,49460.76364135742,56437.18389892578,61066.20468139648,52230.04336547852
PG (34:5),128450.8108215332,116327.82794189452,99962.30596923828,131893.1882019043,116646.36660766602,89329.46643066406
PG (34:5)_2,125213.76928710938,105470.92761230467,90703.9073486328,120796.5284729004,106076.68731689452,87162.8062133789
PG (34:6),69765.04461669922,73391.60455322266,55129.4440612793,377565.8013305664,64470.34359741211,61105.563903808594
PG (36:0),163344.27221679688,193784.0128173828,120035.4874267578,165576.1326904297,150934.48754882812,109975.62634277344
PG (36:1),401467.169921875,351786.125,154521.771484375,395688.3662109375,223744.416015625,155809.130859375
PG (36:2),248285.53784179688,340847.4636230469,141933.95056152344,211995.015625,175739.953125,136441.73095703125
PG (36:3),65389.604888916016,87005.88610839844,53786.163665771484,62601.96466064453,59394.9642944336,56423.48400878906
PG (36:4),68909.8451538086,88303.12628173828,58225.44384765625,72263.70471191406,75949.34533691406,63515.70458984375
PG (36:5),56448.04425048828,59226.764221191406,51134.60290527344,57818.92416381836,55612.74429321289,47720.00338745117
PG (36:6),58527.00439453125,65036.38458251953,50959.643615722656,59990.96374511719,62131.48513793945,55005.243591308594
PG (36:7),73597.6455078125,85593.18644714355,57013.683685302734,65739.70477294922,64797.94409179688,62745.78472900391
PG (36:8),311157.482421875,325331.8876953125,198792.594909668,223835.11614990237,274376.58459472656,289634.3452758789
PG (38:0) | PGp (40:6),187481.07244873047,227386.8992919922,105329.6264038086,131072.5506591797,152545.7124633789,140190.2694091797
PG (38:1),139777.9501953125,182985.852722168,88625.58532714844,112599.22888183594,97412.1664428711,87387.90551757812
PG (38:2),178818.45166015625,337394.5695800781,102677.96655273438,118883.56939697266,121756.00909423828,111403.74670410156
PG (38:3),98201.48809814452,148948.31024169922,60911.56439208984,75268.98541259766,67677.46438598633,62154.04376220703
PG (38:4),144185.73095703125,140745.1690673828,90295.68646240234,135806.29052734375,114575.96704101562,97630.26635742188
PG (38:5),78744.9448852539,89525.78625488281,63744.00402832031,76219.70568847656,75994.1849975586,65453.06433105469
PG (38:6),71733.22546386719,91206.1058959961,60061.96420288086,69759.46514892578,68940.80462646484,68710.30505371094
PG (38:7),209252.6136779785,301795.8399658203,168381.69256591797,155839.73376464844,198883.391784668,259913.3614501953
PG (38:8),87520.8461303711,116608.24926757812,66596.36511230469,62698.34436035156,70167.62469482422,60676.50439453125
PG (38:9),88996.70568847656,134265.50872802734,69646.72454833984,73669.08544921875,83281.4849243164,74986.7458190918
PG (40:0) | PGp (42:6),387317.310546875,382324.8695678711,336013.9026489258,367705.1667480469,363289.90490722656,285873.9250488281
PG (40:0) | PGp (42:6)_2,351685.84466552734,356322.60736083984,310752.63830566406,321781.9172363281,335593.4060058594,274915.53759765625
PG (40:1),57209.86395263672,64855.38494873047,48710.42385864258,61239.90441894531,52950.96368408203,50420.94323730469
PG (40:10),224028.55786132807,321284.7852783203,193370.5118408203,201237.7530517578,204071.6534423828,439284.9958190918
PG (40:2),129176.96942138672,191235.59503173828,141936.97094726562,171760.37167358398,117918.7280883789,211727.81610107425
PG (40:3),73247.78540039062,79081.20520019531,54974.04360961914,75383.20568847656,69343.46533203125,59052.32391357422
PG (40:4),130747.4091796875,112691.32824707033,78115.10595703125,133631.40893554688,94997.84704589844,76667.76489257812
PG (40:5),200654.7939453125,153739.95141601562,105078.70727539062,214097.6350097656,126560.68884277344,103978.947265625
PG (40:6),1363399.65625,932621.0888671876,522733.861328125,1405535.490234375,696623.1083984375,544257.1337890625
PG (40:7),117273.62878417967,186432.0150756836,76713.86547851562,95254.18688964844,77643.50555419922,72965.76525878906
PG (40:8),79032.22476196289,135800.84991455078,55666.3236694336,59156.38470458984,61811.96447753906,62678.6845703125
PG (40:9),72173.18399047852,98813.24536132812,57565.143463134766,65973.1450805664,67066.10455322266,78753.70602416992
PG (42:0),113936.30953979492,130459.23049926758,126164.0308227539,118253.6882019043,120182.62768554688,135559.42831420898
PG (42:1),55072.32360839844,58629.48388671875,51118.80334472656,58061.1037902832,52828.36413574219,49148.923583984375
PG (42:10),76445.04498291016,70133.14474487305,51570.064697265625,63935.06457519531,58961.56298828125,52270.263092041016
PG (42:11),259582.9608154297,235100.67596435547,188993.7288513184,235955.81616210935,200403.9163513184,159837.75024414062
PG (42:2),62573.704162597656,74839.88610839844,52344.32379150391,58967.60409545898,54938.48384094238,57410.80459594727
PG (42:3),190294.7935791016,218217.2755126953,165323.08984375,162331.3505859375,144758.3515625,191396.8116455078
PG (42:4),51495.82354736328,48151.46371459961,51747.00357055664,51113.903747558594,45203.723571777344,45465.32308959961
PG (42:5),48664.96353149414,51702.56332397461,40010.82284545898,49417.40330505371,45638.243591308594,46499.903259277344
PG (42:6),109471.92797851562,106569.9077758789,65895.00457763672,94492.66552734376,88787.92504882812,81687.28671264648
PG (42:7),53421.06359863281,58632.564208984375,43373.04302978516,58557.88439941406,51442.48376464844,42734.96304321289
PG (42:8),63849.94445800781,69619.06408691406,55511.683685302734,63247.16400146485,60140.78436279297,56300.5837097168
PG (42:9),98854.06701660156,121691.98834228516,103942.74768066406,123260.53076171876,103009.42822265624,119546.66857910156
PG (44:0),35315.722564697266,34490.70245361328,30805.88217163086,38829.982971191406,33943.80258178711,32452.00234985352
PG (44:1),32837.182373046875,34557.1022644043,30492.78220367432,28298.22187423706,30704.882499694824,29574.14207839966
PG (44:10),76613.40557861328,60449.62454223633,42677.82321166992,81822.10559082031,50152.6032409668,41192.22299194336
PG (44:12),77869.58532714844,65205.565002441406,45019.04333496094,78623.28552246094,50569.383239746094,41016.72277832031
PG (44:2),38467.402770996094,39746.96279144287,34474.64217376709,36921.64277648926,36031.78265762329,33140.06253051758
PG (44:3),34683.622425079346,36949.02239990234,30556.862243652344,41574.58278274536,34625.42245864868,31065.04201889038
PG (44:4),38442.542724609375,35789.30242919922,32097.782287597656,40093.90286254883,29987.742431640625,33408.12237548828
PG (44:5),37387.9423828125,36922.28289794922,33214.38259887695,36381.46237182617,39092.342681884766,29845.522079467773
PG (44:6),35656.52256774902,39178.94282531738,34118.98239135742,34923.96270751953,33625.28219604492,33344.702392578125
PG (44:7),36816.26272583008,39242.32269287109,32682.182235717773,41124.18258666992,36038.02291870117,34501.001953125
PG (44:8),39289.36267089844,42252.20294189453,31329.56225585937,34977.80270385742,36759.902770996094,33119.06219482422
PGo (20:0),99502.70678710938,94053.32818603516,1766.920139312744,95398.96752929688,98504.9656677246,1489.3201026916504
PGo (28:0),66681.52453613281,51632.403564453125,55712.96362304688,50994.82373046875,53290.063873291016,49670.42372131348
PGo (30:0),104598.40756225586,107913.26754760742,102795.94760131836,109769.78759765624,108567.76596069336,152954.09130859375
PGo (30:1),74551.60586547852,69316.4047241211,57865.38429260254,64459.223693847656,62870.24493408203,63511.685302734375
PGo (32:0),54444.304443359375,59134.2639465332,45255.08264160156,67729.80429077148,50323.383361816406,45326.60357666016
PGo (32:1),40229.84280395508,42881.66279602051,33496.522384643555,39869.22314453125,40631.08290100098,33176.842376708984
PGo (34:0),128321.01022338869,135868.2508239746,102070.90728759766,138989.95147705078,115591.38851928712,119488.92822265624
PGo (34:2),60302.724853515625,65990.22528076172,56021.904296875,55343.904296875,57640.28350830078,52783.10345458984
PGo (34:3),53857.564025878906,52954.72299194336,46056.12310791016,52016.68395996094,52269.96395874024,46606.62316894531
PGo (34:4),53593.7038269043,63367.7841796875,46951.283203125,61089.6051940918,56164.18475341797,45807.22271728516
PGo (36:0),63629.76483154297,79160.86572265625,53702.4228515625,60164.603515625,57591.584533691406,57791.524475097656
PGo (36:1),247066.5167236328,250484.4373779297,158368.81091308594,169578.95349121094,202948.81188964844,231910.1142578125
PGo (36:2),56512.80432128906,65957.4048461914,51647.28350830078,58500.7643737793,56934.0241394043,56112.42413330078
PGo (36:4),59408.9642944336,64048.38543701172,50522.243591308594,53680.68365478516,56604.18420410156,50951.40347290039
PGo (36:5),53124.08419799805,58666.144622802734,44592.40353393555,55768.424377441406,49317.32328796387,47043.983459472656
PGo (38:0),149665.1717529297,225616.93603515625,122536.26745605467,105565.1273803711,129070.2880859375,173112.79431152344
PGo (38:1),82742.64672851562,133930.70724487305,59357.52423095703,62578.844299316406,68104.00457763672,66828.48504638672
PGo (38:2),80400.4850769043,127758.4096069336,60925.62493896485,70350.34478759766,77380.48626708984,68803.04498291016
PGo (38:3),89020.306640625,112508.64770507812,65254.14389038086,75523.7847290039,92538.46600341795,75018.18518066406
PGo (38:4),86288.88598632812,106569.74841308594,60189.08485412598,79046.9252319336,74132.0258178711,64290.404052734375
PGo (38:6),58258.84442138672,61348.92376708984,49832.44323730469,62680.8232421875,57534.14437866211,51230.86367797852
PGo (40:0),113656.3077392578,172388.4330444336,72098.88464355469,92514.18688964844,73877.50555419922,69183.04486083984
PGo (40:1),85847.5863647461,153345.0528564453,57194.32369995117,62411.66400146485,61538.24426269531,61729.24426269531
PGo (40:2),69309.84518432617,95579.02551269533,55909.424713134766,59726.52416992188,64440.46398925781,62516.384521484375
PGo (40:4),62333.62518310547,55863.80374145508,51710.00289916992,73055.56539916992,53400.58377075195,48948.70372009277
PGo (40:5),56090.04382324219,58707.40432739258,47556.10363769531,59319.62487792969,56721.72399902344,45390.78326416016
PGo (40:6),124338.0100402832,139171.39129638672,115460.04870605467,113870.32824707033,114791.06964111328,131056.48919677734
PGo (40:9),167735.97296142578,256948.5548095703,149640.19229125977,155436.79248046875,155040.09002685547,329672.18048095703
PGo (42:0),46376.1630859375,53598.783752441406,44023.30294799805,51576.203674316406,46207.70379638672,41860.16287231445
PGo (42:1),54177.98431396485,58719.50421142578,44522.72332763672,52830.24435424805,51513.34359741211,46545.90350341797
PGo (42:2),85813.08630371094,98590.68591308594,84137.22714233398,97453.06658935548,87010.98571777344,84379.02551269531
PGo (42:4),167406.58923339844,150553.4921875,128261.83193969728,149911.39120483398,132643.64611816406,108062.50637817384
PGo (42:6),86113.66668701172,93462.62567138672,75945.42459106445,89445.72686767578,83643.48510742188,85484.90518188477
PGp (16:0),102133.8876953125,94788.6279296875,91672.7651977539,116453.44842529295,114078.48760986328,86335.54638671875
PGp (20:0),55105.503662109375,61318.7841796875,1503.000114440918,52231.80419921875,50348.84368896485,1494.380100250244
PGp (28:0),56178.94364929199,64376.22457885742,59157.10464477539,50838.98295593262,54927.964096069336,54515.24362182617
PGp (30:1),76532.5661315918,80888.38494873047,61609.24423217773,62394.86520385742,68748.1044921875,74554.14492797852
PGp (34:4),52125.26397705078,58204.08377075195,41434.70309448242,322507.24548339844,46082.0033569336,43702.40301513672
PGp (36:5),89280.7474975586,112373.76818847656,85368.2053527832,118718.54949951172,96950.24816894533,96887.64624023438
PGp (38:6),176833.17346191406,204002.7972412109,130913.16845703124,177014.47424316406,161512.2900390625,124697.7296142578
PGp (42:2),65161.06497192383,58730.64431762695,45530.88333129883,57404.5235748291,55129.72442626953,49709.46331787109
PGp (42:4),43981.32275390625,48109.14349365234,40612.00296020508,49972.94384765625,40454.24267578125,38288.1826171875
PI (14:1),123372.79021453856,562594.0080566406,566800.9542236328,527984.0258789062,582093.7045898438,242129.21718215945
PI (20:1),93719.14587402344,177796.251953125,142828.63037109375,145929.0294189453,162932.29138183594,86469.7066040039
PI (24:0),32091.00230407715,86725.3860168457,67239.30380249023,69843.44577026367,88784.26718139648,33671.162033081055
PI (26:0),37289.74206924439,73073.3447265625,67958.66421508789,70531.66412353516,77585.34585571289,43668.20324707031
PI (26:1),136320.34786605835,184582.9521484375,157794.73071289062,172569.73168945312,177218.83349609375,131447.40942382812
PI (28:0),43704.58303833008,99238.98736572266,115799.5078125,109907.5479736328,101055.36865234376,62891.86410522461
PI (28:1),22466.841480255127,66445.56469726562,65850.26412963867,66708.96452331543,62545.46469116211,35212.46252441406
PI (28:2),18509.621223449707,59232.20361328125,43147.583084106445,41232.54252624512,42775.76330566406,18166.58140563965
PI (30:0),222123.53685760495,346193.365234375,431046.3286132813,373956.02734375,343324.4228515625,250347.51684570312
PI (30:1),75253.12411117554,159683.79138183594,213133.53692626956,183004.43212890625,152522.9112548828,79947.54516601562
PI (30:2),41060.20316314697,97146.28814697266,99974.64630126952,110772.82598876952,107256.36755371094,51165.10366821289
PI (30:3),18325.30136871338,49782.2038269043,38408.82273864746,45960.62341308594,48453.923583984375,23053.881553649902
PI (30:4),19589.56147003174,65299.88409423828,52388.96434020996,55165.18432617188,60222.94341278076,22757.68175506592
PI (32:0),352287.84630203247,581099.5834960938,698131.1748046875,596369.0424804688,553289.1982421875,398972.90478515625
PI (32:1),203842.09424591064,416512.8896484375,500735.3974609375,414617.5278320313,345249.7236328125,237424.89819335935
PI (32:2),244340.29721069336,339505.6875,366907.5073242188,344147.90576171875,310035.42138671875,282381.5576171875
PI (32:3),21970.42146301269,62829.3846282959,46062.62312316895,58655.6049194336,58692.6439819336,21953.201332092285
PI (32:4),19655.10160446167,86688.04629516602,76552.96382141113,74111.2649307251,88159.1469116211,28281.401885986328
PI (32:5),22124.20140838623,89272.72634887695,61825.98498535156,72127.74496459961,79076.00454711914,27827.202140808105
PI (34:0),333545.7022781372,456175.009765625,479525.23583984375,458570.2338867188,426379.1284179688,344812.6053466797
PI (34:1),174107.97372436523,547623.8002929688,497356.9462890625,407357.5551757813,352098.06591796875,205596.5156555176
PI (34:2),169594.0131340027,376944.10693359375,367383.2668457031,265294.41796875,246261.97900390625,175067.23278808594
PI (34:3),29997.402141571045,105608.068359375,87527.02781677246,67798.40533447266,65804.48477172852,28646.562286376957
PI (34:4),18515.02138137817,64305.22518920898,45183.94377136231,48434.10368347168,56091.28399658203,19925.861457824707
PI (34:5),29600.06217575073,117798.94995117188,87818.38702392578,100485.00900268556,105158.14579772948,29650.18190765381
PI (34:6),23105.28168106079,59737.28498840332,51672.12390136719,56841.60369873047,58293.28451538086,22143.661529541016
PI (36:0),153883.6508216858,209671.83520507807,205123.2548828125,207433.63427734372,207045.8134765625,139423.77001953125
PI (36:1),49240.12377929688,174926.5919189453,122025.7276611328,102956.58770751952,110157.0479736328,49714.62338256836
PI (36:2),85905.54592895508,308976.9620361328,258618.61791992188,164253.59106445312,162065.59033203125,82405.72576904297
PI (36:3),42015.803047180176,246779.3375244141,186322.3533935547,90641.94653320312,106525.32690429688,41542.84271240234
PI (36:4),43094.5832939148,580644.0043945312,169722.15042114258,152192.80908203125,235716.65893554688,76387.64454650879
PI (36:5),23995.521728515625,79465.845703125,53307.603515625,55670.10424804688,65358.76528930664,21327.061752319336
PI (36:6),34503.92237854004,65118.14431762695,53386.363372802734,61064.124267578125,65854.18447875977,34606.72238922119
PI (36:7),34011.48253250122,74651.60446166992,74558.84509277344,74295.24517822266,77077.48596191406,33368.46194458008
PI (36:8),40566.22286605835,116697.74826049805,113537.32775878906,106431.72705078124,110751.44702148438,49941.52365112305
PI (38:0) | PIp (40:6),26770.56188583374,61527.004791259766,58407.884765625,57459.143951416016,58124.184143066406,28916.262279510494
PI (38:0) | PIp (40:6)_2,27777.48183441162,58366.984130859375,57849.24368286133,55049.863693237305,59110.724365234375,29859.72216796875
PI (38:1),19798.741458892822,63164.94525146485,48892.54281616211,50829.66363525391,46599.90283203125,23728.461544036865
PI (38:2),21971.981719970703,89477.72741699219,50176.443603515625,51422.5240020752,56294.4638671875,24287.4217376709
PI (38:3),24384.20163345337,327755.12048339844,80077.14532470703,77887.78503417969,141121.61026000977,47859.46330261231
PI (38:4),79263.44602966309,2958383.3693847656,441393.3713378906,488490.6223144531,1119307.676147461,314992.6420135498
PI (38:5),36061.62296295166,687401.8770141602,163821.07080078125,141402.50982666016,268732.6594238281,74490.70570373535
PI (38:6),36503.88262176514,271707.5201416016,102320.66674804688,78552.70666503906,96628.10729980467,46782.5231628418
PI (38:7),30639.12204742432,180935.93612670896,113381.36854553224,110423.13064575195,134539.73013305664,37943.30368041992
PI (38:8),29508.761936187744,69370.42498779297,54332.54342651367,54832.06405639648,66795.70529174805,29175.382354736328
PI (38:9),26764.90184020996,61449.44494628906,45705.78372192383,48077.64334106445,50133.84359741211,25819.301818847656
PI (40:0),38206.28290939331,280165.83657836914,213966.7382507324,222120.07348632807,242303.4167175293,60884.603843688965
PI (40:1),19773.801273345947,44163.28340148926,41969.64303588867,44459.963638305664,44842.60326385498,22186.501544952396
PI (40:10),21484.601593017574,97759.58805847168,60762.86477661133,75926.64636230469,103670.86688232422,29631.40202331543
PI (40:2),22388.901454925537,63925.02380371094,48045.443267822266,62741.88414001465,62442.52453613281,27022.50175857544
PI (40:3),20898.241455078125,47176.68270874024,37517.06240844727,43546.04263305664,46715.96348571777,21967.581462860107
PI (40:4),17788.8212890625,73290.30557250977,39261.60238647461,39803.622497558594,47589.52374267578,18449.621242523197
PI (40:5),22650.501445770264,114147.92834472656,57455.22360229492,63814.164474487305,66190.8842163086,25150.64189529419
PI (40:6),36889.08297348023,373329.6840820313,107769.38690185548,94998.64727783205,92311.7661743164,44978.36298751831
PI (40:7),25381.201679229736,107390.42825317384,67646.82518005371,61126.60494995117,68693.18533325195,29898.78224182129
PI (40:8),24887.46171569824,73335.94494628906,90286.06651306152,58511.004821777344,90270.42721557616,29633.541984558105
PI (40:9),19878.72151947021,50983.38348388672,40554.88296508789,37928.94270324707,47050.083435058594,17049.401165008545
PI (42:0),18911.561408996586,55498.10345458984,43462.38345336914,56480.0842590332,54640.92381286621,20419.70135498047
PI (42:1),13895.721046447754,29012.06219482422,26110.48194885254,28528.28240966797,31755.302169799805,18305.301288604736
PI (42:10),14313.061000823976,42793.66278076172,30294.942321777344,31315.30242919922,32775.90237426758,14835.301082611084
PI (42:11),20170.72150039673,102615.52561950684,81540.14555358887,85752.14471435547,92747.98808288574,23937.441650390625
PI (42:3),17690.001499176025,69072.92529296875,45689.10372924805,59319.74373626709,77757.44499206543,19564.84129333496
PI (42:4),13069.600852966309,29299.52195739746,23431.541595458984,26857.942138671875,27618.721786499023,13052.040828704834
PI (42:5),14947.04118347168,46440.14349365234,33550.362480163574,40537.22319030762,36595.56254577637,16304.800960540771
PI (42:6),16013.720989227297,35388.86242675781,28578.66186523437,32373.022247314453,33350.242126464844,15711.241180419922
PI (42:7),21219.26156616211,44294.78289794922,40538.0032043457,41128.74272155762,38632.24253845215,22102.16157150269
PI (42:8),20821.54146957397,61170.76446533203,48834.82339477539,53949.82333374024,59655.14424133301,24181.741706848145
PI (42:9),14492.82107925415,33684.46273803711,28578.662139892574,30795.181838989258,33902.82273864746,16155.361045837402
PI (44:0),12238.220886230469,25338.801986694336,17103.281272888184,26072.241539001465,23187.44158935547,11551.440864562988
PI (44:1),12026.560752868652,20182.581314086918,18968.6014213562,21322.121589660645,20809.081665039062,12255.320892333984
PI (44:10),16980.04116821289,29447.921905517574,28030.50163269043,27020.681854248047,30368.52171325684,15709.141258239746
PI (44:12),12024.640895843506,31733.322105407715,22450.16145324707,25922.681838989258,27818.541694641117,12080.44095993042
PI (44:2),14531.48097229004,26619.421875,23737.681648254395,24178.00177764893,31199.362060546875,16105.781047821043
PI (44:3),11332.940784454346,26449.18192672729,18113.24129486084,22444.08192825317,25957.10203933716,10957.160820007324
PI (44:4),10846.500789642334,23019.541702270508,18286.40120697021,19203.52140045166,23306.721641540527,13422.980865478516
PI (44:5),13018.06095123291,25938.06175994873,26507.82201385498,28202.08223724365,25201.88195800781,15297.86096572876
PI (44:6),13008.1208152771,28432.921997070312,21232.22134399414,25784.86193847656,28729.701942443848,14630.700931549072
PI (44:7),14844.021114349363,30028.92222595215,26030.681762695312,30360.082321166992,30433.34245300293,15110.200988769531
PI (44:8),14839.080924987791,33356.52258300781,26446.0816116333,26162.761825561523,32407.342529296875,15068.721153259276
PIo (18:0),100821.46810913086,470314.80310058594,385947.8352050781,541789.5979003906,493227.5676269531,133117.4465637207
PIo (20:5),95131.02719116212,269351.8938598633,355490.95361328125,442052.0592651367,448409.7623291016,106277.22555541992
PIo (28:0),29574.54186630249,97021.90655517578,88843.80659484863,86720.66702270508,93416.6064453125,46247.38366699219
PIo (30:0),53744.06365585327,161846.1117553711,146423.68981933594,133955.90948486328,132269.68969726562,80137.06549072266
PIo (30:1),36996.96242523193,167878.85330200195,104351.7084350586,111244.92956542967,115720.18844604492,61607.6435546875
PIo (32:0),94599.36681365968,209583.05395507807,275570.1622314453,255102.6759033203,205598.3962402344,147567.0908203125
"PIo (32:1), PIp (32:0)",46141.80339431763,129334.92950439452,172006.57318115234,142924.5698852539,118702.92810058594,94767.74713134766
PIo (34:0),64897.20464324951,172764.83337402344,196624.19494628903,190812.5764770508,173541.31091308594,83646.4462890625
"PIo (34:1), PIp (34:0)",57857.184173583984,246009.5419921875,251456.25927734372,236283.9135131836,236306.1975708008,102445.30834960938
"PIo (34:3), PIp (34:2)",23013.741634368896,56704.86422729492,48660.20373535156,51207.96389770508,56901.72384643555,21189.84172058105
"PIo (34:4), PIp (34:3)",21403.20154953003,52460.12371826172,39261.78266906738,46702.182861328125,52507.60385131836,20297.921295166016
PIo (36:0),30577.362033843998,68798.90496826172,74516.44515991211,69329.22528076172,70392.78515625,32937.622314453125
"PIo (36:1), PIp (36:0)",40652.34282684326,99312.74639892578,100301.8681640625,89299.96627807617,98956.0672607422,40433.102966308594
"PIo (36:2), PIp (36:1)",29238.682132720947,68099.8042602539,61597.92440795898,61431.28500366211,61196.72463989258,26430.18194580078
"PIo (36:3), PIp (36:2)",18721.021354675293,61745.34368896485,46482.18428039551,56834.823486328125,60575.96434020996,22914.62173843384
"PIo (36:4), PIp (36:3)",17440.161197662354,61393.28479003906,44281.78303527832,48725.10380554199,51157.34373474121,22555.161460876465
"PIo (36:5), PIp (36:4)",26325.002151489258,49527.6435546875,41625.08282470703,51805.74353027344,48346.96353149414,22326.06153869629
"PIo (38:1), PIp (38:0)",26253.04211807251,60614.36474609375,53430.10391235352,55426.20364379883,62689.28451538086,30466.781982421875
"PIo (38:2), PIp (38:1)",24588.74174880981,58181.52407836914,46482.18307495117,48874.78363037109,48003.6233215332,23691.661739349365
"PIo (38:3), PIp (38:2)",21249.78142929077,53240.94320678711,41323.38320159912,44668.703216552734,47999.60369873047,20187.12144470215
"PIo (38:4), PIp (38:3)",21757.64152908325,77803.70576477051,47572.48318481445,55038.80331420898,63603.9849395752,21746.94142150879
"PIo (38:5), PIp (38:4)",21308.80137252808,53086.18408203125,32767.72198486328,38476.5825958252,41353.6630859375,19999.841423034668
"PIo (38:6), PIp (38:5)",33729.74241256714,62017.744140625,49835.483459472656,49901.28396606445,56381.08395385742,28742.322093963623
"PIo (40:1), PIp (40:0)",27078.061935424805,76426.28591918945,73190.42532348633,56548.10397338867,87239.66580200195,26752.781993865967
"PIo (40:2), PIp (40:1)",18129.121421813965,42386.22276306152,31702.56208801269,37737.04261779785,42995.56295776367,19473.001205444336
"PIo (40:3), PIp (40:2)",19314.901321411133,64850.64447021485,45669.80331420898,50596.803939819336,70816.20654296875,22283.34147644043
"PIo (40:4), PIp (40:3)",28229.741970062256,58271.963439941406,63186.78436279297,44537.763580322266,60372.364501953125,24263.661628723145
"PIo (40:5), PIp (40:4)",81360.54512023926,119893.2686767578,96748.74645996094,109266.5479736328,106152.8271484375,71804.7855758667
"PIo (40:6), PIp (40:5)",20622.30149841309,92042.28549194336,66787.94387817383,74305.68643188477,74811.10412597656,28263.642208099365
PIo (40:7),25158.12171173096,98501.56741333008,65578.78491210938,50716.62387084961,59856.9245300293,26729.76176071167
PIo (42:0),22323.50142288208,38955.04266357422,41174.50321960449,42097.66311645508,40614.04275512695,22198.06157684326
PIo (42:1),20475.421379089355,50052.64349365234,40237.582748413086,43669.42330932617,45751.5228881836,18281.601272583008
PIo (42:2),15719.821109771729,32368.60223388672,25545.16194152832,31035.102088928223,29846.701904296875,16119.34112930298
PIo (42:4),16498.061199188232,73864.76593780518,60852.88383483887,58132.503562927246,62258.96348571777,23160.10164642334
PIo (42:6),18360.22115325928,78468.86552429199,58054.48278808594,68610.94508361816,79411.14738464355,25375.181964874268
PIp (20:0),77549.185546875,208983.57556152344,146275.43096923828,205439.49560546875,217910.27966308597,73632.6849975586
PIp (28:0),15567.561126708984,48843.7433013916,41573.86318969727,42206.38292694092,48642.603439331055,21637.841369628903
PIp (30:1),32181.90216827393,127881.9497680664,129485.5280456543,197512.83111572263,125932.89068603516,97516.06689453124
PIp (32:1),31122.78223419189,84007.86627197266,72076.70510864258,74735.96505737305,66833.12536621094,31489.28271484375
PIp (34:1),32006.902179718018,76558.4245300293,83972.96588134766,76193.12545776367,72919.78414916992,44668.98287963867
PIp (34:4),20198.24132156372,50235.3032989502,39204.86284637451,42495.0032043457,49178.68322753906,20641.20150756836
PIp (36:5),146454.07013320923,180158.4921875,180306.93310546875,170054.85107421875,181647.79296875,133925.0096435547
PIp (38:6),150823.6916809082,212377.51489257807,208825.2529296875,209710.67504882807,201569.97509765625,141001.2508544922
PIp (42:2),14594.900993347168,42835.76289367676,29597.401725769043,32018.88217163086,32508.52229309082,16050.281070709229
PIp (42:4),15855.76111984253,36613.64245605469,27442.142044067383,32364.80221557617,36704.00277709961,13734.560916900637
PIp (42:6),36510.6625328064,315953.7607727051,230449.1545410156,238247.691986084,259681.2990722656,63591.444969177246
PS (22:7),28250.241928100582,43669.10302734375,71530.64416503906,26146.042205810547,42835.68328857422,76925.66625976562
PS (24:0),24276.98166656494,40689.20300292969,82718.2854309082,19911.741691589355,41509.36291503906,96311.40716552734
PS (26:0),28440.022087097168,35252.0026550293,59173.62405395508,24653.361671447758,34484.462326049805,55603.04373168945
PS (26:1),94413.82696533205,108187.36755371094,122094.44921875,45679.6435546875,102286.6480102539,119999.36865234376
PS (28:0),35656.10256195068,71253.84589385986,755836.4554138184,406527.5382537842,66476.00506591797,739427.4039306641
PS (28:1),41542.16270065308,46415.20346069336,61990.74450683594,24804.4617767334,45068.14331054688,64514.76458740234
PS (28:2),19156.081371307373,30350.962173461918,45742.90328979492,15634.881134033203,23740.92156982422,42954.18298339844
PS (30:0),49030.80376815796,58089.10362243652,79612.40643310547,31025.74185180664,58485.26374435425,72481.30480957031
PS (30:1),21088.841468811035,33599.322341918945,46256.80308532715,16125.441188812256,23409.78183746338,49702.10360717773
PS (30:2),19665.401485443115,34274.50241088867,61281.4436340332,25433.721755981445,26898.821907043457,57184.00329589844
PS (30:3),24056.40188217163,38624.78237915039,67962.82440185547,20241.341369628903,33661.66241455078,66449.66516113281
PS (30:4),21187.181575775143,28287.102005004883,46848.98287963867,28811.70217514038,28526.52198791504,48586.48327636719
PS (32:0),35273.02242279053,44192.703216552734,92247.78692626952,32435.022247314453,45311.66319274902,85632.287109375
PS (32:1),27121.56192779541,34010.282413482666,55206.68405151367,20301.10132598877,29904.122158050537,60671.903869628906
PS (32:2),32341.602577209476,47148.483280181885,224069.05654907227,97992.48678588869,45198.76317214966,363304.06994628906
PS (32:3),23964.16164779663,29119.202171325684,53634.124084472656,17022.961082458496,22741.681343078613,57933.4030456543
PS (32:4),23340.761711120605,36753.54267120361,76566.2067565918,30393.16162109375,33000.622550964355,67167.50430297852
PS (32:5),34485.36241912842,38123.52275848389,45578.323150634766,526516.2245483398,33125.182247161865,46853.883239746094
PS (34:0),31369.82232666016,38520.36254119873,64452.90502929688,23168.001594543457,35356.72253417969,62364.24377441406
PS (34:1),44304.00286102295,58701.26442718506,69379.98559570312,26189.761505126957,48879.723541259766,70622.30444335938
