Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
Lyso_PI(18:1) | PI (18:1)_2,39279.96249389648,112897.36917114258,1765.4801216125488,82652.2864074707,94537.46691894533,1529.6200981140137
Lyso_PI(18:2) | PI (18:2),45629.44384765625,283449.1376953125,2728.6601905822754,270742.419342041,275018.4161682129,2166.4401512146
Lyso_PI(18:2) | PI (18:2)_2,55440.92433166504,293043.6199951172,2962.0802154541016,259043.83163452148,292098.3041229248,2420.980194091797
Lyso_PI(18:3) | PI (18:3),1108765.7086791992,9017962.689697266,5282289.402523041,8503795.555419922,8538973.434570312,3432882.2231140137
Lyso_PI(18:3) | PI (18:3)_2,1261473.7984313965,9129985.50732422,5173628.779884338,8669269.057128906,8335527.7421875,3143541.560207367
Lyso_PI(18:4) | PI (18:4),29790.102115631104,88778.10650634766,55778.84414672852,79973.50549316406,73052.84490966797,76264.00668334961
Lyso_PI(18:4) | PI (18:4)_2,29886.262008666992,88855.18725585938,52733.62298583984,79983.64639282227,71221.40557861328,69600.4850769043
Lyso_PI(19:0),119203.69091796876,339945.184753418,405689.1903991699,371650.0692749024,304500.24017333984,391521.5315246582
Lyso_PI(19:1),76700.08508300781,206630.5535888672,147601.572265625,244452.3192138672,238804.26306152344,142307.70880126953
Lyso_PI(20:0) | PI (20:0),27494.40182495117,100491.08828735352,64285.88473510742,144194.06985473633,141523.2869873047,90995.88668823242
Lyso_PI(20:0) | PI (20:0)_2,27781.8819732666,99610.3055114746,69121.86444091797,146254.68990325928,130837.2495727539,89151.54725646973
Lyso_PI(20:1),95359.72668457033,177406.5517578125,134682.80883789062,160203.2314453125,162164.15161132812,168143.25170898438
Lyso_PI(20:2) | PI (20:2),145046.9137878418,1085672.139129639,745132.8973388672,505923.1332397461,1106084.9411621094,544474.8129882812
Lyso_PI(20:2) | PI (20:2)_2,141717.7893218994,1090943.8528442385,736958.7850036621,497973.990234375,1103466.2647705078,559198.289932251
Lyso_PI(20:3) | PI (20:3),30329.622177124023,100758.36703491212,69472.48553466797,58993.72412109375,73654.44584655762,58848.04365539551
Lyso_PI(20:3) | PI (20:3)_2,27755.56155395508,101938.0866394043,68859.64503479004,56435.00396728516,71562.02555847168,56835.805000305176
Lyso_PI(20:4) | PI (20:4),35430.7225189209,112571.98727416992,69103.62489318848,94095.04693603516,84363.58575439453,69927.06451416016
Lyso_PI(20:4) | PI (20:4)_2,41561.50314331055,115503.32766723631,65911.92514038086,87761.36540222168,83724.88659667969,68896.7045135498
Lyso_PI(20:5) | PI (20:5),40032.82299804688,84395.20684814453,73289.96563720703,75278.1654663086,73108.32537841797,72705.96603393555
Lyso_PI(20:5) | PI (20:5)_2,40050.72219848633,88782.6872253418,74940.68502807617,76912.7063293457,75141.54516601562,76514.56466674805
Lyso_PI(21:0),41802.92306518555,105488.24728393556,86084.62646484375,90487.30712890624,106023.14736938477,156552.9949798584
Lyso_PI(22:0) | PI (22:0),40855.62286758423,176077.4532470703,120032.9500732422,210111.9931640625,230140.8342895508,122210.96966552734
Lyso_PI(22:0) | PI (22:0)_2,39094.3226852417,180142.77532958984,118459.46856689452,206922.8153076172,233247.6756591797,119523.36868286131
Lyso_PI(22:1) | PI (22:1),32720.622344970703,67087.08477783203,51090.78356933594,60274.60552978516,68230.50482177734,77238.3860168457
Lyso_PI(22:1) | PI (22:1)_2,36835.06268310547,62944.14392089844,46467.583404541016,58132.86344909668,62749.44396972656,77494.32461547852
Lyso_PI(22:2) | PI (22:2),26095.3416595459,66476.26585388184,51343.024353027344,54786.64501953125,57248.22416687012,59025.20384979248
Lyso_PI(22:2) | PI (22:2)_2,24529.061599731445,68327.06495666504,52392.24291992188,51497.124282836914,57445.044189453125,57131.86425018311
Lyso_PI(22:4) | PI (22:4),41848.70246887207,100828.58755493164,71910.06484985352,83404.62515258789,81822.56588745117,61864.20378112793
Lyso_PI(22:4) | PI (22:4)_2,43725.14227294922,99839.08731079102,71721.24472045898,82985.666015625,84073.0647277832,62778.22422790527
Lyso_PI(22:6) | PI (22:6),36638.922790527344,108881.72875976562,63075.00381469727,98876.60757446288,102606.70626831056,71226.36471557617
Lyso_PI(22:6) | PI (22:6)_2,38774.38293457031,102204.4065246582,63855.86476135254,98567.90661621094,103973.60610961914,75750.14443206787
Lyso_PS(12:0) | PS (12:0),41797.58274459839,42126.04304885864,63595.20446777344,19289.22120285034,68058.22454833984,80249.44561767578
Lyso_PS(12:0) | PS (12:0)_2,38366.08293151856,44732.3430519104,67364.484375,18242.98126220703,69191.96423339844,80427.02575683594
Lyso_PS(13:0) | PS (12:0),72418.08570861816,64162.2844619751,103606.328125,25317.381942749023,130069.4892578125,113651.88793945312
Lyso_PS(13:0) | PS (12:0)_2,69296.04517745972,64716.02420043945,107081.04663085938,26570.1819190979,142223.51025390625,121043.34887695312
Lyso_PS(14:0),27932.42208099365,41741.96318817139,80923.40573120117,20055.721435546875,84163.9857788086,89919.20553588867
Lyso_PS(14:1) | PS (14:1),231311.47485733032,495857.2742996216,1362649.7783203125,310130.40630340576,1328409.751953125,957770.1069335938
Lyso_PS(14:1) | PS (14:1)_2,238473.89477157596,473341.1899642944,1351059.3720703125,383025.9913635254,1297693.3178710938,953562.9731445312
Lyso_PS(15:0) | PSo (16:0),29071.082023620605,2975.860202789306,78540.6655883789,26436.22201538086,37403.04232406616,109502.98776245116
Lyso_PS(15:0) | PSo (16:0)_2,17800.06135559082,2016.400161743164,82471.36572265625,26146.182167053223,6355.960464477539,117999.20974731444
Lyso_PS(15:1),45034.443157196045,51027.52350616455,122841.90899658205,15610.56116104126,123523.27069091795,134542.82971191406
Lyso_PS(16:0) | PS (16:0),1589.7200965881348,1560.8400993347168,110110.28857421876,1461.380107879639,1574.340103149414,123650.07180786131
Lyso_PS(16:0) | PS (16:0)_2,1466.2200965881348,1510.9601020812988,109398.66900634766,1462.1801109313965,1583.0200996398926,124145.52978515624
Lyso_PS(16:1) | PS (16:1),1465.7001037597656,1460.7800979614258,61040.48419189453,1461.0801048278809,1762.2401161193848,74017.16516113281
Lyso_PS(16:1) | PS (16:1)_2,1466.680088043213,1529.240104675293,56821.023864746094,1542.3000984191897,1519.4201011657717,79614.04510498047
Lyso_PS(17:0) | PSo (18:0),216663.9764595032,618023.602306366,1341913.3032226562,424428.30490493774,1814764.333984375,786981.4775390625
Lyso_PS(17:0) | PSo (18:0)_2,206127.9143447876,561933.6593780518,1418677.9946289062,461631.9895095825,1715572.9594726562,833217.5737304688
Lyso_PS(17:0) | PSo (18:0)_3,187415.21215438843,588388.2116241455,1503362.1142578125,469982.4132461548,1618029.431640625,868063.9067382812
Lyso_PS(17:1) | PSp (18:0),18330.701347351074,22935.201774597168,55906.623596191406,12817.720882415771,56559.904052734375,80510.62548828125
Lyso_PS(17:1) | PSp (18:0)_2,18481.10138320923,26667.20167541504,58591.32354736328,13229.40069961548,55557.22415161133,86120.0258178711
Lyso_PS(17:2),21082.081523895264,32911.66214752197,54298.944244384766,16782.24112701416,61554.02429199219,62716.904052734375
Lyso_PS(18:0) | PS (18:0),35472.38247680664,46176.70299530029,21602.36111831665,24603.781776428223,95651.22686767578,17924.9012260437
Lyso_PS(18:0) | PS (18:0)_2,35771.602195739746,47233.46329116821,10900.94051361084,24906.98137664795,93131.72692871094,3684.180313110352
Lyso_PS(18:1) | PS (18:1),31112.262294769287,35970.48225021362,47162.50341415405,10629.680770874023,58000.303955078125,51605.28424453735
Lyso_PS(18:1) | PS (18:1)_2,31162.32218170166,37647.542362213135,37531.6224899292,16266.480991363524,60616.84436035156,42765.422565460205
Lyso_PS(18:2) | PS (18:2),21608.801483154297,28054.16201019287,46367.38302612305,17863.861656188965,49676.1432800293,57309.12399291992
Lyso_PS(18:2) | PS (18:2)_2,20571.921417236328,29414.06206512451,44926.90283203125,15964.701187133787,49458.98310852051,55935.32440185547
Lyso_PS(18:3) | PS (18:3),25429.941772460938,47328.28337478638,93332.60614013672,44048.26361083984,133652.51055908203,123558.8699645996
Lyso_PS(18:3) | PS (18:3)_2,24889.04176712036,46512.94332122803,96180.4271850586,41840.64217376709,138063.4086303711,112453.10803222656
Lyso_PS(18:4),19890.74133300781,26007.841762542725,46234.52383422852,16549.321159362793,57154.8445892334,79693.5453491211
Lyso_PS(18:4)_2,21914.72146987915,30551.28214263916,52488.16409301758,10776.42073059082,55540.363861083984,78901.34533691406
Lyso_PS(19:0),33772.402252197266,43529.64334106445,43842.423248291016,18280.461502075195,117052.50885009766,57614.90408325195
Lyso_PS(19:1),23428.841648101807,31496.882194519043,28501.40182495117,16259.401050567629,58639.34323120117,35081.30269622803
Lyso_PS(20:0) | PS (20:0),40904.762786865234,47438.04373168945,61975.204833984375,19596.921489715576,69460.70532226562,73896.10571289062
Lyso_PS(20:0) | PS (20:0)_2,40550.02256774902,52115.623596191406,62898.92449951172,17485.781230926514,74299.04510498047,75420.42492675781
Lyso_PS(20:1) | PS (20:1),103260.88696289062,120051.70849609376,146038.3905029297,37320.10265350342,194790.09301757807,149875.99047851562
Lyso_PS(20:1) | PS (20:1)_2,101174.34753417967,121282.96948242188,143733.54943847656,35080.522747039795,187523.0125732422,143311.3115234375
Lyso_PS(20:2) | PS (20:2),32369.82244873047,81246.44653320312,172152.21444702148,53945.304470062256,1309739.403869629,406250.045715332
Lyso_PS(20:2) | PS (20:2)_2,31775.56214904785,66992.96417236328,164607.43182373047,162181.99141311646,1324859.714050293,366582.3260498047
Lyso_PS(20:3) | PS (20:3),19179.481231689453,31267.041870117188,50255.76327514648,16564.40135574341,64366.364685058594,61856.12399291992
Lyso_PS(20:3) | PS (20:3)_2,22563.241584777832,30119.72235107422,45658.30340576172,19393.101360321045,57103.34346008301,57024.8229675293
Lyso_PS(20:4) | PS (20:4),21773.26141357422,27803.401885986328,39023.942932128906,12888.220825195312,45566.3427734375,53880.5832824707
Lyso_PS(20:4) | PS (20:4)_2,23458.541534423828,34046.662200927734,36660.422790527344,8182.720539093018,46340.403411865234,57662.00411987305
Lyso_PS(20:5) | PS (20:5),55933.003662109375,63889.18490982056,67421.98461914062,23233.94165802002,89696.90643310547,89774.06616210938
Lyso_PS(20:5) | PS (20:5)_2,52411.92376708984,59715.62384796143,71535.3046875,35906.62232589722,99509.1279296875,90331.72637939452
Lyso_PS(21:0),22951.98162078857,40046.003326416016,65748.90493774414,23445.341705322266,61650.46463012695,79872.5450592041
Lyso_PS(22:0 | PS (22:0),56386.7442779541,72341.30493164062,79767.2255859375,22986.0817489624,178884.8348388672,93017.66723632812
Lyso_PS(22:0 | PS (22:0)_2,50425.32373046875,76911.42517089844,77705.04559326172,38611.72288513184,218377.5164794922,90101.0263671875
Lyso_PS(22:1) | PS (22:1),22002.741424560547,25710.441955566406,38415.602767944336,14182.901008605955,46436.62255859375,47193.30383300781
Lyso_PS(22:1) | PS (22:1)_2,21582.04141235352,25743.12173461914,39669.64308166504,16130.441287994385,45802.24295043945,47476.46365356445
Lyso_PS(22:2) | PS (22:2),23908.84169006348,28885.982025146484,57570.3250579834,22740.18124771118,61398.02340698242,59333.74508666992
Lyso_PS(22:2) | PS (22:2)_2,17557.041305541992,31993.82243347168,56043.703552246094,25499.621520996094,60909.06359863281,56813.98387145996
Lyso_PS(22:4) | PS (22:4),29972.781982421875,36506.60238647461,56100.52355957031,19941.68155670166,78144.1247253418,68772.00494384766
Lyso_PS(22:4) | PS (22:4)_2,30410.0022354126,41713.60299682617,61532.20440673828,19893.581295013428,77196.16552734375,70286.60424804688
Lyso_PS(22:6) | PS (22:6),36597.70245361328,51700.2041015625,65853.92449951172,23536.38172531128,71233.42541503906,83087.8656616211
Lyso_PS(22:6) | PS (22:6)_2,33072.74256896973,44419.60333251953,64280.46472167969,25662.54132080078,70234.2846069336,88495.66622924805
Lyso_Sphinganine-1-phosphocholine,194181.5760498047,197308.5112915039,195126.857421875,154237.3735961914,172758.4140625,195356.9962158203
Lyso_Sphingosine-1-phosphocholine,93191.40753173828,103894.36724853516,103619.70684814452,81112.38549804688,94978.72668457033,108098.767578125
O-(11-carboxyundecanoyl)carnitine,1636443.1501464844,1628954.5754394531,1609929.6301269531,2063324.2932128904,1445462.778076172,1551621.4125976562
O-(13-carboxytridecanoyl)carnitine,2525970.9899902344,2484566.024658203,2774485.9384765625,2408075.9184570312,2258710.2392578125,2670320.4296875
O-(17-carboxyheptadecanoyl)carnitine,1780632.291015625,1825409.1884765625,1904286.744140625,1854587.2724609373,1661807.1337890625,1912865.08984375
O-arachidonoylcarnitine,1813997.779296875,1854003.634765625,2451500.782714844,1630397.6538085938,1708049.875,1974712.75390625
O-behenoylcarnitine,1108163.3492889404,1117372.6411895752,1778627.9196472168,1048316.785736084,998638.4768371582,1204462.4834213257
"O-oleoylcarnitine, Elaidic carnitine",2524766.19921875,2579686.61328125,2918418.5444335938,3202153.1528320312,2913805.9169921875,2306270.5888671875
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1594045.3452148438,1572857.943359375,1900881.853515625,1494833.484375,1422741.223388672,1670595.7229003906
PC (30:0),116663.56880187988,219265.19830322263,92519.5457763672,100420.98878479004,97039.00770568848,96920.8874206543
PC (30:1),114787.52682495116,217753.1545715332,84294.10525512695,98903.28643798828,99945.58645629884,98654.66708374023
PC (30:2),115927.44927978516,228871.4760437012,89100.36520385742,93750.22494506836,102578.38748168944,90531.64743041992
PC (32:0),680101.5065307617,3429927.025512696,387112.7424011231,917661.4234008788,1321913.1739501953,589987.186340332
PC (32:1),663512.8841247559,3057185.627105713,399630.3648376465,856982.7578125,1358959.491821289,568154.9945678711
PC (32:2),672424.2381896973,3223585.253051758,396469.03533935547,878059.4818115234,1385867.379638672,616682.5644836426
PC (32:3),614475.9673461914,3392896.830383301,360493.7225036621,828206.257232666,1234030.9287109375,591162.6590270996
PC (32:4),336706.1000671387,1794084.3795166016,291534.23989868164,404445.8475341797,690925.3977966309,402161.15155029297
PC (32:5),223210.3800354004,974021.8276672364,194160.63345336917,231716.9764099121,348213.5633239746,242684.52059936523
PC (34:0),1014638.4526062012,4444064.818878174,622026.8252868652,1095898.1716918943,1895418.4926757808,741628.6368103027
PC (34:1),983094.4783630372,4764350.840148926,603501.1135559082,1067524.2207946775,1838787.4837341309,755503.6067504883
PC (34:2),1020757.8615112304,4760836.946105957,617045.473449707,1209870.2358398438,2117473.3958129883,794012.3369140625
PC (34:3),1388814.911682129,7016003.7537231445,886306.9071960449,1756514.5878295898,3160910.900085449,1162200.9977416992
PC (34:4),1487002.601928711,7160792.481872559,857089.4302978516,1752679.2338867188,2835427.033569336,1166554.2265625
PC (34:5),847765.8843383789,4998585.224243164,688614.253112793,1123385.2869873047,2199741.7637939453,936392.9751586914
PC (34:6),735070.428527832,3424368.128479004,409838.70669555664,945539.1653442384,1455135.3637695312,621099.7001647949
PC (36:0); PCp(38:6),435053.77502441406,1925494.163330078,260955.25415039065,457613.5498199463,834556.471496582,333028.7045440674
PC (36:0); PCp(38:6)_2,416322.4945983887,1791330.5129699707,280876.4214630127,439710.7679519653,774564.231918335,309862.7207336426
PC (36:1),446005.8759765625,1859780.460388184,268880.7839050293,482135.6018218994,841751.8919677734,332630.4375305176
PC (36:2),597167.1774291992,2435243.9852600098,313175.8644104004,673426.4092712402,1079314.003479004,387503.9329605103
PC (36:3),1217512.9953918457,5501434.023681641,590098.4023742676,1298799.7810058594,2048086.5334472656,700651.4368286133
PC (36:4),1571687.805633545,7546484.6759643555,975125.3948364258,1762139.4871826172,3063164.8201293945,1167457.659790039
PC (36:5),1371656.7071533203,6620324.056365967,803399.8494567871,1478370.2123413086,2826380.217773437,1078521.4269714355
PC (36:6),1118680.372894287,5730482.258666992,698576.9976196289,1268219.971130371,2232413.299133301,925720.9149780272
PC (36:7),1098407.7716064453,5075100.63079834,695569.3125,1212086.4483947754,2010543.9282531736,839326.5725708008
PC (36:8),1033196.3688659668,4866856.44909668,635334.3019714355,1124734.867919922,2119987.921875,763584.4915161133
PC (38:0),781804.3551635742,2039109.0388183596,712613.688659668,751785.8755493164,1173567.3231811523,548245.4423522949
PC (38:1),805693.8829040527,2105033.9688415527,689550.3097229004,742798.8784179688,1192017.6906433103,558793.9630126953
PC (38:2),904133.2488098145,2422603.3831481934,748793.9415283203,801256.4038696289,1359190.044128418,577391.9215698242
PC (38:3),1047065.9375,3574585.963012696,864131.1938476562,1030313.5837402344,1677449.105102539,731999.5243530273
PC (38:4),1067685.971160889,3430863.348815918,763683.008605957,989377.7740478516,1695865.062652588,715051.024597168
PC (38:5),996759.7385253906,3456068.226196289,808035.2034912109,984188.2932739258,1689018.2056274414,674853.533203125
PC (38:6),1011198.107421875,3927462.934997559,885649.9088745117,1053872.3278808594,1971864.714050293,737799.5421447754
PC (38:7),990925.8618774414,3358972.089447021,782219.1566467285,971850.788269043,1732215.368713379,725446.7746276855
PC (38:8),943140.8325195312,3319761.1072998047,748537.7001342773,955782.9442749023,1608134.2962646484,679900.1955871582
PC (38:9),850349.5054321289,3031995.2488708496,721583.7636108398,847887.6981201172,1528343.6694335938,592227.6593933105
PC (40:0),1545816.8510742188,2157484.522705078,1573185.3659667969,1096610.1066894531,1389979.2136230469,1555641.5673828125
PC (40:1),1594287.7387695312,2099303.998535156,1628974.3005371094,1066622.2822265625,1509361.3928222656,1600818.0463867188
PC (40:10),866561.0187988281,2426319.791030884,729436.7596435547,739622.7147216797,1227952.4459533691,586758.7645874023
PC (40:2),1405589.3041992188,2043853.7165527344,1450728.7380371094,1012883.5512695312,1337654.12109375,1426071.8349609375
PC (40:3),1351244.5043945312,2235103.782714844,1406745.039794922,915854.025390625,1303055.2661132812,1358262.7236328125
PC (40:4),935814.8845214844,1906804.3935546875,1137639.202392578,630097.3807373047,1050662.230834961,1084925.7302246094
PC (40:5),462472.16094970703,1345354.1531677246,332856.6388092041,334641.3030090332,540590.9174346924,286068.2989501953
PC (40:6),495635.8537979126,1621996.955535889,371081.31771850586,397358.08306884766,710984.3163757324,356893.6674499512
PC (40:7),505864.25422668457,1977509.4270935056,389195.4564208984,434963.30570983887,787617.0257263184,393866.58584594727
PC (40:8),769862.9135742188,2524054.25680542,557746.8742675781,576219.8182067871,1003171.2558898926,485160.5090332031
PC (40:9),881484.3649902344,2543740.04876709,808117.2294616699,768507.1564941406,1364979.0197753906,601186.2789306641
PC (42:0),650080.6097412109,685343.5911254883,517659.6817626953,435420.7260131836,535340.9927368164,571575.4750671387
PC (42:1),1504262.444580078,1574860.6802978516,1491770.2329101562,1010979.3784179688,1300558.8596191406,1500330.7644042969
PC (42:10),1609394.317138672,2154545.604248047,1623869.0471191406,1091624.701171875,1427492.1284179688,1591931.978515625
PC (42:11),1542795.7543945312,2057265.9450683596,1601313.9650878906,1055943.6015625,1431578.768798828,1612800.7111816406
PC (42:2),1610111.0249023438,1647391.974243164,1630031.5102539062,1064403.346923828,1352599.031982422,1586413.9470214844
PC (42:3),1571699.7404785156,1691369.2138671875,1626665.5493164062,1037216.667236328,1355985.5493164062,1597296.6479492188
PC (42:4),1580877.5764160156,1636928.3247070312,1584802.0063476562,1030545.203857422,1331959.7387695312,1601397.6689453125
PC (42:5),1601775.8557128906,1643003.8979492188,1610942.875732422,1075316.630859375,1352659.21484375,1602381.4514160156
PC (42:6),1607500.8278808594,1757878.4370117188,1594732.669921875,1086477.6201171875,1350034.4389648438,1591926.3225097656
PC (42:7),1676696.6201171875,2429325.5314941406,1715693.7749023438,1134132.3989257812,1474550.3627929688,1704712.1865234375
PC (42:8),1687455.1831054688,2332639.8540039062,1692461.815673828,1116590.228515625,1495158.5004882812,1613671.9809570312
PC (42:9),1589172.576171875,2275650.922363281,1650725.9716796875,1085987.2795410156,1484926.978515625,1639715.4401855469
PC (44:0),50645.782371521,87331.02509307861,46982.80390930176,36003.2421913147,44209.22344970703,49224.844177246094
PC (44:1),54949.184143066406,93643.44540023804,48549.48421096802,33221.86227416992,51014.98392868042,51123.0023727417
PC (44:10),136942.13205718994,197552.0559921265,106278.00463104248,69899.66525268555,110283.44881439208,116365.0097808838
PC (44:12),350284.16764831543,375126.0727844238,338263.93798828125,214583.73461914065,290323.3609161377,352861.55989837646
PC (44:2),66870.34497833252,98788.96601867676,54782.0838432312,37849.04251098633,54224.00461578369,53889.30437088013
PC (44:3),66596.0047454834,116893.02933883668,56529.82377624512,41308.14225769043,62662.98533630371,64891.86427307129
PC (44:4),72806.32409286499,120310.3676147461,54968.16331100464,45663.74376678467,69474.46488952637,67896.16667938232
PC (44:5),103736.14865875244,137743.67406463623,77796.92570495605,60634.764793396,78559.62665939331,82629.76607894897
PC (44:6),127376.39027404784,170017.53463745117,110191.36898803712,74289.96607208252,104198.8652191162,113573.90919494627
PC (44:7),131886.10794830322,176053.54656982422,98525.54565429688,73430.08550643921,111251.76777648926,111146.09062957764
PC (44:8),136448.84868621826,200377.37434387207,100231.38556671144,71263.46490478516,113516.82804489136,120288.50888824464
PC (46:0),15406.340934753418,20326.441257476807,14949.221168518066,13448.820888519287,14812.24097442627,15405.861152648926
PC (46:1),13450.821083068848,19964.88130569458,13646.460941314695,13571.340976715088,14662.541133880615,16250.501239776611
PC (46:2),18220.141304016117,21145.301677703857,15672.160987854004,13535.901168823242,15334.76099395752,15701.24129486084
PC (48:0),12377.700759887695,12948.360919952393,11147.740837097168,10817.560733795166,11065.880737304688,12201.140956878662
PC (48:2),11320.780807495115,12588.26071548462,11624.900840759276,9989.260753631592,11929.94090270996,11661.500911712646
PC (50:0),12768.100784301758,13340.060791015623,12805.161010742188,11602.560718536375,12778.78087234497,13459.980991363524
PC (52:0),16814.38123703003,18353.361404418945,16898.94135284424,13696.561042785645,16392.781089782715,16944.861045837402
PC (52:4),15183.22114944458,17062.501152038574,16305.361099243164,14428.181037902832,14547.020988464355,14355.881004333496
PCo(32:0),130672.65341186523,258208.65618896484,95118.84616088869,111571.5089416504,126797.08972167967,107714.26741027832
PCo(32:1),122713.72994995116,253267.2008056641,91095.8664855957,117699.41000366212,132077.58947753906,103994.52607727052
PCo(32:2),130292.24911499023,286442.08111572266,97793.2485961914,119977.78857421876,131918.54838562012,107145.34902954102
PCo(32:3),137481.60850524902,282841.3648071289,109891.68759155272,123564.02989196776,146928.55282592773,120484.40840148926
PCo(34:0),639361.3001098633,3375190.268951416,402596.7351074219,923844.244934082,1338167.203552246,624256.3402709961
PCo(34:1),641856.0830078125,3382276.4217529297,392454.01989746094,820481.1028442383,1317650.3931274414,604876.1661682129
PCo(34:2),677731.3556518555,3469322.094238281,395121.5246582031,915578.0911254884,1380044.7407226562,597922.1484375
PCo(34:3),667141.0286865234,3209095.988128662,396001.9879760742,895114.1560974121,1439658.434509277,607939.32421875
PCo(34:4),691145.9868164062,3260988.821228028,386962.71380615234,848344.6751708984,1359518.5862426758,638058.7317199707
PCo(36:0),1037009.6412200928,5423653.801544189,655178.7007446289,1224182.33694458,2115450.903076172,826958.4130554199
PCo(36:1),1032052.788482666,4991984.562011719,647867.8766174316,1189478.0655517578,1928748.401977539,799852.3801574707
PCo(36:2),951512.9238891602,4515609.5615234375,625833.5299377441,1051484.2282104492,1948531.9005737305,769776.0961303711
PCo(36:3),971986.4122924804,4485113.37147522,597149.2160949707,1077633.361907959,1876969.492980957,777902.7474060059
PCo(36:4),939051.2250976562,4633074.538024902,590343.8370666504,1054494.8218688965,1787466.3754882812,763024.9822387695
PCo(36:5),945959.164642334,4513816.261459351,593970.5878295898,1057023.477294922,1847184.689819336,768952.7524719238
PCo(38:0),984992.6181030272,3464092.621520996,802234.2112426758,1006677.7255249023,1783968.7604370115,743222.8057250977
PCo(38:1),937792.5346984864,3181440.0059814453,730863.1838378906,911393.517211914,1630573.4774169922,698878.1484985352
PCo(38:2),894489.4780578613,3101854.2935180664,722236.4162902832,858505.7781066895,1499155.7240600586,621122.8062133789
PCo(38:3),811544.3071289062,2592870.3295288086,684865.8737792969,786657.4370727539,1368704.9093933103,566551.2485351562
PCo(38:4),588484.544708252,2008420.728881836,518711.7415771485,631298.1293640137,1067358.815612793,467129.0551147461
PCo(38:5),445854.5009460449,1771054.533996582,282280.0028991699,485786.6713867188,853854.5473937988,333219.0222167969
PCo(38:6),422948.1577911377,1819020.6286010745,272022.8193359375,484760.9694519043,803032.0756530762,313837.1804962158
PCo(40:0),549283.5252532959,2125675.977920532,403385.7156448364,446851.7474975586,804294.6436157227,379370.7162780762
PCo(40:1),703145.7809448242,2611057.064666748,557287.4279174805,549117.5452880859,1020628.5887451172,509997.0986328125
PCo(40:2),924018.5856628418,2498676.130126953,796318.7688293457,781185.4982910156,1329442.390258789,618574.9963684082
PCo(40:3),853751.921875,2521749.399353028,762038.1259765625,765664.1206665039,1280619.318145752,581309.9152526855
PCo(40:4),770500.6495513916,2076570.8695831296,715231.2022399902,711514.7813110352,1167844.3903503418,576533.1907958984
PCo(40:5),832887.5697631836,1965931.041687012,708740.9263916016,702067.001953125,1144330.5314331057,573049.7410888672
PCo(40:6),795030.2844085693,1987394.384918213,692594.1001586914,716972.4742431641,1173087.9849853516,560661.8086547852
PCo(42:0),1670869.453857422,2396378.9665527344,1717366.537109375,1138861.6564941406,1481810.5356445312,1620949.2641601562
PCo(42:1),1713416.9350585938,2352559.780029297,1681534.548828125,1097991.4821777344,1461217.3845214844,1700724.3071289062
PCo(42:2),1635745.9360351562,2267038.2064208984,1640173.090576172,1098478.69140625,1495724.2109375,1622352.7294921875
PCo(42:3),1516773.5009765625,2227290.780029297,1612967.1979980469,1076259.1706542969,1356985.4189453125,1600434.3193359375
PCo(42:4),1571772.41796875,2089629.0446777344,1608780.7641601562,1043177.3681640624,1427728.787109375,1610396.9919433594
PCo(42:6),1556767.6762695312,2043167.943359375,1633304.5168457031,1061305.9204101562,1400602.956298828,1540962.8637695312
PCo(44:3),142256.61336517334,185886.94980621335,99217.4868812561,70076.98410797119,115491.22969818117,113880.80704498292
PCo(44:4),194145.1330871582,243334.73220825195,153938.23194122314,114464.24765777588,153914.8134841919,169891.09581756592
PCo(44:5),350660.08557128906,393283.1896820069,321181.8919830322,220357.93048095703,274046.05616760254,356923.32371521
PCp(32:4),640225.8755187988,3285602.855163574,389391.69494628906,892838.2471923828,1286781.946899414,585536.4140319824
PCp(36:5),961143.620300293,4429165.621765137,613353.7997436523,1118004.231048584,1925920.7619018557,754618.5278625488
PCp(40:6),767189.9477539062,2078487.730041504,691517.3436889648,720153.1903686523,1168459.3314819336,547422.6281280518
PCp(42:4),1533516.2641601562,2096967.9880371091,1592293.5832519531,1031046.3720703124,1404084.171142578,1560333.2890625
PCp(42:6),1534387.7021484375,2110292.146972656,1573343.3698730469,1101282.37109375,1440990.5041503906,1592085.8728027344
PE (14:0),57054.62396240234,57881.3837890625,54242.02423095703,58301.64477539063,51000.04382324219,58413.40313720703
PE (14:1),458465.58392333984,461029.5712890625,449331.5771484375,416614.78759765625,384303.7612304688,511700.1231689453
PE (16:0),1744.1001243591309,1492.6601028442385,163858.59307861328,1530.4001159667969,1568.5801162719729,200178.01080322263
PE (16:1),1609.5001182556152,1553.3601112365725,74242.82629394531,1626.320125579834,1631.4201049804688,78757.52532958984
PE (18:0),58275.44445800781,78939.8257446289,40480.94302368164,61663.62385559082,69432.48455810547,51538.12298583984
PE (18:1),78301.94598388672,139242.83111572266,44652.12326049805,86142.7269897461,115918.86865234376,58311.96408081055
PE (18:2),62252.74420166016,62217.0837097168,49734.58377075195,57050.24435424805,58294.72494506836,66856.26391601562
PE (18:3),97952.30642700195,113252.98754882812,78532.74505615234,89769.78802490234,86539.60635375977,85087.00598144531
