Lipid,Class,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
[TG(55:11)|TG(54:4)]_FA20:4,TAG,1266904.32421875,1186177.3388671875,3134688.0869140625,2451250.44140625,2985335.0556640625,2954657.630859375,796843.974609375,1506025.0146484375,931698.4501953124,1021207.3427734376,1190623.259765625,721736.25390625,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA22:5,TAG,132424.40869140625,129198.40856933594,250739.25955200195,184868.4927368164,278174.8609008789,223154.33557128903,105320.14706420898,136744.25016784668,100977.66696166992,99975.84747314452,164574.41107177734,37268.18283081055,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA22:6,TAG,93683.66647338869,93169.04641723631,130097.98962402344,145805.19009399414,167967.45065307617,134420.72985839844,85128.20574951172,125933.62924194336,89336.806640625,78653.38549804688,125514.00805664062,33697.382232666016,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA14:0,TAG,1129989.9096679688,277128.4216308594,1458378.4111328125,1787353.2260742188,1070479.3033447266,1279399.5760498047,238106.37744140625,529971.3719482422,418450.6114501953,312562.29931640625,357534.80517578125,237813.016784668,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA16:0,TAG,111840.78814697266,86528.56604003906,173654.57427978516,185094.4123535156,186910.99169921875,230607.47583007807,78251.04638671875,118763.30822753906,79953.02575683594,92418.02618408205,100961.56701660156,43592.86309814453,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA16:1,TAG,89868.8471069336,62912.64483642578,258433.3981628418,248610.1756591797,178501.69342041016,204664.3342285156,65788.90444946289,93515.88659667967,59878.26428222656,71077.82427978516,71548.78521728516,64382.62362670898,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA18:0,TAG,728248.4975585938,506529.25390625,1250434.2934570312,1144458.7065429688,1195486.306640625,1342446.1044921875,388916.9067382813,736505.3095703125,459191.2919921875,507371.056640625,621604.5415039062,295591.6416015625,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA18:1,TAG,144921.5303955078,112097.66796875,262624.4997558594,233839.75927734372,276089.7202148437,222244.85443115237,107000.20715332033,152239.56982421875,107349.76831054688,127566.32885742188,140846.51049804688,79912.52575683594,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA18:2,TAG,76401.08618164062,76344.16552734375,116888.92767333984,108441.98797607422,126406.60803222656,110210.90759277344,74342.44506835938,72294.60485839844,66357.68487548828,71422.46459960938,67268.88500976562,47253.463134765625,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:7)|TG(54:0)]_FA18:3,TAG,133268.96875,162318.1708984375,192278.55310058597,260828.8206787109,252768.97729492188,184523.45239257807,158797.51068115234,137120.3497314453,163120.07110595703,137374.66918945312,137266.40942382812,52098.62387084961,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
