Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(18:3),CAR,3444286.058444977,3441400.094696045,3349920.662036896,3445740.9128189087,3287794.057037353,3175149.642578125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,755661.3931694031,748352.8323478699,725491.6473884583,754579.333480835,735466.7116851807,757884.5498046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3399707.930316925,3403386.753757477,3294830.314849853,3429150.994380951,3256345.6503181458,3109092.08203125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,741467.396686554,735085.9696159363,719783.5359840393,758949.9361419678,731609.3498497009,756819.1298828125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,617522.5022163391,626548.7864151001,615813.7621154785,637666.2418441772,590045.3616867065,631235.4873046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2103584.7741470337,2118450.8718795776,2047214.6219596865,2140133.1046180725,2059740.3595352173,2018746.53125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,593158.8449478149,604612.7245368958,580651.1200027466,606989.9023284912,566766.2175865173,602583.583984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2120068.1714134216,2108902.4557876587,2031173.819694519,2133638.227191925,2040154.7712554927,2005452.6015625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,544962.1003189087,544552.8597335815,526147.8788719177,552349.5987548828,528339.2977790833,542018.3017578125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2043492.018131256,2023722.3308639529,1989341.2889137268,2083773.6363334656,2021642.8575057983,1927371.623046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
