,Reaction,Gene Code,reaction_code,Lipid 1,Lipid 2,Class,reaction_type,Number,Gene
112,39,4245,39,MG,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,4245,MGAT
113,40,57140,40,DG,MG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,57140,PNPLA2
114,40,80339,40,DG,MG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,80339,PNPLA3
115,41,64781,41,Cer,Cer1P,Sphingolipids,Biosynthesis of Ceramide-1-Phosphate,64781,CERK
116,42,5524,42,Cer1P,Cer,Sphingolipids,Biosynthesis of Ceramide,5524,PTPA
117,43,6610,43,SM,LysoSM,Sphingolipids,Biosynthesis of Sphingophosphotildycholine,6610,SMPD2
118,44,6901,44,PC,CL,Glycerolipids and Glycerophospholipids,Biosynthesis of CL,6901,TAZ
119,45,5297,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,5297,PI4KA
120,45,55361,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,55361,PI4K2A
121,45,55300,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,55300,PI4K2B
122,45,8394,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,8394,PIP5K1A
123,45,8395,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,8395,PIP5K1B
124,45,714107,45,PI,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,714107,SACM1L
125,46,8867,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8867,SYNJ1
126,46,8871,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8871,SYNJ2
127,46,714107,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,714107,SACM1L
128,46,8776,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8776,MTMR1
129,46,8898,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8898,MTMR2
130,46,8897,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8897,MTMR3
131,46,9110,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,9110,MTMR4
132,46,9107,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,9107,MTMR6
133,46,9108,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,9108,MTMR7
134,46,55613,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,55613,MTMR8
135,46,66036,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,66036,MTMR9
136,46,64419,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,64419,MTMR14
137,46,5728,46,PIP,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,5728,PTEN
138,47,200576,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,200576,PIKFYVE
139,47,8394,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,8394,PIP5K1A
140,47,8395,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,8395,PIP5K1B
141,47,23396,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,23396,PIP5K1C
142,47,5305,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,5305,PIP4K2A
143,47,8396,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,8396,PIP4K2B
144,47,79837,47,PIP,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,79837,PIP4K2C
145,48,9896,48,PIP2,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,9896,FIG4
146,48,4952,48,PIP2,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,4952,OCRL
147,48,56623,48,PIP2,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,56623,INPP5E
148,48,5728,48,PIP2,PIP,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP,5728,PTEN
149,49,5290,49,PIP2,PIP3,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP3,5290,PIK3CA
150,49,5291,49,PIP2,PIP3,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP3,5291,PIK3CB
151,49,5293,49,PIP2,PIP3,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP3,5293,PIK3CD
152,49,5294,49,PIP2,PIP3,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP3,5294,PIK3CG
153,50,51763,50,PIP3,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,51763,INPP5K
154,50,3635,50,PIP3,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,3635,INPP5D
155,50,27124,50,PIP3,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,27124,INPP5J
156,50,5728,50,PIP3,PIP2,Glycerolipids and Glycerophospholipids,Biosynthesis of PIP2,5728,PTEN
157,51,5168,51,LPC,LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of LPA,5168,ENPP2
158,52,30049,52,FA(16:0),FA(16:1),Fatty acid metabolism,Desaturation,30049,SCD3
159,53,60481,53,FA(16:1),FA(18:1),Fatty acid metabolism,Elongation,60481,ELOVL5
160,53,79071,53,FA(16:1),FA(18:1),Fatty acid metabolism,Elongation,79071,ELOVL6
161,54,9415,54,FA(16:1),FA(16:2),Fatty acid metabolism,Desaturation,9415,FADS2
162,55,9415,55,FA(18:2),FA(18:3),Fatty acid metabolism,Desaturation,9415,FADS2
163,56,60481,56,FA(18:3),FA(20:3),Fatty acid metabolism,Elongation,60481,ELOVL5
164,56,79993,56,FA(18:3),FA(20:3),Fatty acid metabolism,Elongation,79993,ELOVL7
165,57,79071,57,FA(16:0),FA(18:0),Fatty acid metabolism,Elongation,79071,ELOVL6
166,58,6319,58,FA(18:0),FA(18:1),Fatty acid metabolism,Desaturation,6319,SCD1
167,59,9415,59,FA(18:1),FA(18:2),Fatty acid metabolism,Desaturation,9415,FADS2
168,60,60481,60,FA(18:2),FA(20:2),Fatty acid metabolism,Elongation,60481,ELOVL5
169,61,3992,61,FA(20:2),FA(20:3),Fatty acid metabolism,Desaturation,3992,FADS1
170,62,83401,62,FA(18:1),FA(20:1),Fatty acid metabolism,Elongation,83401,ELOVL3
171,63,83401,63,FA(20:1),FA(22:1),Fatty acid metabolism,Elongation,83401,ELOVL3
172,64,83401,64,FA(22:1),FA(24:1),Fatty acid metabolism,Elongation,83401,ELOVL3
173,65,64834,65,FA(18:0),FA(20:0),Fatty acid metabolism,Elongation,64834,ELOVL1
174,65,79993,65,FA(18:0),FA(20:0),Fatty acid metabolism,Elongation,79993,ELOVL7
175,65,83401,65,FA(18:0),FA(20:0),Fatty acid metabolism,Elongation,83401,ELOVL3
176,66,64834,66,FA(20:0),FA(22:0),Fatty acid metabolism,Elongation,64834,ELOVL1
177,66,79993,66,FA(20:0),FA(22:0),Fatty acid metabolism,Elongation,79993,ELOVL7
178,66,83401,66,FA(20:0),FA(22:0),Fatty acid metabolism,Elongation,83401,ELOVL3
179,67,64834,67,FA(22:0),FA(24:0),Fatty acid metabolism,Elongation,64834,ELOVL1
180,67,79993,67,FA(22:0),FA(24:0),Fatty acid metabolism,Elongation,79993,ELOVL7
181,67,83401,67,FA(22:0),FA(24:0),Fatty acid metabolism,Elongation,83401,ELOVL3
182,68,64834,68,FA(24:0),FA(26:0),Fatty acid metabolism,Elongation,64834,ELOVL1
183,68,83401,68,FA(24:0),FA(26:0),Fatty acid metabolism,Elongation,83401,ELOVL3
184,69,6785,69,FA(26:0),FA(28:0),Fatty acid metabolism,Elongation,6785,ELOVL4
185,70,6785,70,FA(28:0),FA(30:0),Fatty acid metabolism,Elongation,6785,ELOVL4
186,71,3992,71,FA(20:3),FA(20:4),Fatty acid metabolism,Desaturation,3992,FADS1
187,72,60481,72,FA(20:4),FA(22:4),Fatty acid metabolism,Elongation,60481,ELOVL5
188,72,54898,72,FA(20:4),FA(22:4),Fatty acid metabolism,Elongation,54898,ELOVL2
189,73,54898,73,FA(22:4),FA(24:4),Fatty acid metabolism,Elongation,54898,ELOVL2
190,74,9415,74,FA(24:4),FA(24:5),Fatty acid metabolism,Desaturation,9415,FADS2
191,75,9415,75,FA(18:3),FA(18:4),Fatty acid metabolism,Desaturation,9415,FADS2
192,76,60481,76,FA(18:4),FA(20:4),Fatty acid metabolism,Elongation,60481,ELOVL5
193,77,3992,77,FA(20:4),FA(20:5),Fatty acid metabolism,Desaturation,3992,FADS1
194,78,60481,78,FA(20:5),FA(22:5),Fatty acid metabolism,Elongation,60481,ELOVL5
195,78,54898,78,FA(20:5),FA(22:5),Fatty acid metabolism,Elongation,54898,ELOVL2
196,79,54898,79,FA(22:5),FA(24:5),Fatty acid metabolism,Elongation,54898,ELOVL2
197,80,9415,80,FA(24:5),FA(24:6),Fatty acid metabolism,Desaturation,9415,FADS2
198,81,54898,81,FA(24:6),FA(34:6),Fatty acid metabolism,Elongation,54898,ELOVL2
199,81,6785,81,FA(24:6),FA(34:6),Fatty acid metabolism,Elongation,6785,ELOVL4
200,82,56994,82,O-DG,O-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-PC,56994,CHPT1
201,83,10390,83,O-DG,O-PE,Glycerolipids and Glycerophospholipids,Biosynthesis of O-PE,10390,CEPT1
202,84,387521,84,O-PE,P-PE,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PE,387521,PEDS1
203,85,10390,85,P-PE,P-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PC,10390,CEPT1
204,85,5537,85,P-PE,P-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PC,5537,PLD1
205,85,8611,85,P-PE,P-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PC,8611,PLPP1
206,85,8612,85,P-PE,P-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PC,8612,PLPP2
207,85,56994,85,P-PE,P-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-PC,56994,CHPT1
208,86,30814,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,30814,PLA2G2E
209,86,5320,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,5320,PLA2G2A
210,86,26279,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,26279,PLA2G2D
211,86,64600,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,64600,PLA2G2F
212,86,5319,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,5319,PLA2G1B
213,86,5321,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,5321,PLA2G4A
214,86,100137049,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,100137049,PLA2G4B
