,Unnamed: 0,Class,Transition,Lipid,LipidSet,IsInNew
387,967,PS,526.3 -> 341.3, PS(18:0)|LPS(18:0) ,"{'LPS(18:0)', 'PS(18:0)'}",False
388,968,PS,526.3 -> 341.3, PS(18:0)|LPS(18:0) ,"{'LPS(18:0)', 'PS(18:0)'}",False
389,970,PS,538.4 -> 353.3,PS(P-20:0),{'PS(P-20:0)'},False
390,972,PS,540.4 -> 355.4,PS(O-20:0),{'PS(O-20:0)'},False
391,974,PS,544.3 -> 359.3, PS(20:5)|LPS(20:5) ,"{'LPS(20:5)', 'PS(20:5)'}",False
392,976,PS,546.3 -> 361.3, PS(20:4)|LPS(20:4) ,"{'PS(20:4)', 'LPS(20:4)'}",False
393,978,PS,548.3 -> 363.3, PS(20:3)|LPS(20:3) ,"{'PS(20:3)', 'LPS(20:3)'}",False
394,980,PS,550.3 -> 365.3, PS(20:2)|LPS(20:2) ,"{'PS(20:2)', 'LPS(20:2)'}",False
395,982,PS,552.3 -> 367.3, PS(20:1)|LPS(20:1) ,"{'LPS(20:1)', 'PS(20:1)'}",False
396,984,PS,554.3 -> 369.3, PS(20:0)|LPS(20:0) ,"{'LPS(20:0)', 'PS(20:0)'}",False
397,986,PS,568.4 -> 383.3,LPS(21:0),{'LPS(21:0)'},False
398,988,PS,570.3 -> 385.3, PS(22:6)|LPS(22:6) ,"{'LPS(22:6)', 'PS(22:6)'}",False
399,990,PS,574.3 -> 389.3, PS(22:4)|LPS(22:4) ,"{'LPS(22:4)', 'PS(22:4)'}",False
400,992,PS,578.3 -> 393.3, PS(22:2)|LPS(22:2) ,"{'LPS(22:2)', 'PS(22:2)'}",False
401,994,PS,580.4 -> 395.4, PS(22:1)|LPS(22:1) ,"{'PS(22:1)', 'LPS(22:1)'}",False
402,996,PS,582.4 -> 397.4, PS(22:0)|LPS(22:0 ,"{'PS(22:0)', 'LPS(22:0'}",False
403,1017,PS,728.4 -> 543.4,PS(32:4),{'PS(32:4)'},False
404,1028,PS,752.4 -> 567.4,PS(34:6),{'PS(34:6)'},False
405,1030,PS,754.5 -> 569.5,PS(34:5),{'PS(34:5)'},False
406,1050,PS,792.6 -> 607.6,PS(36:0),{'PS(36:0)'},False
407,1056,PS,802.6 -> 617.6,PS(O-38:2),{'PS(O-38:2)'},False
408,1058,PS,804.6 -> 619.6,PS(O-38:3),{'PS(O-38:3)'},False
409,1060,PS,806.6 -> 621.6,PS(O-38:0),{'PS(O-38:0)'},False
410,1068,PS,820.6 -> 635.6,PS(38:0),{'PS(38:0)'},False
411,1073,PS,828.6 -> 643.6,PS(P-40:2),{'PS(P-40:2)'},False
412,1075,PS,830.6 -> 645.6,PS(O-40:2),{'PS(O-40:2)'},False
413,1077,PS,832.6 -> 647.6,PS(O-40:1),{'PS(O-40:1)'},False
414,1078,PS,834.5 -> 649.5,PS(40:7),{'PS(40:7)'},False
415,1087,PS,848.6 -> 663.6, PS(P-42:6)|PS(40:0) ,"{'PS(P-42:6)', 'PS(40:0)'}",False
416,1091,PS,854.6 -> 669.6,PS(O-42:4),{'PS(O-42:4)'},False
417,1093,PS,856.6 -> 671.6,PS(P-42:2),{'PS(P-42:2)'},False
418,1094,PS,858.5 -> 673.5,PS(42:9),{'PS(42:9)'},False
419,1096,PS,860.5 -> 675.5,PS(42:8),{'PS(42:8)'},False
