,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain,IDs,Names
1687,[TG(45:2)]_FA14:0,778.7,533.5,24840.701751708984,778.7 -> 533.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,2,(45:2),14:0,"LMGL03014142, LMGL03013682, LMGL03012760, LMGL03014195","TG(14:0/14:1(9Z)/17:1(9Z))[iso6], TG(13:0/14:0/18:2(9Z,12Z))[iso6], TG(14:0/14:0/17:2(9Z,12Z))[iso3], TG(14:0/15:1(9Z)/16:1(9Z))[iso6]"
1688,[TG(45:1)]_FA14:0,780.7,535.5,83296.16589355469,780.7 -> 535.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,1,(45:1),14:0,"LMGL03012759, LMGL03014194, LMGL03013223, LMGL03014141, LMGL03014168, LMGL03013681","TG(14:0/14:0/17:1(9Z))[iso3], TG(14:0/15:1(9Z)/16:0)[iso6], TG(12:0/14:0/19:1(9Z))[iso6], TG(14:0/14:1(9Z)/17:0)[iso6], TG(14:0/15:0/16:1(9Z))[iso6], TG(13:0/14:0/18:1(9Z))[iso6]"
1689,[TG(45:0)]_FA14:0,782.7,537.5,67804.78485107422,782.7 -> 537.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,0,(45:0),14:0,"LMGL03014167, LMGL03012758, LMGL03013222, LMGL03013680","TG(14:0/15:0/16:0)[iso6], TG(14:0/14:0/17:0)[iso3], TG(12:0/14:0/19:0)[iso6], TG(13:0/14:0/18:0)[iso6]"
1690,[TG(46:6)]_FA14:0,784.6,539.4,26215.441955566406,784.6 -> 539.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,6,(46:6),14:0,,
1691,[TG(46:5)]_FA14:0,786.7,541.5,30267.742095947266,786.7 -> 541.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,5,(46:5),14:0,"LMGL03013229, LMGL03014149","TG(12:0/14:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(14:0/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]"
1692,[TG(46:4)]_FA14:0,788.7,543.5,26334.401763916016,788.7 -> 543.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,4,(46:4),14:0,"LMGL03014147, LMGL03014148, LMGL03012766, LMGL03013228","TG(14:0/14:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/14:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso3], TG(12:0/14:0/20:4(5Z,8Z,11Z,14Z))[iso6]"
1693,[TG(46:3)]_FA14:0,790.7,545.5,23569.641662597656,790.7 -> 545.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,3,(46:3),14:0,"LMGL03012765, LMGL03012764, LMGL03014198, LMGL03014146, LMGL03013227","TG(14:0/14:0/18:3(9Z,12Z,15Z))[iso3], TG(14:0/14:0/18:3(6Z,9Z,12Z))[iso3], TG(14:0/15:1(9Z)/17:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/14:0/20:3(8Z,11Z,14Z))[iso6]"
1694,[TG(46:2)]_FA14:0,792.7,547.5,45592.503173828125,792.7 -> 547.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,2,(46:2),14:0,"LMGL03012787, LMGL03014145, LMGL03014171, LMGL03014197, LMGL03013226, LMGL03012763","TG(14:0/16:1(9Z)/16:1(9Z))[iso3], TG(14:0/14:1(9Z)/18:1(9Z))[iso6], TG(14:0/15:0/17:2(9Z,12Z))[iso6], TG(14:0/15:1(9Z)/17:1(9Z))[iso6], TG(12:0/14:0/20:2(11Z,14Z))[iso6], TG(14:0/14:0/18:2(9Z,12Z))[iso3]"
1695,[TG(46:1)]_FA14:0,794.7,549.5,55370.08392333984,794.7 -> 549.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,1,(46:1),14:0,"LMGL03013225, LMGL03014144, LMGL03014170, LMGL03012762, LMGL03014196, LMGL03014221, LMGL03013687","TG(12:0/14:0/20:1(11Z))[iso6], TG(14:0/14:1(9Z)/18:0)[iso6], TG(14:0/15:0/17:1(9Z))[iso6], TG(14:0/14:0/18:1(9Z))[iso3], TG(14:0/15:1(9Z)/17:0)[iso6], TG(14:0/16:0/16:1(9Z))[iso6], TG(13:0/14:0/19:1(9Z))[iso6]"
1696,[TG(46:0)]_FA14:0,796.7,551.5,107006.84753417967,796.7 -> 551.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,0,(46:0),14:0,"LMGL03012761, LMGL03014169, LMGL03012786, LMGL03013224, LMGL03013686","TG(14:0/14:0/18:0)[iso3], TG(14:0/15:0/17:0)[iso6], TG(14:0/16:0/16:0)[iso3], TG(12:0/14:0/20:0)[iso6], TG(13:0/14:0/19:0)[iso6]"
