,Class,Transition,Lipid
1022,PC,764.6 -> 184.1,PC(35:6)|PC(P-36:5)
1023,PC,766.6 -> 184.1,PC(35:5)|PC(O-36:5)|PC(P-36:4)
1024,PC,768.6 -> 184.1,PC(35:4)|PC(O-36:4)|PC(P-36:3)
1025,PC,770.6 -> 184.1,PC(35:3)|PC(O-36:3)|PC(P-36:2)
1026,PC,772.6 -> 184.1,PC(35:2)|PC(O-36:2)|PC(P-36:1)
1027,PC,774.6 -> 184.1,PC(36:8)|PC(35:1)|PC(O-36:1)|PC(P-36:0)
1028,PC,776.7 -> 184.1,PC(36:7)|PC(35:0)|PC(O-36:0)
1029,PC,778.5 -> 184.1,PC(36:6)
1030,PC,780.6 -> 184.1,PC(36:5)
1031,PC,782.6 -> 184.1,PC(36:4)|PC(O-37:4)
1032,PC,784.6 -> 184.1,PC(36:3)|PC(P-37:2)
1033,PC,786.6 -> 184.1,PC(O-38:9)|PC(36:2)|PC(O-37:2)|PC(P-37:1)
1034,PC,788.7 -> 184.1,PC(O-38:8)|PC(36:1)|PC(O-37:1)|PC(P-37:0)
1035,PC,790.7 -> 184.1,PC(37:7)|PC(P-38:6)|PC(36:0)|PC(O-37:0)
1036,PC,792.6 -> 184.1,PC(37:6)|PC(O-38:6)|PC(P-38:5)
1037,PC,794.6 -> 184.1,PC(37:5)|PC(O-38:5)|PC(P-38:4)
1038,PC,796.6 -> 184.1,PC(37:4)|PC(O-38:4)|PC(P-38:3)
1039,PC,798.6 -> 184.1,PC(37:3)|PC(O-38:3)|PC(P-38:2)
1040,PC,800.7 -> 184.1,PC(38:9)|PC(37:2)|PC(O-38:2)|PC(P-38:1)
1041,PC,802.7 -> 184.1,PC(38:8)|PC(37:1)|PC(O-38:1)|PC(P-38:0)
1042,PC,804.7 -> 184.1,PC(38:7)|PC(37:0)|PC(O-38:0)
1043,PC,806.6 -> 184.1,PC(38:6)
1044,PC,808.6 -> 184.1,PC(38:5)
1045,PC,810.6 -> 184.1,PC(38:4)
1046,PC,812.6 -> 184.1,PC(38:3)
1047,PC,814.7 -> 184.1,PC(O-40:9)|PC(38:2)|PC(P-39:1)
1048,PC,816.7 -> 184.1,PC(39:8)|PC(O-40:8)|PC(38:1)|PC(O-39:1)|PC(P-39:0)
1049,PC,818.7 -> 184.1,PC(39:7)|PC(P-40:6)|PC(38:0)|PC(O-39:0)
1050,PC,820.6 -> 184.1,PC(39:6)|PC(O-40:6)|PC(P-40:5)
1051,PC,822.6 -> 184.1,PC(39:5)|PC(O-40:5)|PC(P-40:4)
1052,PC,824.7 -> 184.1,PC(39:4)|PC(O-40:4)|PC(P-40:3)
1053,PC,826.7 -> 184.1,PC(40:10)|PC(39:3)|PC(O-40:3)|PC(P-40:2)
1054,PC,828.7 -> 184.1,PC(40:9)|PC(39:2)|PC(O-40:2)|PC(P-40:1)
1055,PC,830.7 -> 184.1,PC(40:8)|PC(39:1)|PC(O-40:1)|PC(P-40:0)
1056,PC,832.7 -> 184.1,PC(40:7)|PC(39:0)|PC(O-40:0)
1057,PC,834.6 -> 184.1,PC(40:6)
1058,PC,836.6 -> 184.1,PC(40:5)
1059,PC,838.6 -> 184.1,PC(40:4)
1060,PC,840.6 -> 184.1,PC(40:3)
1061,PC,842.7 -> 184.1,PC(40:2)
1062,PC,844.7 -> 184.1,PC(40:1)|PC(P-41:0)
1063,PC,846.7 -> 184.1,PC(41:7)|PC(P-42:6)|PC(40:0)|PC(O-41:0)
1064,PC,848.7 -> 184.1,PC(41:6)|PC(O-42:6)
1065,PC,850.7 -> 184.1,PC(41:5)|PC(P-42:4)
1066,PC,852.7 -> 184.1,PC(42:11)|PC(41:4)|PC(O-42:4)
1067,PC,854.7 -> 184.1,PC(42:10)|PC(41:3)|PC(O-42:3)|PC(P-42:2)
1068,PC,856.7 -> 184.1,PC(42:9)|PC(41:2)|PC(O-42:2)|PC(P-42:1)
1069,PC,858.7 -> 184.1,PC(42:8)|PC(41:1)|PC(O-42:1)|PC(P-42:0)
1070,PC,860.7 -> 184.1,PC(42:7)|PC(41:0)|PC(O-42:0)
1071,PC,862.6 -> 184.1,PC(42:6)
1072,PC,864.6 -> 184.1,PC(42:5)
1073,PC,866.7 -> 184.1,PC(42:4)
1074,PC,868.7 -> 184.1,PC(42:3)
1075,PC,870.7 -> 184.1,PC(42:2)
1076,PC,872.7 -> 184.1,PC(42:1)
1077,PC,874.7 -> 184.1,PC(42:0)
1079,PC,878.7 -> 184.1,PC(44:12)|PC(O-44:5)
1080,PC,880.7 -> 184.1,PC(43:4)|PC(O-44:4)
1081,PC,882.7 -> 184.1,PC(44:10)|PC(O-44:3)
1083,PC,886.7 -> 184.1,PC(44:8)|PC(43:1)
1084,PC,888.7 -> 184.1,PC(44:7)|PC(43:0)
1085,PC,890.7 -> 184.1,PC(44:6)
1086,PC,892.7 -> 184.1,PC(44:5)
1087,PC,894.7 -> 184.1,PC(44:4)
1088,PC,896.7 -> 184.1,PC(44:3)
1089,PC,898.7 -> 184.1,PC(44:2)
1090,PC,900.7 -> 184.1,PC(44:1)
1091,PC,902.8 -> 184.1,PC(44:0)
1092,PC,926.8 -> 184.1,PC(46:2)
1093,PC,928.8 -> 184.1,PC(46:1)
1094,PC,930.8 -> 184.1,PC(46:0)
1095,PC,954.8 -> 184.1,PC(48:2)
1096,PC,958.8 -> 184.1,PC(48:0)
1097,PC,986.9 -> 184.1,PC(50:0)
1098,PC,1006.8 -> 184.1,PC(52:4)
1099,PC,1014.9 -> 184.1,PC(52:0)
1104,PE,398.2 -> 257.2,LPE(12:0)
1106,PE,424.2 -> 283.2,LPE(14:1)
1107,PE,426.3 -> 285.3,LPE(14:0)
1108,PE,438.3 -> 297.3,LPE(15:1)|LPE(P-16:0)
1110,PE,452.3 -> 311.3,LPE(16:1)
1112,PE,466.3 -> 325.3,LPE(17:1)|LPE(O-18:1)|LPE(P-18:0)
1113,PE,468.3 -> 327.3,PE(16:0)|LPE(O-18:0)
1114,PE,474.3 -> 333.3,LPE(18:4)
1115,PE,476.3 -> 335.3,LPE(18:3)
1116,PE,478.3 -> 337.3,LPE(18:2)|LPE(P-19:1)
1117,PE,480.3 -> 339.3,LPE(18:1)
1119,PE,494.4 -> 353.4,LPE(19:1)|LPE(P-20:0)
1120,PE,496.4 -> 355.4,LPE(O-20:0)
1121,PE,500.3 -> 359.3,LPE(20:5)
1122,PE,502.3 -> 361.3,LPE(20:4)
1123,PE,504.3 -> 363.3,LPE(20:3)
1124,PE,506.3 -> 365.3,LPE(20:2)
1125,PE,508.3 -> 367.3,LPE(20:1)
1126,PE,510.4 -> 369.4,LPE(20:0)
1127,PE,524.4 -> 383.4,PE(20:0)|LPE(21:0)
