,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,nickname,Sex,Genotype,time point,method_type,Blank Subtraction,IDs,Names
226,LPC(16:1),494.3,184.1,575361.0708618164,494.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,547833.8089904785,"LMGP01050022, LMGP01050021","PC(16:1(9Z)/0:0), PC(16:1(9E)/0:0)"
227,LPC(16:1),494.3,184.1,557173.8588867188,494.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,529653.3970031738,"LMGP01050022, LMGP01050021","PC(16:1(9Z)/0:0), PC(16:1(9E)/0:0)"
228,LPC(16:0),496.3,184.1,464270.07568359375,496.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,438787.7337646485,"LMGP01050018, LMGP01050113, LMGP01050074","PC(16:0/0:0), PC(16:0/0:0)[rac], PC(0:0/16:0)"
229,LPC(17:2),506.3,184.1,483133.83392333984,506.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,457096.4921264648,LMGP01050127,"PC(17:2(9Z,12Z)/0:0)"
230,LPC(17:1),508.3,184.1,513590.9287719727,508.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,484543.3467102051,"LMGP01050126, LMGP01050002","PC(17:1(9Z)/0:0), PC(17:1(10Z)/0:0)"
231,LPC(17:0),510.3,184.1,416712.7072753906,510.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,394806.645904541,LMGP01050024,PC(17:0/0:0)
232,LPC(18:4),516.3,184.1,289451.9224243164,516.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,264616.42053222656,"LMGP01050040, LMGP01050129","PC(18:4(9E,11E,13E,15E)/0:0), PC(18:4(6Z,9Z,12Z,15Z)/0:0)"
233,LPC(18:3),518.3,184.1,354404.06774902344,518.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,326001.9655456543,"LMGP01050038, LMGP01050128","PC(18:3(9Z,12Z,15Z)/0:0), PC(18:3(6Z,9Z,12Z)/0:0)"
234,LPC(18:2),520.3,184.1,419525.8740844727,520.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,387082.9515686035,"LMGP01050034, LMGP01050035","PC(18:2(2E,4E)/0:0), PC(18:2(9Z,12Z)/0:0)"
235,LPC(18:1),522.3,184.1,462812.6333007813,522.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,428990.9507141113,"LMGP01050114, LMGP01050030, LMGP01050032, LMGP01050082, LMGP01050080, LMGP01050029, LMGP01050079, LMGP01050138","PC(18:1(9Z)/0:0)[rac], PC(18:1(9E)/0:0), PC(18:1(9Z)/0:0), PC(0:0/18:1(9Z)), PC(0:0/18:1(9E)), PC(18:1(6Z)/0:0), PC(0:0/18:1(6Z)), PC(18:1(11Z)/0:0)"
236,LPC(18:0),524.4,184.1,450855.54541015625,524.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,414344.0427856445,"LMGP01050026, LMGP01050076","PC(18:0/0:0), PC(0:0/18:0)"
237,LPC(19:3),532.3,184.1,399818.9643554688,532.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,364538.2016906738,LMGP01050003,"PC(19:3(10Z,13Z,16Z)/0:0)"
238,LPC(19:2),534.3,184.1,430814.9108886719,534.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,393834.3083496094,Not Found,Not Found
239,LPC(19:1),536.4,184.1,432735.0291748047,536.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,399753.6667480469,"LMGP01050130, LMGP01050145","PC(19:1(9Z)/0:0), PC(18:0(11cp)/0:0)"
240,LPC(19:0),538.4,184.1,403134.8079833984,538.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,373546.3460388184,LMGP01050041,PC(19:0/0:0)
241,LPC(20:5),542.3,184.1,288495.5212402344,542.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,262721.1194534302,LMGP01050050,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"
242,LPC(20:4),544.3,184.1,276104.4582519531,544.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,251886.29669189453,"LMGP01050048, LMGP01050121, LMGP01050140","PC(20:4(5Z,8Z,11Z,14Z)/0:0), PC(0:0/20:4(5Z,8Z,11Z,14Z)), PC(20:4(8Z,11Z,14Z,17Z)/0:0)"
243,LPC(20:3),546.3,184.1,285205.5402832031,546.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,257621.57833862305,"LMGP01050133, LMGP01050139","PC(20:3(8Z,11Z,14Z)/0:0), PC(20:3(5Z,8Z,11Z)/0:0)"
244,LPC(20:2),548.4,184.1,307355.26123046875,548.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,277851.41900634766,LMGP01050132,"PC(20:2(11Z,14Z)/0:0)"
245,LPC(20:1),550.4,184.1,302301.2332763672,550.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,273868.9311218262,"LMGP01050146, LMGP01050131, LMGP01050047","PC(20:1(13Z)/0:0), PC(20:1(11Z)/0:0), PC(20:1(9Z)/0:0)"
246,LPC(20:0),552.4,184.1,739987.1994628906,552.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,465229.76318359375,LMGP01050045,PC(20:0/0:0)
247,LPC(21:4),558.3,184.1,2461894.7619628906,558.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1395700.7600097656,LMGP01050004,"PC(21:4(6Z,9Z,12Z,15Z)/0:0)"
248,LPC(21:0),566.4,184.1,2631771.7868652344,566.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1388759.946899414,LMGP01050051,PC(21:0/0:0)
249,LPC(22:6),568.3,184.1,2735097.250488281,568.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1698837.7846679688,LMGP01050056,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"
250,LPC(22:5),570.3,184.1,2753037.0703125,570.3 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1518299.498046875,"LMGP01050142, LMGP01050143","PC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0), PC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)"
251,LPC(22:4),572.4,184.1,2750412.2319335938,572.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1287147.5302734375,LMGP01050124,"PC(22:4(7Z,10Z,13Z,16Z)/0:0)"
252,LPC(22:2),576.4,184.1,868891.7641601562,576.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,595428.8637695312,LMGP01050135,"PC(22:2(13Z,16Z)/0:0)"
253,LPC(22:1),578.4,184.1,605752.103515625,578.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,425460.5295410156,"LMGP01050141, LMGP01050134","PC(22:1(13Z)/0:0), PC(22:1(11Z)/0:0)"
254,LPC(22:0),580.4,184.1,473946.2939453125,580.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,280316.900390625,LMGP01050053,PC(22:0/0:0)
255,LPC(24:1),606.4,184.1,513426.1730957031,606.4 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,457735.9691162109,LMGP01050144,PC(24:1(15Z)/0:0)
256,LPC(24:0),608.5,184.1,512827.29846191406,608.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,456732.494506836,LMGP01050057,PC(24:0/0:0)
263,PC(30:2),702.5,184.1,1169541.5702514648,702.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1123748.9475708008,"LMGP01011614, LMGP01011552, LMGP01011323, LMGP01011345, LMGP01011436, LMGP01011476, LMGP01011385","PC(18:2(9Z,12Z)/12:0), PC(17:2(9Z,12Z)/13:0), PC(12:0/18:2(9Z,12Z)), PC(13:0/17:2(9Z,12Z)), PC(15:1(9Z)/15:1(9Z)), PC(16:1(9Z)/14:1(9Z)), PC(14:1(9Z)/16:1(9Z))"
265,PC(30:1),704.5,184.1,1154087.6782836914,704.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1107139.334442139,"LMGP01011595, LMGP01010440, LMGP01010485, LMGP01011344, LMGP01011384, LMGP01011412, LMGP01011435, LMGP01011463, LMGP01011475, LMGP01011522","PC(18:1(9Z)/12:0), PC(12:0/18:1(9Z)), PC(14:0/16:1(9Z)), PC(13:0/17:1(9Z)), PC(14:1(9Z)/16:0), PC(15:0/15:1(9Z)), PC(15:1(9Z)/15:0), PC(16:0/14:1(9Z)), PC(16:1(9Z)/14:0), PC(17:1(9Z)/13:0)"
267,PC(30:0),706.5,184.1,1160716.7078857422,706.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1106742.003753662,"LMGP01010481, LMGP01010969, LMGP01010560, LMGP01010395, LMGP01010416, LMGP01010438, LMGP01010461, LMGP01010530, LMGP01010702, LMGP01010736, LMGP01010995, LMGP01011265","PC(14:0/16:0), PC(19:0/11:0), PC(16:0/14:0), PC(10:0/20:0), PC(11:0/19:0), PC(12:0/18:0), PC(13:0/17:0), PC(15:0/15:0), PC(17:0/13:0), PC(18:0/12:0), PC(20:0/10:0), PC(9:0/21:0)"
268,PC(O-32:3),714.5,184.1,1525172.5625610352,714.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1475832.0984802246,LMGP01020018,"PC(O-14:0/18:3(9Z,12Z,15Z))"
269,PC(O-32:2),716.6,184.1,1527485.5061035156,716.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1498252.0039215088,"LMGP01030133, LMGP01030049, LMGP01030143, LMGP01030004, LMGP01020017, LMGP01030026","PC(P-18:1(11Z)/14:0), PC(P-18:0/14:1(9Z)), PC(P-18:1(9Z)/14:0), PC(P-14:0/18:1(9Z)), PC(O-14:0/18:2(9Z,12Z)), PC(P-16:0/16:1(9Z))"
270,PC(O-32:1),718.6,184.1,1548073.5903930664,718.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1520008.8684387207,"LMGP01020182, LMGP01030025, LMGP01030048, LMGP01030074, LMGP01020016, LMGP01020196","PC(O-16:0/16:1(9Z)), PC(P-16:0/16:0), PC(P-18:0/14:0), PC(P-20:0/12:0), PC(O-14:0/18:1(9Z)), PC(O-18:0/14:1(9Z))"
271,PC(O-32:0),720.6,184.1,1569969.0028076172,720.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1542545.360748291,"LMGP01020195, LMGP01020029, LMGP01020216, LMGP01020015","PC(O-18:0/14:0), PC(O-16:0/16:0), PC(O-20:0/12:0), PC(O-14:0/18:0)"
272,PC(32:5),724.5,184.1,2074187.295959473,724.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2045010.913909912,"LMGP01011703, LMGP01011333, LMGP01011394, LMGP01011926","PC(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)), PC(12:0/20:5(5Z,8Z,11Z,14Z,17Z)), PC(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)), PC(20:5(5Z,8Z,11Z,14Z,17Z)/12:0)"
273,PC(32:4),726.5,184.1,2547605.525024414,726.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2516731.0028686523,"LMGP01011702, LMGP01011897, LMGP01011643, LMGP01010499, LMGP01010500, LMGP01010568, LMGP01010698, LMGP01011332, LMGP01011392, LMGP01011393, LMGP01011674","PC(18:4(6Z,9Z,12Z,15Z)/14:0), PC(20:4(5Z,8Z,11Z,14Z)/12:0), PC(18:3(6Z,9Z,12Z)/14:1(9Z)), PC(14:0/18:4(6Z,9Z,12Z,15Z)), PC(14:0/18:4(9E,11E,13E,15E)), PC(16:0/16:4(2E,4E,12E,14E)), PC(16:2(2E,4E)/16:2(2E,4E)), PC(12:0/20:4(5Z,8Z,11Z,14Z)), PC(14:1(9Z)/18:3(6Z,9Z,12Z)), PC(14:1(9Z)/18:3(9Z,12Z,15Z)), PC(18:3(9Z,12Z,15Z)/14:1(9Z))"
275,PC(32:3),728.5,184.1,3022032.93157959,728.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2991561.229248047,"LMGP01011673, LMGP01011556, LMGP01011642, LMGP01011617, LMGP01011866, LMGP01010497, LMGP01011331, LMGP01011391, LMGP01011441, LMGP01011369","PC(18:3(9Z,12Z,15Z)/14:0), PC(17:2(9Z,12Z)/15:1(9Z)), PC(18:3(6Z,9Z,12Z)/14:0), PC(18:2(9Z,12Z)/14:1(9Z)), PC(20:3(8Z,11Z,14Z)/12:0), PC(14:0/18:3(9Z,12Z,15Z)), PC(12:0/20:3(8Z,11Z,14Z)), PC(14:1(9Z)/18:2(9Z,12Z)), PC(15:1(9Z)/17:2(9Z,12Z)), PC(14:0/18:3(6Z,9Z,12Z))"
277,PC(32:2),730.5,184.1,2968187.504272461,730.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2938724.3819274902,"LMGP01011526, LMGP01011597, LMGP01011616, LMGP01011555, LMGP01010682, LMGP01010494, LMGP01010496, LMGP01011330, LMGP01011390, LMGP01011440, LMGP01011835, LMGP01010684, LMGP01011414","PC(17:1(9Z)/15:1(9Z)), PC(18:1(9Z)/14:1(9Z)), PC(18:2(9Z,12Z)/14:0), PC(17:2(9Z,12Z)/15:0), PC(16:1(9E)/16:1(9E)), PC(14:0/18:2(11Z,14Z)), PC(14:0/18:2(9Z,12Z)), PC(12:0/20:2(11Z,14Z)), PC(14:1(9Z)/18:1(9Z)), PC(15:1(9Z)/17:1(9Z)), PC(20:2(11Z,14Z)/12:0), PC(16:1(9Z)/16:1(9Z)), PC(15:0/17:2(9Z,12Z))"
279,PC(32:1),732.6,184.1,2981648.0073242188,732.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2951063.5249328613,"LMGP01011757, LMGP01012145, LMGP01011582, LMGP01010490, LMGP01010492, LMGP01010566, LMGP01010882, LMGP01011329, LMGP01011352, LMGP01011389, LMGP01011413, LMGP01011479, LMGP01011500, LMGP01011439, LMGP01011525, LMGP01011805","PC(19:1(9Z)/13:0), PC(18:1(11Z)/14:0), PC(18:0/14:1(9Z)), PC(14:0/18:1(11Z)), PC(14:0/18:1(9Z)), PC(16:0/16:1(9Z)), PC(18:1(9Z)/14:0), PC(12:0/20:1(11Z)), PC(13:0/19:1(9Z)), PC(14:1(9Z)/18:0), PC(15:0/17:1(9Z)), PC(16:1(9Z)/16:0), PC(17:0/15:1(9Z)), PC(15:1(9Z)/17:0), PC(17:1(9Z)/15:0), PC(20:1(11Z)/12:0)"
281,PC(32:0),734.6,184.1,2987578.3508911133,734.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2955615.0685424805,"LMGP01010444, LMGP01010970, LMGP01010397, LMGP01010418, LMGP01010463, LMGP01010488, LMGP01010537, LMGP01010704, LMGP01010739, LMGP01010997, LMGP01011062, LMGP01011080, LMGP01011267, LMGP01010564","PC(12:0/20:0), PC(19:0/13:0), PC(10:0/22:0), PC(11:0/21:0), PC(13:0/19:0), PC(14:0/18:0), PC(15:0/17:0), PC(17:0/15:0), PC(18:0/14:0), PC(20:0/12:0), PC(21:0/11:0), PC(22:0/10:0), PC(9:0/23:0), PC(16:0/16:0)"
282,PC(P-32:4),738.5,184.1,3260872.047241211,738.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3232593.945037842,Not Found,Not Found
283,PC(O-34:4),740.6,184.1,3396784.4669189453,740.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3368088.5649108887,"LMGP01030031, LMGP01030032, LMGP01020021, LMGP01020185, LMGP01080005","PC(P-16:0/18:3(6Z,9Z,12Z)), PC(P-16:0/18:3(9Z,12Z,15Z)), PC(O-14:0/20:4(5Z,8Z,11Z,14Z)), PC(O-16:0/18:4(6Z,9Z,12Z,15Z)), None"
284,PC(O-34:3),742.6,184.1,3314664.9368286133,742.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3284825.0346069336,"LMGP01030145, LMGP01030135, LMGP01030008, LMGP01020041, LMGP01020257, LMGP01020042","PC(P-18:1(9Z)/16:1(9Z)), PC(P-18:1(11Z)/16:1(9Z)), PC(P-16:0/18:2(9Z,12Z)), PC(O-16:0/18:3(6Z,9Z,12Z)), PC(O-16:1(9Z)/18:2(9Z,12Z)), PC(O-16:0/18:3(9Z,12Z,15Z))"
285,PC(O-34:2),744.6,184.1,3106042.226501465,744.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3076896.6044921875,"LMGP01030006, LMGP01030128, LMGP01030053, LMGP01020039, LMGP01030144, LMGP01030077, LMGP01030134","PC(P-16:0/18:1(9Z)), PC(P-16:0/18:1(11Z)), PC(P-18:0/16:1(9Z)), PC(O-16:0/18:2(9Z,12Z)), PC(P-18:1(9Z)/16:0), PC(P-20:0/14:1(9Z)), PC(P-18:1(11Z)/16:0)"
286,PC(O-34:1),746.6,184.1,3068920.27532959,746.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3042185.833465576,"LMGP01020089, LMGP01020261, LMGP01030076, LMGP01020219, LMGP01030052, LMGP01030030, LMGP01020003, LMGP01020152, LMGP01020256","PC(O-18:0/16:1(9Z)), PC(O-18:1(11Z)/16:0), PC(P-20:0/14:0), PC(O-20:0/14:1(9Z)), PC(P-18:0/16:0), PC(P-16:0/18:0), PC(O-16:0/18:1(9Z)), PC(O-18:1(9Z)/16:0), PC(O-16:1(9Z)/18:0)"
287,PC(O-34:0),748.6,184.1,3082733.9497680664,748.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3055169.5477600098,"LMGP01020033, LMGP01020076, LMGP01020218, LMGP01020086","PC(O-16:0/18:0), PC(O-17:0/17:0), PC(O-20:0/14:0), PC(O-18:0/16:0)"
288,PC(34:6),750.5,184.1,3302444.6434936523,750.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3271761.781402588,"LMGP01012097, LMGP01010447, LMGP01011402, LMGP01011929","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/12:0), PC(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), PC(14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)), PC(20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z))"
289,PC(34:5),752.5,184.1,4746879.372436523,752.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,4711435.769836426,"LMGP01011928, LMGP01011707, LMGP01011900, LMGP01010692, LMGP01011401, LMGP01010508","PC(20:5(5Z,8Z,11Z,14Z,17Z)/14:0), PC(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)), PC(20:4(5Z,8Z,11Z,14Z)/14:1(9Z)), PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z)), PC(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)), PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))"
290,PC(34:4),754.5,184.1,5296121.709228516,754.5 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,5259820.126708984,"LMGP01011869, LMGP01012066, LMGP01011678, LMGP01012193, LMGP01012132, LMGP01011706, LMGP01012128, LMGP01011647, LMGP01012209, LMGP01010506, LMGP01010603, LMGP01010604, LMGP01010606, LMGP01010608, LMGP01010699, LMGP01010731, LMGP01010963, LMGP01011400, LMGP01011484, LMGP01011485, LMGP01011337, LMGP01011899","PC(20:3(8Z,11Z,14Z)/14:1(9Z)), PC(22:4(7Z,10Z,13Z,16Z)/12:0), PC(18:3(9Z,12Z,15Z)/16:1(9Z)), PC(20:3(5Z,8Z,11Z)/14:1(9Z)), PC(14:1(9Z)/20:3(5Z,8Z,11Z)), PC(18:4(6Z,9Z,12Z,15Z)/16:0), PC(14:0/20:4(8Z,11Z,14Z,17Z)), PC(18:3(6Z,9Z,12Z)/16:1(9Z)), PC(20:4(8Z,11Z,14Z,17Z)/14:0), PC(14:0/20:4(5Z,8Z,11Z,14Z)), PC(16:0/18:4(6Z,9Z,12Z,15Z)), PC(16:0/18:4(9E,11E,13E,15E)), PC(16:0/18:4(9Z,11E,13E,15Z)), PC(16:0/18:4(9Z,11Z,13Z,15Z)), PC(16:2(2E,4E)/18:2(2E,4E)), PC(17:2(9Z,12Z)/17:2(9Z,12Z)), PC(18:4(9Z,11E,13E,15Z)/16:0), PC(14:1(9Z)/20:3(8Z,11Z,14Z)), PC(16:1(9Z)/18:3(6Z,9Z,12Z)), PC(16:1(9Z)/18:3(9Z,12Z,15Z)), PC(12:0/22:4(7Z,10Z,13Z,16Z)), PC(20:4(5Z,8Z,11Z,14Z)/14:0)"
292,PC(34:3),756.6,184.1,4930725.526855469,756.6 -> 184.1,PC,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,4893741.284057617,"LMGP01012192, LMGP01011868, LMGP01011646, LMGP01011620, LMGP01011530, LMGP01012127, LMGP01011560, LMGP01010598, LMGP01010601, LMGP01010690, LMGP01011374, LMGP01011399, LMGP01011677, LMGP01011838","PC(20:3(5Z,8Z,11Z)/14:0), PC(20:3(8Z,11Z,14Z)/14:0), PC(18:3(6Z,9Z,12Z)/16:0), PC(18:2(9Z,12Z)/16:1(9Z)), PC(17:1(9Z)/17:2(9Z,12Z)), PC(14:0/20:3(5Z,8Z,11Z)), PC(17:2(9Z,12Z)/17:1(9Z)), PC(16:0/18:3(6Z,9Z,12Z)), PC(16:0/18:3(9Z,12Z,15Z)), PC(16:1(9Z)/18:2(9Z,12Z)), PC(14:0/20:3(8Z,11Z,14Z)), PC(14:1(9Z)/20:2(11Z,14Z)), PC(18:3(9Z,12Z,15Z)/16:0), PC(20:2(11Z,14Z)/14:1(9Z))"
