lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,Transition,type,AK0161-1x_p1-b2,AK0170-1x_p1-b4,AK0139-1x_p1-b6,AK0200-1x_p1-b8,AK0202-2x_p1-c5,AK0204-1x_p1-c1,AK0174-1x_p1-b1,AK0145-1x_p1-b3,AK0175-2x_p1-c3,AK0164-1x_p1-b5,AK0141-1x_p1-b9,Blank-1x_p1 -a2
PG (22:6),0.1307574911126291,7.023736475457244,0.19221124982686888,0.6610825506958629,0.9995784849370064,6,5,H KO,H WT,574.2875 -> 385.2875,PG,156337.991210949,137594.731384313,182105.214172409,177634.51068122,136271.089965654,215974.534362896,169159.352661151,152006.632141075,120281.548034656,147319.990844689,177770.131958046,43641.623352038
PG (24:0),0.09019088753079078,7.517843031550354,0.09154281009932672,0.7622248787084694,0.9995784849370064,6,5,H KO,H WT,628.392 -> 439.392,PG,260900.77844227,212995.2182617,253979.49853521,252916.29284665,179476.47192377,231838.8571777,223192.69250498,211664.07373041,163098.2330322,226521.87622077,273211.39831557,63182.944213861
PG (24:1),-0.013320165242609046,8.91714351690467,0.0020014355415014506,0.9643166174481768,0.9995784849370064,6,5,H KO,H WT,654.4076 -> 465.4076,PG,752497.73474116,564099.90612795,777055.73779292,754656.22363281,543027.4987788,692145.77294927,664966.66894533,531808.06469735,463526.24157721,829353.32104538,1037354.15991197,67775.62487792
PG (26:0),0.02068587391306672,8.3439955202464,0.00482341879796877,0.9446307642806052,0.9995784849370064,6,5,H KO,H WT,656.4233 -> 467.4233,PG,526431.62182574,384206.18383793,519202.97473157,494506.06249999,363876.98718257,432202.25683588,413407.26928701,332733.6853028,308137.98010252,547811.22607363,696865.02990868,55122.60382078
PG (28:0),0.11946189996699841,10.743242884203692,0.16049188292527106,0.6887040554448898,0.9995784849370064,6,5,H KO,H WT,684.4546 -> 495.4546,PG,1946289.76904311,2277809.3225097,2015161.64917005,2093830.60839848,1436634.33642579,2189193.63330067,1838755.74658199,1667563.40576167,1232082.11694335,2246033.58203129,2349873.05224657,800418.76599127
PG (28:1),-0.05700489777747463,9.16512655991045,0.036687603780592326,0.848102479340294,0.9995784849370064,6,5,H KO,H WT,682.4389 -> 493.4389,PG,747991.07226578,622314.36157224,918084.89428757,828995.9262694,593748.95605454,742109.37402341,788562.45898433,634448.27612322,526017.43652358,864868.47607356,1144361.8671876,142358.53076172
PG (28:2),0.04037391096691792,7.936291084074382,0.01836607108816679,0.8921995836577743,0.9995784849370064,6,5,H KO,H WT,680.4233 -> 491.4233,PG,395679.176208477,305163.659790099,376574.544250569,382128.368347124,246498.254516701,354348.680541885,333341.72573854,295557.579772979,213981.894225937,370307.802917492,492291.25848376,44541.503417978
PG (30:0),0.013939591448886398,7.86540340145939,0.0021906185445459414,0.9626694058384387,0.9995784849370064,6,5,H KO,H WT,712.4859 -> 523.4859,PG,327722.08581552,252154.30151371,352397.21948242,339206.6033935,224880.25610349,324174.18371586,306692.36230481,294928.54138182,209436.17724615,301258.58215329,406821.04772951,65191.02490234
PG (30:1),0.05097864692844113,7.99025463925582,0.029274328892824997,0.8641471604531379,0.9995784849370064,6,5,H KO,H WT,710.4702 -> 521.4702,PG,355926.844665623,296677.220153881,452103.992370594,437067.347351106,264767.01684571,419116.970642164,389405.153137097,357674.72595235,224489.03503407,364999.37994389,478211.02221686,32538.482330328
PG (30:2),-0.041462731371405326,7.49834899532056,0.01940312810359046,0.8892169526365996,0.9995784849370064,6,5,H KO,H WT,708.4546 -> 519.4546,PG,256289.995422367,199552.635864304,281365.680053677,264213.359252729,180929.993347051,244829.715820395,249859.600708171,252967.455749412,151565.050049018,249143.55804445,348072.364502123,42473.483032242
