Sample Name,Cage,Genotype,Sex,Class,Lipid,Transition,Intensity,Blank Subtraction
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(36:6)_C16:1,630.5 -> 359.2,101240.40696716309,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(36:6)_C18:0,630.5 -> 329.2,2554.5801887512207,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(36:6)_C18:1,630.5 -> 331.2,2858.5801887512207,19.560012817382812
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(36:6)_C18:2,630.5 -> 333.2,1052.2200736999512,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:7),DG(35:0)_C16:0",628.6 -> 355.3,888714.8773193359,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:7),DG(35:0)_C16:1",628.6 -> 357.3,616578.6731262207,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:7),DG(35:0)_C18:0",628.6 -> 327.3,2668.0201568603516,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:7),DG(35:0)_C18:1",628.6 -> 329.3,2858.1402015686035,19.039997100830078
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:7),DG(35:0)_C18:2",628.6 -> 331.3,1051.8800773620605,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:8),DG(35:1)_C16:0",626.6 -> 353.3,47821.36340332031,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:8),DG(35:1)_C16:1",626.6 -> 355.3,3064744.649658203,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:8),DG(35:1)_C18:0",626.6 -> 325.3,2912.8802070617676,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:8),DG(35:1)_C18:1",626.6 -> 327.3,2858.780204772949,19.900012969970703
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(36:8),DG(35:1)_C18:2",626.6 -> 329.3,1052.0800704956055,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:3)_C16:0,650.6 -> 377.3,33963.08253479004,5089.26057434082
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:3)_C16:1,650.6 -> 379.3,34172.402488708496,5059.660255432129
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:3)_C18:0,650.6 -> 349.3,27869.50178527832,1615.4997253417969
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:3)_C18:1,650.6 -> 351.3,32870.1824798584,3613.0603256225586
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:3)_C18:2,650.6 -> 353.3,18729.541229248047,1851.7600402832031
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:4)_C16:0,648.6 -> 375.3,33882.34240722656,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:4)_C16:1,648.6 -> 377.3,36677.08264160156,6477.760513305664
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:4)_C18:0,648.6 -> 347.3,22686.461555480957,3520.7802200317383
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:4)_C18:1,648.6 -> 349.3,34259.88221740723,2895.2403106689453
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:4)_C18:2,648.6 -> 351.3,11685.50082397461,1039.2601013183594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:5)_C16:0,646.5 -> 373.2,62340.384216308594,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:5)_C16:1,646.5 -> 375.2,36906.52279663086,3790.700454711914
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:5)_C18:0,646.5 -> 345.2,18740.701301574707,240.04005432128906
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:5)_C18:1,646.5 -> 347.2,26326.781929016113,3849.6202850341797
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:5)_C18:2,646.5 -> 349.2,13144.941062927246,1998.9802627563477
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:6)_C16:0,644.5 -> 371.2,223665.8546142578,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:6)_C16:1,644.5 -> 373.2,70378.56532287598,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:6)_C18:0,644.5 -> 343.2,42262.9231262207,2479.8404541015625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:6)_C18:1,644.5 -> 345.2,20927.321563720703,384.48006439208984
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(37:6)_C18:2,644.5 -> 347.2,10073.38060760498,1688.5200271606445
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(37:7),DG(36:0)_C16:1",642.6 -> 371.3,268037.4602050781,1722.0579223632812
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(37:7),DG(36:0)_C18:0",642.6 -> 341.3,275868.15966796875,18746.581298828125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(37:7),DG(36:0)_C18:1",642.6 -> 343.3,42448.38296508789,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(37:7),DG(36:0)_C18:2",642.6 -> 345.3,7161.820514678955,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:3)_C16:0,664.6 -> 391.3,30300.102172851562,1510.1202239990234
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:3)_C16:1,664.6 -> 393.3,33830.60235595703,3278.440231323242
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:3)_C18:0,664.6 -> 363.3,26540.501724243164,1415.2198486328125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:3)_C18:1,664.6 -> 365.3,30178.182235717773,4210.700485229492
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:3)_C18:2,664.6 -> 367.3,23555.86166381836,5947.180419921875
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:4)_C16:0,662.6 -> 389.3,30016.182220458984,3751.9202270507812
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:4)_C16:1,662.6 -> 391.3,33586.40264892578,1571.1003723144531
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:4)_C18:0,662.6 -> 361.3,26829.22191619873,4329.280227661133
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:4)_C18:1,662.6 -> 363.3,33056.642292022705,4991.000263214111
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:4)_C18:2,662.6 -> 365.3,12885.020965576172,3985.460403442383
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:5)_C16:0,660.6 -> 387.3,32530.34196472168,2356.7798461914062
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:5)_C16:1,660.6 -> 389.3,35479.062561035156,5078.200485229492
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:5)_C18:0,660.6 -> 359.3,31541.9425201416,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:5)_C18:1,660.6 -> 361.3,29617.44203186035,6764.600479125977
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(38:5)_C18:2,660.6 -> 363.3,16279.200996398926,4364.70027923584
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:6),DG(dO-40:6)_C16:0",658.6 -> 385.3,61580.544494628906,4105.420227050781
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:6),DG(dO-40:6)_C16:1",658.6 -> 387.3,34444.622497558594,4811.500335693359
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:6),DG(dO-40:6)_C18:0",658.6 -> 357.3,49957.70341491699,2444.039764404297
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:6),DG(dO-40:6)_C18:1",658.6 -> 359.3,35790.2223815918,2653.3002319335938
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:6),DG(dO-40:6)_C18:2",658.6 -> 361.3,12917.200866699219,4776.980361938477
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:7),DG(37:0)_C16:0",656.6 -> 383.3,305225.9636230469,6603.543212890625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:7),DG(37:0)_C16:1",656.6 -> 385.3,68056.60479736328,7568.220764160156
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:7),DG(37:0)_C18:0",656.6 -> 355.3,166194.07025146484,9808.019348144531
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:7),DG(37:0)_C18:1",656.6 -> 357.3,56973.443939208984,1976.2000427246094
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:7),DG(37:0)_C18:2",656.6 -> 359.3,13094.580856323242,734.1200103759766
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:8),DG(dO-40:8),DG(37:1)_C16:0",654.6 -> 381.3,50530.06362915039,402.300048828125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",654.6 -> 383.3,346590.1037597656,25348.141845703125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:8),DG(dO-40:8),DG(37:1)_C18:0",654.6 -> 353.3,47177.3034362793,2710.9602966308594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:8),DG(dO-40:8),DG(37:1)_C18:1",654.6 -> 355.3,192048.89544677734,2459.1428833007812
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:8),DG(dO-40:8),DG(37:1)_C18:2",654.6 -> 357.3,31043.202606201172,6478.960845947266
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:9),DG(dO-40:9),DG(37:2)_C16:0",652.6 -> 379.3,31121.522247314453,3385.980224609375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:9),DG(dO-40:9),DG(37:2)_C16:1",652.6 -> 381.3,60114.90377807617,2833.039825439453
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:9),DG(dO-40:9),DG(37:2)_C18:0",652.6 -> 351.3,25756.66180419922,1639.180046081543
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:9),DG(dO-40:9),DG(37:2)_C18:1",652.6 -> 353.3,52903.50372314453,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(38:9),DG(dO-40:9),DG(37:2)_C18:2",652.6 -> 355.3,116013.14794921875,19801.101013183594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:4)_C16:0,676.6 -> 403.3,33073.96223449707,2041.7599792480469
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:4)_C16:1,676.6 -> 405.3,39174.76284790039,1082.160415649414
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:4)_C18:0,676.6 -> 375.3,28858.80210876465,1174.1001586914062
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:4)_C18:1,676.6 -> 377.3,28627.622161865234,3166.620315551758
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:4)_C18:2,676.6 -> 379.3,11631.860855102539,295.3000793457031
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:5)_C16:0,674.6 -> 401.3,44382.58337402344,3456.0005798339844
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:5)_C16:1,674.6 -> 403.3,35443.862731933594,677.2402954101562
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:5)_C18:0,674.6 -> 373.3,24614.70164489746,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:5)_C18:1,674.6 -> 375.3,33182.86228942871,1869.6600799560547
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:5)_C18:2,674.6 -> 377.3,12879.260955810547,1542.6600646972656
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:6)_C16:0,672.6 -> 399.3,60765.78439331055,7798.740753173828
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:6)_C16:1,672.6 -> 401.3,45826.50305175781,1590.7399597167969
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:6)_C18:0,672.6 -> 371.3,69125.7250366211,3103.1204833984375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:6)_C18:1,672.6 -> 373.3,31147.02210998535,2366.8000259399414
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(39:6)_C18:2,672.6 -> 375.3,11962.000961303711,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:7),DG(38:0),DG(dO-40:0)_C16:1",670.7 -> 399.4,59527.224365234375,10350.98110961914
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:7),DG(38:0),DG(dO-40:0)_C18:1",670.7 -> 371.4,63912.784606933594,2934.8001403808594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:7),DG(38:0),DG(dO-40:0)_C18:2",670.7 -> 373.4,9709.540649414062,225.94003295898438
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:8),DG(O-40:8),DG(38:1)_C16:0",668.6 -> 395.3,46662.3430480957,833.2400207519531
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:8),DG(O-40:8),DG(38:1)_C16:1",668.6 -> 397.3,68491.00479125977,5595.6204833984375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:8),DG(O-40:8),DG(38:1)_C18:0",668.6 -> 367.3,56950.92395019531,3371.1402282714844
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(39:8),DG(O-40:8),DG(38:1)_C18:2",668.6 -> 371.3,29110.522003173828,4063.5801696777344
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:10),DG(39:3)_C16:0",678.6 -> 405.3,36022.98278808594,2961.2603759765625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:10),DG(39:3)_C16:1",678.6 -> 407.3,58587.32402038574,6898.380233764648
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:10),DG(39:3)_C18:0",678.6 -> 377.3,22061.661514282227,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:10),DG(39:3)_C18:1",678.6 -> 379.3,30422.182151794434,745.8799514770508
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:10),DG(39:3)_C18:2",678.6 -> 381.3,17531.8611907959,1293.100112915039
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:2)_C16:0,694.6 -> 421.3,34886.04267883301,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:2)_C16:1,694.6 -> 423.3,69189.24530029297,7313.9608154296875
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:2)_C18:0,694.6 -> 393.3,25484.98176574707,1558.3001556396484
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:2)_C18:1,694.6 -> 395.3,47858.0234375,3820.0203247070312
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:2)_C18:2,694.6 -> 397.3,25702.92169189453,1814.6399841308594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:3)_C16:0,692.6 -> 419.3,47705.843200683594,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:3)_C16:1,692.6 -> 421.3,37938.84257507324,2381.320022583008
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:3)_C18:0,692.6 -> 391.3,23521.681640625,2837.820266723633
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:3)_C18:1,692.6 -> 393.3,28477.702056884766,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:3)_C18:2,692.6 -> 395.3,16408.801162719727,1553.8999481201172
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:4)_C16:0,690.6 -> 417.3,41354.043029785156,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:4)_C16:1,690.6 -> 419.3,58460.56414794922,3143.5203857421875
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:4)_C18:0,690.6 -> 389.3,22549.561462402344,1161.0598602294922
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:4)_C18:1,690.6 -> 391.3,27326.36183166504,4924.300132751465
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:4)_C18:2,690.6 -> 393.3,12783.880874633789,1557.7200927734375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:5)_C16:0,688.6 -> 415.3,132252.50927734375,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:5)_C16:1,688.6 -> 417.3,46234.40355682373,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:5)_C18:0,688.6 -> 387.3,26176.201866149902,3663.7803115844727
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:5)_C18:1,688.6 -> 389.3,24909.561546325684,1272.2397918701172
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(40:5)_C18:2,688.6 -> 391.3,10213.620712280273,191.8000259399414
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:6),DG(dO-40:0)_C16:0",686.7 -> 413.4,84776.80645751953,735.080078125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:6),DG(dO-40:0)_C16:1",686.7 -> 415.4,105631.18725585938,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:6),DG(dO-40:0)_C18:0",686.7 -> 385.4,54372.52410888672,2729.800323486328
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:6),DG(dO-40:0)_C18:1",686.7 -> 387.4,26765.021812438965,3192.8603134155273
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:6),DG(dO-40:0)_C18:2",686.7 -> 389.4,9515.800621032715,1282.7799758911133
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:7),DG(39:0)_C16:1",684.7 -> 413.3,95628.44677734375,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:7),DG(39:0)_C18:1",684.7 -> 385.3,64735.22512817383,6262.721130371094
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:7),DG(39:0)_C18:2",684.7 -> 387.3,9969.76057434082,759.0199279785156
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:8),DG(39:1)_C18:2",682.6 -> 385.3,24837.661682128906,4554.400207519531
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:9),DG(39:2)_C16:0",680.6 -> 407.3,48133.34323120117,451.27978515625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:9),DG(39:2)_C16:1",680.6 -> 409.3,104329.34747314453,902.4796142578125
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:9),DG(39:2)_C18:0",680.6 -> 379.3,24295.12159729004,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:9),DG(39:2)_C18:1",680.6 -> 381.3,52154.303619384766,1168.0199279785156
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(40:9),DG(39:2)_C18:2",680.6 -> 383.3,68472.24475097656,5808.5003662109375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:5)_C16:0,702.6 -> 429.3,5068362.117553711,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:5)_C16:1,702.6 -> 431.3,1837536.6547851562,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:5)_C18:0,702.6 -> 401.3,148228.03271484375,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:5)_C18:1,702.6 -> 403.3,58297.444160461426,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:5)_C18:2,702.6 -> 405.3,15306.201126098633,2861.320266723633
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:6)_C16:0,700.6 -> 427.3,54249.90347290039,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:6)_C16:1,700.6 -> 429.3,6650683.396972656,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:6)_C18:0,700.6 -> 399.3,41520.34289550781,668.5401306152344
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:6)_C18:1,700.6 -> 401.3,159420.4104309082,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(41:6)_C18:2,700.6 -> 403.3,43950.96353149414,12559.181045532227
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(41:7),DG(40:0)_C16:1",698.7 -> 427.4,60602.404541015625,2186.220458984375
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(41:7),DG(40:0)_C18:1",698.7 -> 399.4,45482.50329589844,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(41:7),DG(40:0)_C18:2",698.7 -> 401.4,107679.14721679688,30535.521118164062
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:10),DG(41:3)_C16:0",706.6 -> 433.3,144772.71182250977,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:10),DG(41:3)_C16:1",706.6 -> 435.3,49858.463470458984,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:10),DG(41:3)_C18:0",706.6 -> 405.3,29265.422256469727,2041.180435180664
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:10),DG(41:3)_C18:1",706.6 -> 407.3,43826.34266662598,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:10),DG(41:3)_C18:2",706.6 -> 409.3,32963.28234863281,4807.7606201171875
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:11),DG(41:4)_C16:0",704.6 -> 431.3,1431944.2132873535,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:11),DG(41:4)_C16:1",704.6 -> 433.3,227932.8787536621,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:11),DG(41:4)_C18:0",704.6 -> 403.3,48062.343170166016,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:11),DG(41:4)_C18:1",704.6 -> 405.3,32713.04214477539,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:11),DG(41:4)_C18:2",704.6 -> 407.3,16813.1612701416,3274.9003143310547
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:3)_C16:0,720.7 -> 447.3,52150.84341430664,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:3)_C16:1,720.7 -> 449.3,37462.52250671387,3709.10009765625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:3)_C18:0,720.7 -> 419.3,51248.94357299805,1512.76025390625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:3)_C18:1,720.7 -> 421.3,33991.10235595703,2182.8199157714844
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:3)_C18:2,720.7 -> 423.3,18235.801208496094,467.5999450683594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:4)_C16:0,718.6 -> 445.3,91230.22610473633,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:4)_C16:1,718.6 -> 447.3,59696.544372558594,3530.7202758789062
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:4)_C18:0,718.6 -> 417.3,26141.381874084473,1151.040023803711
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:4)_C18:1,718.6 -> 419.3,58282.96423339844,1195.3403015136719
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:4)_C18:2,718.6 -> 421.3,13480.680938720703,1769.8000793457031
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:5)_C16:0,716.6 -> 443.3,38874.222900390625,1490.9202575683594
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:5)_C16:1,716.6 -> 445.3,115362.6880645752,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:5)_C18:0,716.6 -> 415.3,71357.58493041992,1281.0199279785156
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:5)_C18:1,716.6 -> 417.3,31602.522373199463,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:5)_C18:2,716.6 -> 419.3,21014.081512451172,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:6)_C16:0,714.6 -> 441.3,103681.3872680664,2955.9197387695312
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:6)_C16:1,714.6 -> 443.3,44673.16329956055,3420.800308227539
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:6)_C18:0,714.6 -> 413.3,94458.76666259766,0.0
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:6)_C18:1,714.6 -> 415.3,80923.56640625,1381.6011352539062
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,DG(42:6)_C18:2,714.6 -> 417.3,14737.640869140625,763.8798370361328
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:7),DG(41:0)_C16:1",712.7 -> 441.4,106308.52752685547,5138.9205322265625
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male,DAG,"DG(42:7),DG(41:0)_C18:1",712.7 -> 413.4,99695.6665649414,0.0
