Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Sample Name Incomplete,Position,Genotype,Group,Sex,Age (weeks),Dilution Factor ,method_type,Blank Subtraction
FA(15:1),239.2,239.2,356990.0810546875,239.2 -> 239.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(15:0) | FA(16:7),241.1,241.1,195959.6728515625,241.1 -> 241.1,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(15:0) | FA(16:7),241.2,241.2,204789.1513671875,241.2 -> 241.2,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:6),243.1,243.1,105269.04895019531,243.1 -> 243.1,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:5),245.2,245.1,56505.084075927734,245.2 -> 245.1,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:4),247.2,247.2,55413.00439453125,247.2 -> 247.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:3),249.2,249.2,2087672.783203125,249.2 -> 249.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:2),251.2,251.2,60013.34411621094,251.2 -> 251.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:1),253.2,253.2,92734.7261352539,253.2 -> 253.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(16:0),255.2,255.2,656644.7001953125,255.2 -> 255.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:6),257.2,257.2,102428.16735839844,257.2 -> 257.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:4),261.2,261.2,58374.50436401367,261.2 -> 261.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:3),263.2,263.2,87797.98565673828,263.2 -> 263.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:2),265.2,265.2,649176.7104492188,265.2 -> 265.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:1),267.2,267.2,92384.18621826172,267.2 -> 267.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:0) | FA(18:7),269.2,269.1,139069.00830078125,269.2 -> 269.1,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(17:0) | FA(18:7),269.2,269.2,149549.970703125,269.2 -> 269.2,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:6),271.2,271.2,129037.76983642578,271.2 -> 271.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:5),273.2,273.2,66884.30514526367,273.2 -> 273.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:4),275.2,275.2,53134.68374633789,275.2 -> 275.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:3),277.2,277.2,70821.52520751953,277.2 -> 277.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:2),279.2,279.2,205544.7752685547,279.2 -> 279.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:1),281.2,281.2,268179.5217285156,281.2 -> 281.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(18:0),283.3,283.3,659511.890625,283.3 -> 283.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:6),285.2,285.2,188139.77209472656,285.2 -> 285.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:5),287.2,287.2,94303.02716064453,287.2 -> 287.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:4),289.2,289.2,293226.3605957031,289.2 -> 289.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:2),293.2,293.2,469164.25,293.2 -> 293.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:1),295.3,295.3,121602.1484375,295.3 -> 295.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(19:0),297.3,297.3,1992892.88671875,297.3 -> 297.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:6),299.2,299.2,334103.0441894531,299.2 -> 299.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:5),301.2,301.2,121208.64904785156,301.2 -> 301.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:4),303.2,303.2,69211.10540771484,303.2 -> 303.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:3),305.2,305.2,115523.02819824219,305.2 -> 305.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:2),307.3,307.3,138493.5682373047,307.3 -> 307.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:1),309.3,309.3,169722.55224609375,309.3 -> 309.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(20:0),311.3,311.3,6281187.265625,311.3 -> 311.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(21:5),315.2,315.2,172318.6131591797,315.2 -> 315.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(21:3),319.3,319.3,74508.86572265625,319.3 -> 319.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(21:2),321.3,321.3,165656.87084960938,321.3 -> 321.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(21:1),323.3,323.3,128863.06848144531,323.3 -> 323.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:7),325.2,325.2,4970360.34765625,325.2 -> 325.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(21:0),325.3,325.3,5047541.40234375,325.3 -> 325.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:6),327.2,327.2,464722.1701660156,327.2 -> 327.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:5),329.2,329.2,136121.78930664062,329.2 -> 329.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:4),331.3,331.3,98633.42724609375,331.3 -> 331.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:3),333.3,333.3,88220.76550292969,333.3 -> 333.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:2),335.3,335.3,77952.00506591797,335.3 -> 335.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:1),337.3,337.3,127298.96960449219,337.3 -> 337.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(22:0),339.3,339.3,1521133.470703125,339.3 -> 339.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(23:6),341.2,341.2,201541.9736328125,341.2 -> 341.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:12),343.2,343.2,103298.60632324219,343.2 -> 343.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:10),347.2,347.2,121248.46865844727,347.2 -> 347.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(23:1),351.3,351.3,81219.5859375,351.3 -> 351.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:7),353.2,353.2,136811.8895263672,353.2 -> 353.2,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(23:0),353.3,353.3,132571.06982421875,353.3 -> 353.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:6),355.3,355.3,102543.80627441406,355.3 -> 355.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:5),357.3,357.3,106806.52819824219,357.3 -> 357.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:4),359.3,359.3,71455.36505126953,359.3 -> 359.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:3),361.3,361.3,71773.46533203125,361.3 -> 361.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:2),363.3,363.3,54185.103759765625,363.3 -> 363.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:1),365.3,365.3,66724.96466064453,365.3 -> 365.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(24:0),367.4,367.4,150362.8927001953,367.4 -> 367.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(25:4),373.3,373.3,98255.42657470703,373.3 -> 373.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(25:1),379.4,379.4,107272.10754394531,379.4 -> 379.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(25:0),381.4,381.4,101170.36669921875,381.4 -> 381.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:6),383.3,383.3,103666.80700683594,383.3 -> 383.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:5),385.3,385.3,67896.18481445312,385.3 -> 385.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:4),387.3,387.3,77072.84539794922,387.3 -> 387.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:3),389.3,389.3,68566.18487548828,389.3 -> 389.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:2),391.4,391.4,72105.78479003906,391.4 -> 391.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:1),393.4,393.4,121017.12829589844,393.4 -> 393.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(26:0),395.4,395.4,100115.36682128906,395.4 -> 395.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:4),401.3,401.3,69388.94470214844,401.3 -> 401.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:3),403.4,403.4,104769.26806640625,403.4 -> 403.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:2),405.4,405.4,69924.8843383789,405.4 -> 405.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:1),407.4,407.4,63923.624938964844,407.4 -> 407.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:0) | FA(28:7),409.3,409.3,165694.5711669922,409.3 -> 409.3,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(27:0) | FA(28:7),409.4,409.4,146670.33068847656,409.4 -> 409.4,FA | FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:6),411.3,411.3,118014.06958007812,411.3 -> 411.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:5),413.3,413.3,57203.26477050781,413.3 -> 413.3,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:4),415.4,415.4,58194.043884277344,415.4 -> 415.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:3),417.4,417.4,71863.14501953125,417.4 -> 417.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:2),419.4,419.4,54369.98388671875,419.4 -> 419.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:1),421.4,421.4,227471.47662353516,421.4 -> 421.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(28:0),423.4,423.4,66779.32537841797,423.4 -> 423.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(29:3),431.4,431.4,79099.48498535156,431.4 -> 431.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(29:2),433.4,433.4,134127.31115722656,433.4 -> 433.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(29:1),435.4,435.4,48553.08334350586,435.4 -> 435.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(29:0),437.4,437.4,248397.51513671875,437.4 -> 437.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:6),439.4,439.4,70876.00537109375,439.4 -> 439.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:5),441.4,441.4,49877.60363769531,441.4 -> 441.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:4),443.4,443.4,48867.683532714844,443.4 -> 443.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:3),445.4,445.4,48121.28353881836,445.4 -> 445.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:2),447.4,447.4,44601.74298095703,447.4 -> 447.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(30:1),449.4,449.4,41370.62322998047,449.4 -> 449.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(31:0),465.5,465.5,67509.6245727539,465.5 -> 465.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(32:6),467.4,467.4,48103.00354003906,467.4 -> 467.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(32:5),469.4,469.4,37653.302734375,469.4 -> 469.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(32:4),471.4,471.4,39232.04266357422,471.4 -> 471.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(32:1),477.5,477.5,27305.381896972656,477.5 -> 477.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(32:0),479.5,479.5,28762.36196899414,479.5 -> 479.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(33:0),493.5,493.5,28422.381866455078,493.5 -> 493.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(34:6),495.4,495.4,63386.423828125,495.4 -> 495.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(34:5),497.4,497.4,51102.08349609375,497.4 -> 497.4,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(34:1),505.5,505.5,133055.03051757812,505.5 -> 505.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(34:0),507.5,507.5,41063.34307861328,507.5 -> 507.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(35:0),521.5,521.5,26615.222045898438,521.5 -> 521.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(36:5),525.5,525.5,38809.782485961914,525.5 -> 525.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(36:4),527.5,527.5,45413.16313171387,527.5 -> 527.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(36:0),535.5,535.5,28434.642288208008,535.5 -> 535.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(37:0),549.6,549.6,39566.14270019531,549.6 -> 549.6,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(38:6),551.5,551.5,37477.3828125,551.5 -> 551.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(38:5),553.5,553.5,33544.842056274414,553.5 -> 553.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(38:4),555.5,555.5,64606.623596191406,555.5 -> 555.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(38:0),563.6,563.6,25287.04197692871,563.6 -> 563.6,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(40:6),579.5,579.5,33752.62274169922,579.5 -> 579.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(42:6),607.5,607.5,29935.981994628906,607.5 -> 607.5,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
FA(46:0),675.7,675.7,22750.6016998291,675.7 -> 675.7,FA,FA_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,FA,0.0
LPC(2:0),300.1,184.1,1209.5800857543945,300.1 -> 184.1,PC,PC_Blank_Blank_Blank_N1_loading_size_2_13_25,Blank_Blank_Blank,Blank,P1-A2,Blank,Blank,Blank,Blank,Blank,PC,0.0
