Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
PG (36:4),74410.66467285156,80452.54571533203,71613.40441894531,72263.70471191406,75949.34533691406,63515.70458984375
PG (36:5),50790.56378173828,57807.28387451172,54978.50360107422,57818.92416381836,55612.74429321289,47720.00338745117
PG (36:6),50681.82357788086,64160.32427978516,58855.88381958008,59990.96374511719,62131.48513793945,55005.243591308594
PG (36:7),79149.00595092773,69147.34451293945,72932.4455871582,65739.70477294922,64797.94409179688,62745.78472900391
PG (36:8),386411.1553955078,297908.6530761719,344737.4437866211,223835.11614990237,274376.58459472656,289634.3452758789
PG (38:0) | PGp (40:6),190174.7135620117,169809.42895507812,170645.83209228516,131072.5506591797,152545.7124633789,140190.2694091797
PG (38:1),121216.64819335938,109294.20849609376,98048.48657226562,112599.22888183594,97412.1664428711,87387.90551757812
PG (38:2),145187.01055908203,147819.08984375,139263.43008422852,118883.56939697266,121756.00909423828,111403.74670410156
PG (38:3),80991.42547607422,79192.40533447266,72152.52508544922,75268.98541259766,67677.46438598633,62154.04376220703
PG (38:4),136480.009765625,119284.06762695312,99562.02746582033,135806.29052734375,114575.96704101562,97630.26635742188
PG (38:5),73184.16552734375,75128.88568115234,69885.64471435547,76219.70568847656,75994.1849975586,65453.06433105469
PG (38:6),72126.76470947266,79418.06610107422,78120.3251953125,69759.46514892578,68940.80462646484,68710.30505371094
PG (38:7),235200.4008178711,222099.0767211914,259120.6607666016,155839.73376464844,198883.391784668,259913.3614501953
PG (38:8),68125.20458984375,72014.1049194336,70646.2240600586,62698.34436035156,70167.62469482422,60676.50439453125
PG (38:9),91124.20709228516,100291.76586914062,98773.00704956056,73669.08544921875,83281.4849243164,74986.7458190918
PG (40:0) | PGp (42:6),386680.98541259766,375699.0263671875,301134.34674072266,367705.1667480469,363289.90490722656,285873.9250488281
PG (40:0) | PGp (42:6)_2,328446.0856323242,351540.8924560547,273542.41900634766,321781.9172363281,335593.4060058594,274915.53759765625
PG (40:1),60631.38446044922,59966.364318847656,56693.104064941406,61239.90441894531,52950.96368408203,50420.94323730469
PG (40:10),347433.8899536133,317825.1064453125,599872.6474609375,201237.7530517578,204071.6534423828,439284.9958190918
PG (40:2),152889.55078125,185994.95513916016,283149.9178466797,171760.37167358398,117918.7280883789,211727.81610107425
PG (40:3),67243.22509765625,69096.68505859375,63756.14483642578,75383.20568847656,69343.46533203125,59052.32391357422
PG (40:4),131304.76879882812,111929.42785644533,89779.00659179688,133631.40893554688,94997.84704589844,76667.76489257812
PG (40:5),214803.2353515625,155818.65063476562,134482.56872558594,214097.6350097656,126560.68884277344,103978.947265625
PG (40:6),1454527.33203125,905678.443359375,705732.9873046875,1405535.490234375,696623.1083984375,544257.1337890625
PG (40:7),95819.58770751952,97777.5267944336,87491.78662109375,95254.18688964844,77643.50555419922,72965.76525878906
PG (40:8),70589.02517700195,76690.04595947266,71536.7844543457,59156.38470458984,61811.96447753906,62678.6845703125
PG (40:9),73295.86639404297,78606.86535644531,84672.28698730469,65973.1450805664,67066.10455322266,78753.70602416992
PG (42:0),191951.00843811035,118242.12942504884,170693.11334228516,118253.6882019043,120182.62768554688,135559.42831420898
PG (42:1),50540.44409179688,54373.26290893555,56178.68392944336,58061.1037902832,52828.36413574219,49148.923583984375
PG (42:10),60959.76477050781,63663.584869384766,55439.14297485352,63935.06457519531,58961.56298828125,52270.263092041016
PG (42:11),211025.7693786621,205345.1366882324,192983.8348693848,235955.81616210935,200403.9163513184,159837.75024414062
PG (42:2),61565.16424560547,62189.46389770508,65301.14498901367,58967.60409545898,54938.48384094238,57410.80459594727
PG (42:3),244389.21502685547,191108.21502685547,255126.0132446289,162331.3505859375,144758.3515625,191396.8116455078
PG (42:4),46201.92303466797,49291.34387207031,60225.58432006836,51113.903747558594,45203.723571777344,45465.32308959961
PG (42:5),44851.36322021485,52950.54333496094,49600.5637512207,49417.40330505371,45638.243591308594,46499.903259277344
PG (42:6),111978.44787597656,96676.70874023438,86121.02471923828,94492.66552734376,88787.92504882812,81687.28671264648
PG (42:7),55914.76446533203,52699.023986816406,54640.36395263672,58557.88439941406,51442.48376464844,42734.96304321289
PG (42:8),63201.343505859375,67711.52502441406,68634.38497924805,63247.16400146485,60140.78436279297,56300.5837097168
PG (42:9),98093.30688476562,111742.00793457033,117689.04864501952,123260.53076171876,103009.42822265624,119546.66857910156
PG (44:0),32861.7825012207,32521.52227783203,33691.542541503906,38829.982971191406,33943.80258178711,32452.00234985352
PG (44:1),29842.182052612305,34037.30229187012,32411.2022895813,28298.22187423706,30704.882499694824,29574.14207839966
PG (44:10),75505.92578125,67778.64581298828,57772.48425292969,81822.10559082031,50152.6032409668,41192.22299194336
PG (44:12),80839.92565917969,61501.40411376953,50526.483642578125,78623.28552246094,50569.383239746094,41016.72277832031
PG (44:2),37004.942321777344,39444.44257354736,38754.9227104187,36921.64277648926,36031.78265762329,33140.06253051758
PG (44:3),32100.20236968994,35796.282653808594,35820.062576293945,41574.58278274536,34625.42245864868,31065.04201889038
PG (44:4),36113.30276489258,35939.44256591797,36859.12268066406,40093.90286254883,29987.742431640625,33408.12237548828
PG (44:5),34946.762603759766,35725.982360839844,36506.70275878906,36381.46237182617,39092.342681884766,29845.522079467773
PG (44:6),35425.34240722656,38206.00277709961,35387.64245605469,34923.96270751953,33625.28219604492,33344.702392578125
PG (44:7),39800.88275146485,41860.48272705078,37747.86277770996,41124.18258666992,36038.02291870117,34501.001953125
PG (44:8),38250.26290893555,40996.06311035156,42299.7428894043,34977.80270385742,36759.902770996094,33119.06219482422
PGo (20:0),107032.38772583008,112998.56848144533,2096.8401527404785,95398.96752929688,98504.9656677246,1489.3201026916504
PGo (28:0),45792.54333496094,47109.96301269531,43562.302978515625,50994.82373046875,53290.063873291016,49670.42372131348
PGo (30:0),124834.84765625,118421.48690795898,129981.07046508788,109769.78759765624,108567.76596069336,152954.09130859375
PGo (30:1),54072.783752441406,63302.0439453125,66229.48439025879,64459.223693847656,62870.24493408203,63511.685302734375
PGo (32:0),49651.88299560547,53017.70394897461,47567.54370117188,67729.80429077148,50323.383361816406,45326.60357666016
PGo (32:1),38855.72317504883,40278.74264526367,40180.48254394531,39869.22314453125,40631.08290100098,33176.842376708984
PGo (34:0),111612.10733032228,129640.26983642578,129005.35140991212,138989.95147705078,115591.38851928712,119488.92822265624
PGo (34:2),58538.74411010742,60914.184509277344,58075.86437988281,55343.904296875,57640.28350830078,52783.10345458984
PGo (34:3),51776.42431640625,55654.40444946289,46732.243255615234,52016.68395996094,52269.96395874024,46606.62316894531
PGo (34:4),49149.02374267578,51076.18356323242,50440.663665771484,61089.6051940918,56164.18475341797,45807.22271728516
PGo (36:0),62443.60369873047,64263.56329345703,59897.08505249024,60164.603515625,57591.584533691406,57791.524475097656
PGo (36:1),285783.7366333008,224637.09796142575,266618.97576904297,169578.95349121094,202948.81188964844,231910.1142578125
PGo (36:2),53417.90362548828,62212.984130859375,58624.18405151367,58500.7643737793,56934.0241394043,56112.42413330078
PGo (36:4),52028.80285644531,60861.964111328125,55364.96389770508,53680.68365478516,56604.18420410156,50951.40347290039
PGo (36:5),49421.10395812988,54335.72375488281,51333.34359741211,55768.424377441406,49317.32328796387,47043.983459472656
PGo (38:0),143249.34857177734,152169.31298828125,173180.0138244629,105565.1273803711,129070.2880859375,173112.79431152344
PGo (38:1),66932.4848022461,65572.30456542969,65872.94485473633,62578.844299316406,68104.00457763672,66828.48504638672
PGo (38:2),77546.48443603516,84578.00561523438,82885.78546142578,70350.34478759766,77380.48626708984,68803.04498291016
PGo (38:3),102217.14749145508,94767.34692382812,87379.40594482422,75523.7847290039,92538.46600341795,75018.18518066406
PGo (38:4),66897.48486328125,80640.86560058594,71416.92556762695,79046.9252319336,74132.0258178711,64290.404052734375
PGo (38:6),54999.484130859375,63028.8639831543,60036.14419555664,62680.8232421875,57534.14437866211,51230.86367797852
PGo (40:0),100427.04815673828,93013.34545898438,84274.74530029297,92514.18688964844,73877.50555419922,69183.04486083984
PGo (40:1),76822.50582885742,73884.94479370117,70736.5443725586,62411.66400146485,61538.24426269531,61729.24426269531
PGo (40:2),61305.5849609375,67165.044921875,65676.56460571289,59726.52416992188,64440.46398925781,62516.384521484375
PGo (40:4),53854.50396728516,53457.72344970703,49574.54382324219,73055.56539916992,53400.58377075195,48948.70372009277
PGo (40:5),49527.46350097656,55823.5442199707,56264.34368896485,59319.62487792969,56721.72399902344,45390.78326416016
PGo (40:6),106125.02682495116,115162.54913330078,119155.5092163086,113870.32824707033,114791.06964111328,131056.48919677734
PGo (40:9),247498.19506835935,232130.27764892575,444719.8696899414,155436.79248046875,155040.09002685547,329672.18048095703
PGo (42:0),50446.10366821289,51210.94323730469,48612.52342224121,51576.203674316406,46207.70379638672,41860.16287231445
PGo (42:1),52096.18359375,56030.16375732422,53552.804290771484,52830.24435424805,51513.34359741211,46545.90350341797
PGo (42:2),81075.36456298828,93059.50799560548,90816.74588012695,97453.06658935548,87010.98571777344,84379.02551269531
PGo (42:4),137700.07131958008,125004.08850097656,133589.42797851562,149911.39120483398,132643.64611816406,108062.50637817384
PGo (42:6),78712.88482666016,85612.80584716797,85340.52587890625,89445.72686767578,83643.48510742188,85484.90518188477
PGp (16:0),95155.78619384766,101443.34777832033,91221.5474243164,116453.44842529295,114078.48760986328,86335.54638671875
PGp (20:0),50748.52404785156,55009.34324645996,1516.7800979614258,52231.80419921875,50348.84368896485,1494.380100250244
PGp (28:0),53166.40361022949,53483.80380249024,56327.744384765625,50838.98295593262,54927.964096069336,54515.24362182617
PGp (30:1),78523.48532104492,74333.00527954102,84479.60583496094,62394.86520385742,68748.1044921875,74554.14492797852
PGp (34:4),50230.42370605469,49507.12350463867,49620.62377929688,322507.24548339844,46082.0033569336,43702.40301513672
PGp (36:5),99507.02731323242,99188.92712402344,86896.5054321289,118718.54949951172,96950.24816894533,96887.64624023438
PGp (38:6),171103.37353515625,179790.9522705078,133670.15032958984,177014.47424316406,161512.2900390625,124697.7296142578
PGp (42:2),54688.58361816406,50129.403381347656,51375.883697509766,57404.5235748291,55129.72442626953,49709.46331787109
PGp (42:4),40814.92303466797,41654.24267578125,43746.80310058594,49972.94384765625,40454.24267578125,38288.1826171875
PI (14:1),87930.18745422363,591114.2644042969,403640.1101951599,527984.0258789062,582093.7045898438,242129.21718215945
PI (20:1),51636.04315185547,212258.8922119141,126028.8702392578,145929.0294189453,162932.29138183594,86469.7066040039
PI (24:0),24467.201652526852,86344.14608764648,54428.62454223633,69843.44577026367,88784.26718139648,33671.162033081055
PI (26:0),28669.461959838867,81403.72564697266,66312.02551269531,70531.66412353516,77585.34585571289,43668.20324707031
PI (26:1),83967.46563720703,170603.53125,152212.65161132812,172569.73168945312,177218.83349609375,131447.40942382812
PI (28:0),35015.34257507324,132350.24908447266,120998.14569091795,109907.5479736328,101055.36865234376,62891.86410522461
PI (28:1),24566.401596069336,77621.08575439453,59733.48333740234,66708.96452331543,62545.46469116211,35212.46252441406
PI (28:2),13028.300888061523,47503.14274597168,33366.50263214111,41232.54252624512,42775.76330566406,18166.58140563965
PI (30:0),153856.65075683594,453233.1123046875,483270.1123046875,373956.02734375,343324.4228515625,250347.51684570312
PI (30:1),62417.544036865234,225333.3770751953,223326.7996826172,183004.43212890625,152522.9112548828,79947.54516601562
PI (30:2),26180.82194519043,107158.80743408205,88728.66516113281,110772.82598876952,107256.36755371094,51165.10366821289
PI (30:3),15421.001209259031,49826.68344116211,37546.80274963379,45960.62341308594,48453.923583984375,23053.881553649902
PI (30:4),16516.641235351562,65357.46495056152,37512.02251434326,55165.18432617188,60222.94341278076,22757.68175506592
PI (32:0),226664.05493164065,733344.2294921875,776586.3583984375,596369.0424804688,553289.1982421875,398972.90478515625
PI (32:1),158019.0926513672,518059.5971679688,551380.0859375,414617.5278320313,345249.7236328125,237424.89819335935
PI (32:2),168559.77099609375,385358.2055664063,369250.265625,344147.90576171875,310035.42138671875,282381.5576171875
PI (32:3),19844.92123413086,62074.70454406738,41283.76281738281,58655.6049194336,58692.6439819336,21953.201332092285
PI (32:4),25519.94155883789,83605.10633850098,58125.183586120605,74111.2649307251,88159.1469116211,28281.401885986328
PI (32:5),26611.42183303833,76573.52513122559,54305.78366088867,72127.74496459961,79076.00454711914,27827.202140808105
PI (34:0),232600.81591796875,498886.8403320313,498755.498046875,458570.2338867188,426379.1284179688,344812.6053466797
PI (34:1),137670.65002441406,504785.4711914063,499667.3879394531,407357.5551757813,352098.06591796875,205596.5156555176
PI (34:2),114742.7876586914,379800.2087402344,325588.2214355469,265294.41796875,246261.97900390625,175067.23278808594
PI (34:3),34141.82288360596,102268.74661254884,64454.92425537109,67798.40533447266,65804.48477172852,28646.562286376957
PI (34:4),16654.061199188232,52410.48387145996,42308.583236694336,48434.10368347168,56091.28399658203,19925.861457824707
PI (34:5),31439.92170715332,107101.6082458496,66850.80519104004,100485.00900268556,105158.14579772948,29650.18190765381
PI (34:6),18714.88136291504,64948.94467163086,51973.54399108887,56841.60369873047,58293.28451538086,22143.661529541016
PI (36:0),107766.46856689452,217847.33715820312,194182.8740234375,207433.63427734372,207045.8134765625,139423.77001953125
PI (36:1),55202.26419067383,143476.388671875,98630.2667541504,102956.58770751952,110157.0479736328,49714.62338256836
PI (36:2),74638.88568115234,247442.3795166016,141449.169921875,164253.59106445312,162065.59033203125,82405.72576904297
PI (36:3),41156.443351745605,202457.45281982425,96264.20678710938,90641.94653320312,106525.32690429688,41542.84271240234
PI (36:4),49908.4637298584,395044.025390625,208838.13186645508,152192.80908203125,235716.65893554688,76387.64454650879
PI (36:5),16733.221225738525,70304.56506347656,38657.74298095703,55670.10424804688,65358.76528930664,21327.061752319336
PI (36:6),22048.6414642334,65759.9838256836,43805.8829498291,61064.124267578125,65854.18447875977,34606.72238922119
PI (36:7),28712.38201904297,88219.08685302734,62992.68392944336,74295.24517822266,77077.48596191406,33368.46194458008
PI (36:8),41357.282791137695,117885.36883544922,97295.78729248048,106431.72705078124,110751.44702148438,49941.52365112305
PI (38:0) | PIp (40:6),28102.72184753418,62716.284088134766,50495.86276245117,57459.143951416016,58124.184143066406,28916.262279510494
PI (38:0) | PIp (40:6)_2,31030.381942749023,66164.56442260742,46128.84358215332,55049.863693237305,59110.724365234375,29859.72216796875
PI (38:1),17341.581089019775,57676.76406860352,40257.12301635742,50829.66363525391,46599.90283203125,23728.461544036865
PI (38:2),22272.68154144287,68446.14489746094,42224.622955322266,51422.5240020752,56294.4638671875,24287.4217376709
PI (38:3),35302.64250946045,176123.87170410156,112467.3087310791,77887.78503417969,141121.61026000977,47859.46330261231
PI (38:4),145686.7495727539,1457961.3286132812,877265.9484710693,488490.6223144531,1119307.676147461,314992.6420135498
PI (38:5),59704.60357666016,358466.3269042969,193154.3924560547,141402.50982666016,268732.6594238281,74490.70570373535
PI (38:6),42183.76315307617,131915.46899414062,80040.12524414062,78552.70666503906,96628.10729980467,46782.5231628418
PI (38:7),35107.50262069702,141311.92840576172,93209.78649902344,110423.13064575195,134539.73013305664,37943.30368041992
PI (38:8),28192.961990356445,69466.90509033203,47236.30364990234,54832.06405639648,66795.70529174805,29175.382354736328
PI (38:9),27357.341987609863,60089.66397094727,42822.58346557617,48077.64334106445,50133.84359741211,25819.301818847656
PI (40:0),129526.97062683104,234002.0965881348,127687.32843017578,222120.07348632807,242303.4167175293,60884.603843688965
PI (40:1),22981.662071228027,54353.603271484375,37035.943016052246,44459.963638305664,44842.60326385498,22186.501544952396
PI (40:10),52954.96369934082,101256.16595458984,61198.58460998535,75926.64636230469,103670.86688232422,29631.40202331543
PI (40:2),27549.96199798584,64669.52416992188,40559.40326309204,62741.88414001465,62442.52453613281,27022.50175857544
PI (40:3),20366.941482543945,45589.18276977539,33122.60251617432,43546.04263305664,46715.96348571777,21967.581462860107
PI (40:4),26251.68170928955,49793.68347930908,31935.482414245605,39803.622497558594,47589.52374267578,18449.621242523197
PI (40:5),29581.10182189941,71178.06491088867,44385.10305786133,63814.164474487305,66190.8842163086,25150.64189529419
PI (40:6),87737.78637695312,132795.1298828125,83133.74520874023,94998.64727783205,92311.7661743164,44978.36298751831
PI (40:7),31155.921813964844,80106.32571411133,57271.22450256348,61126.60494995117,68693.18533325195,29898.78224182129
PI (40:8),49289.664138793945,67220.62490844727,62285.20376586914,58511.004821777344,90270.42721557616,29633.541984558105
PI (40:9),17913.96111679077,50833.723541259766,30015.36199951172,37928.94270324707,47050.083435058594,17049.401165008545
PI (42:0),33623.562534332275,56106.70397949219,41834.98313522339,56480.0842590332,54640.92381286621,20419.70135498047
PI (42:1),17095.241249084473,33121.442626953125,25710.80213546753,28528.28240966797,31755.302169799805,18305.301288604736
PI (42:10),17799.101188659668,41704.38307189941,25198.98171615601,31315.30242919922,32775.90237426758,14835.301082611084
PI (42:11),50260.88283538818,91147.44702148438,54807.3645401001,85752.14471435547,92747.98808288574,23937.441650390625
PI (42:3),29287.261825561523,64803.62341308594,36961.8030090332,59319.74373626709,77757.44499206543,19564.84129333496
PI (42:4),15510.541244506836,30805.26206970215,21618.481590271,26857.942138671875,27618.721786499023,13052.040828704834
PI (42:5),22736.98176574707,44853.94305419922,21930.78168106079,40537.22319030762,36595.56254577637,16304.800960540771
PI (42:6),18729.50122833252,37119.50224304199,23599.70151901245,32373.022247314453,33350.242126464844,15711.241180419922
PI (42:7),22219.561805725098,47967.10333251953,35015.38245391846,41128.74272155762,38632.24253845215,22102.16157150269
PI (42:8),25991.44184112549,64762.144134521484,40897.82302856445,53949.82333374024,59655.14424133301,24181.741706848145
PI (42:9),14966.601036071776,33767.042221069336,21186.921684265137,30795.181838989258,33902.82273864746,16155.361045837402
PI (44:0),8761.900539398193,27396.601524353027,17078.801307678223,26072.241539001465,23187.44158935547,11551.440864562988
PI (44:1),8594.260581970215,26089.80181121826,17043.801094055176,21322.121589660645,20809.081665039062,12255.320892333984
PI (44:10),14838.88109588623,33607.94234466553,23444.681686401367,27020.681854248047,30368.52171325684,15709.141258239746
PI (44:12),15762.521102905272,30819.602310180664,19210.141498565677,25922.681838989258,27818.541694641117,12080.44095993042
PI (44:2),14225.680961608889,29048.982093811035,19281.18166732788,24178.00177764893,31199.362060546875,16105.781047821043
PI (44:3),10647.100883483889,27453.122108459476,16085.140937805176,22444.08192825317,25957.10203933716,10957.160820007324
PI (44:4),10223.600784301758,24855.421844482426,17457.021255493164,19203.52140045166,23306.721641540527,13422.980865478516
PI (44:5),12032.980735778809,32700.642364501957,21863.501636505127,28202.08223724365,25201.88195800781,15297.86096572876
PI (44:6),12843.060806274414,32069.042137146,18472.62120437622,25784.86193847656,28729.701942443848,14630.700931549072
PI (44:7),14643.94108581543,30736.58187866211,22385.241695404053,30360.082321166992,30433.34245300293,15110.200988769531
PI (44:8),14454.361122131348,30393.36245727539,21514.00165176392,26162.761825561523,32407.342529296875,15068.721153259276
PIo (18:0),79314.18662261963,485351.3542480469,281529.0758972168,541789.5979003906,493227.5676269531,133117.4465637207
PIo (20:5),44738.12270736694,356510.6868286133,229484.29583740237,442052.0592651367,448409.7623291016,106277.22555541992
PIo (28:0),24810.58164215088,98067.38592529295,81527.52633666992,86720.66702270508,93416.6064453125,46247.38366699219
PIo (30:0),45991.98321533203,182487.91247558597,168185.53106689453,133955.90948486328,132269.68969726562,80137.06549072266
PIo (30:1),33145.8024520874,131547.4503173828,110111.287109375,111244.92956542967,115720.18844604492,61607.6435546875
PIo (32:0),86580.68585205078,312403.4190673828,302180.6170654297,255102.6759033203,205598.3962402344,147567.0908203125
"PIo (32:1), PIp (32:0)",49879.9635925293,182850.0760498047,180042.8521118164,142924.5698852539,118702.92810058594,94767.74713134766
PIo (34:0),62143.52424621582,221349.71813964844,231221.43823242188,190812.5764770508,173541.31091308594,83646.4462890625
"PIo (34:1), PIp (34:0)",76891.48416137695,288568.4802246094,270966.6605834961,236283.9135131836,236306.1975708008,102445.30834960938
"PIo (34:3), PIp (34:2)",27927.721771240234,58866.08407592773,37652.48301696777,51207.96389770508,56901.72384643555,21189.84172058105
"PIo (34:4), PIp (34:3)",14798.941093444824,50123.96369934082,31135.24269104004,46702.182861328125,52507.60385131836,20297.921295166016
PIo (36:0),34972.26298522949,81272.74478149414,53682.083740234375,69329.22528076172,70392.78515625,32937.622314453125
"PIo (36:1), PIp (36:0)",38751.88243103027,119552.56707763672,82638.66598510742,89299.96627807617,98956.0672607422,40433.102966308594
"PIo (36:2), PIp (36:1)",26119.82182312012,78308.60635375977,63312.98394775391,61431.28500366211,61196.72463989258,26430.18194580078
"PIo (36:3), PIp (36:2)",22173.38156890869,65075.0442199707,45324.76257324219,56834.823486328125,60575.96434020996,22914.62173843384
"PIo (36:4), PIp (36:3)",18970.001426696777,56798.54364013672,42170.1230545044,48725.10380554199,51157.34373474121,22555.161460876465
"PIo (36:5), PIp (36:4)",18253.201293945312,51874.78369140625,40671.40264892578,51805.74353027344,48346.96353149414,22326.06153869629
"PIo (38:1), PIp (38:0)",29197.34188842773,64367.244384765625,39029.7832107544,55426.20364379883,62689.28451538086,30466.781982421875
"PIo (38:2), PIp (38:1)",20842.201469421387,52731.8639831543,36297.72232055664,48874.78363037109,48003.6233215332,23691.661739349365
"PIo (38:3), PIp (38:2)",23199.981803894043,48894.92353820801,32970.42230987549,44668.703216552734,47999.60369873047,20187.12144470215
"PIo (38:4), PIp (38:3)",19667.32129669189,69224.86538696289,36393.942543029785,55038.80331420898,63603.9849395752,21746.94142150879
"PIo (38:5), PIp (38:4)",17489.62107849121,47888.94340515137,27885.96160888672,38476.5825958252,41353.6630859375,19999.841423034668
"PIo (38:6), PIp (38:5)",24419.38161087036,57696.66397094727,41782.18321228027,49901.28396606445,56381.08395385742,28742.322093963623
"PIo (40:1), PIp (40:0)",48552.86354827881,67876.34579467773,57575.16384124756,56548.10397338867,87239.66580200195,26752.781993865967
"PIo (40:2), PIp (40:1)",18754.581260681152,39861.54328918457,26130.80157089233,37737.04261779785,42995.56295776367,19473.001205444336
"PIo (40:3), PIp (40:2)",35089.841941833496,71705.32579040527,45088.882553100586,50596.803939819336,70816.20654296875,22283.34147644043
"PIo (40:4), PIp (40:3)",25174.601554870605,50310.72332763672,36913.3429107666,44537.763580322266,60372.364501953125,24263.661628723145
"PIo (40:5), PIp (40:4)",61502.90441894531,113501.328125,92286.04681396484,109266.5479736328,106152.8271484375,71804.7855758667
"PIo (40:6), PIp (40:5)",31182.22225189209,73041.56443786621,47141.96422958374,74305.68643188477,74811.10412597656,28263.642208099365
PIo (40:7),29647.582077026367,77352.20501708984,51051.98323059082,50716.62387084961,59856.9245300293,26729.76176071167
PIo (42:0),21668.48159790039,45639.04330444336,36181.22230529785,42097.66311645508,40614.04275512695,22198.06157684326
PIo (42:1),21481.44150543213,48719.003341674805,34727.462463378906,43669.42330932617,45751.5228881836,18281.601272583008
PIo (42:2),14839.72110748291,34114.862564086914,22775.781635284424,31035.102088928223,29846.701904296875,16119.34112930298
PIo (42:4),36845.6626739502,65615.10551452637,42874.723709106445,58132.503562927246,62258.96348571777,23160.10164642334
PIo (42:6),31737.442665100098,73880.90425109863,44688.66250610352,68610.94508361816,79411.14738464355,25375.181964874268
PIp (20:0),54666.38333129883,332461.3572998047,114025.92784118652,205439.49560546875,217910.27966308597,73632.6849975586
PIp (28:0),13339.64093017578,46576.02349090576,35691.26298522949,42206.38292694092,48642.603439331055,21637.841369628903
PIp (30:1),50819.08264923096,140084.3878173828,133127.60748291016,197512.83111572263,125932.89068603516,97516.06689453124
PIp (32:1),26481.64158630371,89416.32601928711,73064.08633422852,74735.96505737305,66833.12536621094,31489.28271484375
PIp (34:1),28253.122116088867,89357.56625366211,78061.28704833984,76193.12545776367,72919.78414916992,44668.98287963867
PIp (34:4),12841.300964355469,48392.86318969727,33063.50224304199,42495.0032043457,49178.68322753906,20641.20150756836
PIp (36:5),102869.56677246094,188627.69213867188,166686.81176757812,170054.85107421875,181647.79296875,133925.0096435547
PIp (38:6),114526.72778320312,222362.21533203125,200056.3928222656,209710.67504882807,201569.97509765625,141001.2508544922
PIp (42:2),12912.960807800291,36500.08229064941,25201.56136322021,32018.88217163086,32508.52229309082,16050.281070709229
PIp (42:4),14938.30101776123,36901.52293395996,20915.721504211426,32364.80221557617,36704.00277709961,13734.560916900637
PIp (42:6),132173.88903808594,268610.31677246094,134833.48755645752,238247.691986084,259681.2990722656,63591.444969177246
PS (22:7),31017.662231445312,28594.54201889038,75884.98596191406,26146.042205810547,42835.68328857422,76925.66625976562
PS (24:0),28246.92185974121,38838.403175354,101403.02737426758,19911.741691589355,41509.36291503906,96311.40716552734
PS (26:0),37191.48278808594,26486.96222686768,63937.90487670898,24653.361671447758,34484.462326049805,55603.04373168945
PS (26:1),99263.48693847656,43230.30316162109,123377.94848632812,45679.6435546875,102286.6480102539,119999.36865234376
PS (28:0),54947.40398788452,550477.2261352539,712738.479675293,406527.5382537842,66476.00506591797,739427.4039306641
PS (28:1),47762.94343185425,27232.28172302246,64382.104064941406,24804.4617767334,45068.14331054688,64514.76458740234
PS (28:2),19340.28129196167,14911.520931243896,46687.60311889648,15634.881134033203,23740.92156982422,42954.18298339844
PS (30:0),53828.66361236572,29616.682022094727,76207.18505859375,31025.74185180664,58485.26374435425,72481.30480957031
PS (30:1),26218.54200363159,19261.66156768799,48666.50296020508,16125.441188812256,23409.78183746338,49702.10360717773
PS (30:2),27909.921852111816,24241.081817626957,57705.38317871094,25433.721755981445,26898.821907043457,57184.00329589844
PS (30:3),30807.542594909668,24230.72176361084,73847.64532470703,20241.341369628903,33661.66241455078,66449.66516113281
PS (30:4),26559.98180770874,18464.921585083008,49316.68336486816,28811.70217514038,28526.52198791504,48586.48327636719
PS (32:0),42790.563049316406,29146.001918792725,89615.1669921875,32435.022247314453,45311.66319274902,85632.287109375
PS (32:1),29151.28229522705,15174.561126708984,71986.04565429688,20301.10132598877,29904.122158050537,60671.903869628906
PS (32:2),42816.62282180786,137008.33222961426,414176.0900878906,97992.48678588869,45198.76317214966,363304.06994628906
PS (32:3),26860.801837921143,21787.661544799805,59723.264709472656,17022.961082458496,22741.681343078613,57933.4030456543
PS (32:4),32740.00189971924,21568.20168685913,65654.98489379883,30393.16162109375,33000.622550964355,67167.50430297852
PS (32:5),37565.022899627686,23301.04162597656,54567.80407714844,526516.2245483398,33125.182247161865,46853.883239746094
PS (34:0),38444.66296005249,29043.04231262207,63773.04486083984,23168.001594543457,35356.72253417969,62364.24377441406
PS (34:1),50307.90349197388,28238.70178222656,86913.22546386719,26189.761505126957,48879.723541259766,70622.30444335938
PS (34:2),29475.18188858032,21672.601501464844,58243.68460083008,23647.801418304443,28983.442150115967,56740.58432006836
PS (34:3),31984.922370910645,21972.441333770752,57423.64367675781,22502.74178314209,31584.602333068848,54617.44412231445
PS (34:4),31691.50220870972,23358.061923980717,57946.30401611328,17984.081413269043,29519.5419960022,51235.24337768555
PS (34:5),34500.72255706787,43335.403160095215,85559.7651977539,47567.00342178345,33285.862270355225,81803.86569213867
PS (34:5)_2,33704.30220413208,33024.26192855835,79380.86596679688,42399.2419128418,34421.84258270264,83893.6254272461
PS (34:6),31264.38235092163,22341.181480407715,67618.08407592773,142843.43180084229,29347.222053527832,65548.40490722656
PS (36:0),67556.64473724365,31713.16227722168,119429.82861328124,44962.10311889648,59829.26461791992,110059.00701904295
PS (36:1),145423.82960891724,63556.46466064453,175310.75268554688,72288.98529052734,123061.1686515808,146508.30981445312
PS (36:2),75961.42540740967,56412.584533691406,130704.20971679688,49254.50372314453,62383.60438537598,138668.11291503906
