Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
Lyso_PI(18:4) | PI (18:4)_2,29886.262008666992,88855.18725585938,52733.62298583984,16677.261222839355,86024.38589477539,43000.94285964966
Lyso_PI(19:0),119203.69091796876,339945.184753418,405689.1903991699,45698.52276611328,432946.1262817383,277533.9567565918
Lyso_PI(19:1),76700.08508300781,206630.5535888672,147601.572265625,49899.883251190186,330522.5059814453,112231.04776000977
Lyso_PI(20:0) | PI (20:0),27494.40182495117,100491.08828735352,64285.88473510742,20440.241470336918,183736.17178344727,66212.50346374512
Lyso_PI(20:0) | PI (20:0)_2,27781.8819732666,99610.3055114746,69121.86444091797,18254.241271972656,181401.75067138672,67648.86587524414
Lyso_PI(20:1),95359.72668457033,177406.5517578125,134682.80883789062,51468.18369293213,210627.9747314453,122599.08813476562
Lyso_PI(20:2) | PI (20:2),145046.9137878418,1085672.139129639,745132.8973388672,130259.14949417114,696503.4417114258,595144.7265930176
Lyso_PI(20:2) | PI (20:2)_2,141717.7893218994,1090943.8528442385,736958.7850036621,149225.45265197754,702651.9847412109,611715.9055175781
Lyso_PI(20:3) | PI (20:3),30329.622177124023,100758.36703491212,69472.48553466797,18872.201274871823,81527.62503051758,51471.98324584961
Lyso_PI(20:3) | PI (20:3)_2,27755.56155395508,101938.0866394043,68859.64503479004,19539.40131378174,75601.82522583008,50948.684005737305
Lyso_PI(20:4) | PI (20:4),35430.7225189209,112571.98727416992,69103.62489318848,19654.32146835327,93804.50717163086,46114.06354904175
Lyso_PI(20:4) | PI (20:4)_2,41561.50314331055,115503.32766723631,65911.92514038086,23932.98192214966,94955.28762817384,46581.12242889404
Lyso_PI(20:5) | PI (20:5),40032.82299804688,84395.20684814453,73289.96563720703,22629.86193847656,83452.42471313477,60477.24395751953
Lyso_PI(20:5) | PI (20:5)_2,40050.72219848633,88782.6872253418,74940.68502807617,20474.361476898197,90480.06634521484,56796.96453857422
Lyso_PI(21:0),41802.92306518555,105488.24728393556,86084.62646484375,30531.10185623169,116714.64852905272,61749.58438110352
Lyso_PI(22:0) | PI (22:0),40855.62286758423,176077.4532470703,120032.9500732422,63197.42398071289,162554.51013183594,94750.1669921875
Lyso_PI(22:0) | PI (22:0)_2,39094.3226852417,180142.77532958984,118459.46856689452,64426.34423828125,165958.17218017578,93034.2880859375
Lyso_PI(22:1) | PI (22:1),32720.622344970703,67087.08477783203,51090.78356933594,24217.241607666016,93709.68716430664,45021.54254150391
Lyso_PI(22:1) | PI (22:1)_2,36835.06268310547,62944.14392089844,46467.583404541016,25263.66162109375,84807.12655639648,43399.06335449219
Lyso_PI(22:2) | PI (22:2),26095.3416595459,66476.26585388184,51343.024353027344,18399.001556396484,67441.2451171875,41852.26216125488
Lyso_PI(22:2) | PI (22:2)_2,24529.061599731445,68327.06495666504,52392.24291992188,15487.201053619385,62036.66416931152,43283.28317260742
Lyso_PI(22:4) | PI (22:4),41848.70246887207,100828.58755493164,71910.06484985352,21636.241695404053,87811.326171875,53155.38377380371
Lyso_PI(22:4) | PI (22:4)_2,43725.14227294922,99839.08731079102,71721.24472045898,24077.02137756348,89013.9653930664,51183.723724365234
Lyso_PI(22:6) | PI (22:6),36638.922790527344,108881.72875976562,63075.00381469727,25573.12173461914,114139.36856079102,56531.24353027344
Lyso_PI(22:6) | PI (22:6)_2,38774.38293457031,102204.4065246582,63855.86476135254,26357.521926879883,110340.20837402344,58325.80438232422
Lyso_PS(12:0) | PS (12:0),41797.58274459839,42126.04304885864,63595.20446777344,40529.18291854858,30860.882347106934,77741.00494384766
Lyso_PS(12:0) | PS (12:0)_2,38366.08293151856,44732.3430519104,67364.484375,41123.04288482666,28622.24241638184,79008.08508300781
Lyso_PS(13:0) | PS (12:0),72418.08570861816,64162.2844619751,103606.328125,67089.68535995483,30142.342361450195,113592.12817382812
Lyso_PS(13:0) | PS (12:0)_2,69296.04517745972,64716.02420043945,107081.04663085938,63312.98459625244,31942.782302856445,112449.1279296875
Lyso_PS(14:0),27932.42208099365,41741.96318817139,80923.40573120117,35875.96283721924,33198.201583862305,106847.38720703124
Lyso_PS(14:1) | PS (14:1),231311.47485733032,495857.2742996216,1362649.7783203125,386697.8882446289,723045.7475585938,1858569.201171875
Lyso_PS(14:1) | PS (14:1)_2,238473.89477157596,473341.1899642944,1351059.3720703125,386757.7848854065,751346.8651123047,1875401.0864257808
Lyso_PS(15:0) | PSo (16:0),29071.082023620605,2975.860202789306,78540.6655883789,42106.923080444336,23106.281719207764,82270.00601196289
Lyso_PS(15:0) | PSo (16:0)_2,17800.06135559082,2016.400161743164,82471.36572265625,29677.882411956787,3101.360218048096,86412.7857055664
Lyso_PS(15:1),45034.443157196045,51027.52350616455,122841.90899658205,46994.00308990479,59107.36399459839,121506.92895507812
Lyso_PS(16:0) | PS (16:0),1589.7200965881348,1560.8400993347168,110110.28857421876,1462.1001052856443,1460.9600982666016,124966.19073486328
Lyso_PS(16:0) | PS (16:0)_2,1466.2200965881348,1510.9601020812988,109398.66900634766,1462.1800918579102,1466.6401023864746,121338.04956054688
Lyso_PS(16:1) | PS (16:1),1465.7001037597656,1460.7800979614258,61040.48419189453,1611.7601127624512,1549.7201042175293,66784.6439819336
Lyso_PS(16:1) | PS (16:1)_2,1466.680088043213,1529.240104675293,56821.023864746094,1461.840106964111,1506.360092163086,66396.2847290039
Lyso_PS(17:0) | PSo (18:0),216663.9764595032,618023.602306366,1341913.3032226562,411613.6048965454,1010029.682861328,1880516.935546875
Lyso_PS(17:0) | PSo (18:0)_2,206127.9143447876,561933.6593780518,1418677.9946289062,420836.767288208,947656.8311767578,2035057.6142578125
Lyso_PS(17:0) | PSo (18:0)_3,187415.21215438843,588388.2116241455,1503362.1142578125,358774.341506958,870793.7777099609,2133670.084472656
Lyso_PS(17:1) | PSp (18:0),18330.701347351074,22935.201774597168,55906.623596191406,22376.7815322876,20326.64153289795,82552.44650268555
Lyso_PS(17:1) | PSp (18:0)_2,18481.10138320923,26667.20167541504,58591.32354736328,22598.6017036438,22568.82148742676,81121.12564086914
Lyso_PS(17:2),21082.081523895264,32911.66214752197,54298.944244384766,27559.801918029785,24151.08168792725,60029.52426147461
Lyso_PS(18:0) | PS (18:0),35472.38247680664,46176.70299530029,21602.36111831665,35906.20281982422,31803.30191040039,7822.320690155029
Lyso_PS(18:0) | PS (18:0)_2,35771.602195739746,47233.46329116821,10900.94051361084,39160.10260391235,31220.722663879395,3706.840297698975
Lyso_PS(18:1) | PS (18:1),31112.262294769287,35970.48225021362,47162.50341415405,33183.24239730835,12476.380844116213,45845.94305038452
Lyso_PS(18:1) | PS (18:1)_2,31162.32218170166,37647.542362213135,37531.6224899292,29117.50196456909,21673.08134460449,35545.58208465576
Lyso_PS(18:2) | PS (18:2),21608.801483154297,28054.16201019287,46367.38302612305,24224.601444244385,21420.321769714355,53316.04391479492
Lyso_PS(18:2) | PS (18:2)_2,20571.921417236328,29414.06206512451,44926.90283203125,25029.78169631958,17081.340896606445,52952.86395263672
Lyso_PS(18:3) | PS (18:3),25429.941772460938,47328.28337478638,93332.60614013672,38517.86332321167,68636.20463562012,107744.72836303712
Lyso_PS(18:3) | PS (18:3)_2,24889.04176712036,46512.94332122803,96180.4271850586,37322.96241760254,74038.4651260376,111254.12893676758
Lyso_PS(18:4),19890.74133300781,26007.841762542725,46234.52383422852,24473.341957092285,25127.682006835938,53523.863830566406
Lyso_PS(18:4)_2,21914.72146987915,30551.28214263916,52488.16409301758,24956.72173690796,26114.402114868164,53605.60345458984
Lyso_PS(19:0),33772.402252197266,43529.64334106445,43842.423248291016,40405.20288467407,26180.341594696045,48667.54322814941
Lyso_PS(19:1),23428.841648101807,31496.882194519043,28501.40182495117,27707.58221054077,21989.001274108887,34003.7622795105
Lyso_PS(20:0) | PS (20:0),40904.762786865234,47438.04373168945,61975.204833984375,44825.783203125,25618.64199066162,70735.30532836914
Lyso_PS(20:0) | PS (20:0)_2,40550.02256774902,52115.623596191406,62898.92449951172,48978.423828125,23356.32201385498,69053.38482666016
Lyso_PS(20:1) | PS (20:1),103260.88696289062,120051.70849609376,146038.3905029297,116344.36853027344,42480.743019104,157827.91186523438
Lyso_PS(20:1) | PS (20:1)_2,101174.34753417967,121282.96948242188,143733.54943847656,116032.32788085938,56013.084533691406,150870.13012695312
Lyso_PS(20:2) | PS (20:2),32369.82244873047,81246.44653320312,172152.21444702148,71950.42471313477,92326.08652114868,272683.3405761719
Lyso_PS(20:2) | PS (20:2)_2,31775.56214904785,66992.96417236328,164607.43182373047,73165.14535522461,89653.12752914429,270398.1398925781
Lyso_PS(20:3) | PS (20:3),19179.481231689453,31267.041870117188,50255.76327514648,24391.56170654297,19996.621520996094,57729.8434753418
Lyso_PS(20:3) | PS (20:3)_2,22563.241584777832,30119.72235107422,45658.30340576172,27867.22186279297,18256.04118347168,51251.36389160156
Lyso_PS(20:4) | PS (20:4),21773.26141357422,27803.401885986328,39023.942932128906,26970.88163757324,17417.341526031494,39308.10266113281
Lyso_PS(20:4) | PS (20:4)_2,23458.541534423828,34046.662200927734,36660.422790527344,25625.622009277344,14454.381145477297,43483.46263122559
Lyso_PS(20:5) | PS (20:5),55933.003662109375,63889.18490982056,67421.98461914062,60708.68420410156,36529.64253616333,80760.22619628906
Lyso_PS(20:5) | PS (20:5)_2,52411.92376708984,59715.62384796143,71535.3046875,64102.76452636719,41415.50313568115,83352.88568115234
Lyso_PS(21:0),22951.98162078857,40046.003326416016,65748.90493774414,30573.382049560547,15246.500869750977,70783.10527038574
Lyso_PS(22:0 | PS (22:0),56386.7442779541,72341.30493164062,79767.2255859375,54786.3837890625,57092.92414855957,86106.54602050781
Lyso_PS(22:0 | PS (22:0)_2,50425.32373046875,76911.42517089844,77705.04559326172,51532.18377685547,72637.98488616943,83095.54663085938
Lyso_PS(22:1) | PS (22:1),22002.741424560547,25710.441955566406,38415.602767944336,21891.96165466309,12054.560958862305,46168.76307678223
Lyso_PS(22:1) | PS (22:1)_2,21582.04141235352,25743.12173461914,39669.64308166504,23901.72171020508,10684.480735778809,43646.18292236328
Lyso_PS(22:2) | PS (22:2),23908.84169006348,28885.982025146484,57570.3250579834,25041.261657714844,22540.68133544922,56507.10397338867
Lyso_PS(22:2) | PS (22:2)_2,17557.041305541992,31993.82243347168,56043.703552246094,23819.30160522461,24629.561714172363,57576.18423461914
Lyso_PS(22:4) | PS (22:4),29972.781982421875,36506.60238647461,56100.52355957031,35207.24249267578,21168.661586761475,71628.34530639648
Lyso_PS(22:4) | PS (22:4)_2,30410.0022354126,41713.60299682617,61532.20440673828,34356.562438964844,26954.961631774902,66004.14431762695
Lyso_PS(22:6) | PS (22:6),36597.70245361328,51700.2041015625,65853.92449951172,40415.52313232422,34185.58190155029,80277.84616088867
Lyso_PS(22:6) | PS (22:6)_2,33072.74256896973,44419.60333251953,64280.46472167969,42870.22305297852,30745.26202392578,78729.26440429688
Lyso_Sphinganine-1-phosphocholine,194181.5760498047,197308.5112915039,195126.857421875,182085.63330078125,186465.23071289065,197707.0186767578
Lyso_Sphingosine-1-phosphocholine,93191.40753173828,103894.36724853516,103619.70684814452,94048.86730957033,98104.28723144533,106322.00720214844
O-(11-carboxyundecanoyl)carnitine,1636443.1501464844,1628954.5754394531,1609929.6301269531,1698009.3786621094,1608644.2199707031,1543775.736328125
O-(13-carboxytridecanoyl)carnitine,2525970.9899902344,2484566.024658203,2774485.9384765625,2464997.854736328,2497472.518310547,2486930.6091308594
O-(17-carboxyheptadecanoyl)carnitine,1780632.291015625,1825409.1884765625,1904286.744140625,1916627.5317382808,1787021.61328125,1813601.7524414065
O-arachidonoylcarnitine,1813997.779296875,1854003.634765625,2451500.782714844,1879959.790527344,1825144.9770507808,1872888.494140625
O-behenoylcarnitine,1108163.3492889404,1117372.6411895752,1778627.9196472168,1146124.9450950625,1110679.3093795776,1107254.2224349976
"O-oleoylcarnitine, Elaidic carnitine",2524766.19921875,2579686.61328125,2918418.5444335938,2410372.6762695312,2916051.9331054688,2833547.6284179688
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1594045.3452148438,1572857.943359375,1900881.853515625,1596917.227294922,1615202.787109375,1638445.1293945312
PC (30:0),116663.56880187988,219265.19830322263,92519.5457763672,86169.56600952148,118589.88662719728,134713.04946899414
PC (30:1),114787.52682495116,217753.1545715332,84294.10525512695,88982.3060760498,122133.58932495116,131660.08978271484
PC (30:2),115927.44927978516,228871.4760437012,89100.36520385742,84586.96543884277,120559.64868164062,138506.79061889648
PC (32:0),680101.5065307617,3429927.025512696,387112.7424011231,951137.5981445312,1698169.5415649414,2063338.8400268557
PC (32:1),663512.8841247559,3057185.627105713,399630.3648376465,942311.9768371582,1875814.616027832,1949665.0983581543
PC (32:2),672424.2381896973,3223585.253051758,396469.03533935547,971271.4549255372,1742248.5977783203,1881470.266479492
PC (32:3),614475.9673461914,3392896.830383301,360493.7225036621,850410.770324707,1683215.1868896484,2026683.198852539
PC (32:4),336706.1000671387,1794084.3795166016,291534.23989868164,371140.1830749512,910218.7320861816,1295923.1087341309
PC (32:5),223210.3800354004,974021.8276672364,194160.63345336917,206996.07334899905,435106.5923461914,589409.5653533936
PC (34:0),1014638.4526062012,4444064.818878174,622026.8252868652,1000412.2849121094,2031450.9565429688,1963579.592590332
PC (34:1),983094.4783630372,4764350.840148926,603501.1135559082,1019534.3862304688,1999358.437866211,2062457.567199707
PC (34:2),1020757.8615112304,4760836.946105957,617045.473449707,1204827.7313232422,2262632.3309936523,2166422.607421875
PC (34:3),1388814.911682129,7016003.7537231445,886306.9071960449,1766868.8690185547,3549027.204711914,3741014.481384277
PC (34:4),1487002.601928711,7160792.481872559,857089.4302978516,1794084.9948730469,3676238.707092285,3780442.97064209
PC (34:5),847765.8843383789,4998585.224243164,688614.253112793,1244225.732849121,2658677.5576782227,3125022.6955566406
PC (34:6),735070.428527832,3424368.128479004,409838.70669555664,976127.1491088868,1849967.0333251955,2063399.7353515625
PC (36:0); PCp(38:6),435053.77502441406,1925494.163330078,260955.25415039065,419005.1922302246,814761.6733093262,859278.4150085449
PC (36:0); PCp(38:6)_2,416322.4945983887,1791330.5129699707,280876.4214630127,428272.1943359375,849949.5341796875,807032.3782043457
PC (36:1),446005.8759765625,1859780.460388184,268880.7839050293,446975.5899658203,878754.3044128418,851870.7861633301
PC (36:2),597167.1774291992,2435243.9852600098,313175.8644104004,628427.1416931152,1158840.2968444824,1037596.5607299804
PC (36:3),1217512.9953918457,5501434.023681641,590098.4023742676,1350130.224609375,2228490.890686035,1985041.7884521484
PC (36:4),1571687.805633545,7546484.6759643555,975125.3948364258,1647646.500915527,3475730.7900390625,3262829.164581299
PC (36:5),1371656.7071533203,6620324.056365967,803399.8494567871,1354212.9745788574,2967515.1405029297,3001574.1837768555
PC (36:6),1118680.372894287,5730482.258666992,698576.9976196289,1241169.74899292,2574484.727905273,2630318.8386535645
PC (36:7),1098407.7716064453,5075100.63079834,695569.3125,1193220.4411010742,2375368.1112060547,2445248.6097717285
PC (36:8),1033196.3688659668,4866856.44909668,635334.3019714355,1049363.3710021973,2247650.9483032227,2131989.322631836
PC (38:0),781804.3551635742,2039109.0388183596,712613.688659668,853704.7693481445,1127701.172088623,1278505.552581787
PC (38:1),805693.8829040527,2105033.9688415527,689550.3097229004,865905.3190917969,1135844.233215332,1358794.0057678225
PC (38:2),904133.2488098145,2422603.3831481934,748793.9415283203,892448.0676879883,1274266.3102722168,1344833.375427246
PC (38:3),1047065.9375,3574585.963012696,864131.1938476562,1073292.9995422363,1527116.7940063477,1810788.3368530276
PC (38:4),1067685.971160889,3430863.348815918,763683.008605957,1048841.5700073242,1609402.3541870115,1711209.6922912598
PC (38:5),996759.7385253906,3456068.226196289,808035.2034912109,1021008.025756836,1607378.3634643557,1736420.1665039062
PC (38:6),1011198.107421875,3927462.934997559,885649.9088745117,1172053.4354858398,1949924.089691162,2098937.199951172
PC (38:7),990925.8618774414,3358972.089447021,782219.1566467285,1125359.0493774414,1726499.340270996,1935263.1427001955
PC (38:8),943140.8325195312,3319761.1072998047,748537.7001342773,1050234.8379516602,1693249.315979004,1907706.6303710935
PC (38:9),850349.5054321289,3031995.2488708496,721583.7636108398,961502.595336914,1500634.0296020508,1661718.3981018066
PC (40:0),1545816.8510742188,2157484.522705078,1573185.3659667969,1497682.9777832031,1680957.9809570312,1680422.5
PC (40:1),1594287.7387695312,2099303.998535156,1628974.3005371094,1468236.936767578,1700013.3388671875,1600588.9738769531
PC (40:10),866561.0187988281,2426319.791030884,729436.7596435547,894838.0615234375,1256899.961151123,1404387.8872680664
PC (40:2),1405589.3041992188,2043853.7165527344,1450728.7380371094,1313510.0510253906,1592308.479736328,1506033.4770507812
PC (40:3),1351244.5043945312,2235103.782714844,1406745.039794922,1242736.6970214844,1497742.2189941406,1414927.7182617188
PC (40:4),935814.8845214844,1906804.3935546875,1137639.202392578,779947.1081542969,1166455.2385253906,1195902.6198730469
PC (40:5),462472.16094970703,1345354.1531677246,332856.6388092041,328537.60540771484,519085.5973815918,542492.0680084229
PC (40:6),495635.8537979126,1621996.955535889,371081.31771850586,397212.3690643311,668713.444519043,730970.3454284668
PC (40:7),505864.25422668457,1977509.4270935056,389195.4564208984,463544.754486084,779393.6361083984,848565.0177612305
PC (40:8),769862.9135742188,2524054.25680542,557746.8742675781,619597.4418029785,1079630.8275756836,1114800.4551391602
PC (40:9),881484.3649902344,2543740.04876709,808117.2294616699,917385.2309875488,1273482.8093566897,1498995.9426879885
PC (42:0),650080.6097412109,685343.5911254883,517659.6817626953,597789.5999755859,606752.0329589844,513777.9915161133
PC (42:1),1504262.444580078,1574860.6802978516,1491770.2329101562,1429401.6518554688,1580248.3681640625,1477929.55078125
PC (42:10),1609394.317138672,2154545.604248047,1623869.0471191406,1480060.446044922,1755151.4475097656,1671272.3852539062
PC (42:11),1542795.7543945312,2057265.9450683596,1601313.9650878906,1495653.5903320312,1670027.0256347656,1566155.432861328
PC (42:2),1610111.0249023438,1647391.974243164,1630031.5102539062,1486371.5275878906,1627966.7626953125,1507176.8815917969
PC (42:3),1571699.7404785156,1691369.2138671875,1626665.5493164062,1460753.2160644531,1643067.9645996094,1488914.888671875
PC (42:4),1580877.5764160156,1636928.3247070312,1584802.0063476562,1464559.2114257812,1641828.1818847656,1485688.9089355469
PC (42:5),1601775.8557128906,1643003.8979492188,1610942.875732422,1482555.3332519531,1665884.807861328,1524227.720703125
PC (42:6),1607500.8278808594,1757878.4370117188,1594732.669921875,1502709.9184570312,1674441.3254394531,1539500.9555664062
PC (42:7),1676696.6201171875,2429325.5314941406,1715693.7749023438,1592972.974609375,1824078.154296875,1707819.8840332031
PC (42:8),1687455.1831054688,2332639.8540039062,1692461.815673828,1552901.2020263672,1771407.0517578125,1670151.3139648438
PC (42:9),1589172.576171875,2275650.922363281,1650725.9716796875,1503447.3439941406,1766427.296875,1634938.5922851562
PC (44:0),50645.782371521,87331.02509307861,46982.80390930176,45756.88317871094,52877.9236907959,51728.42370605469
PC (44:1),54949.184143066406,93643.44540023804,48549.48421096802,46302.143630981445,48379.52338409424,47291.58278656006
PC (44:10),136942.13205718994,197552.0559921265,106278.00463104248,113219.60813140868,129175.2488937378,118677.16793823242
PC (44:12),350284.16764831543,375126.0727844238,338263.93798828125,284804.5244293213,306733.2204284668,313421.4409790039
PC (44:2),66870.34497833252,98788.96601867676,54782.0838432312,49585.02342224121,57483.66480255127,54920.104568481445
PC (44:3),66596.0047454834,116893.02933883668,56529.82377624512,62690.68382263184,60580.82442855835,64789.46518325806
PC (44:4),72806.32409286499,120310.3676147461,54968.16331100464,64379.08465576172,67702.26553344727,70850.68384933472
PC (44:5),103736.14865875244,137743.67406463623,77796.92570495605,87080.18724060059,85826.90447998047,80793.52600860596
PC (44:6),127376.39027404784,170017.53463745117,110191.36898803712,111380.86932373048,123091.16621017456,105814.0492401123
PC (44:7),131886.10794830322,176053.54656982422,98525.54565429688,109048.80894470216,120873.25156402588,110662.84732055664
PC (44:8),136448.84868621826,200377.37434387207,100231.38556671144,116168.26929473875,123185.55112457275,116882.8077545166
PC (46:0),15406.340934753418,20326.441257476807,14949.221168518066,14307.94107055664,16303.201244354248,16129.32103729248
PC (46:1),13450.821083068848,19964.88130569458,13646.460941314695,13795.701007843018,16989.66121673584,15760.381031036375
PC (46:2),18220.141304016117,21145.301677703857,15672.160987854004,14535.44090270996,15717.58101272583,15708.081153869629
PC (48:0),12377.700759887695,12948.360919952393,11147.740837097168,11488.200824737549,13410.900749206545,12926.501121520996
PC (48:2),11320.780807495115,12588.26071548462,11624.900840759276,10285.22076034546,12677.121055603027,12502.680812835692
PC (50:0),12768.100784301758,13340.060791015623,12805.161010742188,13438.50075531006,13969.94102859497,14418.94100189209
PC (52:0),16814.38123703003,18353.361404418945,16898.94135284424,18868.22135925293,18664.961250305176,22769.84172058105
PC (52:4),15183.22114944458,17062.501152038574,16305.361099243164,18289.92113494873,17653.621139526367,20848.901302337646
PCo(32:0),130672.65341186523,258208.65618896484,95118.84616088869,100903.54597473145,146594.51321411133,159424.16957092285
PCo(32:1),122713.72994995116,253267.2008056641,91095.8664855957,102293.32754516602,151826.92991638184,166624.13049316406
PCo(32:2),130292.24911499023,286442.08111572266,97793.2485961914,115222.14743041992,148333.69180297852,182568.5938110352
PCo(32:3),137481.60850524902,282841.3648071289,109891.68759155272,117158.80764770508,158095.20874023438,193576.3326416016
PCo(34:0),639361.3001098633,3375190.268951416,402596.7351074219,925146.2234191896,1852687.4654541016,2026725.0399475095
PCo(34:1),641856.0830078125,3382276.4217529297,392454.01989746094,949149.4002685548,1760912.4243774414,1925527.985534668
PCo(34:2),677731.3556518555,3469322.094238281,395121.5246582031,965100.720703125,1720773.7974243164,2050089.9269714355
PCo(34:3),667141.0286865234,3209095.988128662,396001.9879760742,941089.487487793,1863451.4622192385,2106365.666183472
PCo(34:4),691145.9868164062,3260988.821228028,386962.71380615234,951606.2817382812,1918888.3306274412,1949466.5006713867
PCo(36:0),1037009.6412200928,5423653.801544189,655178.7007446289,1237980.8333740234,2492148.8572998047,2454141.2727661133
PCo(36:1),1032052.788482666,4991984.562011719,647867.8766174316,1082742.4115600586,2107732.0633239746,2182051.833251953
PCo(36:2),951512.9238891602,4515609.5615234375,625833.5299377441,979597.9373779296,1973464.741882324,1972439.817138672
PCo(36:3),971986.4122924804,4485113.37147522,597149.2160949707,1006314.4498901368,2127347.2319335938,2073152.1543273928
PCo(36:4),939051.2250976562,4633074.538024902,590343.8370666504,1042670.462097168,2082454.4313354488,2155597.518081665
PCo(36:5),945959.164642334,4513816.261459351,593970.5878295898,1041972.3598632812,2007265.2786254885,2083047.4833374023
PCo(38:0),984992.6181030272,3464092.621520996,802234.2112426758,1130090.7080078125,1718077.7846069336,2034206.260925293
PCo(38:1),937792.5346984864,3181440.0059814453,730863.1838378906,1016897.5207824708,1664056.4118652344,1866785.2911376955
PCo(38:2),894489.4780578613,3101854.2935180664,722236.4162902832,973374.471496582,1451372.8125,1619342.3543701172
PCo(38:3),811544.3071289062,2592870.3295288086,684865.8737792969,875554.6360778809,1269032.7553710938,1541816.594696045
PCo(38:4),588484.544708252,2008420.728881836,518711.7415771485,610657.1733703613,1043193.0126953124,1247938.2658081057
PCo(38:5),445854.5009460449,1771054.533996582,282280.0028991699,410612.0666809082,880924.3504638672,840430.8486633301
PCo(38:6),422948.1577911377,1819020.6286010745,272022.8193359375,412889.6215820313,836501.2221984863,832823.8825683594
PCo(40:0),549283.5252532959,2125675.977920532,403385.7156448364,449037.5914611816,822242.0530700684,863831.1792755127
PCo(40:1),703145.7809448242,2611057.064666748,557287.4279174805,616535.3564147949,1027143.005645752,1154353.062286377
PCo(40:2),924018.5856628418,2498676.130126953,796318.7688293457,913257.0162963868,1242013.5863952637,1439969.0927734375
PCo(40:3),853751.921875,2521749.399353028,762038.1259765625,919181.7241210938,1253525.4562072754,1385411.6895446775
PCo(40:4),770500.6495513916,2076570.8695831296,715231.2022399902,867473.6683959961,1150633.4737854004,1361350.747009277
PCo(40:5),832887.5697631836,1965931.041687012,708740.9263916016,846955.3981018066,1139552.556274414,1314595.5085754397
PCo(40:6),795030.2844085693,1987394.384918213,692594.1001586914,835889.0125732422,1148600.1209716797,1247627.129852295
PCo(42:0),1670869.453857422,2396378.9665527344,1717366.537109375,1542779.884765625,1848805.5710449216,1681604.3107910156
PCo(42:1),1713416.9350585938,2352559.780029297,1681534.548828125,1587381.870361328,1824431.748046875,1678872.1479492188
PCo(42:2),1635745.9360351562,2267038.2064208984,1640173.090576172,1506876.7697753906,1734691.7124023438,1612398.7475585938
PCo(42:3),1516773.5009765625,2227290.780029297,1612967.1979980469,1498243.858642578,1724539.6611328125,1635620.6096191406
PCo(42:4),1571772.41796875,2089629.0446777344,1608780.7641601562,1465832.751953125,1678405.2131347656,1581705.375732422
PCo(42:6),1556767.6762695312,2043167.943359375,1633304.5168457031,1443938.6794433594,1649620.0441894531,1565315.9934082031
PCo(44:3),142256.61336517334,185886.94980621335,99217.4868812561,117998.84720611572,121635.7879638672,123535.90773010254
PCo(44:4),194145.1330871582,243334.73220825195,153938.23194122314,156022.38800048828,171675.8334197998,157875.05178833008
PCo(44:5),350660.08557128906,393283.1896820069,321181.8919830322,279793.16145324707,307773.6043395996,324050.0294113159
PCp(32:4),640225.8755187988,3285602.855163574,389391.69494628906,915933.8500366212,1740186.4307861328,1963846.80065918
PCp(36:5),961143.620300293,4429165.621765137,613353.7997436523,1023662.5672912598,2039162.4931640625,1986399.4479675293
PCp(40:6),767189.9477539062,2078487.730041504,691517.3436889648,860530.7993164062,1108438.1222229004,1318561.2338256836
PCp(42:4),1533516.2641601562,2096967.9880371091,1592293.5832519531,1435915.7016601562,1643876.397705078,1563865.328125
PCp(42:6),1534387.7021484375,2110292.146972656,1573343.3698730469,1504250.2575683594,1695483.2680664062,1652013.1081542969
PE (14:0),57054.62396240234,57881.3837890625,54242.02423095703,56239.40451049805,56879.36428833008,55542.484375
PE (14:1),458465.58392333984,461029.5712890625,449331.5771484375,437058.9523925781,452286.5618896485,459582.34576416016
PE (16:0),1744.1001243591309,1492.6601028442385,163858.59307861328,1574.5601119995115,1472.780101776123,170159.0330810547
PE (16:1),1609.5001182556152,1553.3601112365725,74242.82629394531,1536.14009475708,1834.9201278686523,75661.92510986328
PE (18:0),58275.44445800781,78939.8257446289,40480.94302368164,61579.003662109375,75411.68606567383,52595.80380249024
PE (18:1),78301.94598388672,139242.83111572266,44652.12326049805,77750.7451171875,80942.9052734375,62663.42443847656
PE (18:2),62252.74420166016,62217.0837097168,49734.58377075195,55644.24328613281,59983.88470458984,59692.5041809082
PE (18:3),97952.30642700195,113252.98754882812,78532.74505615234,97576.60748291016,101130.60919189452,83026.2861328125
PE (18:4),74175.2445678711,1346482.1478881836,78917.62585449219,82343.32641601562,201368.0524902344,90063.30700683594
PE (20:0),86901.56820678711,86170.08708190918,1496.9601020812988,84132.3056640625,82458.14520263672,1467.8600997924805
PE (20:1),101447.84661865234,147742.40954589844,1954.880126953125,97648.90649414062,81073.38589477539,1671.5801162719729
PE (20:2),806355.2590332031,890111.2939453125,3542.360244750977,1229224.732055664,559597.3794555664,3073.3002395629883
PE (20:3),109802.4866027832,116537.00900268556,42225.84265899658,104227.80764770508,123653.10845947266,37117.30270385742
PE (20:4),96989.06652832033,113362.64807128906,36847.22247695923,108318.18682861328,124984.84832763672,60827.88363647461
PE (20:5),750215.1669921875,751087.8935546875,504983.1337890625,732233.171875,797132.337890625,488420.8327636719
