Lipid,Class,C-1PlasmaF_x,C-2PlasmaF_x,C-3PlasmaF_x,C-4PlasmaM_x,C-5PlasmaM_x,C-6PlasmaM_x,C-1PlasmaF_y,C-2PlasmaF_y,C-3PlasmaF_y,C-4PlasmaM_y,C-5PlasmaM_y,C-6PlasmaM_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
LPG(22:0),PG,1425.6200942993164,1301.8600845336914,1286.8800811767578,1248.8000869750977,1331.2600936889648,1459.2200965881348,1425.6200942993164,1301.8600845336914,1286.8800811767578,1248.8000869750977,1331.2600936889648,1459.2200965881348,1251.700080871582,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(22:1),PG,1969.0001335144043,2159.3201904296875,1673.480110168457,2085.4801483154297,1964.5201416015625,2567.340171813965,1969.0001335144043,2159.3201904296875,1673.480110168457,2085.4801483154297,1964.5201416015625,2567.340171813965,1938.9001350402832,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(22:2),PG,1596.5401191711426,1291.10009765625,1819.7401237487793,1452.1001052856445,1412.4801025390625,1246.860092163086,1596.5401191711426,1291.10009765625,1819.7401237487793,1452.1001052856445,1412.4801025390625,1246.860092163086,1302.4200859069824,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(22:4),PG,1281.3200950622559,1248.880084991455,1398.740089416504,1442.0201034545898,1517.5801048278809,1331.5600891113281,1281.3200950622559,1248.880084991455,1398.740089416504,1442.0201034545898,1517.5801048278809,1331.5600891113281,1754.1201248168945,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(22:6),PG,1323.7800979614258,1387.06010055542,1560.9200973510742,1571.7001113891602,1369.6800956726074,1302.4400939941406,1323.7800979614258,1387.06010055542,1560.9200973510742,1571.7001113891602,1369.6800956726074,1302.4400939941406,1252.4800910949707,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(12:0),PI,1441.7201042175293,1295.7400970458984,1520.7801132202148,1664.5201110839844,1420.8400917053223,1915.1401290893555,1441.7201042175293,1295.7400970458984,1520.7801132202148,1664.5201110839844,1420.8400917053223,1915.1401290893555,1377.4401054382324,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(13:0),PI,1639.2401008605957,1340.7400970458984,1313.6000938415527,1609.880111694336,1655.200122833252,1366.8800926208496,1639.2401008605957,1340.7400970458984,1313.6000938415527,1609.880111694336,1655.200122833252,1366.8800926208496,1431.780086517334,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(14:0),PI,2501.4401779174805,2451.3202018737793,3521.760284423828,2483.8201751708984,2333.5601806640625,1779.2801361083984,2501.4401779174805,2451.3202018737793,3521.760284423828,2483.8201751708984,2333.5601806640625,1779.2801361083984,3070.2802124023438,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(14:1),PI,7712.860572814941,6805.760471343994,8382.260517120361,5859.740398406982,6390.640449523926,9065.520565032959,7712.860572814941,6805.760471343994,8382.260517120361,5859.740398406982,6390.640449523926,9065.520565032959,8673.520706176758,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(15:0)|LPI(O-16:0),PI,1468.1400985717773,1368.1600875854492,1215.2000846862793,1479.160099029541,1392.420108795166,1341.6200942993164,1468.1400985717773,1368.1600875854492,1215.2000846862793,1479.160099029541,1392.420108795166,1341.6200942993164,1405.760108947754,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(15:1)|LPI(P-16:0),PI,1383.480094909668,1427.5801124572754,1400.8200950622559,1416.420108795166,1650.4801063537598,1628.5801162719727,1383.480094909668,1427.5801124572754,1400.8200950622559,1416.420108795166,1650.4801063537598,1628.5801162719727,1531.460117340088,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(16:0),PI,1371.6800918579102,1710.1601219177246,1692.680118560791,1541.5401077270508,1519.2200965881348,1686.8401069641113,1371.6800918579102,1710.1601219177246,1692.680118560791,1541.5401077270508,1519.2200965881348,1686.8401069641113,1331.4000930786133,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(16:1),PI,3734.5802574157715,2589.220169067383,3309.340229034424,3184.2402381896973,2921.4401931762695,3813.30029296875,3734.5802574157715,2589.220169067383,3309.340229034424,3184.2402381896973,2921.4401931762695,3813.30029296875,2648.3001861572266,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(17:0)|LPI(O-18:0),PI,5270.140411376953,5872.740451812744,4837.900321960449,3986.9402770996094,4155.140342712402,4381.000305175781,5270.140411376953,5872.740451812744,4837.900321960449,3986.9402770996094,4155.140342712402,4381.000305175781,5459.780342102051,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(17:1)|LPI(P-18:0),PI,1379.4801025390625,1395.9201049804688,1475.9800987243652,1524.6401100158691,1645.0601119995117,1334.1800994873047,1379.4801025390625,1395.9201049804688,1475.9800987243652,1524.6401100158691,1645.0601119995117,1334.1800994873047,1308.9800910949707,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(17:2),PI,1719.2401161193848,1434.360107421875,1281.4200859069824,1306.2601013183594,1555.8600997924805,1285.1600952148438,1719.2401161193848,1434.360107421875,1281.4200859069824,1306.2601013183594,1555.8600997924805,1285.1600952148438,1527.3201217651367,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(18:0),PI,1621.2601165771484,1354.4001121520996,1470.3600997924805,1595.9001121520996,1415.2000923156738,1498.3801040649414,1621.2601165771484,1354.4001121520996,1470.3600997924805,1595.9001121520996,1415.2000923156738,1498.3801040649414,1546.800121307373,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(18:1),PI,1303.8400840759277,1304.240089416504,1367.5600852966309,1333.2800903320312,1523.4201011657715,1305.5401039123535,1303.8400840759277,1304.240089416504,1367.5600852966309,1333.2800903320312,1523.4201011657715,1305.5401039123535,1294.1001052856445,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(18:2),PI,1635.980110168457,1402.760097503662,1317.000099182129,1495.9001121520996,1515.2601051330566,1308.3800811767578,1635.980110168457,1402.760097503662,1317.000099182129,1495.9001121520996,1515.2601051330566,1308.3800811767578,1502.2601127624512,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(18:3),PI,1569.4801139831543,1355.4800987243652,1346.7200965881348,1764.6001319885254,1285.9600868225098,1247.980094909668,1569.4801139831543,1355.4800987243652,1346.7200965881348,1764.6001319885254,1285.9600868225098,1247.980094909668,1476.7200927734375,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(18:4),PI,1638.0401000976562,1832.7401313781738,1787.7801361083984,1928.6201515197754,1367.8200912475586,1492.8200988769531,1638.0401000976562,1832.7401313781738,1787.7801361083984,1928.6201515197754,1367.8200912475586,1492.8200988769531,1638.9001083374023,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(19:0)|LPI(O-20:0),PI,2487.720184326172,1562.6601104736328,1463.5401039123535,2271.6001625061035,1788.1601181030273,1707.60013961792,2487.720184326172,1562.6601104736328,1463.5401039123535,2271.6001625061035,1788.1601181030273,1707.60013961792,3791.9802627563477,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPI(19:1)|LPI(P-20:0),PI,1805.5001029968262,1824.3601303100586,1640.7401008605957,1551.440113067627,1627.320110321045,1458.8601188659668,1805.5001029968262,1824.3601303100586,1640.7401008605957,1551.440113067627,1627.320110321045,1458.8601188659668,1611.2801094055176,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
