Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction
PE(14:0),PC(36:1),PE,PC,10400,PEMT,8
PI(38:1),LPI(12:0) ,PI,LPI,123745,PLA2G4E,29
SM(40:1),Cer1P(20:1),SM,Cer,55512,SMPD3,18
PE(42:1),LPE(24:0),PE,LPE,8605,PLA2G4C,27
PC(30:1),LPC(16:1),PC,LPC,5319,PLA2G1B,23
PC(52:4),LPC(20:4),PC,LPC,283748,PLA2G4D,23
PS(38:8),LPS(18:4),PS,LPS,5320,PLA2G2A,31
PC(32:5),LPC(18:4),PC,LPC,283748,PLA2G4D,23
PC(40:7),LPC(20:3),PC,LPC,30814,PLA2G2E,23
LPE(14:1),PE(28:2),LPE,PE,154141,MBOAT1,26
LPG(22:1) ,PG(38:0) ,LPG,PG,54675,CRLS1,32
PC(32:1),LPC(14:1),PC,LPC,5319,PLA2G1B,23
LPS(20:5) ,PS(34:6),LPS,PS,154141,MBOAT1,30
LPE(18:4),PE(52:4),LPE,PE,10162,LPCAT3,26
LPE(18:1),PE(30:2),LPE,PE,254531,LPCAT4,26
PC(44:1),PS(26:1),PC,PS,9791,PTDSS1,9
PC(42:2),LPC(22:6),PC,LPC,64600,PLA2G2F,23
LPC(20:2),PC(42:3),LPC,PC,254531,LPCAT4,22
PC(32:4),LPC(18:4),PC,LPC,100137049,PLA2G4B,23
PE(32:2),PC(50:0),PE,PC,10400,PEMT,8
PE(20:3),PS(38:1),PE,PS,81490,PTDSS2,7
LPE(22:6),PE(42:2)_2,LPE,PE,254531,LPCAT4,26
LPE(18:2),PE(38:3),LPE,PE,10162,LPCAT3,26
PC(44:1),LPC(18:2),PC,LPC,123745,PLA2G4E,23
LPI(18:1) ,PI(36:0),LPI,PI,79143,MBOAT7,28
PG(38:5),LPG(18:4),PG,LPG,54675,CRLS1,33
PS(38:7),LPS(22:6) ,PS,LPS,5320,PLA2G2A,31
LPG(16:0),PG(42:1),LPG,PG,9926,LPGAT1,32
LPG(20:0),PG(44:5),LPG,PG,54675,CRLS1,32
LPC(22:2),PC(44:8),LPC,PC,79888,LPCAT1,22
PS(42:0),PE(20:0),PS,PE,23761,PISD,6
PG(28:1),LPG(14:1) ,PG,LPG,283748,PLA2G4D,33
PC(40:6),LPC(22:2),PC,LPC,5319,PLA2G1B,23
LPE(18:3),PE(34:3),LPE,PE,254531,LPCAT4,26
PC(40:1),LPC(16:1)_2,PC,LPC,123745,PLA2G4E,23
LPC(16:1),PC(34:2),LPC,PC,54947,LPCAT2,22
LPS(18:2) ,PS(40:8),LPS,PS,154141,MBOAT1,30
LPG(20:3) ,PG(36:2),LPG,PG,54675,CRLS1,32
LPS(22:1) ,PS(40:2),LPS,PS,10162,LPCAT3,30
PC(42:3),LPC(18:4),PC,LPC,8605,PLA2G4C,23
PC(38:4),LPC(18:3),PC,LPC,5320,PLA2G2A,23
PS(38:0),LPS(12:0) ,PS,LPS,30814,PLA2G2E,31
PC(36:0) ,LPC(22:1),PC,LPC,26279,PLA2G2D,23
PC(42:0),LPC(22:4),PC,LPC,283748,PLA2G4D,23
LPG(20:4) ,PG(32:5),LPG,PG,54675,CRLS1,32
PG(40:5),LPG(20:1) ,PG,LPG,255189,PLA2G4F,33
Cer(32:2),SM(32:2),Cer,SM,166929,SGMS2,17
PE(22:4),PS(36:4),PE,PS,81490,PTDSS2,7
PC(36:0) ,LPC(18:1),PC,LPC,5321,PLA2G4A,23
LPE(13:0),PE(32:0),LPE,PE,129642,MBOAT2,26
LPC(14:1),PC(38:0),LPC,PC,10162,LPCAT3,22
LPG(20:1) ,PG(40:4),LPG,PG,9926,LPGAT1,32
LPE(18:4),PE(36:3),LPE,PE,254531,LPCAT4,26
LPC(22:5),PC(42:9),LPC,PC,10162,LPCAT3,22
PC(44:0),LPC(24:1),PC,LPC,5320,PLA2G2A,23
PS(38:5),PE(16:1),PS,PE,23761,PISD,6
PS(32:1),PE(14:0),PS,PE,23761,PISD,6
Cer(30:1),SM(42:2),Cer,SM,166929,SGMS2,17
PC(42:3),LPC(24:1),PC,LPC,8605,PLA2G4C,23
Cer(32:2),Cer1P(20:1),Cer,Cer1P,64781,CERK,41
PC(38:2),LPC(19:2),PC,LPC,5321,PLA2G4A,23
LPE(22:0),PE(34:1),LPE,PE,254531,LPCAT4,26
PC(42:1),LPC(20:2),PC,LPC,5319,PLA2G1B,23
LPE(20:5),PE(34:6),LPE,PE,10162,LPCAT3,26
PC(36:2),LPC(19:3),PC,LPC,30814,PLA2G2E,23
LPC(14:0),PC(30:0),LPC,PC,54947,LPCAT2,22
PC(52:4),LPC(22:4),PC,LPC,64600,PLA2G2F,23
PC(34:2),LPC(20:1),PC,LPC,100137049,PLA2G4B,23
PC(42:8),LPC(22:5),PC,LPC,64600,PLA2G2F,23
LPC(20:4),PC(36:3),LPC,PC,79888,LPCAT1,22
LPG(18:3) ,PG(38:6),LPG,PG,9926,LPGAT1,32
LPE(22:6),PE(40:8),LPE,PE,10162,LPCAT3,26
PS(44:0),LPS(22:4) ,PS,LPS,64600,PLA2G2F,31
PE(18:1),PC(36:1),PE,PC,10400,PEMT,8
PG(40:0) ,LPG(20:1) ,PG,LPG,54675,CRLS1,33
LPS(14:0),PS(32:1),LPS,PS,254531,LPCAT4,30
LPE(20:2),PE(38:2),LPE,PE,254531,LPCAT4,26
PE(36:0),LPE(12:0) ,PE,LPE,8605,PLA2G4C,27
PE(20:3),PS(38:5),PE,PS,81490,PTDSS2,7
PC(42:7),LPC(22:2),PC,LPC,8605,PLA2G4C,23
PC(38:6),LPC(16:1),PC,LPC,5320,PLA2G2A,23
PS(38:4),LPS(18:0) ,PS,LPS,64600,PLA2G2F,31
PC(34:0),LPC(17:1),PC,LPC,5320,PLA2G2A,23
PI(36:1),LPI(18:3) ,PI,LPI,123745,PLA2G4E,29
LPG(22:0) ,PG(40:4),LPG,PG,54675,CRLS1,32
PE(34:3),LPE(14:0),PE,LPE,8605,PLA2G4C,27
LPE(20:3),PE(34:3),LPE,PE,10162,LPCAT3,26
PS(38:2),PE(16:1),PS,PE,23761,PISD,6
PI(32:5),LPI(18:4) ,PI,LPI,283748,PLA2G4D,29
LPC(16:1)_2,PC(40:2),LPC,PC,10162,LPCAT3,22
PI(36:1),LPI(21:0),PI,LPI,283748,PLA2G4D,29
PC(36:4),LPC(22:4),PC,LPC,5321,PLA2G4A,23
PS(32:3),LPS(14:0),PS,LPS,5320,PLA2G2A,31
LPC(24:0),PC(38:0),LPC,PC,54947,LPCAT2,22
PG(40:2),LPG(20:2) ,PG,LPG,255189,PLA2G4F,33
PI(44:3),LPI(18:3) ,PI,LPI,123745,PLA2G4E,29
PC(36:0) ,LPC(16:1)_2,PC,LPC,8605,PLA2G4C,23
PC(40:9),LPC(20:4),PC,LPC,64600,PLA2G2F,23
PC(36:1),LPC(16:1),PC,LPC,30814,PLA2G2E,23
PC(38:4),LPC(18:0),PC,LPC,64600,PLA2G2F,23
PE(28:2),PS(42:2),PE,PS,81490,PTDSS2,7
LPC(16:1)_2,PC(42:1),LPC,PC,79888,LPCAT1,22
LPC(14:0),PC(36:4),LPC,PC,254531,LPCAT4,22
PC(38:4),LPC(20:2),PC,LPC,30814,PLA2G2E,23
LPS(14:1) ,PS(30:1),LPS,PS,10162,LPCAT3,30
PC(42:6),LPC(18:1),PC,LPC,100137049,PLA2G4B,23
PC(36:4),LPC(18:0),PC,LPC,30814,PLA2G2E,23
PC(38:1),LPC(16:1),PC,LPC,5321,PLA2G4A,23
PC(40:10),LPC(20:5),PC,LPC,8605,PLA2G4C,23
PE(34:1),LPE(20:2),PE,LPE,8605,PLA2G4C,27
PS(38:7),LPS(18:2) ,PS,LPS,64600,PLA2G2F,31
LPC(20:0),PC(34:0),LPC,PC,254531,LPCAT4,22
LPC(18:0),PC(38:1),LPC,PC,54947,LPCAT2,22
PC(46:0),LPC(24:1),PC,LPC,5320,PLA2G2A,23
LPE(16:1),PE(40:2),LPE,PE,10162,LPCAT3,26
LPE(22:6),PE(42:10),LPE,PE,154141,MBOAT1,26
LPC(20:0),PC(38:2),LPC,PC,10162,LPCAT3,22
PC(38:4),LPC(21:4),PC,LPC,283748,PLA2G4D,23
PE(20:5),PC(40:4),PE,PC,10400,PEMT,8
LPE(20:5),PE(32:5),LPE,PE,129642,MBOAT2,26
PG(34:3),LPG(18:2) ,PG,LPG,283748,PLA2G4D,33
PC(42:4),LPC(18:3),PC,LPC,123745,PLA2G4E,23
PC(48:0),LPC(16:0),PC,LPC,64600,PLA2G2F,23
PC(40:0),LPC(20:1),PC,LPC,30814,PLA2G2E,23
PC(34:3),PS(34:3),PC,PS,9791,PTDSS1,9
LPG(20:2) ,PG(34:1),LPG,PG,9926,LPGAT1,32
PC(46:0),LPC(18:0),PC,LPC,64600,PLA2G2F,23
PC(40:7),LPC(16:1),PC,LPC,5319,PLA2G1B,23
LPE(16:1),PE(30:2),LPE,PE,129642,MBOAT2,26
SM(32:1),Cer(44:2),SM,Cer,55512,SMPD3,18
LPS(20:5) ,PS(34:5),LPS,PS,10162,LPCAT3,30
PC(32:1),LPC(15:1),PC,LPC,100137049,PLA2G4B,23
PE(20:1),PC(38:3),PE,PC,10400,PEMT,8
PS(44:0),LPS(12:0) ,PS,LPS,5320,PLA2G2A,31
PI(44:4),LPI(20:4) ,PI,LPI,283748,PLA2G4D,29
PC(48:0),LPC(18:0),PC,LPC,5320,PLA2G2A,23
PE(42:1),LPE(20:1),PE,LPE,8605,PLA2G4C,27
PC(42:8),LPC(18:2),PC,LPC,5320,PLA2G2A,23
PE(40:9),LPE(18:4),PE,LPE,8605,PLA2G4C,27
PC(38:3),LPC(22:2),PC,LPC,64600,PLA2G2F,23
PC(30:2),LPC(16:1),PC,LPC,30814,PLA2G2E,23
PC(40:3),LPC(20:2),PC,LPC,8605,PLA2G4C,23
LPE(18:3),PE(44:2),LPE,PE,10162,LPCAT3,26
PE(18:2),PC(36:1),PE,PC,10400,PEMT,8
PG(44:7),LPG(20:1) ,PG,LPG,54675,CRLS1,33
Cer1P(30:1),Cer(42:0),Cer1P,Cer,5524,PTPA,42
PC(32:2),LPC(20:2),PC,LPC,30814,PLA2G2E,23
LPS(18:2) ,PS(42:2),LPS,PS,154141,MBOAT1,30
Cer1P(20:1),SM(42:2),Cer,SM,166929,SGMS2,17
PC(30:0),LPC(15:0),PC,LPC,64600,PLA2G2F,23
SM(44:2),Cer(30:2),SM,Cer,55512,SMPD3,18
LPG(22:1) ,PG(42:2),LPG,PG,9926,LPGAT1,32
PE(20:1),PS(38:0),PE,PS,81490,PTDSS2,7
PC(46:2),LPC(22:1),PC,LPC,255189,PLA2G4F,23
LPG(18:0) ,PG(30:1),LPG,PG,54675,CRLS1,32
LPE(22:4),PE(36:5),LPE,PE,129642,MBOAT2,26
LPE(20:4),PE(38:6),LPE,PE,10162,LPCAT3,26
PI(40:8),LPI(22:4) ,PI,LPI,123745,PLA2G4E,29
PS(24:0),PE(42:4),PS,PE,23761,PISD,6
PC(38:1),LPC(16:1),PC,LPC,123745,PLA2G4E,23
PC(36:5),LPC(20:5),PC,LPC,283748,PLA2G4D,23
LPE(20:1),PE(42:1),LPE,PE,254531,LPCAT4,26
PI(44:5),LPI(18:4) ,PI,LPI,123745,PLA2G4E,29
PI(36:4),LPI(20:3) ,PI,LPI,123745,PLA2G4E,29
LPC(22:1),PC(40:1),LPC,PC,10162,LPCAT3,22
PI(34:1),LPI(17:0),PI,LPI,123745,PLA2G4E,29
PC(42:5),LPC(18:0),PC,LPC,5319,PLA2G1B,23
PC(40:4),LPC(22:5),PC,LPC,283748,PLA2G4D,23
PC(36:1),LPC(14:0),PC,LPC,5320,PLA2G2A,23
LPS(18:3) ,PS(40:8),LPS,PS,10162,LPCAT3,30
PC(46:1),LPC(16:1),PC,LPC,283748,PLA2G4D,23
PC(36:4),LPC(22:5),PC,LPC,255189,PLA2G4F,23
PC(38:5),LPC(18:0),PC,LPC,255189,PLA2G4F,23
LPE(20:2),PE(40:5),LPE,PE,10162,LPCAT3,26
LPC(18:3),PC(38:0),LPC,PC,54947,LPCAT2,22
PC(36:3),LPC(18:4),PC,LPC,5320,PLA2G2A,23
PC(42:8),LPC(22:4),PC,LPC,100137049,PLA2G4B,23
LPE(22:6),PE(22:6),LPE,PE,10162,LPCAT3,26
LPC(22:5),PC(44:4),LPC,PC,79888,LPCAT1,22
PC(52:0),LPC(24:0),PC,LPC,8605,PLA2G4C,23
PI(44:2),LPI(18:1) ,PI,LPI,123745,PLA2G4E,29
PC(36:0) ,LPC(18:0),PC,LPC,5321,PLA2G4A,23
PG(30:2),LPG(18:3) ,PG,LPG,283748,PLA2G4D,33
PE(42:0),LPE(24:1),PE,LPE,8605,PLA2G4C,27
PE(34:5),LPE(18:4),PE,LPE,8605,PLA2G4C,27
PS(42:10),PE(20:4),PS,PE,23761,PISD,6
PE(38:1),LPE(20:0),PE,LPE,8605,PLA2G4C,27
PC(44:0),LPC(14:0),PC,LPC,255189,PLA2G4F,23
PI(30:0),LPI(18:0) ,PI,LPI,283748,PLA2G4D,29
LPE(22:6),PE(44:1),LPE,PE,254531,LPCAT4,26
PC(36:5),LPC(18:4),PC,LPC,26279,PLA2G2D,23
PS(30:4),LPS(12:0) ,PS,LPS,30814,PLA2G2E,31
PC(34:3),LPC(22:2),PC,LPC,255189,PLA2G4F,23
PC(48:2),LPC(22:2),PC,LPC,30814,PLA2G2E,23
LPE(22:4),PE(42:0),LPE,PE,154141,MBOAT1,26
LPG(20:5) ,PG(42:1),LPG,PG,54675,CRLS1,32
PC(42:1),LPC(16:1),PC,LPC,100137049,PLA2G4B,23
PC(44:7),LPC(22:6),PC,LPC,8605,PLA2G4C,23
LPS(18:4)_2,PS(32:3),LPS,PS,254531,LPCAT4,30
LPC(16:1),PC(44:1),LPC,PC,254531,LPCAT4,22
PS(40:3),LPS(20:0) ,PS,LPS,30814,PLA2G2E,31
LPG(16:0),PG(40:6),LPG,PG,9926,LPGAT1,32
PI(36:1),LPI(22:1) ,PI,LPI,283748,PLA2G4D,29
PI(40:6),LPI(20:3) ,PI,LPI,283748,PLA2G4D,29
PC(42:1),LPC(22:0),PC,LPC,283748,PLA2G4D,23
PC(38:1),LPC(20:2),PC,LPC,8605,PLA2G4C,23
PC(42:3),LPC(22:0),PC,LPC,64600,PLA2G2F,23
PC(34:0),LPC(22:0),PC,LPC,5321,PLA2G4A,23
PE(44:3),LPE(20:2),PE,LPE,8605,PLA2G4C,27
PS(30:2),LPS(15:1),PS,LPS,5320,PLA2G2A,31
PG(32:2),LPG(20:1) ,PG,LPG,54675,CRLS1,33
LPE(18:2),PE(30:3),LPE,PE,154141,MBOAT1,26
LPE(22:5),PE(42:0),LPE,PE,129642,MBOAT2,26
PS(36:2),LPS(18:2) ,PS,LPS,30814,PLA2G2E,31
PS(32:5),PE(20:4),PS,PE,23761,PISD,6
LPC(20:4),PC(34:4),LPC,PC,54947,LPCAT2,22
LPC(18:0),PC(32:1),LPC,PC,254531,LPCAT4,22
PE(44:2),LPE(20:3),PE,LPE,8605,PLA2G4C,27
LPG(22:4) ,PG(34:3),LPG,PG,54675,CRLS1,32
PS(42:6),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31
LPI(18:1) ,PI(44:0),LPI,PI,79143,MBOAT7,28
Cer1P(26:1),Cer(44:0),Cer1P,Cer,5524,PTPA,42
LPG(20:5) ,PG(38:6),LPG,PG,54675,CRLS1,32
LPC(20:3),PC(42:7),LPC,PC,10162,LPCAT3,22
PC(44:5),LPC(24:0),PC,LPC,123745,PLA2G4E,23
PC(38:3),LPC(20:3),PC,LPC,283748,PLA2G4D,23
PS(44:2),PE(22:1),PS,PE,23761,PISD,6
PE(52:4),PS(34:6),PE,PS,81490,PTDSS2,7
LPC(22:0),PC(46:1),LPC,PC,254531,LPCAT4,22
PC(44:0),LPC(22:1),PC,LPC,8605,PLA2G4C,23
PE(22:6),PS(44:10),PE,PS,81490,PTDSS2,7
LPG(22:2),PG(44:8),LPG,PG,54675,CRLS1,32
LPG(18:3) ,PG(40:8),LPG,PG,9926,LPGAT1,32
PC(36:6),LPC(18:4),PC,LPC,283748,PLA2G4D,23
LPE(20:1),PE(44:7),LPE,PE,154141,MBOAT1,26
PC(34:5),LPC(16:1),PC,LPC,255189,PLA2G4F,23
PS(32:1),LPS(16:1) ,PS,LPS,30814,PLA2G2E,31
PE(20:1),PS(44:6),PE,PS,81490,PTDSS2,7
LPE(18:0),PE(38:0)_2,LPE,PE,10162,LPCAT3,26
LPE(20:4),PE(38:8),LPE,PE,129642,MBOAT2,26
LPE(22:6),PE(42:7),LPE,PE,154141,MBOAT1,26
PI(26:0),LPI(14:1),PI,LPI,283748,PLA2G4D,29
LPS(18:2) ,PS(38:1),LPS,PS,154141,MBOAT1,30
PC(34:5),LPC(12:0),PC,LPC,5320,PLA2G2A,23
PC(34:0),LPC(18:0),PC,LPC,64600,PLA2G2F,23
PE(42:0),LPE(20:4),PE,LPE,8605,PLA2G4C,27
LPE(22:1),PE(40:4),LPE,PE,154141,MBOAT1,26
PE(22:1),PC(44:2),PE,PC,10400,PEMT,8
PC(44:10),LPC(22:4),PC,LPC,255189,PLA2G4F,23
PG(36:4),LPG(18:2) ,PG,LPG,255189,PLA2G4F,33
PS(30:4),PE(30:4),PS,PE,23761,PISD,6
PC(42:2),LPC(18:1),PC,LPC,5321,PLA2G4A,23
LPE(24:6),PE(42:2)_2,LPE,PE,129642,MBOAT2,26
PS(30:0),LPS(18:0) ,PS,LPS,30814,PLA2G2E,31
PC(38:7),LPC(18:3),PC,LPC,123745,PLA2G4E,23
PS(36:1),LPS(12:0) ,PS,LPS,30814,PLA2G2E,31
LPC(20:0),PC(34:0),LPC,PC,79888,LPCAT1,22
LPE(18:2),PE(32:3),LPE,PE,10162,LPCAT3,26
PC(38:1),LPC(20:0),PC,LPC,283748,PLA2G4D,23
PS(40:5),LPS(20:0) ,PS,LPS,30814,PLA2G2E,31
PG(38:5),LPG(16:0),PG,LPG,54675,CRLS1,33
LPC(4:0),PC(38:0),LPC,PC,10162,LPCAT3,22
PI(34:4),LPI(16:0) ,PI,LPI,123745,PLA2G4E,29
LPS(18:2) ,PS(36:5),LPS,PS,254531,LPCAT4,30
PE(42:9),PC(42:9),PE,PC,10400,PEMT,8
PC(36:6),LPC(18:2),PC,LPC,5320,PLA2G2A,23
PC(40:8),LPC(22:6),PC,LPC,100137049,PLA2G4B,23
LPE(24:6),PE(36:7),LPE,PE,10162,LPCAT3,26
PC(34:0),LPC(22:0),PC,LPC,123745,PLA2G4E,23
LPE(20:0),PE(34:1),LPE,PE,154141,MBOAT1,26
LPE(22:6),PE(44:2),LPE,PE,10162,LPCAT3,26
LPS(20:1) ,PS(38:1),LPS,PS,254531,LPCAT4,30
LPC(18:2),PC(36:1),LPC,PC,254531,LPCAT4,22
LPC(18:2),PC(32:2),LPC,PC,10162,LPCAT3,22
PC(36:3),LPC(16:0),PC,LPC,26279,PLA2G2D,23
PS(40:1),LPS(20:5) ,PS,LPS,64600,PLA2G2F,31
PC(40:6),LPC(16:1),PC,LPC,255189,PLA2G4F,23
PC(40:2),LPC(22:6),PC,LPC,8605,PLA2G4C,23
PC(42:7),LPC(18:2),PC,LPC,64600,PLA2G2F,23
PG(40:2),LPG(18:2) ,PG,LPG,283748,PLA2G4D,33
LPS(22:1) ,PS(38:2),LPS,PS,10162,LPCAT3,30
PC(32:4),LPC(20:5),PC,LPC,64600,PLA2G2F,23
LPC(18:0),PC(40:6),LPC,PC,254531,LPCAT4,22
PC(42:0),LPC(20:4),PC,LPC,100137049,PLA2G4B,23
PC(38:0),LPC(10:0),PC,LPC,5320,PLA2G2A,23
LPC(20:0),PC(40:1),LPC,PC,79888,LPCAT1,22
PC(34:4),LPC(12:0),PC,LPC,64600,PLA2G2F,23
LPG(22:6) ,PG(38:6),LPG,PG,54675,CRLS1,32
LPC(20:2),PC(44:1),LPC,PC,10162,LPCAT3,22
PC(40:3),LPC(22:5),PC,LPC,5320,PLA2G2A,23
PC(34:3),LPC(16:1),PC,LPC,5319,PLA2G1B,23
PI(32:5),LPI(20:4) ,PI,LPI,123745,PLA2G4E,29
PI(40:7),LPI(22:4) ,PI,LPI,283748,PLA2G4D,29
LPS(14:0),PS(34:5),LPS,PS,154141,MBOAT1,30
PI(38:0) ,LPI(21:0),PI,LPI,123745,PLA2G4E,29
PG(38:0) ,LPG(14:1) ,PG,LPG,255189,PLA2G4F,33
PG(44:5),LPG(22:1) ,PG,LPG,283748,PLA2G4D,33
LPC(20:4),PC(40:8),LPC,PC,79888,LPCAT1,22
PC(44:0),LPC(24:0),PC,LPC,26279,PLA2G2D,23
PC(32:1),LPC(20:0),PC,LPC,283748,PLA2G4D,23
LPE(22:0),PE(42:1),LPE,PE,129642,MBOAT2,26
LPG(12:0),PG(32:0),LPG,PG,54675,CRLS1,32
LPC(18:3),PC(32:2),LPC,PC,254531,LPCAT4,22
LPS(22:6) ,PS(40:7),LPS,PS,154141,MBOAT1,30
PS(42:11),LPS(20:5) ,PS,LPS,30814,PLA2G2E,31
PC(44:0),LPC(12:0),PC,LPC,100137049,PLA2G4B,23
PC(36:2),LPC(20:3),PC,LPC,5319,PLA2G1B,23
LPE(20:4),PE(36:5),LPE,PE,129642,MBOAT2,26
LPE(18:1),PE(36:5),LPE,PE,154141,MBOAT1,26
PI(38:7),LPI(20:3) ,PI,LPI,283748,PLA2G4D,29
PI(36:2),LPI(19:1),PI,LPI,283748,PLA2G4D,29
PC(42:2),LPC(16:1)_2,PC,LPC,8605,PLA2G4C,23
PC(48:2),PS(34:2),PC,PS,9791,PTDSS1,9
PS(40:7),LPS(20:3) ,PS,LPS,64600,PLA2G2F,31
PG(36:0),LPG(18:0) ,PG,LPG,283748,PLA2G4D,33
PC(40:7),LPC(22:4),PC,LPC,5319,PLA2G1B,23
PC(38:1),LPC(20:3),PC,LPC,283748,PLA2G4D,23
PS(32:4),LPS(14:0),PS,LPS,5320,PLA2G2A,31
LPC(22:5),PC(44:5),LPC,PC,10162,LPCAT3,22
PG(42:3),LPG(18:3) ,PG,LPG,54675,CRLS1,33
LPE(18:3),PE(34:4),LPE,PE,254531,LPCAT4,26
PC(32:1),LPC(17:1),PC,LPC,100137049,PLA2G4B,23
LPE(20:2),PE(44:1),LPE,PE,10162,LPCAT3,26
PE(20:2),PS(44:8),PE,PS,81490,PTDSS2,7
PS(42:4),LPS(18:4)_2,PS,LPS,5320,PLA2G2A,31
PC(42:4),LPC(20:4),PC,LPC,64600,PLA2G2F,23
PC(42:9),LPC(20:5),PC,LPC,100137049,PLA2G4B,23
PC(36:0) ,LPC(21:0),PC,LPC,5321,PLA2G4A,23
PG(42:2),LPG(20:3) ,PG,LPG,255189,PLA2G4F,33
PC(42:0),PS(42:0),PC,PS,9791,PTDSS1,9
PS(34:4),LPS(16:1) ,PS,LPS,5320,PLA2G2A,31
LPC(16:1)_2,PC(40:6),LPC,PC,54947,LPCAT2,22
LPS(22:4) ,PS(34:4),LPS,PS,10162,LPCAT3,30
PC(42:1),LPC(18:1),PC,LPC,100137049,PLA2G4B,23
PC(36:4),LPC(18:4),PC,LPC,100137049,PLA2G4B,23
LPS(18:2) ,PS(40:1),LPS,PS,254531,LPCAT4,30
PE(30:3),PC(48:0),PE,PC,10400,PEMT,8
PE(36:4),LPE(20:3),PE,LPE,8605,PLA2G4C,27
LPE(18:1),PE(42:6),LPE,PE,254531,LPCAT4,26
PS(30:2),PE(42:1),PS,PE,23761,PISD,6
PS(32:1),PE(16:0),PS,PE,23761,PISD,6
PG(32:4),LPG(14:1) ,PG,LPG,54675,CRLS1,33
PC(36:1),LPC(10:0),PC,LPC,5321,PLA2G4A,23
PC(40:4),LPC(21:4),PC,LPC,5321,PLA2G4A,23
PC(42:6),LPC(22:1),PC,LPC,255189,PLA2G4F,23
LPE(18:0),PE(38:1),LPE,PE,10162,LPCAT3,26
LPG(21:0),PG(36:1),LPG,PG,54675,CRLS1,32
PC(44:1),LPC(18:2),PC,LPC,5319,PLA2G1B,23
LPS(22:0 ,PS(44:0),LPS,PS,254531,LPCAT4,30
LPC(22:5),PC(46:0),LPC,PC,79888,LPCAT1,22
PG(34:5)_2,LPG(22:4) ,PG,LPG,255189,PLA2G4F,33
PE(44:4),LPE(18:3),PE,LPE,8605,PLA2G4C,27
LPC(16:0),PC(42:1),LPC,PC,54947,LPCAT2,22
PC(32:1),LPC(16:1)_2,PC,LPC,283748,PLA2G4D,23
PI(36:7),LPI(22:6) ,PI,LPI,283748,PLA2G4D,29
Cer1P(26:1),Cer(44:1),Cer1P,Cer,5524,PTPA,42
PE(18:0),PC(38:5),PE,PC,10400,PEMT,8
PC(42:0),LPC(24:1),PC,LPC,64600,PLA2G2F,23
LPS(12:0) ,PS(34:0),LPS,PS,154141,MBOAT1,30
PC(38:2),LPC(22:2),PC,LPC,100137049,PLA2G4B,23
Cer1P(20:1),Cer1P(42:1),Cer,Cer1P,64781,CERK,41
O-PE(28:0),P-PE(16:0),O-PE,P-PE,387521,PEDS1,84
LPC(20:4),PC(42:8),LPC,PC,79888,LPCAT1,22
PG(36:6),LPG(22:6) ,PG,LPG,283748,PLA2G4D,33
LPG(22:2),PG(36:2),LPG,PG,54675,CRLS1,32
LPS(20:2) ,PS(42:7),LPS,PS,10162,LPCAT3,30
PC(44:4),LPC(22:4),PC,LPC,100137049,PLA2G4B,23
PS(32:4),LPS(12:0) ,PS,LPS,64600,PLA2G2F,31
PS(36:5),PE(18:2),PS,PE,23761,PISD,6
PC(40:5),LPC(16:0),PC,LPC,64600,PLA2G2F,23
PE(42:2),PS(42:2),PE,PS,81490,PTDSS2,7
LPC(20:3),PC(44:3),LPC,PC,54947,LPCAT2,22
PI(38:6),LPI(20:5) ,PI,LPI,123745,PLA2G4E,29
PC(36:4),LPC(18:4),PC,LPC,123745,PLA2G4E,23
PC(32:5),LPC(20:5),PC,LPC,8605,PLA2G4C,23
PG(34:3),LPG(14:0),PG,LPG,255189,PLA2G4F,33
PG(32:1),LPG(17:1) ,PG,LPG,255189,PLA2G4F,33
PC(46:1),LPC(24:1),PC,LPC,5320,PLA2G2A,23
PC(50:0),LPC(18:0),PC,LPC,5321,PLA2G4A,23
LPE(22:5),PE(40:9),LPE,PE,10162,LPCAT3,26
PC(42:1),LPC(18:0),PC,LPC,100137049,PLA2G4B,23
Cer(44:1),Cer1P(32:1),Cer,Cer1P,64781,CERK,41
LPE(22:4),PE(40:4),LPE,PE,154141,MBOAT1,26
PC(52:0),PS(30:1),PC,PS,9791,PTDSS1,9
PC(46:0),PS(26:1),PC,PS,9791,PTDSS1,9
LPS(22:1) ,PS(36:1),LPS,PS,254531,LPCAT4,30
LPC(22:5),PC(40:4),LPC,PC,79888,LPCAT1,22
PC(46:1),LPC(20:1),PC,LPC,30814,PLA2G2E,23
PC(40:8),LPC(20:3),PC,LPC,5321,PLA2G4A,23
PC(32:3),LPC(14:0),PC,LPC,123745,PLA2G4E,23
PI(38:1),LPI(16:0) ,PI,LPI,123745,PLA2G4E,29
PE(44:7),LPE(22:6),PE,LPE,8605,PLA2G4C,27
PS(42:9),LPS(22:4) ,PS,LPS,5320,PLA2G2A,31
PC(34:6),LPC(14:1),PC,LPC,26279,PLA2G2D,23
PC(36:5),LPC(18:2),PC,LPC,64600,PLA2G2F,23
LPC(18:4),PC(38:4),LPC,PC,79888,LPCAT1,22
LPG(16:1) ,PG(30:0),LPG,PG,54675,CRLS1,32
PE(18:1),PS(32:0),PE,PS,81490,PTDSS2,7
LPE(12:0) ,PE(28:1),LPE,PE,10162,LPCAT3,26
PC(44:1),LPC(22:0),PC,LPC,5320,PLA2G2A,23
