,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT
151,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,846.7,629.5,16.04,7550.0,846.7 -> 629.5,0,41,68320.0,0.1776166666666672
152,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,818.7,629.5,16.09,23065.0,818.7 -> 629.5,0,27,659181.0,0.5772833333333338
153,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,818.7,629.5,16.14,4900.0,818.7 -> 629.5,0,27,106527.0,0.39965000000000117
154,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,846.7,629.5,16.04,2459.0,846.7 -> 629.5,0,41,21319.0,0.13323333333333132
155,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,818.7,629.5,16.09,16123.0,818.7 -> 629.5,0,27,387644.0,0.4884666666666675
157,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,844.7,627.5,14.93,2148.0,844.7 -> 627.5,0,39,23628.0,0.22203333333333397
158,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,816.7,627.5,14.94,6629.0,816.7 -> 627.5,0,24,161284.0,0.9325500000000009
159,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,844.7,627.5,14.89,1967.0,844.7 -> 627.5,0,39,26047.0,0.2220333333333322
160,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,816.7,627.5,15.12,5627.0,816.7 -> 627.5,0,24,188612.0,0.9325333333333337
161,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,816.7,627.5,14.94,2874.0,816.7 -> 627.5,0,24,47827.0,0.8881333333333341
162,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,844.7,627.5,14.84,669.0,844.7 -> 627.5,0,39,2677.0,0.0
163,"[TG(57:12),TG(56:5)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,816.7,627.5,14.94,4468.0,816.7 -> 627.5,0,24,110645.0,0.9325333333333319
164,"[TG(57:9),TG(56:2)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,822.8,633.6,18.44,6926.0,822.8 -> 633.6,0,31,99784.0,0.3108499999999985
165,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,850.8,633.6,18.44,1663.0,850.8 -> 633.6,0,44,18084.0,0.2220333333333322
166,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,822.8,633.6,18.44,23010.0,822.8 -> 633.6,0,31,379547.0,0.3996666666666684
167,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,850.8,633.6,18.39,2656.0,850.8 -> 633.6,0,44,40480.0,0.3108499999999985
168,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,822.8,633.6,18.44,29542.0,822.8 -> 633.6,0,31,510535.0,0.3996666666666684
169,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,822.8,633.6,18.44,1127.0,822.8 -> 633.6,0,31,14113.0,0.13321666666666943
170,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,850.8,633.6,18.3,798.0,850.8 -> 633.6,0,44,5945.0,0.08881666666666632
171,"[TG(57:9),TG(56:2)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,822.8,633.6,18.44,9515.0,822.8 -> 633.6,0,31,145200.0,0.31085000000000207
172,"[TG(58:7),]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,840.8,651.6,14.22,808.0,840.8 -> 651.6,0,36,17229.0,0.2223000000000006
173,"[TG(58:7),]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,840.8,651.6,14.27,2162.0,840.8 -> 651.6,0,36,80728.0,0.62195
174,"[TG(58:7),]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,840.8,651.6,14.22,2006.0,840.8 -> 651.6,0,36,77579.0,0.7104999999999997
175,"[TG(58:7),]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,840.8,651.6,14.18,885.0,840.8 -> 651.6,0,36,18838.0,0.6219666666666654
176,"[TG(58:7),]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,840.8,651.6,14.22,1044.0,840.8 -> 651.6,0,36,26469.0,0.48873333333333413
177,"[TG(59:11),TG(58:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,846.8,657.6,17.15,1534.0,846.8 -> 657.6,0,42,17202.0,0.13321666666666587
178,"[TG(59:11),TG(58:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,874.8,657.6,17.19,1079.0,874.8 -> 657.6,0,45,4314.0,0.0
179,"[TG(59:11),TG(58:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,846.8,657.6,17.24,3587.0,846.8 -> 657.6,0,42,52824.0,0.3996666666666684
180,"[TG(59:11),TG(58:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,874.8,657.6,17.1,778.0,874.8 -> 657.6,0,45,5412.0,0.04441666666666322
181,"[TG(59:11),TG(58:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,846.8,657.6,17.2,3767.0,846.8 -> 657.6,0,42,50958.0,0.17761666666666898
182,"[TG(59:11),TG(58:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,846.8,657.6,17.2,3132.0,846.8 -> 657.6,0,42,45884.0,0.1776333333333362
183,"[TG(59:12),TG(58:5)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,844.7,655.5,16.0,590.0,844.7 -> 655.5,0,40,2359.0,0.0
184,"[TG(59:12),TG(58:5)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,844.7,655.5,16.04,770.0,844.7 -> 655.5,0,40,7862.0,0.13321666666666587
185,"[TG(59:12),TG(58:5)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,844.7,655.5,16.04,619.0,844.7 -> 655.5,0,40,6986.0,0.13321666666666765
186,"[TG(59:12),TG(58:5)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,844.7,655.5,16.04,642.0,844.7 -> 655.5,0,40,4944.0,0.044416666666664995
187,"[TG(59:13),TG(58:6)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,842.7,653.5,15.51,1293.0,842.7 -> 653.5,0,38,15538.0,0.26645000000000074
188,"[TG(59:13),TG(58:6)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,842.7,653.5,15.55,1197.0,842.7 -> 653.5,0,38,18689.0,0.3108500000000003
