,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
84,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,792.7,603.5,15.61,4193.0,792.7 -> 603.5,0,10,30366.0,0.22203333333333397,,FA18:1,"TG(54:3), TG(55:10)"
85,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,21692.0,820.7 -> 603.5,0,18,99825.0,0.6661000000000001,10.07,FA18:1,"TG(54:3), TG(55:10)"
86,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,177357.0,792.7 -> 603.5,0,10,1005325.0,0.5772833333333338,10.07,FA18:1,"TG(54:3), TG(55:10)"
87,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,3272.0,820.7 -> 603.5,0,18,16027.0,0.17763333333333264,15.9,FA18:1,"TG(54:3), TG(55:10)"
88,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,42833.0,792.7 -> 603.5,0,10,254757.0,0.3996666666666666,15.9,FA18:1,"TG(54:3), TG(55:10)"
89,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,820.7,603.5,15.6,842.0,820.7 -> 603.5,0,18,2689.0,0.04441666666666677,31.36,FA18:1,"TG(54:3), TG(55:10)"
90,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,12118.0,792.7 -> 603.5,0,10,84337.0,0.3552666666666653,31.36,FA18:1,"TG(54:3), TG(55:10)"
91,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-7,820.7,603.5,15.56,480.0,820.7 -> 603.5,0,18,1810.0,0.04440000000000133,50.25,FA18:1,"TG(54:3), TG(55:10)"
92,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9855.0,792.7 -> 603.5,0,10,90952.0,0.4884833333333347,50.25,FA18:1,"TG(54:3), TG(55:10)"
93,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,820.7,603.5,15.65,1551.0,820.7 -> 603.5,0,18,10514.0,0.22203333333333397,16.03,FA18:1,"TG(54:3), TG(55:10)"
