,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
96,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.36,415.0,796.7 -> 607.5,0,20,356912.0,0.4440666666666644,25.45,FA18:1,"TG(54:1), TG(55:8)"
97,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.54,1373.0,796.7 -> 607.5,0,20,8999.0,0.04439999999999955,,FA18:1,"TG(54:1), TG(55:8)"
98,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,824.7,607.5,18.62,401.0,824.7 -> 607.5,0,36,1606.0,0.0,59.48,FA18:1,"TG(54:1), TG(55:8)"
99,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.5,1458.0,796.7 -> 607.5,0,20,95522.0,0.2220333333333322,59.48,FA18:1,"TG(54:1), TG(55:8)"
100,"[TG(55:9),TG(54:2)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.25,1017.0,822.7 -> 605.5,0,34,51561.0,0.22203333333333575,17.4,FA18:1,"TG(54:2), TG(55:9)"
101,"[TG(55:9),TG(54:2)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.3,9088.0,794.7 -> 605.5,0,19,897376.0,0.3552500000000016,17.4,FA18:1,"TG(54:2), TG(55:9)"
102,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.2,542.0,822.7 -> 605.5,0,34,101268.0,0.35526666666666884,15.01,FA18:1,"TG(54:2), TG(55:9)"
103,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.25,1402.0,794.7 -> 605.5,0,19,1520060.0,0.6661000000000001,15.01,FA18:1,"TG(54:2), TG(55:9)"
104,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,780.7,605.5,17.52,436.0,780.7 -> 605.5,0,11,1743.0,0.0,,FA18:1,"TG(54:2), TG(55:9)"
105,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.2,1736.0,822.7 -> 605.5,0,34,167046.0,0.6661000000000001,12.92,FA18:1,"TG(54:2), TG(55:9)"
106,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.21,1780.0,794.7 -> 605.5,0,19,2158782.0,0.7549166666666665,12.92,FA18:1,"TG(54:2), TG(55:9)"
107,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.25,512.0,822.7 -> 605.5,0,34,23114.0,0.2220333333333322,13.84,FA18:1,"TG(54:2), TG(55:9)"
108,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.34,5585.0,794.7 -> 605.5,0,19,319798.0,0.2664333333333353,13.84,FA18:1,"TG(54:2), TG(55:9)"
109,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.2,1336.0,822.7 -> 605.5,0,34,64687.0,0.3108499999999985,13.73,FA18:1,"TG(54:2), TG(55:9)"
110,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.3,10246.0,794.7 -> 605.5,0,19,888203.0,0.35526666666666884,13.73,FA18:1,"TG(54:2), TG(55:9)"
57,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.05,3272.0,820.7 -> 603.5,0,32,174074.0,0.3108499999999985,9.69,FA18:1,"TG(54:3), TG(55:10)"
58,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.1,15172.0,792.7 -> 603.5,0,18,1687506.0,0.3108499999999985,9.69,FA18:1,"TG(54:3), TG(55:10)"
59,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,778.6,603.5,15.79,594.0,778.6 -> 603.5,0,10,13488.0,0.5328833333333343,,FA18:1,"TG(54:3), TG(55:10)"
60,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.05,5052.0,820.7 -> 603.5,0,32,630540.0,0.7104999999999997,6.36,FA18:1,"TG(54:3), TG(55:10)"
61,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.1,22068.0,792.7 -> 603.5,0,18,4011228.0,0.5772833333333338,6.36,FA18:1,"TG(54:3), TG(55:10)"
62,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.19,1254.0,778.6 -> 603.5,0,10,20501.0,0.2220333333333322,,FA18:1,"TG(54:3), TG(55:10)"
63,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.0,4701.0,820.7 -> 603.5,0,32,987214.0,0.7549333333333337,6.67,FA18:1,"TG(54:3), TG(55:10)"
64,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,15.97,5377.0,792.7 -> 603.5,0,18,6584558.0,0.7549166666666682,6.67,FA18:1,"TG(54:3), TG(55:10)"
65,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,559.0,778.6 -> 603.5,0,10,4027.0,0.04439999999999955,,FA18:1,"TG(54:3), TG(55:10)"
66,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.05,1842.0,820.7 -> 603.5,0,32,149299.0,0.26644999999999897,8.43,FA18:1,"TG(54:3), TG(55:10)"
67,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.1,8614.0,792.7 -> 603.5,0,18,1258987.0,0.3108499999999985,8.43,FA18:1,"TG(54:3), TG(55:10)"
68,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.05,3659.0,820.7 -> 603.5,0,32,213198.0,0.26644999999999897,8.4,FA18:1,"TG(54:3), TG(55:10)"
69,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.1,17610.0,792.7 -> 603.5,0,18,1790242.0,0.35524999999999807,8.4,FA18:1,"TG(54:3), TG(55:10)"
78,"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.89,3727.0,818.7 -> 601.5,0,29,208413.0,0.22203333333333397,6.87,FA18:1,"TG(54:4), TG(55:11)"
79,"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,14.95,17144.0,790.7 -> 601.5,0,16,1432016.0,0.35526666666666706,6.87,FA18:1,"TG(54:4), TG(55:11)"
80,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,776.6,601.5,14.64,410.0,776.6 -> 601.5,0,9,11782.0,0.5772833333333338,,FA18:1,"TG(54:4), TG(55:11)"
81,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.89,5217.0,818.7 -> 601.5,0,29,551382.0,0.3108500000000003,5.47,FA18:1,"TG(54:4), TG(55:11)"
82,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,14.95,10078.0,790.7 -> 601.5,0,16,3014222.0,0.5328833333333343,5.47,FA18:1,"TG(54:4), TG(55:11)"
83,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.04,1670.0,776.6 -> 601.5,0,9,21503.0,0.17763333333333442,,FA18:1,"TG(54:4), TG(55:11)"
84,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.85,995.0,818.7 -> 601.5,0,29,809255.0,0.7104999999999997,5.25,FA18:1,"TG(54:4), TG(55:11)"
85,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,14.9,4857.0,790.7 -> 601.5,0,16,4249541.0,0.48848333333333294,5.25,FA18:1,"TG(54:4), TG(55:11)"
86,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,450.0,776.6 -> 601.5,0,9,1800.0,0.0,,FA18:1,"TG(54:4), TG(55:11)"
87,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.89,2123.0,818.7 -> 601.5,0,29,179370.0,0.22203333333333397,6.1,FA18:1,"TG(54:4), TG(55:11)"
88,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,790.7,601.5,14.95,7146.0,790.7 -> 601.5,0,16,1094530.0,0.3108500000000003,6.1,FA18:1,"TG(54:4), TG(55:11)"
