,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
80,liver,FAD173,17.23,5xFAD,142.0,"[TG(57:10),TG(56:3)]_FA18:1",694.0,M1,"[TG(57:10),TG(56:3)]_FA18:1-FAD173-M1-5xFAD-liver",17045.861328125,930.6,631.5,17.23,12012023_FAD173_M1_5xFAD_liver_O3on_01,930.6 -> 631.5
81,liver,DOD73,16.12,5xFAD,23.0,"[TG(57:11),TG(56:4)]_FA18:1",685.0,M2,"[TG(57:11),TG(56:4)]_FA18:1-DOD73-M2-5xFAD-liver",48021.125,928.8,629.5,16.12,12012023_DOD73_M2_5xFAD_liver_O3on_01,928.8 -> 629.5
82,liver,FAD131,16.08,5xFAD,53.0,"[TG(57:11),TG(56:4)]_FA18:1",686.0,M1,"[TG(57:11),TG(56:4)]_FA18:1-FAD131-M1-5xFAD-liver",94644.4453125,928.8,629.5,16.12,12012023_FAD131_M1_5xFAD_liver_O3on_01,928.8 -> 629.5
83,liver,FAD131,16.08,5xFAD,83.0,"[TG(57:11),TG(56:4)]_FA18:1",687.0,M2,"[TG(57:11),TG(56:4)]_FA18:1-FAD131-M2-5xFAD-liver",116073.90625,928.8,629.5,16.08,12012023_FAD131_M2_5xFAD_liver_O3on_01,928.8 -> 629.5
84,liver,FAD131,16.08,5xFAD,113.0,"[TG(57:11),TG(56:4)]_FA18:1",688.0,M4,"[TG(57:11),TG(56:4)]_FA18:1-FAD131-M4-5xFAD-liver",24475.2421875,928.8,629.5,16.12,12012023_FAD131_M4_5xFAD_liver_O3on_01,928.8 -> 629.5
85,liver,FAD173,16.12,5xFAD,143.0,"[TG(57:11),TG(56:4)]_FA18:1",689.0,M1,"[TG(57:11),TG(56:4)]_FA18:1-FAD173-M1-5xFAD-liver",68185.1015625,928.8,629.5,16.12,12012023_FAD173_M1_5xFAD_liver_O3on_01,928.8 -> 629.5
86,liver,DOD73,14.92,5xFAD,24.0,"[TG(57:12),TG(56:5)]_FA18:1",680.0,M2,"[TG(57:12),TG(56:5)]_FA18:1-DOD73-M2-5xFAD-liver",12010.4404296875,926.8,627.5,14.92,12012023_DOD73_M2_5xFAD_liver_O3on_01,926.8 -> 627.5
87,liver,FAD131,14.92,5xFAD,54.0,"[TG(57:12),TG(56:5)]_FA18:1",681.0,M1,"[TG(57:12),TG(56:5)]_FA18:1-FAD131-M1-5xFAD-liver",28381.54296875,926.8,627.5,14.92,12012023_FAD131_M1_5xFAD_liver_O3on_01,926.8 -> 627.5
88,liver,FAD131,14.92,5xFAD,84.0,"[TG(57:12),TG(56:5)]_FA18:1",682.0,M2,"[TG(57:12),TG(56:5)]_FA18:1-FAD131-M2-5xFAD-liver",27716.802734375,926.8,627.5,14.92,12012023_FAD131_M2_5xFAD_liver_O3on_01,926.8 -> 627.5
89,liver,FAD131,14.92,5xFAD,114.0,"[TG(57:12),TG(56:5)]_FA18:1",683.0,M4,"[TG(57:12),TG(56:5)]_FA18:1-FAD131-M4-5xFAD-liver",7893.42041015625,926.8,627.5,14.97,12012023_FAD131_M4_5xFAD_liver_O3on_01,926.8 -> 627.5
