,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
90,dienc,DOD93,17.06,5xFAD,15.0,"[TG(55:9),TG(54:2)]_FA18:1",3074.0,9753.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD93-F4-5xFAD-dienc",9753.0,904.8,605.5,17.06,11292023_DOD93_F4_5xFAD_dienc_O3on_01,904.8 -> 605.5
91,hippo,DOD93,17.01,5xFAD,19.0,"[TG(55:9),TG(54:2)]_FA18:1",3075.0,4513.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD93-F4-5xFAD-hippo",4513.0,904.8,605.5,17.01,11292023_DOD93_F4_5xFAD_hippo_O3on_01,904.8 -> 605.5
92,cereb,DOD94,17.06,5xFAD,25.0,"[TG(55:9),TG(54:2)]_FA18:1",3076.0,9957.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD94-F4-5xFAD-cereb",9957.0,904.8,605.5,17.06,11292023_DOD94_F4_5xFAD_cereb_O3on_01,904.8 -> 605.5
93,cortex,DOD94,17.06,5xFAD,32.0,"[TG(55:9),TG(54:2)]_FA18:1",3077.0,8811.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD94-F4-5xFAD-cortex",8811.0,904.8,605.5,17.06,11292023_DOD94_F4_5xFAD_cortex_O3on_01,904.8 -> 605.5
94,dienc,DOD94,17.1,5xFAD,36.0,"[TG(55:9),TG(54:2)]_FA18:1",3078.0,5952.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD94-F4-5xFAD-dienc",5952.0,904.8,605.5,17.1,11292023_DOD94_F4_5xFAD_dienc_O3on_01,904.8 -> 605.5
95,hippo,DOD94,17.15,5xFAD,40.0,"[TG(55:9),TG(54:2)]_FA18:1",3079.0,6162.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD94-F4-5xFAD-hippo",6162.0,904.8,605.5,17.15,11292023_DOD94_F4_5xFAD_hippo_O3on_01,904.8 -> 605.5
96,cereb,FAD185,15.64,5xFAD,45.0,"[TG(55:9),TG(54:2)]_FA18:1",3080.0,6150.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M1-5xFAD-cereb",6150.0,904.8,605.5,17.06,11292023_FAD185_M1_5xFAD_cereb_O3on_01,904.8 -> 605.5
97,cortex,FAD185,17.01,5xFAD,50.0,"[TG(55:9),TG(54:2)]_FA18:1",3081.0,4168.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M1-5xFAD-cortex",4168.0,904.8,605.5,17.01,11292023_FAD185_M1_5xFAD_cortex_O3on_01,904.8 -> 605.5
98,dienc,FAD185,16.88,5xFAD,55.0,"[TG(55:9),TG(54:2)]_FA18:1",3082.0,6618.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M1-5xFAD-dienc",6618.0,904.8,605.5,17.01,11292023_FAD185_M1_5xFAD_dienc_O3on_01,904.8 -> 605.5
99,hippo,FAD185,16.88,5xFAD,61.0,"[TG(55:9),TG(54:2)]_FA18:1",3083.0,7852.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M1-5xFAD-hippo",7852.0,904.8,605.5,17.01,11292023_FAD185_M1_5xFAD_hippo_O3on_01,904.8 -> 605.5
100,cereb,FAD185,15.64,5xFAD,71.0,"[TG(55:9),TG(54:2)]_FA18:1",3084.0,39219.0,M3,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M3-5xFAD-cereb",31103.0,904.8,605.5,15.64,11292023_FAD185_M3_5xFAD_cereb_O3on_01,904.8 -> 605.5
101,cortex,FAD185,17.01,5xFAD,88.0,"[TG(55:9),TG(54:2)]_FA18:1",3085.0,9562.0,M3,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M3-5xFAD-cortex",124.0,904.8,605.5,16.75,11292023_FAD185_M3_5xFAD_cortex_O3on_01,904.8 -> 605.5
102,dienc,FAD185,16.88,5xFAD,99.0,"[TG(55:9),TG(54:2)]_FA18:1",3086.0,33262.0,M3,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M3-5xFAD-dienc",33262.0,904.8,605.5,16.88,11292023_FAD185_M3_5xFAD_dienc_O3on_01,904.8 -> 605.5
103,hippo,FAD185,16.88,5xFAD,106.0,"[TG(55:9),TG(54:2)]_FA18:1",3087.0,10685.0,M3,"[TG(55:9),TG(54:2)]_FA18:1-FAD185-M3-5xFAD-hippo",10685.0,904.8,605.5,16.88,11292023_FAD185_M3_5xFAD_hippo_O3on_01,904.8 -> 605.5
104,cereb,FAD189,16.83,5xFAD,116.0,"[TG(55:9),TG(54:2)]_FA18:1",3088.0,10482.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M1-5xFAD-cereb",9315.0,904.8,605.5,17.1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,904.8 -> 605.5
105,cortex,FAD189,15.86,5xFAD,127.0,"[TG(55:9),TG(54:2)]_FA18:1",3089.0,13412.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M1-5xFAD-cortex",12926.0,904.8,605.5,15.86,11292023_FAD189_M1_5xFAD_cortex_O3on_01,904.8 -> 605.5
106,dienc,FAD189,16.88,5xFAD,137.0,"[TG(55:9),TG(54:2)]_FA18:1",3090.0,4533.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M1-5xFAD-dienc",4533.0,904.8,605.5,17.1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,904.8 -> 605.5
107,hippo,FAD189,17.1,5xFAD,142.0,"[TG(55:9),TG(54:2)]_FA18:1",3091.0,5436.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M1-5xFAD-hippo",5436.0,904.8,605.5,17.1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,904.8 -> 605.5
108,cereb,FAD189,16.83,5xFAD,151.0,"[TG(55:9),TG(54:2)]_FA18:1",3092.0,37825.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M2-5xFAD-cereb",37825.0,904.8,605.5,16.83,11292023_FAD189_M2_5xFAD_cereb_O3on_01,904.8 -> 605.5
109,cortex,FAD189,15.86,5xFAD,159.0,"[TG(55:9),TG(54:2)]_FA18:1",3093.0,5864.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M2-5xFAD-cortex",5864.0,904.8,605.5,16.83,11292023_FAD189_M2_5xFAD_cortex_O3on_01,904.8 -> 605.5
110,dienc,FAD189,16.88,5xFAD,166.0,"[TG(55:9),TG(54:2)]_FA18:1",3094.0,12953.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M2-5xFAD-dienc",12953.0,904.8,605.5,16.88,11292023_FAD189_M2_5xFAD_dienc_O3on_01,904.8 -> 605.5
111,hippo,FAD189,17.1,5xFAD,171.0,"[TG(55:9),TG(54:2)]_FA18:1",3095.0,2673.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-FAD189-M2-5xFAD-hippo",2673.0,904.8,605.5,16.88,11292023_FAD189_M2_5xFAD_hippo_O3on_01,904.8 -> 605.5
112,cereb,FAD185,15.06,5xFAD,73.0,"[TG(56:11),TG(55:4)]_FA18:1",3156.0,2527.0,M3,"[TG(56:11),TG(55:4)]_FA18:1-FAD185-M3-5xFAD-cereb",2527.0,914.8,615.5,15.06,11292023_FAD185_M3_5xFAD_cereb_O3on_01,914.8 -> 615.5
113,cereb,FAD185,16.7,5xFAD,74.0,"[TG(57:10),TG(56:3)]_FA18:1",3324.0,3150.0,M3,"[TG(57:10),TG(56:3)]_FA18:1-FAD185-M3-5xFAD-cereb",3150.0,930.6,631.5,16.7,11292023_FAD185_M3_5xFAD_cereb_O3on_01,930.6 -> 631.5
114,cereb,FAD185,15.59,5xFAD,75.0,"[TG(57:11),TG(56:4)]_FA18:1",3300.0,14646.0,M3,"[TG(57:11),TG(56:4)]_FA18:1-FAD185-M3-5xFAD-cereb",14646.0,928.8,629.5,15.59,11292023_FAD185_M3_5xFAD_cereb_O3on_01,928.8 -> 629.5
115,dienc,FAD185,15.54,5xFAD,100.0,"[TG(57:11),TG(56:4)]_FA18:1",3302.0,7833.0,M3,"[TG(57:11),TG(56:4)]_FA18:1-FAD185-M3-5xFAD-dienc",7833.0,928.8,629.5,15.54,11292023_FAD185_M3_5xFAD_dienc_O3on_01,928.8 -> 629.5
116,cereb,FAD189,15.81,5xFAD,117.0,"[TG(57:11),TG(56:4)]_FA18:1",3304.0,5872.0,M1,"[TG(57:11),TG(56:4)]_FA18:1-FAD189-M1-5xFAD-cereb",5872.0,928.8,629.5,15.81,11292023_FAD189_M1_5xFAD_cereb_O3on_01,928.8 -> 629.5
117,cortex,FAD189,15.77,5xFAD,128.0,"[TG(57:11),TG(56:4)]_FA18:1",3305.0,9192.0,M1,"[TG(57:11),TG(56:4)]_FA18:1-FAD189-M1-5xFAD-cortex",9192.0,928.8,629.5,15.77,11292023_FAD189_M1_5xFAD_cortex_O3on_01,928.8 -> 629.5
118,cereb,FAD185,14.35,5xFAD,76.0,"[TG(57:12),TG(56:5)]_FA18:1",3276.0,2385.0,M3,"[TG(57:12),TG(56:5)]_FA18:1-FAD185-M3-5xFAD-cereb",2385.0,926.8,627.5,14.35,11292023_FAD185_M3_5xFAD_cereb_O3on_01,926.8 -> 627.5
